Soldier,A1 Record Shop - It's Only Rock  Volume Three,The Merlons of Nehemiah,223.1ø
La Valse J'aime (The Waltz I Love),Home Music With Spirits,Savoy-Doucet Cajun Band,210.0ø
La Valse De Marie,Two-Step D'amede,Savoy-Doucet Cajun Band,284.3ø
La Danse De Limonade,Two-Step D'amede,Savoy-Doucet Cajun Band,188.5ø
J'aimerais Connaitre (I'd Like To Know),Two-Step D'amede,Savoy-Doucet Cajun Band,194.8ø
Good-Bye_ Brown Eyes,Two-Step D'amede,Savoy-Doucet Cajun Band,173.9ø
Flammes D'enfer,Two-Step D'amede,Savoy-Doucet Cajun Band,394.4ø
Evangeline Special,Home Music With Spirits,Savoy-Doucet Cajun Band,195.0ø
Bosco Stomp,Home Music With Spirits,Savoy-Doucet Cajun Band,247.8ø
Baby And The Gambler & the Happy One-Step,Home Music With Spirits,Savoy-Doucet Cajun Band,268.9ø
Aux Natchitoches,Home Music With Spirits,Savoy-Doucet Cajun Band,200.1ø
When I'm With You,Street Singer,Arthur Tracy,175.1ø
When I Grow Too Old To Dream,Street Singer,Arthur Tracy,185.5ø
The Way You Look Tonight,Street Singer,Arthur Tracy,178.0ø
Stay Awhile,Street Singer,Arthur Tracy,180.7ø
So Do I,Street Singer,Arthur Tracy,165.6ø
Shake Hands With A Millionaire,Street Singer,Arthur Tracy,181.4ø
September In The Rain,Street Singer,Arthur Tracy,181.0ø
Red Sails In The Sunset,Street Singer,Arthur Tracy,180.3ø
Pennies From Heaven,Street Singer,Arthur Tracy,184.9ø
Laughing Irish Eyes,Street Singer,Arthur Tracy,171.6ø
Harbour Lights,Street Singer,Arthur Tracy,191.2ø
Gypsy Fiddles,Street Singer,Arthur Tracy,184.2ø
East Of The Sun,Street Singer,Arthur Tracy,159.4ø
Can I Forget You,Street Singer,Arthur Tracy,174.0ø
A Sailboat In The Moonlight,Street Singer,Arthur Tracy,173.9ø
One Kiss For Old Times Sake,Country Cream Volume 1,Ronnie Dove,177.0ø
Rave-O-Lution,Best Of,Phenomania,274.8ø
Death Sting Me Blues,Sara Martin Vol. 4 (1925-1928),Sara Martin,167.0ø
