Sagte mal ein Dichter,Wenn der Abend kommt/Circulus,Holger Biege,197.0ø
Rock 'N' Roll Ruby - Original,A Rockin' Decade,Sleepy LaBeef,139.8ø
Rock 'N' Roll Ruby,The Legendary Sun Classics,Sleepy LaBeef,141.2ø
Red Hot - Original,A Rockin' Decade,Sleepy LaBeef,187.5ø
Mystery Train - Original,A Rockin' Decade,Sleepy LaBeef,107.5ø
Mystery Train,Live In Barcelona,Sleepy LaBeef,202.4ø
Milk Cow Blues - Original,A Rockin' Decade,Sleepy LaBeef,188.8ø
Matchbox - Original,A Rockin' Decade,Sleepy LaBeef,150.0ø
Jack and Jill Boogie - Original,A Rockin' Decade,Sleepy LaBeef,137.2ø
Honky Tonk Man - Original,A Rockin' Decade,Sleepy LaBeef,139.0ø
Honey Hush - Original,A Rockin' Decade,Sleepy LaBeef,164.8ø
Good Rockin' Boogie - Original,A Rockin' Decade,Sleepy LaBeef,113.5ø
Go Ahead On Baby - Original,A Rockin' Decade,Sleepy LaBeef,175.3ø
Flying Saucers Rock 'N' Roll - Original,A Rockin' Decade,Sleepy LaBeef,115.5ø
Boom Boom Boom - Original,A Rockin' Decade,Sleepy LaBeef,156.8ø
Boogie Woogie Country Girl - Original,A Rockin' Decade,Sleepy LaBeef,151.2ø
Boogie Woogie Country Girl,Live In Barcelona,Sleepy LaBeef,200.2ø
Blue Moon Of Kenturky - Original,A Rockin' Decade,Sleepy LaBeef,155.2ø
Blue Moon Of Kentucky,Live In Barcelona,Sleepy LaBeef,167.2ø
Blackland Farmer - Original,A Rockin' Decade,Sleepy LaBeef,141.0ø
Blackland Farmer,The Legendary Sun Classics,Sleepy LaBeef,142.3ø
Big Boss Man - Original,A Rockin' Decade,Sleepy LaBeef,160.0ø
Baby Let's Play House - Original,A Rockin' Decade,Sleepy LaBeef,127.5ø
Baby Let's Play House,The Legendary Sun Classics,Sleepy LaBeef,128.9ø
Spoon,Self_ Dare You Still Breathe?,Bird of Ill Omen,368.7ø
Sharpshooter,Self_ Dare You Still Breathe?,Bird of Ill Omen,305.3ø
Pronoun,Self_ Dare You Still Breathe?,Bird of Ill Omen,405.6ø
Paper Stains,Self_ Dare You Still Breathe?,Bird of Ill Omen,364.6ø
Now Ruin Is,Self_ Dare You Still Breathe?,Bird of Ill Omen,342.4ø
Mannequin,Self_ Dare You Still Breathe?,Bird of Ill Omen,378.0ø
You Don't Want My Love,I Believe In You,J.C. Lodge,250.8ø
Too Good To Be True,I Believe In You,J.C. Lodge,255.3ø
Together We Will Stay,I Believe In You,J.C. Lodge,219.0ø
Since You Came Into My Life,Selfish Lover (Greensleeves 30th Anniversary Edition),J.C. Lodge,246.6ø
5 Down to 4,Sweet Luck of Amaryllis,Retsin,116.1ø
The Village Caller,The Riverside Records Story,Johnny Lytle,265.1ø
War In My Course,A Mexican Car In A Southern Field,Loosegoats,186.6ø
Towel,A Mexican Car In A Southern Field,Loosegoats,171.0ø
Texan Modesty,A Mexican Car In A Southern Field,Loosegoats,328.7ø
Slotmachines And Busted Dreams,A Mexican Car In A Southern Field,Loosegoats,139.5ø
Really Texan Modesty,A Mexican Car In A Southern Field,Loosegoats,334.9ø
Mule Habit,A Mexican Car In A Southern Field,Loosegoats,170.7ø
It's So OK,A Mexican Car In A Southern Field,Loosegoats,152.7ø
Independently Correct,A Mexican Car In A Southern Field,Loosegoats,140.6ø
F As In Dumped,A Mexican Car In A Southern Field,Loosegoats,167.5ø
Disdialogic,For Sale By Owner,Loosegoats,177.3ø
Destined To Be A B-Side,A Mexican Car In A Southern Field,Loosegoats,124.0ø
Kiss The Blues Goodbye,Honest to Goodness,Grinderswitch,299.1ø
Jerk,Bonavista,Kim Stockwood,253.0ø
Smoker,Records,Christian Marclay,250.0ø
Second Coming,Records,Christian Marclay,155.2ø
Phonodrum,Records,Christian Marclay,247.4ø
Pandora's Box,Records,Christian Marclay,198.7ø
One Thousand Cycles,Records,Christian Marclay,138.9ø
Night Music,Records,Christian Marclay,244.5ø
Neutral,Records,Christian Marclay,444.5ø
Jukebox Capriccio,Records,Christian Marclay,217.1ø
His Master's Voice (Excerpt),Records,Christian Marclay,281.9ø
Groove,Records,Christian Marclay,332.4ø
Dust Breeding,Records,Christian Marclay,415.1ø
Craft,Records,Christian Marclay,172.7ø
Brown Rain,Records,Christian Marclay,276.3ø
1930,Records,Christian Marclay,208.5ø
Ms. Lollipop,Kickin' Some Brass,The New Birth Brass Band,311.3ø
I Ate Up the Apple Tree,New Orleans Second Line,New Birth Brass Band,277.1ø
Under The Sign...,The Other Side,Alastis,293.5ø
Through The Chaos,The Other Side,Alastis,212.6ø
Slaves Of Rot,The Other Side,Alastis,278.6ø
Remind,The Other Side,Alastis,221.3ø
Never Again,The Other Side,Alastis,293.4ø
In Darkness,The Other Side,Alastis,236.6ø
Fight And Win,The Other Side,Alastis,150.2ø
End Or Beginning?,The Other Side,Alastis,242.1ø
Buddy Won't You Roll Down the Line,Roots of Bluegrass,Uncle Dave Macon,192.7ø
Scratch My Back,Midnight Prowler,Frank Frost,252.2ø
Under The Microscope,Evil Underground Lovers,Underground Lovers,368.0ø
Starsigns,Evil Underground Lovers,Underground Lovers,262.6ø
Temko,Frantz,General Magic,320.4ø
Rollen Rink,Frantz,General Magic,369.8ø
Obvious,Frantz,General Magic,216.0ø
No Ketting,Frantz,General Magic,330.1ø
Mimi,Frantz,General Magic,101.5ø
Boom,Frantz,General Magic,393.8ø
Bonden,Frantz,General Magic,294.2ø
Blob Return,Frantz,General Magic,132.0ø
Winter Sun,See Inside,Out Of The Grey,261.8ø
That's Where I Live,See Inside,Out Of The Grey,226.5ø
Prove It,See Inside,Out Of The Grey,234.9ø
No Leaving,See Inside,Out Of The Grey,242.9ø
My God You Are (Psalm 22),See Inside,Out Of The Grey,268.5ø
Constant,See Inside,Out Of The Grey,239.5ø
Walk Away (Album Version),Grand World,Cool For August,243.4ø
Trials (Album Version),Grand World,Cool For August,264.2ø
Sylmar (Album Version),Grand World,Cool For August,185.1ø
On & On (Album Version),Grand World,Cool For August,196.6ø
Of You (Album Version),Grand World,Cool For August,233.4ø
New Song (Album Version),Grand World,Cool For August,235.8ø
Hope I'm Wrong (Album Version),Grand World,Cool For August,245.1ø
Hey You (Album Version),Grand World,Cool For August,270.8ø
Don't Wanna Be Here (Album Version),Grand World,Cool For August,214.8ø
Denial (Album Version),Grand World,Cool For August,233.3ø
Big Night (Album Version),Grand World,Cool For August,255.2ø
Spectrum,Selected Works 94-96,Wax Doctor,506.3ø
Black Thanx,Black Thanx,Abacus,407.4ø
No One Can Love You More Than Me,"Almighty Presents: 12"" Of Pleasure",Hannah Jones,507.6ø
White Wings,New Romantics: A Hearts Of Space Classical Collection,Oystein Sevag,222.3ø
Cobalt,Slow Music For Fast Times (Disc 1),Oystein Sevag,351.6ø
Combination Boogie,Slidin' the Blues (Blues Reference),J.B. Hutto,213.4ø
Karate,One Night In Tampere,Trio Toykeat,488.7ø
Eisbaer (Trance mix),Eisbear,Groovezone,334.8ø
Eisbaer (Freeze remix),Eisbear,Groovezone,421.0ø
Eisbaer (Extended mix),Eisbear,Groovezone,404.0ø
Eisbaer,Oakenfold Anthems,Groove Zone,278.7ø
A melody,Icu,Groovezone,333.8ø
Love Bug Crawl,Les stars de la chanson vol.3,Jimmy Edwards,124.0ø
Big Guns Down,Skanarchy III,Easy Big Fella,273.4ø
The Last Roundup,Grand Piano,Richard Souther,170.0ø
The Angels,Illumination,Richard Souther,191.6ø
I Want To Know,Emo Diaries - Chapter One - What's Mine Is Yours,Triple Fast Action,188.2ø
No Can Do,What Kinda World,Kashief Lindo,197.5ø
I Feel Ur Pain,Welcome All Species,Space Frog;The Grim Reaper,408.9ø
(X-Ray) Follow Me,Welcome All Species,Space Frog;The Grim Reaper,455.6ø
The Bible Tells Me So,True Love - 20 Golden Memories Of The 50's,Don Cornell,135.0ø
Most Of All,Timeless Love Songs of the Fifties,Don Cornell,169.7ø
Ziit,Subzonic,Subzonic,226.5ø
Verloge,Subzonic,Subzonic,203.6ø
Verantwortig,Subzonic,Subzonic,322.6ø
Sueno,Subzonic,Subzonic,224.7ø
Sprung Is Wasser,Subzonic,Subzonic,225.2ø
Politica,Subzonic,Subzonic,197.3ø
Nie Me,Subzonic,Subzonic,226.7ø
I Feel,Subzonic,Subzonic,342.4ø
Herbscht,Subzonic,Subzonic,238.3ø
Destino,Subzonic,Subzonic,251.4ø
D'Sunne,Subzonic,Subzonic,244.8ø
Sirena,Slow Music For Fast Times (Disc 1),Robert Rich & Alio Die,375.9ø
The Horn,Classic Plant,A Small Good Thing,294.0ø
Moving Heat Source,Block,A Small Good Thing,287.5ø
Girl From ICI Plant,Block,A Small Good Thing,399.9ø
Essay On A Flat Stomach,Block,A Small Good Thing,151.3ø
Cooling System,Block,A Small Good Thing,528.7ø
Babywalker,Block,A Small Good Thing,458.9ø
Air Traffic Controller (Part 2),Block,A Small Good Thing,202.3ø
A Short History Of Underlinen,Block,A Small Good Thing,260.6ø
40 Watt Ovals,Block,A Small Good Thing,363.5ø
Bridge Over Troubled Water,Fundamental Reggae Vol.01,Jimmy London,237.5ø
Dry Bones,The Half Ain't Never Been Told - Early American Rural Religious Music Vol. 2,Bascom Lamar Lunsford,179.2ø
Take Over,Take Over,Transmutator,302.3ø
Soul Cleanser (Purification),Take Over,Transmutator,296.4ø
My Wonderful Friend (Children of Dub Mix),Take Over,Transmutator,347.7ø
My Wonderful Friend (Astralasia Mix),Take Over,Transmutator,375.5ø
"My Wonderful Friend (12"")",Take Over,Transmutator,236.7ø
Maximum,Take Over,Transmutator,303.2ø
Macho Man,Take Over,Transmutator,301.0ø
Destroy,Take Over,Transmutator,262.2ø
Cyberium (Mutation Mix),Take Over,Transmutator,297.1ø
Brighton Rock (UVX Mix),Take Over,Transmutator,349.1ø
A Fifth of Beethoven,Take Over,Transmutator,234.4ø
We Have No Mother,Shadows' Blood,Cultus Sanguine,309.1ø
The Graves Forgot My Name,Shadows' Blood,Cultus Sanguine,268.4ø
The Calling Illusion,Shadows' Blood,Cultus Sanguine,282.8ø
Silent Tunes Of Falling Blood,Shadows' Blood,Cultus Sanguine,218.1ø
Shadows' Blood,Shadows' Blood,Cultus Sanguine,272.9ø
On These Nocturnal Wings,Shadows' Blood,Cultus Sanguine,251.3ø
Le Tombe,Shadows' Blood,Cultus Sanguine,126.2ø
Lady Of Lies,Shadows' Blood,Cultus Sanguine,281.7ø
Il Sangue,Shadows' Blood,Cultus Sanguine,355.6ø
Among Shadows,Shadows' Blood,Cultus Sanguine,146.3ø
Bad Cup Of Coffee,Kill The Moonlight: The Motion Picture Soundtrack,Go To Blazes,280.7ø
(And I'll Be) Hating You,Kill The Moonlight: The Motion Picture Soundtrack,Go To Blazes,176.5ø
Nossuri (The Moon_ I Sing),Live,Happy The Man,384.5ø
Mr. Mirror's Reflections on Dreams,Live,Happy The Man,563.3ø
I Carve the Chariot on the Carousel,Live,Happy The Man,312.1ø
Empty Sea,Sometimes That's All We Have,The Sneetches,180.7ø
Mugshot,Live at Jazz Standard Volume 2,Russell Malone,553.2ø
Moonlight Serenade,Cocktail Classics,Russell Malone,514.1ø
What Do I Gotta Do (Eric Kupper Urban Dub),What Do I Gotta Do,Urban Soul,337.2ø
Show Me (Him & Her Mix),Mix The Vibe: Quentin Harris - Timeless Re-Collection,Urban Soul,471.8ø
Show Me (Def Club Mix),Mix The Vibe: Louie Vega EP Part 4,Urban Soul,597.5ø
Knock on Wood,Casablanca,Dooley Wilson,76.5ø
You Better Go,Take Me Like I Am - The Roulette Recordings,Derek Martin,179.0ø
Upa Neguinho,With A Little Help From My Friends,Renee Rosnes,376.2ø
Guitar Rag,Slidin' On The Frets: The Hawaiian Steel Guitar Phenomenon,Sylvester Weaver,181.2ø
Mambo No. 5,Tanztempo Vol.7 - Mambo,Edmundo Ros and his Rumba Orchester,162.1ø
Ukawa Miming,Blue Dot,Magical Power Mako,359.3ø
Mako Drum,Blue Dot,Magical Power Mako,594.7ø
Bothicthic,Blue Dot,Magical Power Mako,356.6ø
Blue Dot II,Blue Dot,Magical Power Mako,414.5ø
What You Hate,Let's Play House,The Cootees,103.3ø
Shut Up (Let's Play House Album Version),Let's Play House,The Cootees,144.0ø
School Girl Fantasy,Let's Play House,The Cootees,103.4ø
Roses Are Red,Let's Play House,The Cootees,59.4ø
Now The Beach Sucks,Let's Play House,The Cootees,103.6ø
No Cure 4 The Cootees,Let's Play House,The Cootees,82.1ø
Mike's Waiting,Let's Play House,The Cootees,177.2ø
Lisa's Clean,Let's Play House,The Cootees,114.1ø
Jocks Don't Like Us,Let's Play House,The Cootees,153.1ø
I'm OK_ You're OK,Let's Play House,The Cootees,186.9ø
I Want The World,Let's Play House,The Cootees,115.6ø
Hidden Track (Outro to They Don't Know),Let's Play House,The Cootees,33.6ø
Dirty Punk,Let's Play House,The Cootees,145.9ø
Deadbeat,Let's Play House,The Cootees,155.1ø
D.D.F.,Let's Play House,The Cootees,84.8ø
Coke Song,Let's Play House,The Cootees,73.5ø
Beach Party,Let's Play House,The Cootees,80.4ø
(blank),Let's Play House,The Cootees,134.7ø
My Babe,The Original Blues,Lightnin' Slim,177.7ø
Wer mit Dem Feuer Spielt,Soundtracks Zum Untergang 4,Morgentot,152.6ø
Tolkuton tunne,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,147.5ø
Tahdon naida Armin,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,153.3ø
Rokki on poikaa,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,135.7ø
Noin se onnistuu,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,120.0ø
Niin vaikeaa on teinirakkaus,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,124.9ø
Kalsarit vain,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,160.9ø
Diivaillen,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,170.1ø
Anna pois,20 Suosikkia / Rokki on poikaa,Esa Pakarinen,131.9ø
Spanish Point,Dark Age Of Camelot,Declan Masterson,250.1ø
Starsky,Carnivore,Voo Doo Phunk,317.2ø
I Don't Want To Talk About It,The Golden Age of Northern Soul Vol. 4,Nancy Ames,123.9ø
Runnin' Wild,The Essential Benny Goodman,Benny Goodman Quartet,157.2ø
Dizzy Spells,Body And Soul,Benny Goodman Quartet,347.2ø
Casa Loma Stomp,Anthology,Glen Gray & The Casa Loma Orchestra,197.1ø
You're My Melody,Kaleidoscope,Benny Green,258.5ø
Thursday's Lullaby,Kaleidoscope,Benny Green,415.7ø
The Sexy Mexy,Kaleidoscope,Benny Green,330.5ø
Patience,Kaleidoscope,Benny Green,342.9ø
My Girl Bill,Kaleidoscope,Benny Green,369.3ø
Kaleidoscope (Take 2),Kaleidoscope,Benny Green,470.0ø
Kaleidoscope (take 1),Kaleidoscope,Benny Green,525.5ø
Central Park South,Kaleidoscope,Benny Green,315.0ø
Apricot,Kaleidoscope,Benny Green,405.5ø
We Have The Technology,Sound Burger,Akotcha,285.5ø
The Breather,Sound Burger,Akotcha,301.1ø
Spy Movie,Sound Burger,Akotcha,330.5ø
Sound Burger,Sound Burger,Akotcha,413.2ø
So Far So Good,Sound Burger,Akotcha,376.2ø
Pork Fiend,Sound Burger,Akotcha,333.6ø
Kobyashi Maru,Sound Burger,Akotcha,301.6ø
Img.00.37,Sound Burger,Akotcha,457.4ø
Gosub,Sound Burger,Akotcha,458.2ø
Entirely Synthesized,Sound Burger,Akotcha,315.8ø
Close To You,Love Letters,Dancing Fantasy,410.6ø
Parker's Mood/Kansas City (Album Version),Another Time Another Place,Kevin Mahogany,343.4ø
Nature Boy (Album Version),Another Time Another Place,Kevin Mahogany,361.0ø
In The Wee Small Hours Of The Morning (Album Version),Another Time Another Place,Kevin Mahogany,292.9ø
I Believe She Was Talkin' 'Bout Me (Album Version),Another Time Another Place,Kevin Mahogany,265.6ø
Goodbye Pork Pie Hat (Album Version),Another Time Another Place,Kevin Mahogany,294.8ø
Free (Album Version),Another Time Another Place,Kevin Mahogany,303.1ø
Fix It In The Mix (Album Version),Another Time Another Place,Kevin Mahogany,317.7ø
Cloudburst (Album Version),Another Time Another Place,Kevin Mahogany,145.3ø
Big Rub (Album Version),Another Time Another Place,Kevin Mahogany,363.0ø
Another Time_ Another Place (Album Version),Another Time Another Place,Kevin Mahogany,260.6ø
Yancey Stomp,King Size Boogie Woogie,Jimmy Yancey,169.2ø
Bill,Help Yourself,Peggy Scott-Adams,317.2ø
My Favorite Things (Album Version),American Jungle,Sonny Simmons,580.3ø
Land Of The Freaks (Album Version),American Jungle,Sonny Simmons,513.6ø
Coltrane Story (Album Version),American Jungle,Sonny Simmons,168.3ø
The Road,Time Will Tell,Studebaker John & The Hawks,211.4ø
She Plays Hard,Time Will Tell,Studebaker John & The Hawks,210.9ø
Running Scared,Time Will Tell,Studebaker John & The Hawks,234.8ø
Running Into The Rain,Time Will Tell,Studebaker John & The Hawks,251.0ø
Rolling & Tumbling Around,Time Will Tell,Studebaker John & The Hawks,286.0ø
Playing With Fire,Time Will Tell,Studebaker John & The Hawks,173.5ø
On This Highway,Time Will Tell,Studebaker John & The Hawks,218.7ø
Nasty Mother,Time Will Tell,Studebaker John & The Hawks,267.0ø
Here No More,Time Will Tell,Studebaker John & The Hawks,281.9ø
Fear,Time Will Tell,Studebaker John & The Hawks,227.2ø
October,Deep 2,Collapsis,263.4ø
The Perfect Crime,I Eat Cannibals,Toto Coelo,236.5ø
Spy Versus Spy,I Eat Cannibals,Toto Coelo,205.8ø
Milk From The Coconut (Part 1),I Eat Cannibals,Toto Coelo,208.3ø
America's Youth,Coulda... Shoulda... Woulda: The Black Market Baby Collection,Black Market Baby,128.0ø
Laban Ko,Mangoni,Nahawa Doumbia,317.0ø
Farafina Dambe,Mangoni,Nahawa Doumbia,325.7ø
Untitled (Album Version),Perspective,By The Grace Of God,214.8ø
Red Hand Plan (Album Version),Perspective,By The Grace Of God,187.7ø
No Deposit (Album Version),Perspective,By The Grace Of God,142.4ø
Man Vs. Prayer (Album Version),Perspective,By The Grace Of God,142.3ø
I Will Not Bow Down (Album Version),Perspective,By The Grace Of God,583.2ø
Dead Ends (Album Version),Perspective,By The Grace Of God,130.3ø
Crest (Album Version),Perspective,By The Grace Of God,162.0ø
Cole (Album Version),Perspective,By The Grace Of God,154.7ø
Boy And The River (Album Version),Perspective,By The Grace Of God,284.4ø
Beneath The Blue (Album Version),Perspective,By The Grace Of God,155.4ø
Beneath The Blue,Three Steps To A Better Democracy,By The Grace Of God,128.7ø
Work Song,Paris_ 1960,Cannonball Adderley Quintet,447.1ø
Bohemia After Dark,Cannonball Adderley Quintet In San Francisco [Keepnews Collection],Cannonball Adderley Quintet,485.7ø
The Storm Is Over Now,Kirk Franklin Presents: Songs For The Storm_ Volume 1,Gods Property,347.0ø
That's What Mama Say,Welcome Home / The Okeh Years,Walter Jackson; Arranged & conducted by Riley Hampton,141.3ø
After You There Can Be Nothing,Welcome Home / The Okeh Years,Walter Jackson,165.7ø
Just A Little Bit South Of North Carolina,AMOR - Nice OLD Music - Gute ALTE Musik,Gene Krupa & His Orchestra,161.9ø
Sun In My Eyes,Feline,Feline,184.6ø
Shocks And Surprises,Feline,Feline,269.2ø
Property,Save Your Face,Feline,225.1ø
Play With Fire,Feline,Feline,318.7ø
Not What It Seems,Feline,Feline,289.8ø
Just As You Are,Feline,Feline,226.5ø
Fantasy World,Feline,Feline,250.9ø
Can't Help Myself,Feline,Feline,296.6ø
Ninety-Seven Stars,Ninety-Seven Stars,Quazar,408.1ø
Katzen bei Nacht,Augenblicke,Petra Zieger,200.5ø
A Dime At A Time,Girl On The Billboard,Del Reeves,109.4ø
Matiagua,Los Duros De La Salsa,Joe Arroyo Y La Verdad,241.7ø
Fuego En Mi Mente,Greatest Salsa Classics Of Colombia - Vol. 2,Joe Arroyo Y La Verdad,218.8ø
Veronica,All Systems Go,Honeyrider,244.6ø
Turn Me On,All Systems Go,Honeyrider,102.0ø
The Subterraneans,All Systems Go,Honeyrider,107.5ø
Superstar Love Machine,All Systems Go,Honeyrider,107.4ø
Summertime Action Girls,All Systems Go!,Honeyrider,140.4ø
Summer's Almost Gone,All Systems Go,Honeyrider,134.2ø
She Gets Around,All Systems Go,Honeyrider,170.3ø
Radio Heatwave,All Systems Go,Honeyrider,125.8ø
Lovesick,All Systems Go,Honeyrider,107.9ø
Galaxy Girl,All Systems Go,Honeyrider,131.4ø
Endless Summer,All Systems Go,Honeyrider,107.4ø
Drugstore Shoot-Out,All Systems Go,Honeyrider,136.2ø
Bikini Meltdown,All Systems Go!,Honeyrider,121.4ø
Dustbuster,Valis II - Everything Must Go,The Shining Path,144.5ø
Murderous,Big Shiny Spears,Iron Lung Corp,240.3ø
Battle Of New Orleans,Country Cream Volume 1,Tex Williams,135.8ø
Atlanta Bounce,Atlanta Bounce,Piano Red,178.7ø
Verdammt,Die DT 64 Story Vol. 10,Wolfgang Ziegler,353.3ø
Scratch,Further Mutations,Ganger,334.9ø
Incident on the Couch,When the Funk Hits the Fan,Sylk 130,63.7ø
Shortchange,Straight Around,Agents of Good Roots,428.3ø
Lucky One,Straight Around,Agents of Good Roots,237.2ø
We've Been Had Again,We've Been Had Again,Huffamoose,189.0ø
Wait,We've Been Had Again,Huffamoose,227.9ø
Take You With,We've Been Had Again,Huffamoose,136.6ø
Such a Good Look,We've Been Had Again,Huffamoose,183.3ø
Speeding Bullet,We've Been Had Again,Huffamoose,277.6ø
Snapshot Family,We've Been Had Again,Huffamoose,237.0ø
Shattered,We've Been Had Again,Huffamoose,218.1ø
