Afghan Woman,Genesis,Marc Bolan,108.8ø
Let It Snow_ Let It Snow_ Let It Snow,Christmas Album,Herb Alpert And The Tijuana Brass,225.3ø
Las Mananitas,Christmas Album,Herb Alpert And The Tijuana Brass,179.6ø
Cabaret,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,162.9ø
Belz Mein Shtetele Belz (My Home Town),The Beat Of The Brass,Herb Alpert And The Tijuana Brass,136.1ø
A Beautiful Friend,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,198.8ø
Only Love Can Break A Heart,Pop Masters: I Say A Little Prayer For You,Dionne Warwick,166.6ø
Do You Know The Way To San Jose,My Friends & Me,Dionne Warwick | Celia Cruz,346.8ø
To Give [The Reason I Live],Timeless,Frankie Valli,202.4ø
Sunny,Timeless,Frankie Valli,226.7ø
Make The Music Play,Timeless,Frankie Valli,206.7ø
For All We Know,Timeless,Frankie Valli,137.5ø
You Always Stand In My Way,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,236.7ø
Valley Of Sadness,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,194.2ø
The Shepherd And The Moon,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,184.2ø
The Grass Is No Green,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,367.4ø
Rain And Tears,Total Drivetime,Aphrodite's Child,191.5ø
End Of The World,Best Of,Aphrodite's Child,196.3ø
Don't Try To Catch A River,Best Of,Aphrodite's Child,221.6ø
Day Of The Fool,Babylon The Great - An Introduction to Aphrodite's Child,Aphrodite's Child,358.3ø
Ode To Billy Joe,Mambo Sangria,Cal Tjader,186.0ø
Spoken Word / Lazy Sunday / Spoken Word,Ogdens' Nut Gone Flake,Small Faces,285.6ø
Happiness Stan,Ogdens' Nut Gone Flake,Small Faces,214.6ø
Wanting Things,Make It Easy On Yourself,Burt Bacharach,169.7ø
Knowing When To Leave,What The World Needs Now: Burt Bacharach Classics,Burt Bacharach,169.8ø
Eternelle,Brigitte Fontaine est&,Brigitte Fontaine,147.6ø
Light My Fire,Best of B.J. Thomas,B.J. THOMAS,180.9ø
Hooked On a Feeling,Blue Eyed Soul Vol. 2,B.J. THOMAS,165.7ø
An Introduction to Indian Music,Ragas_ An Introduction,Ravi Shankar,246.6ø
Without Her,Child Is Father To The Man,Blood_ Sweat & Tears,161.1ø
The Modern Adventures Of Plato_ Diogenes And Freud,Child Is Father To The Man,Blood_ Sweat & Tears,288.3ø
Somethin' Goin' On,Super Hits,Blood_ Sweat & Tears,483.6ø
So Much Love/Underture,Child Is Father To The Man,Blood_ Sweat & Tears,282.5ø
Refugee From Yuhupitz,Child Is Father To The Man,Blood_ Sweat & Tears,230.5ø
Overture,Child Is Father To The Man,Blood_ Sweat & Tears,94.1ø
My Days Are Numbered,Child Is Father To The Man,Blood_ Sweat & Tears,199.5ø
Morning Glory,Child Is Father To The Man,Blood_ Sweat & Tears,256.4ø
Meagan's Gypsy Eyes,Child Is Father To The Man,Blood_ Sweat & Tears,204.4ø
Just One Smile,Child Is Father To The Man,Blood_ Sweat & Tears,278.2ø
I Love You More Than You'll Ever Know,Child Is Father To The Man,Blood_ Sweat & Tears,354.4ø
I Can't Quit Her,Greatest Hits,Blood_ Sweat & Tears,221.8ø
House In The Country,The Best Of Blood_ Sweat & Tears: What Goes Up!,Blood_ Sweat & Tears,184.7ø
Thanks For The Memory,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,127.5ø
Sleigh Ride,Christmas Album,Herb Alpert And The Tijuana Brass,240.6ø
She Touched Me,The Beat Of The Brass,Herb Alpert And The Tijuana Brass,179.5ø
Transes Dimanche,L' Opportuniste,Jacques Dutronc,128.1ø
L'Opportuniste,L' Opportuniste,Jacques Dutronc,162.8ø
Je Suis Content,L' Opportuniste,Jacques Dutronc,146.9ø
Truck Driver,"The Very Best Of ""The Archies",The Archies,174.5ø
