Heaven In Your Eyes,Greatest Hits - The Real Thing,Loverboy,244.0ø
Dance Along The Edge,Recollection - The Best Of,Concrete Blonde,329.4ø
Cold Part Of Town,Recollection - The Best Of,Concrete Blonde,191.3ø
Beware Of Darkness,Concrete Blonde,Concrete Blonde,224.3ø
Noah's Song (Keaggy),Way Back Home,Phil Keaggy,241.8ø
50th_ The,Way Back Home,Phil Keaggy,561.2ø
Bambu Forest,Oh_ Yeah?,Jan Hammer,324.0ø
American Women,Rembrandt Pussyhorse,Butthole Surfers,332.3ø
Screaming At The Moon,Living All Alone + Prime Of My Life,Phyllis Hyman,252.7ø
Old Friend,Living All Alone + Prime Of My Life,Phyllis Hyman,294.5ø
Living All Alone,Living All Alone + Prime Of My Life,Phyllis Hyman,313.3ø
If You Want Me,Living All Alone + Prime Of My Life,Phyllis Hyman,262.1ø
First Time Together,Living All Alone + Prime Of My Life,Phyllis Hyman,245.7ø
Look Around,Just Like The First Time,Freddie Jackson,304.9ø
Just Like The First Time,Just Like The First Time,Freddie Jackson,238.3ø
Janay,Just Like The First Time,Freddie Jackson,298.1ø
Jam Tonight,Freddie Jackson Love Songs,Freddie Jackson,268.8ø
I Don't Want To Lose Your Love,Anthology,Freddie Jackson,279.8ø
I Can't Let You Go,Just Like The First Time,Freddie Jackson,290.7ø
Have You Ever Loved Somebody,Anthology,Freddie Jackson,277.8ø
You Never Know (2001 Digital Remaster),Something To Talk About,Anne Murray,190.5ø
Who's Leaving Who (2001 Digital Remaster),Something To Talk About,Anne Murray,220.7ø
Reach For Me (2001 Digital Remaster),Something To Talk About,Anne Murray,233.9ø
On And On (2001 Digital Remaster),Something To Talk About,Anne Murray,243.4ø
My Life's A Dance (2001 Digital Remaster),Something To Talk About,Anne Murray,263.3ø
Heartaches (2001 Digital Remaster),Something To Talk About,Anne Murray,232.9ø
Gotcha (2001 Digital Remaster),Something To Talk About,Anne Murray,202.1ø
Call Us Fools (2001 Digital Remaster),Something To Talk About,Anne Murray,231.7ø
Message To Michael,My Friends & Me,Dionne Warwick | Cyndi Lauper,179.2ø
Caruso,James Last Live In Europe 2004,Lucio Dalla,252.7ø
V. Thirteen,The Best Of,Big Audio Dynamite,279.0ø
Ticket,No. 10_ Upping St.,Big Audio Dynamite,207.7ø
This Is Big Audio Dynamite,This Is Big Audio Dynamite,Big Audio Dynamite,220.5ø
The Big V,No. 10_ Upping St.,Big Audio Dynamite,288.3ø
Sambadrome,No. 10_ Upping St.,Big Audio Dynamite,290.4ø
Limbo The Law,No. 10_ Upping St.,Big Audio Dynamite,285.4ø
Ice Cool Killer,No. 10_ Upping St.,Big Audio Dynamite,334.4ø
Hollywood Boulevard,No. 10_ Upping St.,Big Audio Dynamite,236.7ø
Dial A Hitman,No. 10_ Upping St.,Big Audio Dynamite,303.6ø
C'mon Every Beatbox,No. 10_ Upping St.,Big Audio Dynamite,327.8ø
Beyond The Pale,No. 10_ Upping St.,Big Audio Dynamite,281.0ø
Badrock City,No. 10_ Upping St.,Big Audio Dynamite,424.2ø
Voices Carry,Another Wasted Night,Gang Green,213.9ø
Last Chance,Another Wasted Night,Gang Green,136.0ø
Hate,Another Wasted Night,Gang Green,67.4ø
Another Wasted Night,Another Wasted Night,Gang Green,150.2ø
19th Hole,Another Wasted Night,Gang Green,182.9ø
Maniac Forces,Best Case Scenario: 25 Years In Beers,Tankard,258.1ø
(Empty) Tankard,Best Case Scenario: 25 Years In Beers,Tankard,300.3ø
T.V. Caliente,Obras Cumbres,SUMO,278.8ø
Rollando,Llegando Los Monos,SUMO,308.0ø
Que Me Pisen,Llegando Los Monos,SUMO,260.7ø
Nextweek,Llegando Los Monos,SUMO,194.8ø
Llegando Los Monos (Reprise),Llegando Los Monos,SUMO,58.2ø
Llegando Los Monos,Llegando Los Monos,SUMO,35.6ø
Where The Tarantula Lives (Album Version),Eat Your Paisley,The Dead Milkmen,163.8ø
World Party,Private Revolution,World Party,278.5ø
The Ballad of the Little Man,Private Revolution,World Party,302.2ø
Ship Of Fools,Private Revolution,World Party,268.1ø
Private Revolution,Private Revolution,World Party,243.4ø
Making Love (To the World),Private Revolution,World Party,149.5ø
It's All Mine,Private Revolution,World Party,332.4ø
It Can Be Beautiful (Sometimes),Private Revolution,World Party,179.4ø
Dance of the Hoppy Lads,Private Revolution,World Party,47.6ø
All I Really Want To Do,Private Revolution,World Party,283.5ø
All Come True,Private Revolution,World Party,351.3ø
Sonata XIII,Sonatas And Interludes For Prepared Piano,John Cage,234.0ø
Sonata XII,Sonatas And Interludes For Prepared Piano,John Cage,133.3ø
Sonata X,Sonatas And Interludes For Prepared Piano,John Cage,178.1ø
Sonata VIII,Sonatas And Interludes For Prepared Piano,John Cage,164.8ø
Sonata VI,Sonatas And Interludes For Prepared Piano,John Cage,138.3ø
Sonata IX,Sonatas And Interludes For Prepared Piano,John Cage,268.2ø
Sonata III,Sonatas And Interludes For Prepared Piano,John Cage,132.7ø
Sonata II,Sonatas And Interludes For Prepared Piano,John Cage,116.7ø
Sonata I,Sonatas And Interludes For Prepared Piano,John Cage,138.5ø
First Interlude,Sonatas And Interludes For Prepared Piano,John Cage,230.5ø
Sea King,Live Chronicles,Hawkwind,240.7ø
Night of the Hawks,Spirit of the Age - An Anthology 1976-1984,Hawkwind,304.3ø
Narration,Live Chronicles,Hawkwind,92.8ø
Dragons & Fables,Live Chronicles,Hawkwind,269.6ø
Ain't That Just Like A Woman,Let The Good Times Roll:  The Music Of Louis Jordan,B.B. King,210.9ø
Wake Up To Love,Solitude / Solitaire,Peter Cetera,271.2ø
The Next Time I Fall,Solitude / Solitaire,Peter Cetera with Amy Grant,226.0ø
Solitude/Solitaire,Solitude / Solitaire,Peter Cetera,299.6ø
Queen Of The Masquerade Ball,Solitude / Solitaire,Peter Cetera,233.7ø
Only Love Knows Why,Solitude / Solitaire,Peter Cetera,271.0ø
Daddy's Girl,Solitude / Solitaire,Peter Cetera,226.2ø
Big Mistake,Solitude / Solitaire,Peter Cetera,342.6ø
ZZ Top Goes To Egypt,II & III,Camper Van Beethoven,187.5ø
We Saw Jerry's Daughter,Camper Van Beethoven,Camper Van Beethoven,129.8ø
Still Wishing To Course,Camper Van Beethoven,Camper Van Beethoven,230.9ø
Stairway To Heaven (sic),Camper Van Beethoven,Camper Van Beethoven,152.4ø
Lulu Land,Camper Van Beethoven,Camper Van Beethoven,175.3ø
Love the Witch (Camper Van Beethoven Version),Camper Van Beethoven,Camper Van Beethoven,162.0ø
Interstellar Overdrive,Camper Van Beethoven,Camper Van Beethoven,465.1ø
Hoe Yourself Down,Camper Van Beethoven,Camper Van Beethoven,134.8ø
Goleta,II & III,Camper Van Beethoven,81.2ø
Five Sticks,Camper Van Beethoven,Camper Van Beethoven,97.5ø
Cowboys From Hollywood,II & III,Camper Van Beethoven,103.3ø
Circles,Popular Songs Of Great Enduring Strength And Beauty,Camper Van Beethoven,172.1ø
(We're A) Bad Trip,II & III,Camper Van Beethoven,152.8ø
I Just Can't Help Believing,Karaoke: 70's Lovin' - Singing to the Hits,B.J. THOMAS,182.2ø
Time Is Money (Bastard),Redefining The Prologue,Swans,375.8ø
Blackmail,Feel Good Now,Swans,310.0ø
Who'll Stop The Rain (12'' Extended Version),Endless,Heaven 17,367.2ø
We Live So Fast (12'' Extended Version),Endless,Heaven 17,368.0ø
Trouble,Best Of Heaven 17,Heaven 17,243.4ø
Let Me Go (12'' Extended Version),Endless,Heaven 17,407.4ø
Heaven 17 Megamix,Endless,Heaven 17,469.6ø
And That's No Lie (Remixed To Enhance Its' Danceability),Endless,Heaven 17,360.1ø
What A Difference A Day Made,Gold,Dinah Washington,148.3ø
Built For The Future,React,The Fixx,245.8ø
Velvet Belly,Filigree And Shadow,This Mortal Coil,79.9ø
The Jeweller,Filigree And Shadow,This Mortal Coil,195.9ø
The Horizon Bleeds And Sucks Its Thumb,Filigree And Shadow,This Mortal Coil,161.6ø
Strength Of Strings,Filigree And Shadow,This Mortal Coil,269.5ø
Red Rain,Filigree And Shadow,This Mortal Coil,234.4ø
My Father,Filigree And Shadow,This Mortal Coil,358.6ø
Morning Glory,Filigree And Shadow,This Mortal Coil,177.3ø
Meniscus,Filigree And Shadow,This Mortal Coil,148.5ø
Ivy And Neet,Filigree And Shadow,This Mortal Coil,286.4ø
I Want To Live,Filigree And Shadow,This Mortal Coil,245.4ø
I Must Have Been Blind,Filigree And Shadow,This Mortal Coil,196.1ø
Drugs,Filigree And Shadow,This Mortal Coil,182.0ø
Come Here My Love,Filigree And Shadow,This Mortal Coil,219.0ø
Alone,Filigree And Shadow,This Mortal Coil,246.2ø
A Heart Of Glass,Filigree And Shadow,This Mortal Coil,214.2ø
Work Together,Totally Oppressed,The Oppressed,176.1ø
Victims,Totally Oppressed,The Oppressed,157.3ø
Un caso social,Me huele a matrimonio,Grupo Niche,333.4ø
Tongolele,Me huele a matrimonio,Grupo Niche,292.9ø
Para mi negra un son,Me huele a matrimonio,Grupo Niche,319.7ø
La trampa,Me huele a matrimonio,Grupo Niche,334.0ø
La rata chillona,Me huele a matrimonio,Grupo Niche,274.1ø
Bendita seas,Me huele a matrimonio,Grupo Niche,279.6ø
No Time (Album Version),Revenge,T.S.O.L.,159.1ø
Psychotic Reaction,American Garage Rock Scene,Count Five,202.6ø
I'm A Ho,Greatest Hits,Whodini,244.6ø
Funky Beat,The Collection,Whodini,303.6ø
Fugitive,The Collection,Whodini,366.6ø
Western Alliance  (LP Version),The Dark,Metal Church,200.5ø
Watch The Children Pray  (LP Version),The Dark,Metal Church,355.4ø
Ton of Bricks  (LP Version),The Dark,Metal Church,179.6ø
The Dark  (LP Version),The Dark,Metal Church,252.2ø
Start The Fire  (LP Version),The Dark,Metal Church,225.7ø
Psycho (LP Version),The Dark,Metal Church,214.6ø
Over My Dead Body  (LP Version),The Dark,Metal Church,213.8ø
Method To My Madness  (LP Version),The Dark,Metal Church,297.2ø
Line of Death  (LP Version),The Dark,Metal Church,283.9ø
Burial At Sea  (LP Version),The Dark,Metal Church,300.2ø
The Wrath Of Tain,Royal Garden Blues,Branford Marsalis,536.9ø
Swingin' At The Haven,Royal Garden Blues,Branford Marsalis,311.6ø
Shadows,Royal Garden Blues,Branford Marsalis,569.0ø
Emanon,Royal Garden Blues,Branford Marsalis,443.4ø
Love Is The Hero,The Best of Billy Squier/16 Strokes,Billy Squier,286.8ø
Who's Sorry Now,Connie Francis,Connie Francis,131.2ø
Vacation,Rock N' Roll Legends,Connie Francis,144.0ø
Many Tears Ago,Connie Francis,Connie Francis,115.8ø
Lipstick On Your Collar,An Introduction To Connie Francis Vol 1,Connie Francis,139.8ø
If I Didn't Care,Gold,Connie Francis,158.4ø
Frankie,All By Myself,Connie Francis,156.4ø
Follow The Boys,All By Myself,Connie Francis,166.3ø
Everybody's Somebody's Fool,All By Myself,Connie Francis,166.0ø
Among My Souvenirs,On Guard With Connie Francis,Connie Francis_ Bob Crosby and the Bobcats,175.7ø
Solo Creo Lo Que Veo,No Es Pecado -Remasters,Alaska Y Dinarama,231.4ø
No Es Pecado,No Es Pecado -Remasters,Alaska Y Dinarama,250.7ø
La Voz Humana,No Es Pecado -Remasters,Alaska Y Dinarama,272.0ø
El Fin Del Mundo,No Es Pecado -Remasters,Alaska Y Dinarama,237.6ø
Valley Of The Dolls,Awaken The Guardian  (Expanded Edition),Fates Warning,320.2ø
The Sorceress,Awaken The Guardian,Fates Warning,343.5ø
Prelude to Ruin,Still Life,Fates Warning,218.7ø
Giant's Lore (Heart Of Winter),Awaken The Guardian  (Expanded Edition),Fates Warning,358.0ø
Exodus,Awaken The Guardian,Fates Warning,511.7ø
Yellow Felow (LP Version),Rossiter Road,Ahmad Jamal,379.1ø
Autumn Rain (LP Version),Rossiter Road,Ahmad Jamal,330.4ø
Det Regn Som Faller,Utanfor Lagen,Eldkvarn,327.7ø
Severina,The Mission At The BBC,The Mission,235.9ø
Sacrilege,The Mission At The BBC,The Mission,294.4ø
Like A Hurricane,The First Chapter,The Mission,426.9ø
Garden Of Delight,The First Chapter,The Mission,300.9ø
Down to the Moon,The Magical Journeys of Andreas Vollenweider,Andreas Vollenweider,161.3ø
Zanzibar Breeze,POWER PLAY,Billy Cobham,292.3ø
Schmagofatz,POWER PLAY,Billy Cobham,375.4ø
Desiccated Coconuts,POWER PLAY,Billy Cobham,267.3ø
A Light Shines In Your Eyes,POWER PLAY,Billy Cobham,361.6ø
Blood Brother,God's Own Medicine,The Mission,314.7ø
And The Dance Goes On,God's Own Medicine,The Mission,249.6ø
POIS MELUUN JA TUISKEESEEN,Valkoinen Kulpa,Eppu Normaali,326.6ø
Reina De Africa,Canciones,Duncan Dhu,173.0ø
No Puedo Evitar (Pensar En Ti),Canciones,Duncan Dhu,202.9ø
La Vieja Escuela,Canciones,Duncan Dhu,192.0ø
Cien Gaviotas,Cien Gaviotas Y Otros Exitos,Duncan Dhu,171.0ø
