Rosalie,American Folk Blues Festival '65,Eddie Boyd_ Buddy Guy_ Lonesome Jimmy Lee_ Freddie Below,135.1ø
Back Up In Ya!,Funkafied,MC Breed,256.8ø
B.R. Double E.D.,Funkafied,MC Breed,253.9ø
Waiting For Elvis,Dive,Dive,255.9ø
Vow,Dive,Dive,285.7ø
Ultralight Lovegun,Dive,Dive,300.8ø
Through The Pipeline,Dive,Dive,195.3ø
The Descent,Dive,Dive,296.9ø
Next To You,Dive,Dive,312.7ø
Last Train Ever,Dive,Dive,234.7ø
Drain,Dive,Dive,350.7ø
Coming On Strong,Dive,Dive,437.0ø
City Of Silent Wishes,Dive,Dive,291.0ø
Les ailes du bon Dieu,Charlie,Charlie,205.3ø
Le diner,Charlie,Charlie,216.0ø
The Crush,Hot Boxing,Magnapop,204.1ø
Slowly_ Slowly,Hot Boxing,Magnapop,217.3ø
Piece Of Cake,Hot Boxing,Magnapop,171.8ø
Leo,Hot Boxing,Magnapop,159.3ø
In The Way,Hot Boxing,Magnapop,154.0ø
Idiot Song,Hot Boxing,Magnapop,117.9ø
Here It Comes,Hot Boxing,Magnapop,170.1ø
Get It Right,Hot Boxing,Magnapop,114.9ø
Free Mud,Hot Boxing,Magnapop,122.2ø
Emergencies,Hot Boxing,Magnapop,242.9ø
Jezebel,Thank You Edith! (Tribute to Edith Piaf),Ann Wilson,313.8ø
Toy Tambourine,Fireworks & Other Singles,Aberdeen,204.3ø
Fran,Fireworks & Other Singles,Aberdeen,177.3ø
Why Not Your Baby,Teenage Symphonies To God,Velvet Crush,288.3ø
Weird Summer,Teenage Symphonies To God,Velvet Crush,233.5ø
TIME WRAPS AROUND YOU,Teenage Symphonies To God,Velvet Crush,254.7ø
This Life Is Killing Me,Teenage Symphonies To God,Velvet Crush,171.5ø
Star Trip,Teenage Symphonies To God,Velvet Crush,258.1ø
Something's Gotta Give,Teenage Symphonies To God,Velvet Crush,352.0ø
My Blank Pages,Teenage Symphonies To God,Velvet Crush,210.6ø
Keep On Lingerin',Teenage Symphonies To God,Velvet Crush,149.7ø
Hold Me Up,Teenage Symphonies To God,Velvet Crush,181.0ø
Faster Days,Teenage Symphonies To God,Velvet Crush,277.6ø
Atmosphere,Teenage Symphonies To God,Velvet Crush,234.0ø
#10,Teenage Symphonies To God,Velvet Crush,143.2ø
Shut Up,Pawn Shop Guitars,Gilby Clarke,238.4ø
Pawnshop Guitars,Pawn Shop Guitars,Gilby Clarke,214.5ø
Johanna's Chopper,Pawn Shop Guitars,Gilby Clarke,247.1ø
Jail Guitar Doors,Pawn Shop Guitars,Gilby Clarke,190.2ø
Hunting Dogs,Pawn Shop Guitars,Gilby Clarke,195.3ø
Black,99 Live,Gilby Clarke,308.0ø
Trauma,Manipulated Mindcontrol,Placebo Effect,87.2ø
Tears For The Broken Rainbow,Manipulated Mindcontrol,Placebo Effect,244.5ø
Rough Vibes,Manipulated Mindcontrol,Placebo Effect,223.7ø
Placebo,Manipulated Mindcontrol,Placebo Effect,98.0ø
No Man's Land,Manipulated Mindcontrol,Placebo Effect,226.7ø
Last Walk (Through My Life),Manipulated Mindcontrol,Placebo Effect,261.5ø
Instrumental Vibes,Manipulated Mindcontrol,Placebo Effect,205.2ø
I Don't Care?,Manipulated Mindcontrol,Placebo Effect,214.7ø
Eye On The Past,Manipulated Mindcontrol,Placebo Effect,208.8ø
Digital Transmit,Manipulated Mindcontrol,Placebo Effect,238.9ø
Aura,Manipulated Mindcontrol,Placebo Effect,83.0ø
Sacred,Powerstrip,The Nomads,239.9ø
In The Doghouse,Powerstrip,The Nomads,198.6ø
(I'm) Out Of It,Powerstrip,The Nomads,170.3ø
Youth Problem,What Was Music?,Harry Pussy,119.2ø
Showroom Dummies,What Was Music?,Harry Pussy,212.7ø
Pussy Control,What Was Music?,Harry Pussy,131.1ø
I Don't Care About Sleep Anymore,What Was Music?,Harry Pussy,273.9ø
You R Loved  (LP Version),Loose,Victoria Williams,264.3ø
Waterfall  (LP Version),Loose,Victoria Williams,190.6ø
Sunshine Country  (LP Version),Loose,Victoria Williams,225.8ø
Psalms  (LP Version),Loose,Victoria Williams,200.2ø
Polish Those Shoes  (LP Version),Loose,Victoria Williams,307.0ø
Nature's Way  (LP Version),Loose,Victoria Williams,144.3ø
My Ally  (LP Version),Loose,Victoria Williams,213.1ø
Love  (LP Version),Loose,Victoria Williams,225.9ø
Hitchhiker's Smile  (LP Version),Loose,Victoria Williams,273.0ø
Harry Went To Heaven (LP Version),Loose,Victoria Williams,169.1ø
Century Plant (LP Version),Loose,Victoria Williams,290.1ø
Zulu Joe,Destination Demoland,King Kurt,180.3ø
Fleshfeast,Effortless Regurgitation...the Torture Sessions,Regurgitate,65.3ø
Two Steppin Monkey,Necktie Second,Pete Droge,270.8ø
Sunspot Stopwatch,Necktie Second,Pete Droge,261.3ø
Straylin Street,Necktie Second,Pete Droge,279.6ø
So I Am Over You,Necktie Second,Pete Droge,295.5ø
Northern Bound Train,Necktie Second,Pete Droge,287.6ø
If You Don't Love Me (I'll Kill Myself),Necktie Second,Pete Droge,214.0ø
Hardest Thing To Do,Necktie Second,Pete Droge,326.8ø
Hampton Inn Room 306,Necktie Second,Pete Droge,207.1ø
Fourth Of July,Necktie Second,Pete Droge,364.2ø
Faith In You,Necktie Second,Pete Droge,332.3ø
Dog On A Chain,Necktie Second,Pete Droge,273.5ø
See The Cheetah (At The Hangout),The Zontar Sessions,The Woggles,192.2ø
Kudzu Creep,The Zontar Sessions,The Woggles,207.8ø
King Of Kicks,The Zontar Sessions,The Woggles,142.1ø
I'm Gonna Make You Mine,The Zontar Sessions,The Woggles,148.6ø
Hi Hi Pretty Girl,The Zontar Sessions,The Woggles,138.1ø
The Times They Are A Changin',No Cause For Concern,Vice Squad,118.0ø
Get Your Hands Off My Man (The Big Dub),Get Your Hands Off My Man,Junior Vasquez,369.8ø
Get Your Hands Off My Man (Nush 8 AM Dub),Get Your Hands Off My Man,Junior Vasquez,417.5ø
Get Your Hands Off My Man (Junior's Wedding March),Get Your Hands Off My Man,Junior Vasquez,396.5ø
Get Your Hands Off My Man (Dubstrumental),Get Your Hands Off My Man,Junior Vasquez,374.3ø
Get Your Hands Off My Man,Original Hits - Dance,Junior Vasquez,185.1ø
Jaw,Radio Bootleg For The Restless Masses,Tree,180.8ø
Why Have You Come Back,I Hope Your Heart Is Not Brittle,Portastatic,138.6ø
Weird Time,I Hope Your Heart Is Not Brittle,Portastatic,166.0ø
Tree Killer,I Hope Your Heart Is Not Brittle,Portastatic,84.6ø
The Main Thing,I Hope Your Heart Is Not Brittle,Portastatic,250.0ø
Silver Screw,I Hope Your Heart Is Not Brittle,Portastatic,251.6ø
Receiver,I Hope Your Heart Is Not Brittle,Portastatic,224.1ø
Polaroid,I Hope Your Heart Is Not Brittle,Portastatic,261.7ø
Naked Pilseners,I Hope Your Heart Is Not Brittle,Portastatic,312.6ø
Mute2,I Hope Your Heart Is Not Brittle,Portastatic,133.7ø
Memphis,I Hope Your Heart Is Not Brittle,Portastatic,146.8ø
Had,I Hope Your Heart Is Not Brittle,Portastatic,200.3ø
Gutter,I Hope Your Heart Is Not Brittle,Portastatic,201.0ø
Creeping Around,I Hope Your Heart Is Not Brittle,Portastatic,200.7ø
Beer and Chocolate Bars,I Hope Your Heart Is Not Brittle,Portastatic,199.2ø
I Got Your Number,The Zontar Sessions,The Woggles,122.3ø
On the Rise,Face The Music,Walter Trout,373.1ø
The Party Has Begun,Don't Stop The Rock,Freestyle,393.1ø
Johnny Heartbreak,Adios Amigo: A Tribute to Arthur Alexander,Corey Glover,173.2ø
Every Day I Have The Blues,Count Basie Swings - Joe Williams Sings,Count Basie | Joe Williams,326.2ø
We Are Different,The Complete Anthem Collection 1992 - 2007,Members Of Mayday,201.3ø
Enter The Arena,The Complete Anthem Collection 1992 - 2007,Members Of Mayday,190.5ø
