Straight No Chaser,The Return Of Tal Farlow/1969,Tal Farlow,381.9ø
Murder In The Dark,Thanksgiving,Boo Hewerdine,306.9ø
Hope Is A Name,Thanksgiving,Boo Hewerdine,191.9ø
Homesick Son,Thanksgiving,Boo Hewerdine,178.7ø
Footsteps Fall,Greetings From Song Island_ Vol. 1,Various Artists-Samso Records,184.5ø
Bell_ Book & Candle,Thanksgiving,Boo Hewerdine,201.9ø
A Long Winter,Thanksgiving,Boo Hewerdine,190.7ø
'Our Boy',Thanksgiving,Boo Hewerdine,119.8ø
Zapping,Plasma,Blasted Mechanism,263.2ø
The art of fitting,Plasma,Blasted Mechanism,205.3ø
Spasm,Plasma,Blasted Mechanism,300.9ø
Oh Landou,Plasma,Blasted Mechanism,249.4ø
Nazka,Plasma,Blasted Mechanism,220.0ø
Mahdathai,Plasma,Blasted Mechanism,301.5ø
Karkow,Plasma,Blasted Mechanism,253.3ø
Connection,Plasma,Blasted Mechanism,251.2ø
Blue Mood,Plasma,Blasted Mechanism,218.9ø
18 Strings,Plasma,Blasted Mechanism,232.8ø
Spring Of Wonder,The Sculpture,Sculpture,240.4ø
Over,The Sculpture,Sculpture,253.1ø
I'm Free,The Sculpture,Sculpture,316.8ø
I Never Know,The Sculpture,Sculpture,302.2ø
Heaven Died,The Sculpture,Sculpture,249.3ø
Down The Ages,The Sculpture,Sculpture,218.4ø
Deniers,The Sculpture,Sculpture,277.0ø
Bring Me Down,The Sculpture,Sculpture,276.5ø
What Sorry Could Be,Moontraveler,Aaron Sprinkle,268.2ø
Not All Bad,Moontraveler,Aaron Sprinkle,205.2ø
Motor Cars,Moontraveler,Aaron Sprinkle,256.0ø
Mae,Moontraveler,Aaron Sprinkle,250.0ø
I Wish I Were You,Moontraveler,Aaron Sprinkle,186.5ø
Antennae's Wife,Moontraveler,Aaron Sprinkle,205.9ø
All In A Day's Work,Moontraveler,Aaron Sprinkle,301.5ø
A Step Ahead,Moontraveler,Aaron Sprinkle,223.7ø
Eat Me Alive,On Your Knees: The Tribute to Judas Priest,Angel Corpse,214.4ø
Y?,Classic 220,2nd II None,259.9ø
Whateva U Want,Classic 220,2nd II None Featuring AMG & James DeBarge,244.9ø
Up 'N Da Club,Classic 220,2nd II None Feat. AMG & DJ Quick,256.3ø
Stragglaz,Classic 220,2nd II None,279.7ø
Princess,Classic 220,2nd II None Featuring James DeBarge,259.5ø
Pawdy,Classic 220,2nd II None Featuring Playa Hamm,274.7ø
Make 'Em Understand,Classic 220,2nd II None Featuring Mausberg,271.0ø
Love U,Classic 220,2nd II None,214.1ø
If U Ain't F#!*@in',Classic 220,2nd II None,283.8ø
Got A Nu Woman,Classic 220,2nd II None Featuring AMG_ Hi-C_ DJ Quik & Playa Hamm,529.7ø
Don't U Hide It,Classic 220,2nd II None,319.7ø
Don't Do Dat,Classic 220,2nd II None,277.5ø
Back Up Off The Wall,Classic 220,2nd II None,367.9ø
Ain't Nothin' Wrong,2nd II None,2nd II None,199.6ø
Christmas (Baby Please Come Home),A Freestyle Christmas,Brenda K. Starr,259.9ø
Yo Quiero Encontrarme Contigo,Back To The Future,Willie Rosario,287.1ø
Un Tipo Como Yo,Back To The Future,Willie Rosario,281.4ø
Satin Lace,Back To The Future,Willie Rosario,336.5ø
Que Siga El Afinque,Back To The Future,Willie Rosario,279.3ø
Que Pasa Contigo,Back To The Future,Willie Rosario,292.0ø
No More Blues,Back To The Future,Willie Rosario,331.8ø
Medley: Cuando Estoy Contigo / En Cada Beso,Back To The Future,Willie Rosario,264.4ø
La Bomba,Back To The Future,Willie Rosario,272.7ø
Juntos De Nuevo,Back To The Future,Willie Rosario,285.5ø
Busco Olvidarte,Back To The Future,Willie Rosario,274.9ø
Tu Rostro,Barbarossaplatz,Dr. Calypso,259.9ø
Tribut a Tommy Mccook,The Best Of....,Dr. Calypso,275.7ø
The Modern Despot,Barbarossaplatz,Dr. Calypso,222.6ø
She,Barbarossaplatz,Dr. Calypso,222.3ø
Princep Blau,Barbarossaplatz,Dr. Calypso,273.5ø
Por Favor,Barbarossaplatz,Dr. Calypso,280.3ø
Ignorancia Altiva,Barbarossaplatz,Dr. Calypso,257.5ø
El Vell Joe,Barbarossaplatz,Dr. Calypso,307.7ø
Curt Circuit Neuronal,Barbarossaplatz,Dr. Calypso,176.4ø
Brigadistes internacionals,The Best Of....,Dr. Calypso,220.5ø
Born to be alive,The Best Of....,Dr. Calypso,203.9ø
Barbarossaplatz,Barbarossaplatz,Dr. Calypso,184.3ø
Bob,Gab`s Gift,Gabriel Le Mar,370.7ø
Destination Zululand (Live),Live And Rockin,King Kurt,235.1ø
She Gone,Everyone Falls In Love,Tanto Metro & Devonte,194.9ø
Love You Forever,Everyone Falls In Love,Tanto Metro & Devonte,222.3ø
Little Goodies,Everyone Falls In Love,Tanto Metro & Devonte,233.4ø
Know Your Friends,Everyone Falls In Love,Tanto Metro & Devonte,221.2ø
Jam Party (featuring Mega Banton),Everyone Falls In Love,Tanto Metro & Devonte,231.9ø
If A Hold You,Everyone Falls In Love,Tanto Metro & Devonte,227.5ø
Have You Ever Been In Love,Everyone Falls In Love,Tanto Metro & Devonte,238.8ø
Go So,Everyone Falls In Love,Tanto Metro & Devonte,212.3ø
Girlz Ready,Everyone Falls In Love,Tanto Metro & Devonte,211.3ø
For All Time (featuring Beenie Man),Everyone Falls In Love,Tanto Metro & Devonte,258.6ø
Fake Name (featuring Mega Banton),Everyone Falls In Love,Tanto Metro & Devonte,211.6ø
Big Up Yu Status (featuring Mega Banton),Everyone Falls In Love,Tanto Metro & Devonte,234.4ø
Fallout,Fallout,Ground Zero,557.0ø
Wider (Album Version),In Moderation,8stops7,187.4ø
Uninspired (Album Version),In Moderation,8stops7,228.3ø
Satisfied (Album Version),In Moderation,8stops7,185.2ø
Regression (Album Version),In Moderation,8stops7,185.3ø
Question Everything (Album Version),In Moderation,8stops7,268.0ø
Not Alive (David Bianco Mix/Original Mix),In Moderation,8stops7,218.9ø
My Would-Be Savior (Album Version),In Moderation,8stops7,172.1ø
Good Enough (Album Version),In Moderation,8stops7,191.6ø
Esteem (Album Version),In Moderation,8stops7,260.2ø
Better (Album Version),In Moderation,8stops7,206.5ø
True Friends,Loud Guitars_ Big Suspicions,Shannon Curfman,209.9ø
The Weight,Loud Guitars_ Big Suspicions,Shannon Curfman,324.2ø
No Riders,Loud Guitars_ Big Suspicions,Shannon Curfman,209.9ø
Never Enough,Loud Guitars_ Big Suspicions,Shannon Curfman,227.5ø
Love Me Like That,Loud Guitars_ Big Suspicions,Shannon Curfman,200.4ø
If You Change Your Mind,Loud Guitars_ Big Suspicions,Shannon Curfman,263.1ø
I'm Coming Home,Loud Guitars_ Big Suspicions,Shannon Curfman,192.3ø
I Don't Make Promises (I Can't Break),Loud Guitars_ Big Suspicions,Shannon Curfman,235.5ø
Hard To Make A Stand,Loud Guitars_ Big Suspicions,Shannon Curfman,239.7ø
Few And Far Between,Loud Guitars_ Big Suspicions,Shannon Curfman,234.2ø
The Comin' Is Near,Revenge of the B-Boy,Blade,184.2ø
When My Baby (Radio Edit),Four Sure,Scooch,215.4ø
Syncopated Rhythm,Four Sure,Scooch,214.6ø
The Darkest Hour,O Lord How Great Thou Art!,Ricky Skaggs & Kentucky Thunder,178.2ø
Weightless Approach,The Man From Pack,I-F,339.9ø
Theme From Pack,The Man From Pack,I-F,282.0ø
The Wanderer,The Man From Pack,I-F,227.9ø
The Man From Pack (Longue),The Man From Pack,I-F,367.0ø
The Getaway Scene,The Man From Pack,I-F,262.7ø
Spysatellite Comunication Sequence,The Man From Pack,I-F,200.5ø
Secret Desire (Vox),The Man From Pack,I-F,296.9ø
Rage Of Aquarius,The Man From Pack,I-F,292.8ø
Moonbase Next To G.,The Man From Pack,I-F,262.3ø
Midnight - Connection To Mars,The Man From Pack,I-F,273.2ø
Il Tramonto,The Man From Pack,I-F,172.8ø
Floating Away In A Hole Darker Than Yours (Melvin White Remix),The Man From Pack,I-F,280.7ø
Eyes In The Sky,The Man From Pack,I-F,148.8ø
Vengo De Amor (Album Version),Salsa Dura,Jimmy Bosch,300.2ø
Speak No Evil (Album Version),Salsa Dura,Jimmy Bosch,313.8ø
Sigo Cambiando (Album Version),Salsa Dura,Jimmy Bosch,265.9ø
La Noticia (Album Version),Salsa Dura,Jimmy Bosch,253.5ø
La Cacharra (Album Version),Salsa Dura,Jimmy Bosch,297.2ø
Impacto Tendremos (Album Version),Salsa Dura,Jimmy Bosch,203.0ø
Canta Mi Mozambique (Album Version),Salsa Dura,Jimmy Bosch,344.2ø
Olga's Birthday,Dragersville,Rose Polenzani,271.5ø
Tu sabes,Frankattack,FRANK T,238.2ø
Tu quien eres,Frankattack,FRANK T,262.3ø
Tonto,Frankattack,FRANK T,260.3ø
Nuevo ser,Frankattack,FRANK T,218.0ø
Nsombolay,Frankattack,FRANK T,272.7ø
No os dejan entrar,Frankattack,FRANK T,280.9ø
Funky b.boys niggis,Frankattack,FRANK T,265.5ø
Control de la palabra,Frankattack,FRANK T,248.2ø
28850 Paris,Frankattack,FRANK T,293.3ø
W Glowie Woda,Era Renifera,Reni Jusis,216.7ø
Uciekaj-Buzi_ Buzi,Era Renifera,Reni Jusis,192.3ø
To Lubie,Era Renifera,Reni Jusis,170.0ø
To Juz Przesada,Era Renifera,Reni Jusis,223.7ø
Spiew SyReni,Era Renifera,Reni Jusis,81.0ø
Przepraszam Bardzo,Era Renifera,Reni Jusis,206.4ø
Peace & Love,Era Renifera,Reni Jusis,91.4ø
Oda Do Telewizora,Era Renifera,Reni Jusis,213.5ø
Miej Oczy Otwarte,Era Renifera,Reni Jusis,310.0ø
Konstytucje,Era Renifera,Reni Jusis,218.3ø
Komunikat,Era Renifera,Reni Jusis,31.7ø
Kombinacje,Era Renifera,Reni Jusis,279.2ø
Idzie Reni,Era Renifera,Reni Jusis,33.5ø
Era Renifera,Era Renifera,Reni Jusis,234.8ø
Dreadlock Holiday,Era Renifera,Reni Jusis,348.3ø
To Moauf (The Birdwatcher Mix),Remix EP,Tarwater,239.0ø
I Can See You,The Joy of Sing-Sing,Sing-Sing,303.1ø
Sometime-O-Time,Right About Now,The Peepshows,119.2ø
Shove It,Right About Now,The Peepshows,195.4ø
Million Dollar Legs,Right About Now,The Peepshows,130.5ø
Dirty Motherfucker,Right About Now,The Peepshows,172.9ø
You're Mine,1/2 A Rock and Roll Record,Coyote Shivers,335.2ø
You Piss Me Off,1/2 A Rock and Roll Record,Coyote Shivers,99.9ø
Something Happens,1/2 A Rock and Roll Record,Coyote Shivers,150.2ø
Secretly Jealous,1/2 A Rock and Roll Record,Coyote Shivers,234.0ø
Plus One,1/2 A Rock and Roll Record,Coyote Shivers,168.2ø
The Line,Falling Forward,Willy Porter,281.2ø
Somebody Else,Falling Forward,Willy Porter,286.8ø
Sister,Falling Forward,Willy Porter,276.2ø
Road Bone,High Wire Live,Willy Porter,463.8ø
Paper Airplane,High Wire Live,Willy Porter,290.5ø
Hard,Falling Forward,Willy Porter,319.6ø
Cut The Rope,Falling Forward,Willy Porter,302.9ø
Anonymous Caller,Falling Forward,Willy Porter,313.8ø
Watch How Daddy Ball (Album Version),The Hit List,Saafir,251.4ø
Smart Bomb (Album Version),The Hit List,Saafir,169.6ø
Slip Into My Eyes (Album Version),The Hit List,Saafir,258.8ø
Runnin' Man (Album Version),The Hit List,Saafir,276.8ø
Pokerface,The Hit List,Saafir,222.7ø
Not Fa Nuthin' (Album Version),The Hit List,Saafir,257.3ø
Mask-A-Raid (Album Version),The Hit List,Saafir,276.0ø
Hit List (Album Version),The Hit List,Saafir,220.3ø
Final Thrill (Album Version),The Hit List,Saafir,254.7ø
Crawl Before You Ball (Album Version),The Hit List,Saafir,234.8ø
Bedroom Bully (Album Version),The Hit List,Saafir,212.7ø
A Dog's Master (Album Version),The Hit List,Saafir,228.7ø
6 Digits (Album Version),The Hit List,Saafir,238.9ø
25 Ta Life (Album Version),The Hit List,Saafir,179.8ø
I Wanna Do The Do,"Philadelphia International Records 12"" Singles",Bobby Rush,391.7ø
V.O.C,Our Day Will Come,Tree,177.6ø
Real,Our Day Will Come,Tree,193.6ø
Pesticide,Our Day Will Come,Tree,187.8ø
Orange Sunshine,Our Day Will Come,Tree,238.6ø
God Grows Grass,Our Day Will Come,Tree,100.9ø
Death Wish,Our Day Will Come,Tree,135.7ø
Cemetary,Our Day Will Come,Tree,219.4ø
Burning Seed,Our Day Will Come,Tree,229.9ø
Ammunition,Our Day Will Come,Tree,199.6ø
All Of Us,Our Day Will Come,Tree,273.3ø
The Master Gets Busy,The Journey (era Of Bass Part 1),Magic Mike,245.8ø
The Dynamic Duo,The Journey (era Of Bass Part 1),Magic Mike,292.6ø
Testing The Equipment,The Journey (era Of Bass Part 1),Magic Mike,33.6ø
Ride Out,The Journey (era Of Bass Part 1),Magic Mike,225.5ø
Magic's Beat,The Journey (era Of Bass Part 1),Magic Mike,236.9ø
Let The Bass Go (99 Style),The Journey (era Of Bass Part 1),Magic Mike,255.4ø
Jeep Beats (Magic Style),The Journey (era Of Bass Part 1),Magic Mike,247.4ø
Get Rocked,The Journey (era Of Bass Part 1),Magic Mike,257.0ø
Damn That Bass,The Journey (era Of Bass Part 1),Magic Mike,239.6ø
Da' Jungle,The Journey (era Of Bass Part 1),Magic Mike,421.7ø
Check Out Dat Butt!,The Journey (era Of Bass Part 1),Magic Mike,307.7ø
Best Of My Love,All The Hits Plus More,Marmalade,249.0ø
No Surprize,Photograph,Jani Lane (formerly of Warrant),267.5ø
Blow Ya Mind,20 Hardhouse Classics,Lock 'N Load,385.5ø
I Must Tell Jesus,Nothing But The Hits,Virtue,262.7ø
Rocketship,Imaginate,Taxiride,220.3ø
Rachael,Imaginate,Taxiride,180.0ø
Nothing In This World,Imaginate,Taxiride,207.3ø
Let'S Spend The Night,Imaginate,Taxiride,165.7ø
Let Me Die Young,Imaginate,Taxiride,266.3ø
Ice Cream,Imaginate,Taxiride,209.7ø
"Helplessly Hoping (Bonus Track For The Movie ""A Walk On The Moon"")",Imaginate,Taxiride,141.2ø
Get Set,Imaginate,Taxiride,193.9ø
Everywhere You Go,Imaginate,Taxiride,212.1ø
Counting Down The Days,Imaginate,Taxiride,161.5ø
Can You Feel,Imaginate,Taxiride,197.6ø
72 Hr. Daze,Imaginate,Taxiride,290.9ø
Metro,Hidden Agenda,Greg Adams,246.2ø
Todo Lo Que Soy,Todo Lo Que Soy,Carlos Ponce,222.0ø
Sigues Conmigo,Todo Lo Que Soy,Carlos Ponce,241.1ø
Si Te Vas,Todo Lo Que Soy,Carlos Ponce,202.5ø
Me Muero_ Me Muero,Todo Lo Que Soy,Carlos Ponce,250.5ø
La Razon De Mi Ser,Todo Lo Que Soy,Carlos Ponce,228.9ø
Hay Algo En Ti,Todo Lo Que Soy,Carlos Ponce,243.5ø
Escuchame,Todo Lo Que Soy,Carlos Ponce,195.1ø
Dejate Querer,Todo Lo Que Soy,Carlos Ponce,233.2ø
Decir Adios,Carlos Ponce,Carlos Ponce,270.0ø
Cancion De Cuna,Todo Lo Que Soy,Carlos Ponce,200.5ø
Protocoleando,Pugliese Por Pugliese,Osvaldo Pugliese,139.9ø
Malandraca,Pugliese Por Pugliese,Osvaldo Pugliese,172.1ø
Los Mareados,From Argentina To The World,Osvaldo Pugliese,191.9ø
Don Atilio,Pugliese Por Pugliese,Osvaldo Pugliese,184.0ø
Chacabuqueando,Los No.1/Pa' Los Medicos,Osvaldo Pugliese,195.6ø
Out of Luck,House Religion (Psaume Two),Stacy Kidd,295.0ø
Satan's Blues,The Complete Motown Singles_ Volume 4: 1964,Jr. Walker & The All Stars,174.8ø
Worried Mind,Capitol Collectors Series,Ray Anthony,157.3ø
I Wish I Had,End Of Days,Stroke,394.4ø
Blue-Grey Wallpaper,The Narcoleptic Symphony,Unit,379.1ø
Soundtropolis,All In One,Members Of Mayday,411.8ø
Superstar Dog,Superstar Dog,Curtis,456.5ø
