There Ain't No Future In This,Up Close And Personal,Reba McEntire,146.2ø
Ain't That Just Like a Woman (Live),American Garage Rock Scene,Alice Cooper,161.5ø
SS-3,Divine Intervention,Slayer,246.5ø
Sex. Murder. Art,Divine Intervention,Slayer,110.9ø
Killing Fields,Divine Intervention,Slayer,237.6ø
Divine Intervention,Divine Intervention,Slayer,332.5ø
Circle Of Beliefs,Divine Intervention,Slayer,269.8ø
213,Divine Intervention,Slayer,291.8ø
Water Runs Dry,Legacy,Boyz II Men,290.2ø
Vibin',Legacy,Boyz II Men,272.3ø
Thank You,Legacy - The Greatest Hits Collection,Boyz II Men,275.6ø
On Bended Knee,Legacy,Boyz II Men,329.3ø
I'll Make Love To You,The Best Of Boyz II Men 20th Century Masters The Millennium Collection,Boyz II Men,235.8ø
Rhyme & Reason,Listener Supported,DAVE MATTHEWS BAND,358.2ø
Summertime Blues,Who I Am Bonus Track,Alan Jackson,192.5ø
Under korpens vinger,For All Tid,Dimmu Borgir,359.8ø
Over Bleknede Blaner Til Dommedag,For All Tid,Dimmu Borgir,245.3ø
Inn I Evighetens Morke/ Part 1,For All Tid,Dimmu Borgir,325.2ø
Hunnerkongens Sorgsvarte Ferd Over Steppene,For All Tid,Dimmu Borgir,202.0ø
Det nye riket,For All Tid,Dimmu Borgir,304.2ø
Den gjemte sannhets hersker,For All Tid,Dimmu Borgir,380.2ø
If I Had You,Who I Am Bonus Track,Alan Jackson,213.1ø
Hole In The Wall,Who I Am Bonus Track,Alan Jackson,213.3ø
Villanova Junction,Live at Woodstock,Jimi Hendrix,268.1ø
Git Up_ Git Out,Southernplayalisticadillacmuzik,OutKast,447.0ø
Crumblin' Erb,Southernplayalisticadillacmuzik,OutKast,309.9ø
Ain't No Thang,Big Boi & Dre Present_ Outkast,OutKast,338.6ø
Pheremone (LP Version),Come,Prince,308.3ø
Loose! (LP Version),Come,Prince,206.8ø
Letitgo (LP Version),Come,Prince,335.0ø
Shine,The Ultimate Collection,Newsboys,221.0ø
Shame On A Nuh,Wu: The Story Of The Wu-Tang Clan,Wu-Tang Clan,175.9ø
After All...,Best Of,The Cardigans,157.0ø
Pry_ To,Vitalogy,Pearl Jam,60.9ø
Corduroy,rearviewmirror (greatest hits 1991-2003),Pearl Jam,278.9ø
Orgasm (LP Version),Come,Prince,99.2ø
People Of The Sun,Live at the Grand Olympic Auditorium,Rage Against The Machine,147.8ø
Crystal Ship,Thank You,Duran Duran,169.8ø
Hear My Train A Comin' (Acoustic),Blues,Jimi Hendrix,185.9ø
Woodstock Improvisation,Live At Woodstock,Jimi Hendrix,239.8ø
Voodoo Chile Blues,Blues,Jimi Hendrix,528.1ø
Sweet Thing,Jimi Hendrix & Carlos Santana (CD 1),Jimi Hendrix,154.7ø
She's A Fox,Jimi Hendrix & The Best Rock Guitars (CD1),Jimi Hendrix,161.6ø
Mannish Boy,Blues,Jimi Hendrix,321.8ø
Gravity Grave (Live Glastonbury 93),No Come Down (B Sides & Outtakes),The Verve,563.6ø
Blue (USA Mix),No Come Down (B Sides & Outtakes),The Verve,196.0ø
Save Me,The Very Best Of 2,Nina Simone,202.3ø
Whale & Wasp,Jar of flies / Facelift / Dirt,Alice In Chains,157.0ø
No Excuses,Jar Of Flies,Alice In Chains,255.6ø
I Stay Away,The Essential Alice In Chains,Alice In Chains,254.4ø
One Love,10 Year Anniversary Illmatic Platinum Series,Nas,325.7ø
N.Y. State Of Mind,Greatest Hits,Nas,292.0ø
It Ain't Hard To Tell,Illmatic,Nas,202.1ø
As Time Goes By,The Best Of The American Songbook,Billie Holiday,195.2ø
Swing On This,Jar Of Flies,Alice In Chains,244.4ø
Rotten Apple,Jar Of Flies,Alice In Chains,420.5ø
Nutshell,Music Bank,Alice In Chains,268.3ø
Don't Follow,Jar Of Flies,Alice In Chains,262.1ø
Age Of Loneliness (Enigmatic Club Mix),The Platinum Collection,Enigma,381.9ø
Space-Dye Vest,Awake,Dream Theater,449.1ø
Lifting Shadows Off A Dream,Greatest Hit [...and 21 other pretty cool songs],Dream Theater,369.6ø
6:00,Awake,Dream Theater,331.4ø
Spying Glass,Protection,Massive Attack,321.0ø
Sly (Underdog Mix),Sly,Massive Attack,320.9ø
Sly (Cosmic Dub),Protection - The Remixes,Massive Attack,327.4ø
Sly (7'' Stones Mix),Sly,Massive Attack,360.9ø
Sly (7'' Edit),Sly,Massive Attack,253.3ø
Sly,Protection,Massive Attack,324.7ø
Protection (The Eno Mix),Protection,MASSIVE ATTACK FEATURING TRACEY THORN,552.2ø
Protection,Protection,MASSIVE ATTACK FEATURING TRACEY THORN,471.6ø
Light My Fire (Live),Protection,Massive Attack,195.6ø
Karmacoma,Protection,Massive Attack,316.5ø
Heat Miser,Protection,Massive Attack,219.1ø
Better Things,Best Of Everything But The Girl,Everything But The Girl,259.1ø
Zombie,Stars - The Best Of The Cranberries 1992 - 2002,The Cranberries,317.1ø
Twenty One,The Collection,The Cranberries,188.0ø
The Icicle Melts,Treasure Box : The Complete Sessions 1991-99,The Cranberries,178.3ø
So Cold In Ireland,Treasure Box : The Complete Sessions 1991-99,The Cranberries,289.5ø
Ridiculous Thoughts,Bualadh Bos: The Cranberries Live,The Cranberries,254.4ø
Ode To My Family,Stars - The Best Of The Cranberries 1992 - 2002,The Cranberries,265.2ø
No Need To Argue,Classic The Cranberries,The Cranberries,174.3ø
I Don't Need,Treasure Box : The Complete Sessions 1991-99,The Cranberries,216.6ø
I Can't Be With You,Treasure Box : The Complete Sessions 1991-99,The Cranberries,192.1ø
Everything I Said,Treasure Box : The Complete Sessions 1991-99,The Cranberries,237.0ø
Empty,Gold,The Cranberries,207.5ø
Dreaming My Dreams,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries,218.2ø
Daffodil Lament,Stars - The Best Of The Cranberries 1992 - 2002,The Cranberries,261.7ø
Away,No Need To Argue (The Complete Sessions 1994-1995),The Cranberries,159.9ø
(They Long To Be) Close To You,Treasure Box : The Complete Sessions 1991-99,The Cranberries,165.9ø
What It Is (AKA Nina's Song) (Demo) (),Out In L.A.,Red Hot Chili Peppers,241.9ø
Special Secret Song Inside (Live) (),Out In L.A.,Red Hot Chili Peppers,191.2ø
Police Helicopter (Demo Version) (),Out In L.A.,Red Hot Chili Peppers,72.4ø
Hollywood (Africa) (Extended Dance Mix),Out In L.A.,Red Hot Chili Peppers,392.0ø
F.U. (Live),Out In L.A.,Red Hot Chili Peppers,75.3ø
If You Want Me To Stay (Pink Mustang Mix),Out In L.A.,Red Hot Chili Peppers,423.0ø
Blues For Meister,Out In L.A.,Red Hot Chili Peppers,173.9ø
Unglued (LP Version),Purple,Stone Temple Pilots,154.0ø
Silvergun Superman (LP Version),Purple,Stone Temple Pilots,316.4ø
Meatplow (LP Version),Purple,Stone Temple Pilots,217.9ø
Lounge Fly (LP Version),Purple,Stone Temple Pilots,318.8ø
Kitchenware & Candybars (LP Version),Purple,Stone Temple Pilots,486.1ø
Army Ants (LP Version),Purple,Stone Temple Pilots,226.4ø
Pedestal,Dummy,Portishead,221.0ø
True Dat (Interlude),Southernplayalisticadillacmuzik,OutKast,76.0ø
Southernplayalisticadillacmuzik,Southernplayalisticadillacmuzik,OutKast,317.5ø
Player's Ball (Reprise),Southernplayalisticadillacmuzik,OutKast,139.9ø
Myintrotoletuknow,Southernplayalisticadillacmuzik,OutKast,160.2ø
Hootie Hoo,Southernplayalisticadillacmuzik,OutKast,238.9ø
Funky Ride,Southernplayalisticadillacmuzik,OutKast,390.5ø
Flim Flam (Interlude),Southernplayalisticadillacmuzik,OutKast,74.8ø
D.E.E.P.,Southernplayalisticadillacmuzik,OutKast,331.3ø
Claimin' True,Southernplayalisticadillacmuzik,OutKast,283.8ø
Call Of Da Wild,Southernplayalisticadillacmuzik,OutKast,366.4ø
Population Control,Another Day In Paradise,Strung Out,133.2ø
Faulter,Another Day In Paradise,Strung Out,161.8ø
Broken,Another Day In Paradise,Strung Out,130.8ø
The Forest Whispers My Name,Vempire,Cradle Of Filth,281.1ø
To Eve The Art Of Witchcraft,The Principle Of Evil Made Flesh,Cradle Of Filth,328.0ø
Summer Dying Fast,Bitter Suites to Succubi,Cradle Of Filth,321.4ø
Principle Of Evil Made Flesh,The Principle Of Evil Made Flesh,Cradle Of Filth,274.7ø
Of Mist And Midnight Skies,The Principle Of Evil Made Flesh,Cradle Of Filth,489.2ø
Iscariot,The Principle Of Evil Made Flesh,Cradle Of Filth,153.3ø
In Secret Love We Drown,The Principle Of Evil Made Flesh,Cradle Of Filth,89.3ø
Forest Whispers My Name,The Principle Of Evil Made Flesh,Cradle Of Filth,306.7ø
Darkness Our Bride [Jugular Wedding],The Principle Of Evil Made Flesh,Cradle Of Filth,120.3ø
One In A Million,Box Set,Steve Miller Band,219.7ø
All In My Lover's Eyes,Love Songs,The Isley Brothers,314.2ø
Take Our Time,Crazysexycool,TLC,274.0ø
Sumthin' Wicked This Way Comes,Crazysexycool,TLC,268.2ø
If I Was Your Girlfriend,Crazysexycool,TLC,276.7ø
Diggin' On You,The Greatest Hits Of,TLC,257.9ø
Case Of The Fake People,Crazysexycool,TLC,244.6ø
Scent Of A Mule,(Hoist),Phish,242.6ø
Dog Faced Boy,(Hoist),Phish,131.7ø
You'll Lose A Good Thing,The Queen In Waiting (The Columbia Years 1960-1965),Aretha Franklin,159.7ø
Crazy Love,1989-2002 From There To Here,Brian McKnight,243.5ø
You Wreck Me (Album Version),Wildflowers,Tom Petty,202.9ø
You Don't Know How It Feels (Album Version),Wildflowers,Tom Petty,289.4ø
Wildflowers (Album Version),Wildflowers,Tom Petty,190.3ø
Wake Up Time (Album Version),Wildflowers,Tom Petty,319.3ø
To Find A Friend (Album Version),Wildflowers,Tom Petty,203.6ø
Only A Broken Heart (Album Version),Wildflowers,Tom Petty,270.9ø
House In The Woods (Album Version),Wildflowers,Tom Petty,332.1ø
Honey Bee (Album Version),Wildflowers,Tom Petty,298.6ø
Hard On Me (Album Version),Wildflowers,Tom Petty,228.5ø
Don't Fade On Me (Album Version),Wildflowers,Tom Petty,212.2ø
Crawling Back To You (Album Version),Wildflowers,Tom Petty,305.6ø
Cabin Down Below (Album Version,Wildflowers,Tom Petty,171.2ø
A Higher Place (Album Version),Wildflowers,Tom Petty,236.2ø
Spirit In The Sky,Spirit In The Sky - Rare Sessions 1969-70,Elton John,215.3ø
Love of the Common People,Spirit In The Sky - Rare Sessions 1969-70,Elton John,149.5ø
Come and Get It,Spirit In The Sky - Rare Sessions 1969-70,Elton John,132.5ø
Use My Third Arm (LP Version),Far Beyond Driven,Pantera,291.8ø
Throes Of Rejection (LP Version),Far Beyond Driven,Pantera,301.6ø
Strength Beyond Strength (LP Version),Far Beyond Driven,Pantera,218.6ø
Slaughtered (LP Version),Far Beyond Driven,Pantera,237.0ø
Shedding Skin  (LP Version),Far Beyond Driven,Pantera,336.8ø
I'm Broken  (LP Version),Far Beyond Driven,Pantera,264.8ø
Hard Lines Sunken Cheeks (LP Version),Far Beyond Driven,Pantera,421.5ø
Good Friends And A Bottle Of Pills  (LP Version),Far Beyond Driven,Pantera,172.9ø
Becoming  (LP Version),Far Beyond Driven,Pantera,185.1ø
5 Minutes Alone (LP Version),Far Beyond Driven,Pantera,347.4ø
25 Years (LP Version),Far Beyond Driven,Pantera,365.5ø
She Loves My Automobile (LP Version),One Foot In The Blues,ZZ Top,143.2ø
Lowdown In The Street (LP Version),One Foot In The Blues,ZZ Top,169.9ø
If I Could Only Flag Her Down (LP Version),One Foot In The Blues,ZZ Top,219.9ø
Hi Fi Mama (LP Version),One Foot In The Blues,ZZ Top,144.6ø
Girl In A T-Shirt,Antenna,ZZ Top,250.7ø
Deal Goin' Down,Antenna,ZZ Top,246.7ø
Cherry Red,Antenna,ZZ Top,278.7ø
Antenna Head,Antenna,ZZ Top,283.5ø
2000 Blues (LP Version),One Foot In The Blues,ZZ Top,283.3ø
White_ Discussion,Throwing Copper,Live,366.2ø
Waitress,Throwing Copper,Live,169.0ø
Top,Throwing Copper,Live,162.2ø
T.B.D.,Throwing Copper,Live,268.9ø
Stage,Throwing Copper,Live,188.1ø
Shit Towne,Throwing Copper,Live,228.2ø
Selling The Drama,Best Of Live,Live,205.4ø
Pillar Of Davidson,Throwing Copper,Live,406.0ø
I Alone (Live),Live At The Paradiso - Amsterdam,Live,374.7ø
Horse,Throwing Copper,Live,256.9ø
All Over You,Throwing Copper,Live,239.6ø
What The Blood Clot,Tical,Method Man,204.9ø
Method Man,Tical,Method Man,196.8ø
Bring The Pain,Tical,Method Man,189.7ø
Biscuits,Tical,Method Man,169.9ø
All I Need,Tical,Method Man,196.0ø
Space Cowboy,Space Cowboy,Jamiroquai,441.0ø
Scam,Emergecy On Planet Earth/Return Of The Space Cowboy,Jamiroquai,420.7ø
Rudolph The Red-Nosed Reindeer,Christmas Album Vol. II,Neil Diamond,244.2ø
Mary's Little Boy Child,Christmas Album Volume II,Neil Diamond,180.3ø
Have Yourself A Merry Little Christmas,Christmas Album Volume II,Neil Diamond,283.4ø
Deck The Halls / We Wish You A Merry Christmas,Christmas Album Volume II,Neil Diamond,102.2ø
The Principle Of Evil Made Flesh,Bitter Suites to Succubi,Cradle Of Filth,289.6ø
One Final Graven Kiss,The Principle Of Evil Made Flesh,Cradle Of Filth,135.1ø
Crescendo Of Passion Bleeding,The Principle Of Evil Made Flesh,Cradle Of Filth,330.5ø
When We Dance,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,360.9ø
This Cowboy Song,Fields Of Gold - The Best Of Sting 1984 - 1994,Sting,300.0ø
The Lamplighter's Serenade,Love Songs,Frank Sinatra,173.7ø
I Knew You Were Waiting (For Me),Ladies And Gentlemen... The Best Of George Michael,Aretha Franklin & George Michael,238.0ø
Solitaire,If I Were A Carpenter,Sheryl Crow,284.9ø
You Tripped At Every Step,Brutal Youth,Elvis Costello,251.3ø
This Is Hell,Brutal Youth,Elvis Costello,267.1ø
Sulky Girl,Brutal Youth,Elvis Costello,306.3ø
Still Too Soon To Know,Brutal Youth,Elvis Costello,142.1ø
Rocking Horse Road,Brutal Youth,Elvis Costello,244.3ø
Pony St.,Brutal Youth,Elvis Costello,203.6ø
Clown Strike,Brutal Youth,Elvis Costello,245.3ø
13 Steps Lead Down,Brutal Youth,Elvis Costello,198.1ø
What Can I Do? (Remix),Bootlegs And B-Sides (Explicit),Ice Cube,265.6ø
Shoots and Ladders,Playlist: The Very Best Of Korn,Korn,322.4ø
Helmet in the Bush,Korn,Korn,242.7ø
Clown,Greatest Hits_ Vol. 1,Korn,277.0ø
Why Don't You Find Out For Yourself,Vauxhall And I,Morrissey,200.1ø
Used To Be A Sweet Boy,Vauxhall And I,Morrissey,168.6ø
Speedway,Vauxhall And I,Morrissey,268.7ø
Jack The Ripper (Live),Beethoven Was Deaf,Morrissey,262.4ø
You Got The Flavor,Face The Music,New Kids On The Block,289.9ø
Since You Walked Into My Life,Face The Music,New Kids On The Block;NKOTB,384.2ø
Keepin' My Fingers Crossed,Face The Music,New Kids On The Block,256.1ø
Intro: Face The Music,Face The Music,New Kids On The Block,135.2ø
I'll Be Waitin',Face The Music,New Kids On The Block,272.9ø
I Can't Believe It's Over,Face The Music,New Kids On The Block,306.4ø
Girls,Face The Music,New Kids On The Block,266.4ø
Outro,Most Known Unknown (Screwed and Chopped),Three 6 Mafia,180.5ø
Why Do All Girls Think They're Fat,Everything Sucks,Reel Big Fish,141.2ø
I Want Your Girlfriend To Be My Girlfriend Too,Everything Sucks,Reel Big Fish,196.2ø
Beer,Turn The Radio Off,Reel Big Fish,210.7ø
Easy,Live,Lionel Richie,444.9ø
Half The Man,Emergecy On Planet Earth/Return Of The Space Cowboy,Jamiroquai,287.4ø
Yeah_ Right,Without A Sound,Dinosaur Jr,167.1ø
Seemed Like The Thing To Do,Without A Sound,Dinosaur Jr,349.0ø
Over Your Shoulder,Without A Sound,Dinosaur Jr,292.4ø
Outta Hand,Without A Sound,Dinosaur Jr,300.0ø
On The Brink,Without A Sound,Dinosaur Jr,194.4ø
Mind Glow,Without A Sound,Dinosaur Jr,243.6ø
I Don't Think So (LP Version),Without A Sound,Dinosaur Jr.,216.1ø
Grab It,Without A Sound,Dinosaur Jr,212.8ø
Get Out Of This,Without A Sound,Dinosaur Jr,323.2ø
Even You,Without A Sound,Dinosaur Jr,203.5ø
Will Anything Happen,The Platinum Collection,Blondie,179.7ø
Out In The Streets,The Platinum Collection,Blondie,142.0ø
Atomic (Diddy Remix),The Platinum Collection (Digital),Blondie,242.9ø
Moonspell Rites,Demonica,Behemoth,412.2ø
Winter Wonderland,Miracles - The Holiday Album,Kenny G,181.2ø
Little Drummer Boy,Miracles - The Holiday Album,Kenny G,242.4ø
Brahms Lullaby,Miracles: The Holiday Album,Kenny G,196.1ø
Away In A Manger,Miracles: The Holiday Album,Kenny G,157.2ø
Please Be Kind,100 Hits Legends - Ella Fitzgerald,Ella Fitzgerald,212.2ø
Benny's Coming Home On Saturday,Ella Fitzgerald Story Vol. 1,Ella Fitzgerald,208.0ø
And Her Tears Flowed Like Wine,Ella Fitzgerald 1936-1950 - CD B,Ella Fitzgerald,196.1ø
