Your Cheating Heart,The Collection,Don McLean,187.4ø
Never Say Never,Kingdom Of The Night,Axxis,220.6ø
Love Is Like An Ocean,Kingdom Of The Night,Axxis,202.5ø
Kings Made Of Steel,Kingdom Of The Night,Axxis,211.5ø
Kingdom Of The Night,Kingdom Of The Night,Axxis,229.9ø
Just One Night,Kingdom Of The Night,Axxis,191.8ø
Fire And Ice,Kingdom Of The Night,Axxis,240.6ø
HIKI,Cloaca Maxima,CMX,123.6ø
Ribbon Of Darkness,The Essential Marty Robbins  1951-1982,Marty Robbins,154.2ø
Just Married,Country Roads ,Marty Robbins,129.7ø
Begging To You,Marty Robbins  - 16 Biggest Hits,Marty Robbins,155.5ø
Waiting In My Dreams,The Best of Mr. Mister,Mr. Mister,295.6ø
The Flight,The Abyss,Alan Silvestri,106.7ø
Sub Battle,The Abyss,Alan Silvestri,198.7ø
Bud's Big Drive,The Abyss,Alan Silvestri,370.3ø
Todo Ha Sido Un Juego,La Calle Del Olvido,Los Secretos,169.1ø
Nuevo Color,La Calle Del Olvido,Los Secretos,255.9ø
La Calle Del Olvido,A Tu Lado,Los Secretos,237.6ø
Culpable,La Calle Del Olvido,Los Secretos,300.6ø
She's A Barmaid,The Ballad Of Jimmy & Johnny,Element Of Crime,145.1ø
Satellite Town,The Ballad Of Jimmy & Johnny,Element Of Crime,242.7ø
My Daughter (Sama Doom),The Lion,Youssou N'Dour,398.4ø
Bamako,Best Of Youssou N'dour,Youssou N'Dour,258.2ø
Some Boys,Drowning in Limbo,Lydia Lunch,289.3ø
Lazy In Love,8-Eyed Spy,Lydia Lunch,203.2ø
Friday Afternoon,Drowning in Limbo,Lydia Lunch,251.5ø
Crown Of Thorns,Shut Up And Bleed,Teenage Jesus_ The Jerks,42.6ø
A Quiet Night of Murder in Greenwich_ CT,Drowning in Limbo,Lydia Lunch,182.3ø
1000 Lies,Drowning in Limbo,Lydia Lunch,289.4ø
MICK'S A HIPPIE BURNING,Megatop Phoenix,Big Audio Dynamite,151.3ø
Contact,Planet Bad Greatest Hits,Big Audio Dynamite,251.5ø
Solar Flares,Ruth Is Stranger Than Richard,Robert Wyatt,336.2ø
Muddy Mouse (b),Ruth Is Stranger Than Richard,Robert Wyatt,50.6ø
What Happened To Us,Eufaula,Atlanta Rhythm Section,229.0ø
I'm Not The Only One,Eufaula,Atlanta Rhythm Section,313.5ø
Mesopotamia,Last Summer Dance - Live,Franco Battiato,261.4ø
666 Packs,Best Case Scenario: 25 Years In Beers,Tankard,276.5ø
Cuerdas_ Gargantas Y Cables,Fiebre,SUMO,185.1ø
Al Repalazo,Fiebre,SUMO,293.7ø
Wives And Lovers,The Best Of Burt Bacharach,Burt Bacharach,363.2ø
Raindrops Keep Fallin' On My Head,Live At The Sydney Opera House,Burt Bacharach,76.0ø
(They Long To Be) Close To You,Lost & Found: Burt Bacharach,Burt Bacharach,196.2ø
Slap That Bass,Let's Dance,Fred Astaire,179.4ø
I Can't Be Bothered Now,Top Hat:  Hits From Hollywood,Fred Astaire,142.1ø
Uv Ray,Automatic,The Jesus And Mary Chain,246.9ø
Take It,Automatic,The Jesus And Mary Chain,275.0ø
Head On,21 Singles,The Jesus And Mary Chain,249.5ø
Half Way To Crazy,Automatic,The Jesus And Mary Chain,221.0ø
Drop,Automatic,The Jesus And Mary Chain,118.2ø
Blues From A Gun,21 Singles,The Jesus And Mary Chain,283.9ø
Some Other Sunset,The Early Years,David Benoit,304.8ø
I Remember Bill Evans,The Early Years,David Benoit,224.9ø
Yiiri Yalla,Wango,Baaba Maal,341.9ø
Wango Arti,Wango,Baaba Maal,490.7ø
Loodo,Wango,Baaba Maal,371.6ø
Laam Tooro,Wango,Baaba Maal,471.9ø
Demgalam,Wango,Baaba Maal,375.1ø
The Humid Press Of Days,Key Lime Pie,Camper Van Beethoven,164.7ø
Sweethearts,Key Lime Pie,Camper Van Beethoven,285.5ø
Opening Theme,Key Lime Pie,Camper Van Beethoven,141.2ø
Jack Ruby,Key Lime Pie,Camper Van Beethoven,324.8ø
Flowers,Key Lime Pie,Camper Van Beethoven,177.9ø
Raindrops Keep Falling On My Head,Valentine Moods,B.J. THOMAS,174.4ø
Turn It On,Danger Danger,Danger Danger,221.5ø
Saturday Nite,Danger Danger,Danger Danger,257.4ø
Rock America,Danger Danger,Danger Danger,292.9ø
One Step From Paradise,Danger Danger,Danger Danger,288.4ø
Live It Up,Danger Danger,Danger Danger,234.8ø
Feels Like Love,Danger Danger,Danger Danger,291.9ø
Don't Walk Away,Danger Danger,Danger Danger,296.6ø
Boys Will Be Boys,Danger Danger,Danger Danger,298.5ø
Bang Bang,Danger Danger,Danger Danger,237.3ø
The Death Of The Corn,Cats Drunk On Copper,Current 93,347.4ø
She Is Dead And All Fall Down,Earth Covers Earth,Current 93,313.1ø
Never Let A Day Go By,Way In,Cerrone,219.7ø
China,Way In,Cerrone,123.4ø
Du Vet,Rymdblomma,Di Leva,318.1ø
Blunda & Se,Rymdblomma,Di Leva,289.5ø
Heaven Laughs,Hooterization:  A Retrospective,The Hooters,259.8ø
Beat Up Guitar,Hooterization:  A Retrospective,The Hooters,249.2ø
Was He Ever Alive?,Various Failures,Swans,383.9ø
No Cruel Angel,Various Failures,Swans,268.9ø
I Remember Who You Are,Various Failures,Swans,264.5ø
God Damn The Sun,Various Failures,Swans,261.4ø
Can't Find My Way Home,Various Failures,Swans,288.9ø
It Don't Mean A Thing (If It Ain't Got That Swing),Brothers 'Til The End,The Mills Brothers,143.6ø
I Know One,40 Country Classics,Jim Reeves,103.6ø
When Was The Last Time The Music Made You Cry,It's Real,James Ingram,301.4ø
Someday We'll All Be Free,It's Real,James Ingram,250.9ø
So Fine,It's Real,James Ingram,244.8ø
Love One Day At A Time,It's Real,James Ingram,272.4ø
Love Come Down,It's Real,James Ingram,339.8ø
It's Real,It's Real,James Ingram,312.2ø
I Wanna Come Back,It's Real,James Ingram,289.6ø
I Don't Have The Heart,Forever More (Love Songs_ Hits & Duets),James Ingram,236.6ø
Call On Me,It's Real,James Ingram,243.6ø
Baby Be Mine,It's Real,James Ingram,299.0ø
[You Make Me Feel Like] A Natural Man,It's Real,James Ingram,306.0ø
That's All There Is To That,What A Diff'Rence A Day Makes,Dinah Washington,140.3ø
It Could Happen To You,The Essential Jazz Standards Vol. 2,Dinah Washington,140.6ø
I Remember You,What A Diff'rence A Day Makes!,Dinah Washington,170.3ø
Color Rit,Color Rit,Lee Ritenour | Russell Ferrante,296.3ø
Somewhere Along The Line,Moonlight and Roses/The Jim Reeves Way,Jim Reeves,129.1ø
Is It Really Over?,The Essential Jim Reeves,Jim Reeves,133.4ø
I Get The Job Done,Live And Die In L.A._ vol. 2,Big Daddy Kane,213.3ø
Tears Of Joy,Fruit At The Bottom,Wendy & Lisa,278.5ø
Someday I,Fruit At The Bottom,Wendy & Lisa,186.4ø
Satisfaction,Original Hits - The Girls,Wendy & Lisa,295.6ø
Lolly Lolly,Fruit At The Bottom,Wendy & Lisa,293.5ø
I Think It Was December,Fruit At The Bottom,Wendy & Lisa,289.5ø
Fruit At The Bottom,Fruit At The Bottom,Wendy & Lisa,272.9ø
From Now On (We're One),Fruit At The Bottom,Wendy & Lisa,270.7ø
Everyday,Fruit At The Bottom,Wendy & Lisa,243.7ø
Are You My Baby,Fruit At The Bottom,Wendy & Lisa,306.9ø
Always In My Dreams,Fruit At The Bottom,Wendy & Lisa,256.5ø
Peace,Trio Jeepy,Branford Marsalis,550.5ø
Gutbucket Steepy,Trio Jeepy,Branford Marsalis,378.2ø
Doxy,Trio Jeepy,Branford Marsalis,478.5ø
So Happy,So Happy,Eddie Murphy,266.1ø
Love Moans,So Happy,Eddie Murphy,313.2ø
Let's Get With It,So Happy,Eddie Murphy,304.0ø
I Got It,So Happy,Eddie Murphy,248.3ø
Through Different Eyes,Perfect Symmetry (Expanded Edition),Fates Warning,262.5ø
The Arena,Perfect Symmetry,Fates Warning,197.0ø
Static Acts,Perfect Symmetry,Fates Warning,266.7ø
Part of the Machine,Perfect Symmetry,Fates Warning,375.2ø
Nothing Left to Say,Perfect Symmetry,Fates Warning,478.2ø
Chasing Time,Perfect Symmetry (Expanded Edition),Fates Warning,218.6ø
Fly Away (LP Version),Pittsburgh,Ahmad Jamal,445.8ø
Cycles (LP Version),Pittsburgh,Ahmad Jamal,488.4ø
Crazy He Calls Me,Chamber Jazz Volume 2,Ahmad Jamal Trio,295.3ø
Bellows (LP Version),Pittsburgh,Ahmad Jamal,530.7ø
See_ my Love...,Dancing With The Lion,Andreas Vollenweider,181.6ø
Pearls & Tears,The Magical Journeys of Andreas Vollenweider,Andreas Vollenweider,198.5ø
First Piece - Live 1989,Dancing With The Lion,Andreas Vollenweider,249.6ø
No Myth,March,Michael Penn,249.2ø
Invisible,March,Michael Penn,225.0ø
Innocent One,March,Michael Penn,195.6ø
Evenfall,March,Michael Penn,232.8ø
Cupid's Got A Brand New Gun,Palms & Runes_ Tarot & Tea: A Michael Penn Collection,Michael Penn,222.6ø
Brave New World,March,Michael Penn,271.0ø
Big House,March,Michael Penn,177.1ø
Battle Room,March,Michael Penn,216.8ø
Nella Vecchia Azienda Agricola,Gattini,Elio E Le Storie Tese,72.8ø
John Holmes (Una Vita Per Il Cinema),Gattini,Elio E Le Storie Tese,234.0ø
Cassonetto Differenziato Per Il Frutto Del Peccato,Gattini,Elio E Le Storie Tese,248.4ø
Djoni (Johny),Majestik Zouk,Kassav',257.3ø
While The Nations Rage,Never Picture Perfect,Rich Mullins,291.0ø
The Love Of God (Reprise),Never Picture Perfect,Rich Mullins,49.4ø
My One Thing,Songs,Rich Mullins,230.2ø
Hope To Carry On,Never Picture Perfect,Rich Mullins,153.1ø
Higher Education and the Book Of Love,Never Picture Perfect,Rich Mullins,347.8ø
First Family,Never Picture Perfect,Rich Mullins,186.6ø
Alrightokuhhuhamen,Never Picture Perfect,Rich Mullins,252.2ø
Jedyne Prawdziwe Tango Maanam,Sie Sciemnia,Maanam,249.2ø
For Your Love,Sie Sciemnia,Maanam,256.1ø
Caliope,Sie Sciemnia,Maanam,301.0ø
Rozando La Eternidad,Autobiografia,Duncan Dhu,211.9ø
Palabras Sin Nombre,Autobiografia,Duncan Dhu,215.5ø
Fin De Amor,Grabaciones Olvidadas,Duncan Dhu,164.5ø
El Ritmo De La Calle,Autobiografia,Duncan Dhu,124.4ø
Carne De Bar,Autobiografia,Duncan Dhu,201.4ø
Camisas Limpias,Autobiografia,Duncan Dhu,166.0ø
It's Catching Up,Terminal City Ricochet,Nomeansno,210.2ø
Tunnel Chase,Predator 2,Alan Silvestri,293.6ø
The Pseudopod,The Abyss,Alan Silvestri,337.2ø
The Crane,The Abyss,Alan Silvestri,120.7ø
Search The Montana,The Abyss,Alan Silvestri,116.1ø
Bud On The Ledge,The Abyss,Alan Silvestri,193.5ø
You took advantage of me,Tatum's art,Art Tatum,192.1ø
Would You Like To Take A Walk,Tea For Two,Art Tatum,210.3ø
Tea For Two,Piano Starts Here,Art Tatum,195.9ø
Sweet Lorraine,Tatum - Pole Boogie,Art Tatum,155.4ø
September Song,20th Century Piano Genius,Art Tatum,204.2ø
Makin' Whoopee,The Tatum Group Masterpieces_ Vol. 7,Art Tatum,214.3ø
Lover,Tea For Two,Art Tatum,189.6ø
Just One of Those Things,Art Tatum Trio,Art Tatum,193.3ø
How High The Moon,The Tatum Group Masterpieces_ Vol. 3,Art Tatum,306.7ø
Dardanella,Jazz on the Rock_ Vol. 4,Art Tatum,167.6ø
Body And Soul,Small Group Swing,Art Tatum,191.8ø
Aunt Hagar's Blues,Jazz on the Rock_ Vol. 3,Art Tatum,160.8ø
