Tiny Montgomery,The Basement Tapes,Bob Dylan & The Band,167.1ø
Words Get In The Way,Into The Light,Gloria  Estefan,299.9ø
Oye Mi Canto (Hear My Voice),Playlist: The Very Best Of Gloria Estefan,Gloria Estefan,225.9ø
Here We Are,Greatest Hits,Gloria Estefan,291.8ø
Get On Your Feet,Karaoke - Gloria Estefan,Gloria Estefan (Karaoke),227.2ø
Cuts Both Ways,CUTS BOTH WAYS.,Gloria Estefan,197.6ø
Skin Deep,Brave And Crazy,Melissa Etheridge,191.2ø
Royal Station 4/16,Brave And Crazy,Melissa Etheridge,429.1ø
By Back Door,Brave And Crazy,Melissa Etheridge,264.7ø
Brave And Crazy,Brave And Crazy,Melissa Etheridge,278.1ø
Yout' Juice,Quickness,Bad Brains,180.2ø
With The Quickness,Quickness,Bad Brains,165.9ø
Voyage Into Infinity,Quickness,Bad Brains,194.1ø
The Prophet's Eye,Quickness,Bad Brains,265.5ø
The Messengers,Quickness,Bad Brains,138.0ø
Silent Tears,Quickness,Bad Brains,169.6ø
Sheba,Quickness,Bad Brains,171.9ø
No Conditions,Quickness,Bad Brains,142.8ø
Gene Machine / Don't Bother Me,Quickness,Bad Brains,179.9ø
Entro,Quickness,Bad Brains,53.0ø
Don't Blow Bubbles,Quickness,Bad Brains,183.1ø
At The Mambo Inn (Album Version),Tenderly,George Benson,295.3ø
You Make Me Feel Brand New,Lovers,Babyface,305.1ø
Whip Appeal,Love Songs,Babyface,346.2ø
Where Will You Go (Prelude),Tender Lover,Babyface,40.1ø
Where Will You Go,Tender Lover,Babyface,309.4ø
Tender Lover,Tender Lover,Babyface,259.3ø
Take Your Time,Lovers,Babyface,279.4ø
Soon As I Get Home,Tender Lover,Babyface,310.1ø
My Kinda Girl,A Closer Look,Babyface,454.5ø
Mary Mack,A Closer Look,Babyface,370.6ø
Lovers,A Closer Look,Babyface,307.1ø
Let's Be Romantic,Tender Lover,Babyface,301.5ø
It's No Crime,A Collection Of His Greatest Hits,Babyface,242.5ø
If We Try,Lovers,Babyface,247.3ø
I Love You Babe (Reprise),Lovers,Babyface,51.1ø
I Love You Babe,A Collection Of His Greatest Hits,Babyface,249.5ø
Given A Chance,Love Songs,Babyface,256.4ø
Chivalry,A Closer Look,Babyface,282.1ø
Can't Stop My Heart,Tender Lover,Babyface,270.1ø
O.P.,Charles Mingus,Charles Mingus,582.1ø
A Fine Romance,The Voice Of Marilyn,Marilyn Monroe,144.5ø
Big Guns,Skid Row,Skid Row,217.8ø
