I'm Not Your Stepping Stone,Live & Filthy,Sex Pistols,184.5ø
Now That You're Gone,Diana,Diana Ross,239.5ø
Red Frame/White Light (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,191.6ø
Pretending To See The Future (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,227.6ø
Mystereality (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,165.5ø
Messages (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,252.2ø
Enola Gay,ARCHITECTURE AND MORALITY,OMD,302.6ø
Electricity (Hannett/Cargo Studios Version) (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,216.6ø
Electricity (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,219.1ø
Dancing (2003 Digital Remaster),Orchestral Manoeuvres In The Dark,Orchestral Manoeuvres In The Dark,179.0ø
Whip It,Oh No It's Devo / Freedom Of Choice,Devo,158.0ø
Turn Around,Oh No It's Devo / Freedom Of Choice,Devo,132.9ø
Planet Earth,Oh No It's Devo / Freedom Of Choice,Devo,165.9ø
It's Not Right,Oh No It's Devo / Freedom Of Choice,Devo,142.0ø
Girl U Want,Hot Potatoes: The Best Of Devo,Devo,177.1ø
Freedom Of Choice,Hot Potatoes: The Best Of Devo,Devo,208.2ø
Don't You Know,Oh No It's Devo / Freedom Of Choice,Devo,134.9ø
Island Lady,Anthology,Rick James,249.7ø
Big Time,Motown Disco,Rick James,385.0ø
You Never Know,Live at BB King Blues Club,Jeff Beck,226.2ø
Too Much To Lose,There And Back,Jeff Beck,177.8ø
The Pump,Beckology,Jeff Beck,348.8ø
The Final Peace,There And Back,Jeff Beck,219.6ø
Space Boogie,There And Back,Jeff Beck,305.5ø
Why She's A Girl From The Chainstore,French,Buzzcocks,168.0ø
Strange Thing,French,Buzzcocks,219.2ø
Take It On The Run,Live At Heartland,REO Speedwagon,247.6ø
Someone Tonight,Hi Infidelity,REO Speedwagon,160.7ø
Out Of Season,Hi Infidelity,REO Speedwagon,185.9ø
I Wish You Were There,The Ballads,REO Speedwagon,269.1ø
Don't Let Him Go,Live At Heartland,REO Speedwagon,302.1ø
Wango Tango,Super Hits,Ted Nugent,289.4ø
Scream Dream,The Ultimate Ted Nugent,Ted Nugent,199.9ø
Homebound,Out Of Control,Ted Nugent,284.5ø
Flesh & Blood,Original Album Classics,Ted Nugent,284.3ø
Your Ways,Original Album Classics,The Jacksons,271.6ø
Wondering Who,Triumph,The Jacksons,258.3ø
Walk Right Now,Triumph,The Jacksons,418.6ø
Time Waits For No One,Triumph,The Jacksons,203.7ø
This Place Hotel (a/k/a Heartbreak Hotel),Triumph,The Jacksons,292.5ø
This Place Hotel,Live,The Jacksons,280.0ø
Lovely One,Live,The Jacksons,388.9ø
Give It Up,Triumph,The Jacksons,260.2ø
Everybody,Triumph,The Jacksons,300.1ø
Can You Feel It,Live,The Jacksons,367.1ø
Wheels Of Steel (Live At Donington 1980),Wheels Of Steel,Saxon,326.3ø
Wheels of Steel,Heavy metal thunder,Saxon,354.6ø
The Eagle Has Landed (BBC Session 1982) (1998 Digital Remaster),Strong Arm Of The Law,Saxon,450.9ø
Strong Arm of the Law,Heavy metal thunder,Saxon,265.3ø
See The Light Shining (2009 Digital Remaster),Wheels Of Steel,Saxon,294.0ø
See The Light Shining,Saxon,Saxon,291.7ø
Motorcycle Man (2009 Digital Remaster),Wheels Of Steel,Saxon,239.7ø
Motorcycle Man,Heavy metal thunder,Saxon,227.6ø
Freeway Mad (2009 Digital Remaster),Wheels Of Steel,Saxon,160.4ø
747 (Strangers In The Night),Saxon,Saxon,290.8ø
20_000 Feet (BBC Session 1982) (1998 Digital Remaster),Strong Arm Of The Law,Saxon,197.1ø
20_000 Feet (Abbey Road Mix 2008),Strong Arm Of The Law,Saxon,250.0ø
20_000 Feet (2009 Digital Remaster),Strong Arm Of The Law,Saxon,210.4ø
Trinidad,The Essential Eddie Money,Eddie Money,307.8ø
Running Back,Super Hits,Eddie Money,242.4ø
Let's Be Lovers Again,We Are The '80s,Eddie Money,235.6ø
Get A Move On,The Essential Eddie Money,Eddie Money,222.3ø
Monkey Man,Stinga 1,Toots & The Maytals,146.6ø
Let's Get It Together,The Collection,Toots & The Maytals,149.4ø
Just Like That,Reggae Greats - Toots & The Maytals,Toots & The Maytals,292.4ø
Journeyman,The Collection,Toots & The Maytals,256.3ø
Hallelujah,Time Tough: The Anthology,Toots & The Maytals,275.0ø
Chatty Chatty,Reggae Legends,Toots & The Maytals,251.0ø
Frustration,Heat: The Remixes,Soft Cell,328.4ø
Towers Of London (2001 Digital Remaster),Black Sea,XTC,324.0ø
Paper And Iron (Notes And Coins) (2001 Digital Remaster),Black Sea,XTC,257.3ø
Generals And Majors (2001 Digital Remaster),Black Sea,XTC,244.3ø
Bastidores - Backstage,Vida,Chico Buarque,150.5ø
What A Fool Believes,Alive,Kenny Loggins,233.4ø
Wait A Little While,Alive,Kenny Loggins,258.3ø
Make The Move,Caddyshack,Kenny Loggins,225.4ø
Lead The Way,Caddyshack,Kenny Loggins,273.6ø
I'm Alright,Outside: From The Redwoods,Kenny Loggins,530.4ø
Easy Driver,Nightwatch,Kenny Loggins,213.5ø
Angelique,Alive,Kenny Loggins,478.9ø
Shining,Sound System: The Island Anthology,Steel Pulse,237.0ø
She Goes To Finos,A Far Out Disc,Toy Dolls,217.4ø
The Legend Of Wooley Swamp,The Essential Charlie Daniels Band,The Charlie Daniels Band,259.5ø
In America,Super Hits,Charlie Daniels,199.1ø
Carolina (I Remember You),The Roots Remain,The Charlie Daniels Band,311.5ø
All Alone Tonight,Alive,Kenny Loggins,185.1ø
Man Next Door,Woman In Rock,The Slits,68.2ø
Animal Space,Woman In Rock,The Slits,104.3ø
The Wait,For Beginners,Killing Joke,223.9ø
Requiem,The Gathering 2008 - Part 1,Killing Joke,265.7ø
Primitive,The Gathering 2008,Killing Joke,219.7ø
Change,The Gathering 2008,Killing Joke,299.0ø
Bloodsport,Duende - The Spanish Sessions,Killing Joke,252.4ø
Celebrate,Celebration,Simple Minds,310.9ø
Warm Leatherette,Warm Leatherette,Grace Jones,338.3ø
The Hunter Gets Captured By The Game,The Grace Jones Story,Grace Jones,228.8ø
Private Life,Private Life: The Compass Point Years,Grace Jones,377.7ø
Pars,Private Life: The Compass Point Years,Grace Jones,343.0ø
Love Is The Drug,Private Life: The Compass Point Years,Grace Jones,520.4ø
Bullshit,Warm Leatherette,Grace Jones,317.4ø
Breakdown,Private Life: The Compass Point Years,Grace Jones,330.9ø
A Rolling Stone,Warm Leatherette,Grace Jones,212.2ø
Hey Nineteen,The Very Best Of Steely Dan - Reelin' In The Years,Steely Dan,305.7ø
Babylon Sisters,A Decade Of Steely Dan,Steely Dan,350.9ø
Twist/Run/Repulsion (2002 Digital Remaster),Empires And Dance,Simple Minds,279.6ø
Constantinople Line (2002 Digital Remaster),Empires And Dance,Simple Minds,284.6ø
Capital City (2002 Digital Remaster),Empires And Dance,Simple Minds,377.5ø
Walking On The Moon,Hot Chocolate - The Essential Collection,Hot Chocolate,326.9ø
No Doubt About It,The Best Of Hot Chocolate,Hot Chocolate,268.0ø
Love Me To Sleep,More Greatest Hits,Hot Chocolate,237.8ø
Losing You,Hot Chocolate - The Essential Collection,Hot Chocolate,257.3ø
Heart Of Stone (Chant Them),Sound System: The Island Anthology,Steel Pulse,379.5ø
Harassment,Sound System: The Island Anthology,Steel Pulse,258.7ø
Rumours (Not True),Sound System: The Island Anthology,Steel Pulse,234.8ø
Nyahbinghi Voyage,Sound System: The Island Anthology,Steel Pulse,302.9ø
Higher Than High,Sound System: The Island Anthology,Steel Pulse,201.7ø
Drug Squad,Sound System: The Island Anthology,Steel Pulse,244.8ø
Caught You Dancing,Sound System: The Island Anthology,Steel Pulse,415.3ø
Burning Flame,Sound System: The Island Anthology,Steel Pulse,190.7ø
Tenant,Kaleidoscope,Siouxsie And The Banshees,221.6ø
Clockface,Kaleidoscope,Siouxsie And The Banshees,112.7ø
Tragic Bells,Commercial Album,The Residents,65.4ø
The Talk Of Creatures,Commercial Album,The Residents,66.9ø
Suburban Bathers,Commercial Album,The Residents,65.3ø
My Work Is So Behind,Commercial Album,The Residents,65.9ø
My Second Wife,Commercial Album,The Residents,64.5ø
Love Is ...,Commercial Album,The Residents,65.0ø
Less Not More,Commercial Album,The Residents,65.4ø
La La,Commercial Album,The Residents,65.7ø
Give It To Someone Else,Commercial Album,The Residents,65.1ø
Easter Women,Commercial Album,The Residents,67.2ø
Your Love Still Brings Me To My Knees,Something Special,Dusty Springfield,185.8ø
Kiss On My List,Greatest Hits--Rock 'n' Soul_ Part 1,Daryl Hall & John Oates,233.9ø
Everytime You Go Away,Live At The Apollo,Daryl Hall & John Oates,471.7ø
Too Late The Hero,Tight Shoes,Foghat,301.1ø
No Hard Feelings,Tight Shoes,Foghat,375.9ø
Dead End Street,Tight Shoes,Foghat,300.1ø
Be My Woman,Tight Shoes,Foghat,357.4ø
Baby_ Can I Change Your Mind,Tight Shoes,Foghat,231.9ø
Woods,Autumn (Windham Hill 20th Anniversary Edition),George Winston,404.9ø
Road,Autumn,George Winston,253.8ø
Let's Go (Remastered LP Version ),End Of The Century,Ramones,157.2ø
I'm Affected (Demo) (Previously Unreleaed),End Of The Century,Ramones,165.6ø
I Can't Make It On Time (Remastered LP Version ),End Of The Century,Ramones,152.3ø
Do You Remember Rock 'N' Roll Radio?,Shrek The Third,Ramones,229.9ø
Danny Says (Demo) ( Previously Unreleased),End Of The Century,Ramones,139.7ø
All The Way (Remastered LP Version ),End Of The Century,Ramones,148.5ø
The Desert (Album Version),Come Upstairs,Carly Simon,283.4ø
Take Me As I Am  (Album Version),Come Upstairs,Carly Simon,293.3ø
Jesse (Album Version),Come Upstairs,Carly Simon,261.0ø
Jesse,Clouds In My Coffee 1965-1995,Carly Simon,257.5ø
James (Album Version),Come Upstairs,Carly Simon,148.0ø
Come Upstairs (Album Version),Come Upstairs,Carly Simon,259.5ø
Main Title,Brainstorm,James Horner,134.7ø
Turn Up The Music,Masters of Rock,Sammy Hagar,212.7ø
Rock 'N' Roll Weekend,Turn Up The Music!,Sammy Hagar,184.5ø
Red,Sammy Hagar,Sammy Hagar,243.7ø
How Does It Feel To Be Back,Do What You Want_ Be What You Are: The Music of Daryl Hall & John Oates,Daryl Hall & John Oates,274.7ø
There There My Dear (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,211.1ø
The Teams That Meet In Caffs (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,247.5ø
The Teams That Meet In Caffs,It Was Like This,Dexy's Midnight Runners,241.3ø
Thankfully Not Living In Yorkshire It Doesn't Apply (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,179.0ø
Thankfully Not Living In Yorkshire It Doesn't Apply,It Was Like This,Dexy's Midnight Runners,174.0ø
Tell Me When My Light Turns Green (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,225.5ø
Tell Me When My Light Turns Green,The Projected Passion Revue,Dexys Midnight Runners,241.4ø
Seven Days Too Long (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,159.4ø
Seven Days Too Long,It Was Like This,Dexy's Midnight Runners,157.8ø
Love Part 1 (Poem) (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,70.3ø
Keep It (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,239.9ø
Keep It,It Was Like This,Dexy's Midnight Runners,236.6ø
I'm Just Looking (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,281.8ø
I Couldn't Help It If I Tried (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,252.3ø
Geno,This Is... 1980,Dexy's Midnight Runners,207.9ø
Burn It Down (2000 Digital Remaster),Searching For The Young Soul Rebels,Dexy's Midnight Runners,260.9ø
Burn It Down,The Projected Passion Revue,Dexys Midnight Runners,228.9ø
Wild-Eyed Southern Boys,Flashback,38 Special,252.7ø
Fantasy Girl,Flashback,38 Special,244.1ø
Vindictive,In The Beginning,The Slits,180.3ø
Slime,In The Beginning,The Slits,146.5ø
Number One Enemy,In The Beginning,The Slits,133.5ø
A Boring Life,In The Beginning,The Slits,180.7ø
Sweet Home Chicago,TPH Production Perform The Blues Brothers,The Blues Brothers,165.6ø
Jailhouse Rock,TPH Production Perform The Blues Brothers,The Blues Brothers,205.9ø
Everybody Needs Somebody To Love,TPH Production Perform The Blues Brothers,The Blues Brothers,193.6ø
Daily News,Live And Loud,Exploited,190.6ø
Our Time Has Come ,Shine,Average White Band,216.2ø
Catch Me (Before I Have To Testify),Shine,Average White Band,299.9ø
Milkshake,Can't Stop The Music (Original Soundtrack),Village People,173.9ø
Magic Night,Can't Stop The Music (Original Soundtrack),Village People,201.5ø
Liberation,Can't Stop The Music (Original Soundtrack),Village People,211.6ø
I Love You to Death,Can't Stop The Music (Original Soundtrack),Village People,181.7ø
Can't Stop the Music,Can't Stop The Music (Original Soundtrack),Village People,215.5ø
Gigantor,Punk Singles Collection,The Dickies,150.2ø
Bowling With Bedrock Barney,Punk Singles Collection,The Dickies,131.4ø
No Return,Conquest,Uriah Heep,359.7ø
Lying,Conquest,Uriah Heep,276.8ø
It Ain't Easy,Conquest,Uriah Heep,342.8ø
Imagination,Conquest,Uriah Heep,345.7ø
Feelings,Conquest,Uriah Heep,164.1ø
Sweet Sensation,Gold,Stephanie Mills,270.1ø
Still Mine,The Best Of Stephanie Mills,Stephanie Mills,332.2ø
Never Knew Love Like This Before,Women In Love,Stephanie Mills,203.7ø
Lorelei,Best Of Wishbone Ash,Wishbone Ash,355.8ø
Living Proof,LIVE DATES 3,Wishbone Ash,424.9ø
Helpless,Mother Of Pearl,Wishbone Ash,222.2ø
Be-Bop-a-Lula,Beatles Beginnings - Quarrymen Two: Rock'n'Roll,Gene Vincent,154.6ø
Wayfaring Stranger  (LP Version),Roses In The Snow,Emmylou Harris,207.1ø
I'll Go Stepping Too (LP Version),Roses In The Snow,Emmylou Harris,140.1ø
Green Pastures,Duets,Emmylou Harris with Ricky Skaggs,188.8ø
Wicked World,Beam Me Up!,Daniel Johnston,236.4ø
Living Life,Songs Of Pain,Daniel Johnston,246.4ø
Lazy,Songs Of Pain,Daniel Johnston,159.7ø
Joy Without Pleasure,Songs Of Pain,Daniel Johnston,113.3ø
Play It All Night Long (LP Version),Bad Luck Streak In Dancing School,Warren Zevon,173.2ø
Jeannie Needs A Shooter (LP Version),Bad Luck Streak In Dancing School,Warren Zevon,235.4ø
Interlude No. 2 (LP Version),Bad Luck Streak In Dancing School,Warren Zevon,68.4ø
Empty Handed Heart (LP Version),Bad Luck Streak In Dancing School,Warren Zevon,196.2ø
Bad Luck Streak In Dancing School (LP Version),Bad Luck Streak In Dancing School,Warren Zevon,180.7ø
Waiting,The Voice,Ultravox,232.1ø
Sleepwalk (Recorded Live In Rehearsals At The Lyceum 17/8/80),Vienna,Ultravox,221.9ø
Private Lives (2008 Digital Remaster),Vienna,Ultravox,248.5ø
Private Lives,Vienna,Ultravox,247.8ø
Passing Strangers,The Voice,Ultravox,230.9ø
New Europeans (2008 Digital Remaster),Vienna,Ultravox,244.6ø
King's Lead Hat (Recorded Live At The Lyceum 17/8/80) (2008 Digital Remaster),Vienna,Ultravox,246.7ø
Face To Face (Live),Rare Volume 1,Ultravox,364.9ø
Astradyne,Vienna,Ultravox,427.9ø
All Stood Still,Collection,Ultravox,221.7ø
Vienna,Ultravox & Midge Ure - Finest,Ultravox,295.4ø
Sleepwalk (Early Version) (2008 Digital Remaster),Vienna,Ultravox,202.0ø
Mr X (2008 Digital Remaster),Vienna,Ultravox,395.2ø
Max Ernst,Signals_ Calls and Marches [Remastered],Mission Of Burma,180.8ø
Miss Jamaica,Trojan Ska Collection,Jimmy Cliff,143.4ø
Susan's Stange,The Psychedelic Furs,The Psychedelic Furs,192.0ø
Soap Commercial,The Psychedelic Furs,The Psychedelic Furs,177.0ø
Sister Europe,Beautiful Chaos: Greatest Hits Live,The Psychedelic Furs,360.1ø
India,The Psychedelic Furs,The Psychedelic Furs,380.7ø
Imitation Of Christ,The Best Of,The Psychedelic Furs,328.5ø
Flowers,Original Album Classics,The Psychedelic Furs,250.6ø
Fall,Original Album Classics,The Psychedelic Furs,160.6ø
Paradise Place,Nocturne,Siouxsie And The Banshees,259.9ø
Israel,Nocturne,Siouxsie And The Banshees,408.9ø
Happy House,Nocturne,Siouxsie And The Banshees,252.5ø
Social Living,20th Century Masters: The Millennium Collection: Best Of Burning Spear,Burning Spear,473.2ø
Road Foggy,Gold,Burning Spear,214.2ø
Mister Garvey,Social Living,Burning Spear,291.7ø
Marcus Say Jah No Dead,Jah No Dead - An Introduction To Burning Spear,Burning Spear,225.3ø
Hail H.I.M.,Gold,Burning Spear,254.6ø
Columbus,Best Of The Fittest,Burning Spear,215.7ø
Civilized Reggae,Harder Than The Best,Burning Spear,355.2ø
Danger Street,ROCKS_ PEBBLES AND SAND,Stanley Clarke,291.8ø
All Hell Broke Loose,ROCKS_ PEBBLES AND SAND,Stanley Clarke,302.3ø
Weepers And Mourners,Israel Dub,Israel Vibration,201.7ø
Unconquered Dub,Israel Dub,Israel Vibration,242.1ø
The Same Dub,Israel Dub,Israel Vibration,245.4ø
Taxman Dub,Israel Dub,Israel Vibration,260.9ø
Licks And Kicks Dubwise,Israel Dub,Israel Vibration,163.5ø
Graceful Dub,Israel Dub,Israel Vibration,225.0ø
Fire Dub,Israel Dub,Israel Vibration,289.1ø
Wait Till Your Boat Goes Down,The Compact XTC,XTC,275.0ø
Travels In Nihilon (2001 Digital Remaster),Black Sea,XTC,423.6ø
Sgt Rock (Is Going To Help Me) (2001 Digital Remaster),Black Sea,XTC,236.7ø
No Language In Our Lungs (2001 Digital Remaster),Black Sea,XTC,292.9ø
Love At First Sight,Fossil Fuel: The XTC Singles Collection 1977 - 1992,XTC,187.1ø
Living Through Another Cuba (2001 Digital Remaster),Black Sea,XTC,283.9ø
Don't Lose Your Temper (2001 Digital Remaster),Black Sea,XTC,152.5ø
Burning With Optimism's Flames (2001 Digital Remaster),Black Sea,XTC,255.8ø
No Time For Games,Bird Noises,Midnight Oil,272.2ø
There At The Top,Argy Bargy Deluxe Edition,Squeeze,226.2ø
Pulling Mussels (From The Shell),Essential Squeeze,Squeeze,237.2ø
Misadventure,Argy Bargy Deluxe Edition,Squeeze,176.4ø
Farfisa Beat,Argy Bargy Deluxe Edition,Squeeze,177.2ø
World Is Africa,Sinsemilla,Black Uhuru,318.9ø
Vampire,Party In Session - The Black Uhuru Collection,Black Uhuru,275.5ø
Push Push,Reggae Greats - Black Uhuru,Black Uhuru,250.8ø
Happiness,Party In Session - The Black Uhuru Collection,Black Uhuru,261.9ø
Guess Who's Coming to Dinner (Disco Mix) (extended disco mix),Sinsemilla,Black Uhuru,359.2ø
Aquarela Do Brasil,Aquarela Do Brasil,Gal Costa,210.4ø
I'm No Hero (2001 Digital Remaster),I'm No Hero,Cliff Richard,205.8ø
Sunset,Silk Road Tenjiku,Kitaro,316.1ø
Prologue,Ancient,Kitaro,35.6ø
What You're Proposing,Essential Quo - Volume 3,Status Quo,229.8ø
Don't Drive My Car,12 Gold Bars Volume II,Status Quo,255.0ø
Every Woman In The World,The Collection,Air Supply,209.2ø
Chances,All Out Of Love Live,Air Supply,259.3ø
All Out Of Love,Essential Rock - Definitive Rock Classics And Power Ballads,Air Supply,242.7ø
If I Didn't Love You,Argy Bargy Deluxe Edition,Squeeze,234.4ø
Wedding Song,The Psychedelic Furs,The Psychedelic Furs,260.9ø
The Rose,Live,Joan Baez,173.5ø
The Boxer,Live,Joan Baez,255.7ø
Here's To You,Woodstock Generation,Joan Baez,147.1ø
Don't Cry For Me Argentina,Live,Joan Baez,193.2ø
Cambodia,Live,Joan Baez,261.3ø
Wherever You Are,Isaac Hayes: The Best Of The Polydor Years,Isaac Hayes,341.9ø
It's All In The Game,Isaac Hayes: The Best Of The Polydor Years,Isaac Hayes,355.6ø
I Ain't Never,Out Of The Ghetto - The Polydor Years,Isaac Hayes,446.1ø
Outside The Trains Don't Run On Time,Solid Gold/Another Day_ Another Dollar,Gang Of Four,198.7ø
He'd Send In The Army,Solid Gold/Another Day_ Another Dollar,Gang Of Four,266.4ø
Young Girls,Terminal Jive,Sparks,289.8ø
When I'm With You (Instrumental),Terminal Jive,Sparks,224.0ø
Stereo,Terminal Jive,Sparks,239.0ø
Rock 'N' Roll People In A Disco World,Terminal Jive,Sparks,287.3ø
Time,The Turn Of A Friendly Card,The Alan Parsons Project,280.5ø
The Gold Bug,The Turn Of A Friendly Card,The Alan Parsons Project,169.8ø
Snake Eyes,The Essential Alan Parsons Project,The Alan Parsons Project,195.3ø
Nothing Left To Lose,The Turn Of A Friendly Card,The Alan Parsons Project,273.7ø
May Be A Price To Pay,The Turn Of A Friendly Card,The Alan Parsons Project,90.2ø
Games People Play,Arista Heritage Series: Alan Parsons Project,The Alan Parsons Project,260.3ø
WXJL Tonight (2003 Digital Remaster),Travelogue,The Human League,280.2ø
Toyota City (2003 Digital Remaster),Travelogue,The Human League,204.3ø
Tom Baker (2003 Digital Remaster),Travelogue,The Human League,242.0ø
The Touchables (2003 Digital Remaster),Travelogue,The Human League,201.4ø
The Black Hit Of Space (2003 Digital Remaster),Travelogue,The Human League,251.8ø
Gordon's Gin (2003 Digital Remaster),Travelogue,The Human League,178.8ø
Dancevision (2003 Digital Remaster),Travelogue,The Human League,142.2ø
Crow And A Baby (2003 Digital Remaster),Travelogue,The Human League,223.1ø
Boys And Girls (2003 Digital Remaster),Travelogue,The Human League,195.1ø
Being Boiled (2003 Digital Remaster),Travelogue,The Human League,261.8ø
Wild West Virginia,Songs Of Pain,Daniel Johnston,157.7ø
Tuna Ketchup,Songs Of Pain,Daniel Johnston,124.6ø
Since I Lost My Tooth,Songs Of Pain,Daniel Johnston,79.7ø
Pot Head,Songs Of Pain,Daniel Johnston,201.8ø
Don't Act Nice,Songs Of Pain,Daniel Johnston,35.7ø
Summer Breezin',This Is Jazz #37- George Duke,George Duke,287.5ø
Sugar Loaf Mountain,This Is Jazz #37- George Duke,George Duke,250.1ø
Love Reborn,This Is Jazz #37- George Duke,George Duke,265.3ø
You Can't Do It Alone (LP Version),Real People,Chic,282.8ø
Real People (Single Edit),Real People,Chic,320.8ø
Open Up  (LP Version),Real People,Chic,233.8ø
I Loved You More (LP Version),Real People,Chic,189.0ø
I Got Protection (LP Version),Real People,Chic,386.6ø
Chip Off The Old Block (LP Version),Real People,Chic,300.4ø
26 (LP Version),Real People,Chic,240.9ø
E Io Ci Sto,Sotto I Cieli Di Rino,Rino Gaetano,245.4ø
Take Me In Your Arms Tonight,Love TKO - The Very Best Of Teddy Pendergrass,Teddy Pendergrass,327.6ø
I Just Called To Say,Significant Singles - The R&B Chart Hits & Flips 1977-84,Teddy Pendergrass,269.4ø
Girl You Know,Live! Coast To Coast + TP,Teddy Pendergrass,243.3ø
Feel The Fire,Live! Coast To Coast + TP,Teddy Pendergrass,331.2ø
Loveitis,Fire and Ice II - The 'Lost' Tapes,The Sonics,156.9ø
Lost Love,Fire and Ice II - The 'Lost' Tapes,The Sonics,140.9ø
Leave My Kitten Alone,Maintaining My Cool,The Sonics,165.0ø
I'll Always Love Her,Fire and Ice II - The 'Lost' Tapes,The Sonics,166.5ø
Hanky Panky,Maintaining My Cool,The Sonics,145.7ø
Good Hard Rock,Fire and Ice II - The 'Lost' Tapes,The Sonics,140.4ø
Dirty Old Man,Maintaining My Cool,The Sonics,139.9ø
Diddy Wah Diddy,Maintaining My Cool,The Sonics,148.3ø
Bama Lama Lu,Maintaining My Cool,The Sonics,163.3ø
