Too Much Heaven,Evergreens No. 3,Fausto Papetti,199.0ø
Street Sense,Anthology (Salsoul) Vol.2,The Salsoul Orchestra,456.6ø
Yonki Time (LP Version),Tom Verlaine,Tom Verlaine,234.1ø
The Grip Of Love (LP Version),Tom Verlaine,Tom Verlaine,238.3ø
Souvenir From A Dream (LP Version),Tom Verlaine,Tom Verlaine,227.3ø
Red Leaves (LP Version),Tom Verlaine,Tom Verlaine,169.4ø
Mr. Bingo (LP Version),Tom Verlaine,Tom Verlaine,237.6ø
Last Night (LP Version),Tom Verlaine,Tom Verlaine,277.5ø
Kingdom Come  (LP Version),Tom Verlaine,Tom Verlaine,222.5ø
Flash Lightning (LP Version),Tom Verlaine,Tom Verlaine,232.3ø
Breakin' My Heart (LP Version),Tom Verlaine,Tom Verlaine,366.3ø
Phantasus,Correlations,Ashra,310.9ø
Pas De Trois,Correlations,Ashra,537.8ø
Oasis,Correlations,Ashra,225.7ø
Morgana Da Capo,Correlations,Ashra,330.1ø
Ice Train,Correlations,Ashra,461.4ø
Club Cannibal,Correlations,Ashra,324.8ø
Bamboo Sands,Correlations,Ashra,341.1ø
Round Dance,Don't Call Us (We Call You),Guru Guru,518.5ø
Das Zwickmaschinchen,Don't Call Us (We Call You),Guru Guru,285.6ø
200 Cliches (live) (Bonustrack),Don't Call Us (We Call You),Guru Guru,416.3ø
200 Cliches,KRAUTROCK Masters & Echoes,Guru Guru,309.7ø
I Could Write a Book,50 Sublimes Chanteuses de Jazz Vol. 2: 1945 - 1955,Betty Carter,160.2ø
Soy Del Monte,El Sentimiento del Latino En Nueva York,Angel Canales,402.1ø
Nostalgia,El Sentimiento del Latino En Nueva York,Angel Canales,340.4ø
No Encontraras Quien Te Haga el Amor Como Yo,El Sentimiento del Latino En Nueva York,Angel Canales,416.7ø
La Humanidad,El Sentimiento del Latino En Nueva York,Angel Canales,360.3ø
El Sentimiento Del Latino en Nueva York,El Sentimiento del Latino En Nueva York,Angel Canales,376.5ø
Dos Gardenias,El Sentimiento del Latino En Nueva York,Angel Canales,182.3ø
Onweer,Vallen En Opstaan 2,Rob De Nijs,242.8ø
Vapour Trails,Visitation,Pekka Pohjola,282.0ø
Try To Remember,Visitation,Pekka Pohjola,430.6ø
The Sighting,Visitation,Pekka Pohjola,211.1ø
Strange Awakening,Visitation,Pekka Pohjola,308.3ø
Image Of A Passing Smile,Visitation,Pekka Pohjola,336.9ø
Dancing In The Dark,Visitation,Pekka Pohjola,336.8ø
Long Weekend,Treasury - The Very Best Of Horslips,Horslips,223.6ø
Why Should I Mind,TRB 2,THE TOM ROBINSON BAND,184.5ø
Let My People Be,TRB 2,THE TOM ROBINSON BAND,249.0ø
Hold Out,TRB 2,THE TOM ROBINSON BAND,250.6ø
Getting Tighter,TRB 2,THE TOM ROBINSON BAND,239.4ø
Days Of Rage,TRB 2,THE TOM ROBINSON BAND,208.1ø
Crossing Over The Road,TRB 2,THE TOM ROBINSON BAND,221.0ø
Bully For You,TRB 2,THE TOM ROBINSON BAND,201.9ø
Blue Murder,TRB 2,THE TOM ROBINSON BAND,308.0ø
All Right All Night,TRB 2,THE TOM ROBINSON BAND,182.8ø
San Salvador,San Salvador,Azoto,468.8ø
You And I,Delegation's Stand Up (Reach For The Sky),Delegation,302.8ø
Put A Little Love On Me,Collection,Delegation,257.0ø
One More Step To Take,Collection,Delegation,270.3ø
Heartache No. 9,Delegation Remix Collection,Delegation,360.2ø
Darlin' (I Think About You),Collection,Delegation,220.0ø
Blue Girl,Delegation Remix Collection,Delegation,301.0ø
Wake Up,Fanfare in the Garden,Essential Logic,184.6ø
Shabby Abbott,Fanfare in the Garden,Essential Logic,226.0ø
Collecting Dust,Fanfare in the Garden,Essential Logic,299.4ø
Albert,Fanfare in the Garden,Essential Logic,297.9ø
Graduation in Zion,Earl Chinna Smith And Idrens Vol 2,Kiddus I,257.9ø
I'm A Man,Distortions,The Litter,243.1ø
Blue Monk,Live At Maybeck Recital Hall_ Vol. 16,Hank Jones,284.1ø
Born to Be Alive,Born To Be Alive - Single,Patrick Hernandez,187.9ø
In The Mood,Give It Up (Turn It Loose): The Very Best Of The Columbia Years,Tyrone Davis,249.8ø
I Can't Wait,The Best Of Tyrone Davis:  In The Mood,Tyrone Davis,233.9ø
Ain't Nothing I Can Do,Give It Up (Turn It Loose): The Very Best Of The Columbia Years,Tyrone Davis,283.5ø
What A Woman,All Balls And No Willy + Where Did I Go Right,John Otway,202.7ø
Waiting (Waiting For You),All Balls And No Willy + Where Did I Go Right,John Otway,181.2ø
Makes Good Music,All Balls And No Willy + Where Did I Go Right,John Otway,254.0ø
Hurting Her More,All Balls And No Willy + Where Did I Go Right,John Otway,226.4ø
Blue Eyes Of The Belle,All Balls And No Willy + Where Did I Go Right,John Otway,282.8ø
Best Dream,John Otway & The Big Band Live,John Otway,292.5ø
Woman To Woman,20th Century Masters: The Millennium Collection: Best Of Barbara Mandrell,Barbara Mandrell,209.6ø
Tonight,The Best Of,Barbara Mandrell,178.2ø
That's What Friends Are For,The Best Of,Barbara Mandrell,161.0ø
Standing Room Only,20th Century Masters: The Millennium Collection: Best Of Barbara Mandrell,Barbara Mandrell,190.2ø
Married But Not To Each Other,20th Century Masters: The Millennium Collection: Best Of Barbara Mandrell,Barbara Mandrell,180.3ø
After The Lovin',The Best Of,Barbara Mandrell,208.7ø
Ten O'Clock Postman,Top Secret (Greatest Hits),Secret Service,218.4ø
Oh Susie,Top Secret (Greatest Hits),Secret Service,251.6ø
The Pelican,The Black Balloon,John Renbourn,421.5ø
The Moon Shines Bright,Nobody's Fault But Mine,John Renbourn,230.8ø
The English Dance,Nobody's Fault But Mine,John Renbourn,173.4ø
Bourree I And II,The Black Balloon,John Renbourn,139.1ø
Salvami,Brivido Divino,Donatella Rettore,275.4ø
Il Mimo,Brivido Divino,Donatella Rettore,218.1ø
Eroe,Brivido Divino,Donatella Rettore,193.7ø
Divino Divina,Donatella Rettore,Donatella Rettore,287.8ø
Brivido,Donatella Rettore,Donatella Rettore,258.4ø
Brilla,Brivido Divino,Donatella Rettore,249.4ø
Viernes 3 Am,Grasa De Las Capitales,Seru Giran,230.8ø
San Francisco Y El Lobo,Grasa De Las Capitales,Seru Giran,142.1ø
Perro Andaluz,Grasa De Las Capitales,Seru Giran,301.2ø
Paranoia Y Soledad,Grasa De Las Capitales,Seru Giran,258.0ø
Noche De Perros,Grasa De Las Capitales,Seru Giran,401.3ø
Los Sobrevivientes,Grasa De Las Capitales,Seru Giran,410.7ø
La Grasa De Las Capitales,Grasa De Las Capitales,Seru Giran,280.1ø
Frecuencia Modulada,Grasa De Las Capitales,Seru Giran,199.7ø
Qui Est In Qui Est Out,Le Coeur Grenadine,Laurent Voulzy,221.9ø
Karin Redinger,Live,Laurent Voulzy,205.0ø
En Tini,Le Coeur Grenadine,Laurent Voulzy,241.7ø
Cocktail Chez Mademoiselle,Voulzy Tour,Laurent Voulzy,364.1ø
The Worker,Collection,Fischer-Z,215.5ø
Remember Russia,Word Salad,Fischer-Z,217.1ø
Just One Time ,Country Heroes,Don Gibson,162.6ø
Just One Time,Oh Lonesome Me,Don Gibson,153.9ø
We Play Reggae,Reggae Chartbusters Vol. 6,The In Crowd,228.1ø
Reggae Groove,His Majesty Is Coming,The In Crowd,310.1ø
Marcus Garvey's Back In Town,His Majesty Is Coming,The In Crowd,372.4ø
Man From New Guinea,His Majesty Is Coming,The In Crowd,242.1ø
His Majesty Is Coming,Reggae Chartbusters Vol. 6,The In Crowd,194.3ø
Back A Yard,His Majesty Is Coming,The In Crowd,266.8ø
Sun_ Moon_ & Rain,Groove Me,Fern Kinney,201.3ø
Groove Me,Disco Discharge. Disco Ladies.,Fern Kinney,534.0ø
Baby_ Let Me Kiss You,Groove Me,Fern Kinney,497.4ø
The Last Year,L.A. Confidential,Stiv Bators,180.0ø
Not That Way Anymore,LA_ LA,Stiv Bators,171.6ø
It's Cold Outside,LA_ LA,Stiv Bators,173.4ø
Circumstantial Evidence,L.A. Confidential,Stiv Bators,201.3ø
The Voice,Door_ Door,The Boys Next Door,234.6ø
The Nightwatchman,Door_ Door,The Boys Next Door,126.4ø
Somebody's Watching,Door_ Door,The Boys Next Door,157.7ø
Shivers,Door_ Door,The Boys Next Door,271.0ø
Roman Roman,Door_ Door,The Boys Next Door,95.1ø
I Mistake Myself,Door_ Door,The Boys Next Door,271.2ø
Friends Of My World,Door_ Door,The Boys Next Door,165.3ø
Dive Position,Door_ Door,The Boys Next Door,166.6ø
Brave Exhibitions,Door_ Door,The Boys Next Door,145.3ø
After A Fashion,Door_ Door,The Boys Next Door,274.7ø
You're Only Lonely,You're Only Lonely,J.D. Souther,230.0ø
White Rhythm And Blues,You're Only Lonely,J. D. SOUTHER,281.4ø
Trouble In Paradise,You're Only Lonely,J.D. Souther,266.2ø
The Moon Just Turned Blue,You're Only Lonely,J.D. Souther,128.5ø
The Last In Love,You're Only Lonely,J. D. SOUTHER,220.9ø
Songs Of Love,You're Only Lonely,J. D. SOUTHER,258.5ø
If You Don't Want My Love,You're Only Lonely,J. D. SOUTHER,262.5ø
Fifteen Bucks,You're Only Lonely,J. D. SOUTHER,205.7ø
'Til The Bars Burn Down,You're Only Lonely,J. D. SOUTHER,284.8ø
The Lamplighter,Upon Reflection,John Surman,380.9ø
Prelude and Rustic Dance,Upon Reflection,John Surman,316.9ø
Ven Por Favor,Los Chunguitos,Los Chunguitos,168.2ø
La Paya,Los Chunguitos,Los Chunguitos,189.8ø
Stuntman,Stuntman,Edgar Froese,257.6ø
Scarlet Score For Mascalero,Stuntman,Edgar Froese,258.7ø
Detroit Snackbar Dreamer,Stuntman,Edgar Froese,392.6ø
Top Down,Teenage Head With Marky Ramone,Teenage Head,124.6ø
Picture My Face,Teenage Head With Marky Ramone,Teenage Head,214.2ø
Lucy Potato,Teenage Head With Marky Ramone,Teenage Head,219.5ø
You Can Turn To Me,High and Outside,Steve Goodman,195.4ø
What Have You Done For Me Lately?,Live at the Earl of Old Town,Steve Goodman,199.7ø
What Have You Done For Me Lately,High and Outside,Steve Goodman,287.8ø
The One That Got Away,High and Outside,Steve Goodman,214.5ø
One Bite of the Apple,High and Outside,Steve Goodman,207.4ø
Men Who Love Women Who Love Men,The Steve Goodman Anthology: No Big Surprise,Steve Goodman,247.2ø
Luxury's Lap,Live Wire,Steve Goodman,291.9ø
Just Lucky I Guess,The Steve Goodman Anthology: No Big Surprise,Steve Goodman,209.4ø
It Would Be (You And Me),High and Outside,Steve Goodman,172.9ø
Hand It To You,Live Wire,Steve Goodman,422.1ø
Time For Action,Mod Mania,Secret Affair,162.7ø
Shake And Shout,Time For Action - The Very Best Of,Secret Affair,210.4ø
One Way World,Time For Action - The Very Best Of,Secret Affair,201.9ø
New Dance,Time For Action - The Very Best Of,Secret Affair,280.9ø
Let Your Heart Dance,Time For Action - The Very Best Of,Secret Affair,180.2ø
I'm Not Free (But I'm Cheap),Time For Action - The Very Best Of,Secret Affair,426.7ø
Going To A Go-Go,Time For Action - The Very Best Of,Secret Affair,182.0ø
Glory Boys,Time For Action - The Very Best Of,Secret Affair,271.2ø
Days Of Change,Time For Action - The Very Best Of,Secret Affair,209.7ø
Sono un teppista,Kinotto,Skiantos,217.2ø
Sono rozzo sono grezzo,Kinotto,Skiantos,427.4ø
Sono buono,Kinotto,Skiantos,140.9ø
Se mi ami amami,Kinotto,Skiantos,156.7ø
Non ti sopporto piu',Kinotto,Skiantos,204.3ø
Non faro' mai quello che vuoi,Kinotto,Skiantos,182.7ø
Kakkole,Kinotto,Skiantos,106.0ø
Fagioli,Kinotto,Skiantos,177.1ø
Swingin',The Best Of The Light Of The World,Light Of The World,303.3ø
White Savages,Off White,James White And The Blacks,294.1ø
White Devil,Off White,James White And The Blacks,278.3ø
Stained Sheets,Off White,James White And The Blacks,352.7ø
Off Black,Off White,James White And The Blacks,390.4ø
Bleached Black,Off White,James White And The Blacks,173.3ø
Almost Black Part 2,Off White,James White And The Blacks,240.9ø
The Melody Of Life,The Best Of Gwen McCrae,Gwen McCrae,369.3ø
The Joy,Let's Straighten It Out/Melody Of Life,Gwen McCrae,283.5ø
Maybe I'll Find Somebody New,The Best Of Gwen McCrae,Gwen McCrae,207.8ø
Ease The Pain,Let's Straighten It Out/Melody Of Life,Gwen McCrae,217.6ø
Alabam,100 Country Classics,Cowboy Copas,137.7ø
The Wild Side Of Life,Country Hits Vol. 10,Hank Thompson,160.9ø
Run For Home,The Best Of Lindisfarne,Lindisfarne,261.6ø
I Can Only Think Of You,Let's Straighten It Out/Melody Of Life,Gwen McCrae,331.9ø
When You Walk In The Room,Restless Nights,Karla Bonoff,175.9ø
Trouble Again,Restless Nights,Karla Bonoff,214.2ø
The Water Is Wide,The Best Of Karla Bonoff: All My Life,Karla Bonoff,297.9ø
The Letter,Restless Nights,Karla Bonoff,163.7ø
Restless Nights,The Best Of Karla Bonoff: All My Life,Karla Bonoff,317.6ø
Only A Fool,Restless Nights,Karla Bonoff,360.6ø
Never Stop Her Heart,Restless Nights,Karla Bonoff,285.3ø
Loving You,Restless Nights,Karla Bonoff,203.0ø
Baby Don't Go,Restless Nights,Karla Bonoff,197.5ø
Mercenaries,Negative Trend EP,Negative Trend,171.0ø
This Magic Moment,Sands Of Time & Wax Museum,Jay & The Americans,183.8ø
The Crying Game,Broken Hearted - 18 Classic Tearjerkers,Dave Berry,159.1ø
Memphis Tennessee,Hits of the 60's,Dave Berry,165.5ø
Mama,Deep Into The Sixties - 20 Rare Grooves,Dave Berry,157.8ø
You Lied,Ring My Bell,Anita Ward,299.7ø
Spoiled By Your Love,Ring My Bell,Anita Ward,227.8ø
Ring My Bell,Ring My Bell - The Remixes,Anita Ward,236.2ø
Make Believe Lovers,Ring My Bell,Anita Ward,424.7ø
If I Could Feel That Old Feeling Again,Ring My Bell,Anita Ward,255.4ø
I Won't Stop Loving You,Ring My Bell,Anita Ward,270.0ø
Toujours,Jardin Au Fou,Roedelius,179.1ø
Tempera,Jardin Au Fou,Roedelius,441.8ø
Rue Fortune II (Remix),Jardin Au Fou,Roedelius,147.7ø
Rue Fortune,Jardin Au Fou,Roedelius,140.6ø
Le Jardin II (Remix),Jardin Au Fou,Roedelius,305.7ø
Gloria Dolores,Jardin Au Fou,Roedelius,254.0ø
Fou Fou,Jardin Au Fou,Roedelius,240.4ø
Final,Jardin Au Fou,Roedelius,52.2ø
Etoiles II (Remix),Jardin Au Fou,Roedelius,234.8ø
Etoiles,Jardin Au Fou,Roedelius,236.5ø
Cafe Central,Jardin Au Fou,Roedelius,217.4ø
Balsam,Jardin Au Fou,Roedelius,138.5ø
Sally,Sound Of The Suburbs - A Collection Of The Members Finest Moments,The Members,176.0ø
Offshore Banking Business,Top Of The Pops - Punk & New Wave,The Members,384.2ø
Killing Time,Sound Of The Suburbs - A Collection Of The Members Finest Moments,The Members,186.9ø
Handling The Big Jets,Sound Of The Suburbs - A Collection Of The Members Finest Moments,The Members,270.7ø
G.L.C.,Sound Of The Suburbs - A Collection Of The Members Finest Moments,The Members,141.9ø
Chelsea Nightclub,Sound Of The Suburbs - A Collection Of The Members Finest Moments,The Members,141.3ø
Wrapped In The Chains Of Your Love,Children Of The Sun,Billy Thorpe,218.1ø
Were Leaving,Children Of The Sun,Billy Thorpe,230.8ø
We're Leaving,Children Of The Sun...Revisited,Billy Thorpe,231.1ø
We Welcome You ...,Children Of The Sun,Billy Thorpe,283.7ø
We Welcome You,Children Of The Sun...Revisited,Billy Thorpe,283.4ø
The Beginning,Children Of The Sun,Billy Thorpe,255.4ø
Solar Anthem,Children Of The Sun...Revisited,Billy Thorpe,55.6ø
Simple Life,Children Of The Sun,Billy Thorpe,339.5ø
Goddess Of The Night,Children Of The Sun,Billy Thorpe,261.9ø
Dreammaker,Children Of The Sun,Billy Thorpe,223.5ø
Children Of The Sun,Children Of The Sun...Revisited,Billy Thorpe,406.5ø
Three Time Loser,Dirty Water: The Very Best Of The Inmates,The Inmates,158.7ø
The walk,Siverio - in the heat of the night,The Inmates,180.0ø
Mr. Unreliable,Dirty Water: The Very Best Of The Inmates,The Inmates,172.4ø
Love Got Me,Dirty Water: The Very Best Of The Inmates,The Inmates,218.5ø
Dirty Water,True Live Stories / Five,The Inmates,209.0ø
Marie,My Diane,The Bachelors,180.5ø
Victims of the Riddle [Vivisection],Sheep Farming In Barnet,Toyah,232.5ø
Our Movie,Sheep Farming In Barnet,Toyah,183.4ø
Neon Womb,Sheep Farming In Barnet,Toyah,262.3ø
Danced,Sheep Farming In Barnet,Toyah,314.2ø
Bird In Flight [Bonus track],Sheep Farming In Barnet,Toyah,236.4ø
Sleeping Bag,Back To 19 Mistakes,Gruppo Sportivo,277.7ø
Disco Really Made It,Back To 19 Mistakes,Gruppo Sportivo,242.2ø
The Wolfsong,Rainbow's End,Rez Band,194.1ø
Strongman,Rainbow's End,Rez Band,221.2ø
Skyline,Rainbow's End,Rez Band,190.0ø
Rainbow's End,Rainbow's End,Rez Band,227.6ø
Paint A Picture,Rainbow's End,Rez Band,285.9ø
Concert For A Queen,Rainbow's End,Rez Band,196.2ø
Back Of My Hand,Friends Reunited: Music Of The Year 1979,Jags,199.8ø
Banal,Quit Dreaming (And Get On The Beam),Bill Nelson,233.7ø
Urubus,Live Tour 80,Bernard Lavilliers,310.5ø
Voyager,Arthur C Clarke's Mysterious Universe,Alan Hawkshaw,368.8ø
How Do You Know?,Some Lyres,Lyres,149.0ø
Don't give it up now,New rose story vol.1,Lyres,248.8ø
Random Brainwave,Freeze Frame,Godley & Creme,159.8ø
Mugshots,Freeze Frame,Godley & Creme,233.0ø
I Pity Inanimate Objects,Freeze Frame,Godley & Creme,322.8ø
Get Well Soon,Freeze Frame,Godley & Creme,269.0ø
Freeze Frame,Freeze Frame,Godley & Creme,282.6ø
Clues,Freeze Frame,Godley & Creme,324.6ø
Brazilia (Wish You Were Here),Freeze Frame,Godley & Creme,367.6ø
An Englishman In New York,The History Mix Volume 1,Godley & Creme,352.7ø
C.C. Rider,The Very Best Of Oldies - Volume 7 - Tribute To Rock'n'Roll,Chuck Willis,156.5ø
