Una Musica,Made In Italy,Fausto Papetti,166.7ø
Leonardo,Vallen En Opstaan 2,Rob De Nijs,202.9ø
May You Never,Back Street Crawler,John Martyn | Paul Kossoff,263.1ø
Take One Toke,Nice'N' Greasy,Atomic Rooster,298.9ø
Save Me,Heavy Soul,Atomic Rooster,194.1ø
Satan's Wheel,Made In England,Atomic Rooster,399.9ø
Ear In the Snow,Nice'N' Greasy,Atomic Rooster,371.3ø
Can't Find A Reason,Heavy Soul,Atomic Rooster,266.0ø
All Across the Country,Nice'N' Greasy,Atomic Rooster,307.4ø
To Be Happy Is The Real Thing,The Best Of The Intruders:  Cowboys To Girls,The Intruders,208.7ø
Teardrops,The Best Of The Intruders:  Cowboys To Girls,The Intruders,309.4ø
I'll Always Love My Mama,Ultimate Disco,The Intruders,203.3ø
I Wanna Know Your Name,From Philly With Love,The Intruders,351.9ø
Hang On In There,The Best Of The Intruders:  Cowboys To Girls,The Intruders,202.4ø
On the Beach,Side 3,The Raspberries,262.5ø
Making It Easy,Side 3,The Raspberries,191.6ø
I'm A Rocker,Side 3,The Raspberries,310.1ø
Hard To Get Over A Heartbreak,Side 3,The Raspberries,254.2ø
Sins Of The Father,Solid,The Groundhogs,331.1ø
Joker's Grave,Solid,The Groundhogs,522.4ø
Corn Cob,Live UK Tour '76,The Groundhogs,312.1ø
(He's) The Great Imposter,Come Softly To Me: The Very Best Of The Fleetwoods,The Fleetwoods,132.1ø
When You Smile,Love Oh Love,Leroy Hutson,258.8ø
Time Brings On A Change,Love Oh Love,Leroy Hutson,280.3ø
So In Love With You,Love Oh Love,Leroy Hutson,178.9ø
Love_ Oh Love,Love Oh Love,Leroy Hutson,233.3ø
I'm In Love With You Girl,Love Oh Love,Leroy Hutson,160.5ø
I'll Be There_ I'll Still Care,Love Oh Love,Leroy Hutson,187.3ø
Getting It On,Love Oh Love,Leroy Hutson,239.1ø
As Long As There's Love Around,Love Oh Love,Leroy Hutson,192.8ø
Vivando,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,258.9ø
The Euphonius Whale,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,187.9ø
Sure Beats Me,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,149.6ø
Success,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,251.0ø
Payday Blues,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,172.2ø
My Old Timey Baby,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,149.1ø
Lonely Madman,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,179.6ø
It's Not My Time To Go,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,210.5ø
I Asked My Doctor,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,51.8ø
Cowboy's Dream No. 19,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,170.3ø
Cheaters Don't Win,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,196.0ø
'Long Come A Viper,Last Train To Hicksville . . . The Home Of Happy Feet,Dan Hicks & His Hot Licks,131.0ø
When The Bridegroom Comes (Remastered LP Version),Heart Food,Judee Sill,254.7ø
There's A Rugged Road,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,262.8ø
The Vigilante (Remastered LP Version),Heart Food,Judee Sill,230.6ø
The Phoenix (Remastered LP Version),Heart Food,Judee Sill,157.6ø
The Phoenix,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,150.7ø
The Pearl (Remastered LP Version),Heart Food,Judee Sill,115.3ø
The Kiss,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,261.7ø
The Donor,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,387.8ø
Soldier Of The Heart (Remastered LP Version),Heart Food,Judee Sill,214.2ø
Soldier Of The Heart,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,252.9ø
Jig (Remastered LP Version),Heart Food,Judee Sill,66.3ø
Down Where The Valleys Are Low,Live In London - The BBC Recordings 1972 - 1973,Judee Sill,356.3ø
Mama I Gotta Brand New Thing (Don't Say No),Essential Collection - The Undisputed Truth,The Undisputed Truth,215.9ø
Law Of The Land,Smiling Faces: The Best Of,The Undisputed Truth,264.4ø
Girl You're Alright,Essential Collection - The Undisputed Truth,The Undisputed Truth,176.5ø
Butterfly (Bonus Track),So Long Ago The Garden,Larry Norman,155.7ø
Where Do You Go (Baby),The Eddie Kendricks Collection_ Volume 1,Eddie Kendricks,202.9ø
Only Room For Two,The Eddie Kendricks Collection_ Volume 1,Eddie Kendricks,190.0ø
Not On The Outside,The Eddie Kendricks Collection_ Volume 1,Eddie Kendricks,269.8ø
Keep On Truckin',Motown Disco,Eddie Kendricks,477.1ø
Can't Help What I Am,The Eddie Kendricks Collection_ Volume 1,Eddie Kendricks,263.8ø
Any Day Now,Motown Salutes Bacharach,Eddie Kendricks,300.1ø
What Are You Doin' To Me (Album Version),Greenslade,Greenslade,283.2ø
Time To Dream (Album Version),Bedside Manners Are Extra,Greenslade,291.5ø
Temple Song (Album Version),Greenslade,Greenslade,215.4ø
Sunkissed You Are Not (Album Version),Bedside Manners Are Extra,Greenslade,396.0ø
Sundance (Album Version),Greenslade,Greenslade,528.5ø
Pilgrims Progress (Album Version),Bedside Manners Are Extra,Greenslade,425.0ø
Melange (Album Version),Greenslade,Greenslade,447.9ø
Feathered Friends (Album Version),Greenslade,Greenslade,403.3ø
Drum Folk (Album Version),Bedside Manners Are Extra,Greenslade,533.6ø
Drowning Man (Album Version),Greenslade,Greenslade,350.2ø
Chalkhill (Album Version),Bedside Manners Are Extra,Greenslade,330.1ø
Bedside Manners Are Extra (Album Version),Bedside Manners Are Extra,Greenslade,382.0ø
An English Western (Album Version),Greenslade,Greenslade,208.6ø
Kyrie,Hosianna Mantra,Popol Vuh,323.4ø
Andacht,Hosianna Mantra,Popol Vuh,47.9ø
Ah !,Hosianna Mantra,Popol Vuh,286.0ø
Abschied,Hosianna Mantra,Popol Vuh,194.4ø
You're A Lady,Tuneweaving,Tony Orlando & Dawn,290.2ø
You Say the Sweetest Things,Legends,Tony Orlando & Dawn,210.7ø
Who's In The Strawberry Patch With Sally,Legends,Tony Orlando & Dawn,144.1ø
When We All Sang Along,Tuneweaving,Tony Orlando & Dawn,207.9ø
Watch A Clown Break Down,Tuneweaving,Tony Orlando & Dawn,178.3ø
Ukulele Man,New Ragtime Follies,Tony Orlando & Dawn,187.7ø
Tie A Yellow Ribbon Round The Ole Oak Tree,Tuneweaving,Tony Orlando & Dawn,208.8ø
Sweet Summer Days Of My Life,New Ragtime Follies,Tony Orlando & Dawn,192.3ø
Overture,New Ragtime Follies,Tony Orlando & Dawn,190.2ø
Lazy Susan,Legends,Tony Orlando & Dawn,165.9ø
Jolie,Tuneweaving,Tony Orlando & Dawn,193.6ø
If It Wasn't For You Dear,New Ragtime Follies,Tony Orlando & Dawn,224.8ø
I Don't Know You Anymore,Tuneweaving,Tony Orlando & Dawn,179.1ø
I Can't Believe How Much I Love You,Legends,Tony Orlando & Dawn,178.0ø
Easy Evil,Tuneweaving,Tony Orlando & Dawn,212.8ø
Daydream,New Ragtime Follies,Tony Orlando & Dawn,183.1ø
Atlanta,Legends,Tony Orlando & Dawn,180.2ø
Traccia II,Io Sono Nato Libero,Banco Del Mutuo Soccorso,159.2ø
Speedball,Intensity,Charles Earland,320.5ø
Lowdown,Intensity,Charles Earland,494.2ø
Wovoka,The Essential Redbone,Redbone,181.2ø
Come And Get Your Love,The Essential Redbone,Redbone,301.1ø
Sister Sue,Live In The Ozone - 1973 U.S. Tour,Commander Cody & His Lost Planet Airmen,159.3ø
The West Coast Of Claire,Planxty,Planxty,332.6ø
The Jolly Beggar - Reel,Planxty,Planxty,262.3ø
The Blacksmith,Planxty,Planxty,248.8ø
Sweet Thames Flow Softly,Planxty,Planxty,250.4ø
Si Bheag_ Si Mhor,Planxty,Planxty,212.8ø
Raggle Taggle Gypsy - Tabhair Dom Do Lamh,Planxty,Planxty,266.1ø
Planxty Irwin,Planxty,Planxty,134.3ø
Only Our Rivers,Planxty,Planxty,244.9ø
Merrily Kissed The Quaker,The Planxty Collection,Planxty,159.0ø
Junior Crehan's Favourite - Corney Is Coming,Planxty,Planxty,156.2ø
Follow Me Up To Carlow,Planxty,Planxty,139.7ø
You Should Have Seen Me Runnin,The Adventures Of Panama Red,New Riders of The Purple Sage,180.6ø
Thank The Day,The Adventures Of Panama Red,New Riders of The Purple Sage,143.8ø
Teardrops In My Eyes,The Adventures Of Panama Red,New Riders of The Purple Sage,135.4ø
Panama Red,The Best Of New Riders Of The Purple Sage,New Riders of The Purple Sage,169.0ø
One Too Many Stories,The Adventures Of Panama Red,New Riders of The Purple Sage,173.4ø
Lonesome L.A. Cowboy,The Adventures Of Panama Red,New Riders of The Purple Sage,245.0ø
L.A. Lady,The Adventures Of Panama Red,New Riders of The Purple Sage,133.7ø
Kick In The Head,The Best Of New Riders Of The Purple Sage,New Riders of The Purple Sage,150.4ø
It's Alright With Me,The Adventures Of Panama Red,New Riders of The Purple Sage,162.2ø
Important Exportin Man,The Adventures Of Panama Red,New Riders of The Purple Sage,147.3ø
Cement_ Clay And Glass,The Adventures Of Panama Red,New Riders of The Purple Sage,154.8ø
I've Been Searching,The Soul Of O.V. Wright,O.V. Wright,159.6ø
I'm Going Home (To Live With God),The Soul Of O.V. Wright,O.V. Wright,164.7ø
He's My Son (Just The Same),The Soul Of O.V. Wright,O.V. Wright,169.4ø
Harlem,Open_ To Love,Paul Bley,205.3ø
Laila_ Part 2,2nd,Agitation Free,406.3ø
Laila_ Part 1,2nd,Agitation Free,101.2ø
Laila '74 (Bonustrack),2nd,Agitation Free,461.9ø
In the silence of the morning sunrise,Live '74 - At the cliffs of river Rhine,Agitation Free,357.3ø
Haunted island,2nd,Agitation Free,488.9ø
First communication,Live '74 - At the cliffs of river Rhine,Agitation Free,535.2ø
Dialogue & Random,Live '74 - At the cliffs of river Rhine,Agitation Free,57.4ø
A quiet walk,2nd,Agitation Free,557.0ø
M.P.C.,RE-BIRTH,Birth Control,116.0ø
Grandjeanville,Rebirth,Birth Control,63.7ø
Back From Hell,Rebirth,Birth Control,489.2ø
Una Luce Si Accende (2005 Digital Remaster),Come Un Vecchio Incensiere All'Alba Di Un Villaggio Deserto,Alan Sorrenti,327.8ø
Oratore (2005 Digital Remaster),Come Un Vecchio Incensiere All'Alba Di Un Villaggio Deserto,Alan Sorrenti,308.6ø
A Te Che Dormi (2005 Digital Remaster),Come Un Vecchio Incensiere All'Alba Di Un Villaggio Deserto,Alan Sorrenti,233.3ø
Rock The Boat,Milk,Hues Corporation,198.2ø
Wake Up To Me,The Best Of First Choice,First Choice,226.4ø
This Little Woman,The Best Of First Choice,First Choice,202.7ø
This Is The House,Philly Golden Classics,First Choice,165.4ø
Smarty Pants,The Best Of First Choice,First Choice,157.5ø
Runnin' Out Of Fools,The Best Of First Choice,First Choice,212.5ø
One Step Away,Philly Golden Classics,First Choice,176.2ø
Newsy Neighbors,Disco Versions (Remixes),First Choice,376.1ø
Love And Happiness,Philly Golden Classics,First Choice,223.2ø
Armed And Extremely Dangerous,Ultimate Disco,First Choice,166.8ø
A Boy Named Junior,The Best Of First Choice,First Choice,222.3ø
Voodounon ,Darkest Light,Lafayette Afro Rock Band,292.7ø
Voodounon,Soul makossa,Lafayette Afro Rock Band,308.6ø
Soul makossa,Soul makossa,Lafayette Afro Rock Band,300.5ø
Right foot,Soul makossa,Lafayette Afro Rock Band,282.6ø
Oglenon,Soul makossa,Lafayette Afro Rock Band,513.3ø
"Nicky""first one",Soul makossa,Lafayette Afro Rock Band,364.2ø
Nicky,The Ultimate Collection,The Lafayette Afro Rock Band,368.0ø
M.f. grayson,Soul makossa,Lafayette Afro Rock Band,276.3ø
Hihache ,Darkest Light,Lafayette Afro Rock Band,422.4ø
Hihache,Soul makossa,Lafayette Afro Rock Band,425.2ø
Azeta,Soul makossa,Lafayette Afro Rock Band,389.6ø
Rabalder,Gasolin' The Album Collection,Gasolin',150.1ø
Katten,Gasolin' The Album Collection,Gasolin',170.7ø
Jeg Troede Jeg Var,Gasolin' The Album Collection,Gasolin',191.8ø
Jeg er Splittergal,Gasolin' The Album Collection,Gasolin',195.7ø
Bobo's Sang,Gasolin' The Album Collection,Gasolin',236.6ø
This Love Of Ours,Re-Cycled Vinyl Blues,Neil Innes,184.5ø
Song For Yvonne,Re-Cycled Vinyl Blues,Neil Innes,177.4ø
Singing A Song Is Easy,Re-Cycled Vinyl Blues,Neil Innes,304.1ø
Prologue,Re-Cycled Vinyl Blues,Neil Innes,51.1ø
Momma Bee,Re-Cycled Vinyl Blues,Neil Innes,174.3ø
L'Amour Perdu,Re-Cycled Vinyl Blues,Neil Innes,137.2ø
Immortal Invisible,Re-Cycled Vinyl Blues,Neil Innes,252.1ø
How Sweet To Be An Idiot,Re-Cycled Vinyl Blues,Neil Innes,171.2ø
Feel No Shame,Re-Cycled Vinyl Blues,Neil Innes,385.0ø
I Don't Believe In Miracles,Some Years: It's The Time Of Colin Blunstone,Colin Blunstone,184.0ø
How Could We Dare To Be Wrong,Some Years: It's The Time Of Colin Blunstone,Colin Blunstone,204.6ø
Andorra,Live At The Bloomsbury Theatre_ London,The Zombies,332.8ø
Taking Care Of Business (2005 Digital Remaster),Roll On Ruby,Lindisfarne,179.2ø
Goodbye (2005 Digital Remaster),Roll On Ruby,Lindisfarne,277.8ø
Take It Or Leave It (LP Version),Yeah!,Brownsville Station,180.5ø
Sweet Jane (LP Version,Yeah!,Brownsville Station,182.1ø
Question Of Temperature (LP Version),Yeah!,Brownsville Station,211.9ø
Love_ Love_ Love (LP Version),Yeah!,Brownsville Station,175.5ø
Let Your Yeah Be Yeah (LP Version),Yeah!,Brownsville Station,217.2ø
Go Out And Get Her (LP Version),Yeah!,Brownsville Station,176.2ø
Barefootin' (LP Version),Yeah!,Brownsville Station,175.6ø
All Night Long (LP Version),Yeah!,Brownsville Station,175.8ø
World Without End,Forever Changing: The Golden Age Of Elektra Records 1963-1973,Jobriath,223.6ø
Love's Maze,The Best Of The Temprees,Temprees,210.3ø
At Last,The Best Of The Temprees,Temprees,177.3ø
Green Rocky Road,On Air,Dave Van Ronk,235.1ø
Duncan and Brady,Ballads_ Blues_ and a Spiritual,Dave Van Ronk,182.8ø
It's The Talk Of The Town,Congratulations To Someone,Dakota Staton,297.5ø
I Love You More Than You'll Ever Know,Congratulations To Someone,Dakota Staton,383.2ø
Girl Talk,Congratulations To Someone,Dakota Staton,205.5ø
Timothy (Non Album Track) (2002 Digital Remaster),Illusions On A Double Dimple,Triumvirat,250.7ø
Million Dollars (Edit) (2002 Digital Remaster),Illusions On A Double Dimple,Triumvirat,155.2ø
Dimplicity (Edit) (2002 Digital Remaster),Illusions On A Double Dimple,Triumvirat,197.4ø
Dancer's Delight (Non Album Track),Illusions On A Double Dimple,Triumvirat,214.7ø
Nada De Ti,Eddie Palmieri/Lala Rodrigues/Ismael Quintana - Gold 1973-1976,Eddie Palmieri,392.9ø
The Martlet (2002 Digital Remaster),Duncan Browne,Duncan Browne,259.8ø
My Only Son (2002 Digital Remaster),Duncan Browne,Duncan Browne,252.4ø
My Old Friends (2002 Digital Remaster),Duncan Browne,Duncan Browne,252.6ø
Mignon,Duncan Browne,Duncan Browne,179.5ø
Journey,Original Hits - Seventies,Duncan Browne,195.1ø
In A Mist (2002 Digital Remaster),Duncan Browne,Duncan Browne,435.5ø
Guitar,Duncan Browne,Duncan Browne,135.5ø
Country Song (2002 Digital Remaster),Duncan Browne,Duncan Browne,227.0ø
Babe Rainbow (2002 Digital Remaster),Duncan Browne,Duncan Browne,263.3ø
Vueltas Y Vueltas Alrededor Del Sol,En Vivo La Nave Infernal,Vox Dei,174.0ø
La Nave Infernal,En Vivo La Nave Infernal,Vox Dei,320.7ø
Amor Y Seis,En Vivo La Nave Infernal,Vox Dei,182.0ø
Up In Canada (1973 Single - Bonus Track),So Long Ago The Garden,Larry Norman,170.0ø
The Same Old Story,So Long Ago The Garden,Larry Norman,244.3ø
Soul Survivor,So Long Ago The Garden,Larry Norman,218.5ø
Lonely By Myself,So Long Ago The Garden,Larry Norman,224.0ø
I Hope I See You In Heaven (Bonus Track),So Long Ago The Garden,Larry Norman,352.5ø
Fly Fly Fly,So Long Ago The Garden,Larry Norman,217.8ø
Christmastime,So Long Ago The Garden,Larry Norman,229.4ø
Be Careful What You Sign,So Long Ago The Garden,Larry Norman,301.4ø
Baroquen Spirits (Single),So Long Ago The Garden,Larry Norman,174.7ø
Pass The Word (Love's The Word),Don't Have To Shop Around,The Mad Lads,361.8ø
I'm So Glad I Fell In Love With You,The Best Of The Mad Lads,The Mad Lads,131.0ø
I'm Afraid Of Losing You,Don't Have To Shop Around,The Mad Lads,232.9ø
I'll Still Be Loving You,Don't Have To Shop Around,The Mad Lads,221.4ø
I Forgot To Be Your Lover,The Best Of The Mad Lads,The Mad Lads,279.2ø
Destination,Don't Have To Shop Around,The Mad Lads,293.0ø
Can You Handle It?,The Best Of Larry Graham and Graham Central Station... Vol. 1,Graham Central Station,206.1ø
I Believe In Miracles,The Collection,Jackson Sisters,177.6ø
Sai De Baixo,Eu Sou O Samba,Clementina De Jesus,183.5ø
Na Linha Do Mar,Eu Sou O Samba,Clementina De Jesus,198.3ø
Madrugada,Nova Bis-Clementina de Jesus,Clementina De Jesus,126.6ø
Essa Nega Pede Mais,Nova Bis-Clementina de Jesus,Clementina De Jesus,216.5ø
