Hard to Say I'm Sorry,My One and Only Love,Fausto Papetti,242.7ø
So L.A. (Apocalypso Version) (Digitally Remastered 99),All Four One,The Motels,214.2ø
Schneekin (Apocalypso Version) (Digitally Remastered 99),All Four One,The Motels,249.6ø
Only The Lonely (Live) (Digitally Remastered 99),All Four One,The Motels,199.3ø
Only The Lonely (Digitally Remastered 99),All Four One,The Motels,195.6ø
Only The Lonely,80s Hits Live!,The Motels,209.4ø
Mission Of Mercy (Digitally Remastered 99),All Four One,The Motels,181.8ø
Mission Of Mercy (Apocalypso Version) (Digitally Remastered 99),All Four One,The Motels,215.8ø
He Hit Me (And It Felt Like A Kiss) (Digitally Remastered 99),All Four One,The Motels,146.8ø
Forever Mine (Digitally Remastered 99),All Four One,The Motels,212.1ø
Change My Mind (Digitally Remastered 99),All Four One,The Motels,200.7ø
Art Fails (Digitally Remastered 99),All Four One,The Motels,191.2ø
Apocalypso (Digitally Remastered 99),All Four One,The Motels,209.3ø
He And Sleep Were Brothers,The Love That Whirls,Bill Nelson,281.4ø
Empire Of The Senses,The Love That Whirls,Bill Nelson,290.0ø
Feine Damen,A Winzig Klaner Tropfen Zeit,Rainhard Fendrich,215.2ø
The Land Of Make Believe,The Best Of Bucks Fizz,Bucks Fizz,215.3ø
Mom's Wallet,History Of,Zero Boys,46.5ø
Human Body,History Of,Zero Boys,104.8ø
High Places,History Of,Zero Boys,78.4ø
Fighting Boys,Death-R-Us,Battalion Of Saints,102.0ø
Red roses for a blue lady,That's Amor,Vaughn Monroe,177.7ø
Words From The Front,Words From The Front,Tom Verlaine,403.1ø
True Story,Words From The Front,Tom Verlaine,326.1ø
Present Arrived,Words From The Front,Tom Verlaine,322.8ø
Days On The Mountain,Words From The Front,Tom Verlaine,537.5ø
Clear It Away,Words From The Front,Tom Verlaine,252.7ø
Tenemos Que Echar Pa' Lante,Different Shades of Thought,Angel Canales,363.4ø
Quantanamo,Different Shades of Thought,Angel Canales,412.7ø
Nadie Como Tu,Different Shades of Thought,Angel Canales,389.4ø
La Sombra,Different Shades of Thought,Angel Canales,360.2ø
Baby Please Don't Go,Different Shades of Thought,Angel Canales,298.6ø
Where Were You,Ayla - The Best of Flash and the Pan,Flash And The Pan,204.1ø
Love Is a Gun,Ayla - The Best of Flash and the Pan,Flash And The Pan,213.3ø
Whenever You're On My Mind  (Remastered Demo Version),Marshall Crenshaw,Marshall Crenshaw,183.6ø
There She Goes Again,Marshall Crenshaw,Marshall Crenshaw,137.7ø
The Usual Thing (Remastered Album Version),Marshall Crenshaw,Marshall Crenshaw,185.0ø
The Usual Thing (Live_ 1982),Marshall Crenshaw,Marshall Crenshaw,194.5ø
The Usual Thing,Marshall Crenshaw,Marshall Crenshaw,159.4ø
Somebody Like You (LP Version),Marshall Crenshaw,Marshall Crenshaw,196.6ø
Soldier Of Love (Remastered Album Version),Marshall Crenshaw,Marshall Crenshaw,161.5ø
She Can't Dance (Remastered Album Version),Marshall Crenshaw,Marshall Crenshaw,169.8ø
Rockin' Around N. Y. C.  (LP Version),Marshall Crenshaw,Marshall Crenshaw,190.7ø
Not For Me  (Remastered Album Version),Marshall Crenshaw,Marshall Crenshaw,157.5ø
I'll Do Anything (Remastered Album Version),Marshall Crenshaw,Marshall Crenshaw,183.5ø
Girls...(Remastered LP Version),Marshall Crenshaw,Marshall Crenshaw,185.9ø
Cynical Girl,The Best Of Mountain Stage - Vol. 3,Marshall Crenshaw,161.3ø
Brand New Lover,Marshall Crenshaw,Marshall Crenshaw,232.3ø
Voyeur,Rosemarie,Hubert Kah,157.9ø
Tanzen Gehn,Rosemarie,Hubert Kah,131.4ø
Sternenhimmel,Rosemarie,Hubert Kah,186.1ø
Monika,Rosemarie,Hubert Kah,158.5ø
Aufblasbare Puppen,Rosemarie,Hubert Kah,216.3ø
Passion,Disco Discharge. Gay Disco & Hi NRG,The Flirts,540.6ø
Nomad,Mosaico,Strunz & Farah,511.1ø
Mambito,Mosaico,Strunz & Farah,445.1ø
Fandango Caribe,Mosaico,Strunz & Farah,351.9ø
Sulla Strada Romagnola,La Storia 1978 - 2003,Fabio Concato,246.5ø
Restiamo Soli,La Storia 1978 - 2003,Fabio Concato,212.1ø
Domenica Bestiale,La Storia 1978 - 2003,Fabio Concato,242.8ø
Canto,La Storia 1978 - 2003,Fabio Concato,219.4ø
Vamos a Jugar,Diablillos Musical - 12 Exitos Infantiles,Lorenzo Antonio,171.6ø
Redrum,Llegando hasta el final,Alaska Y Los Pegamoides,125.4ø
Estrategia militar,Llegando hasta el final,Alaska Y Los Pegamoides,162.9ø
Bailando,Llegando hasta el final,Alaska Y Los Pegamoides,226.5ø
Your Passion,Lost and Late...,Martin Dupont,221.4ø
Lost And Late,Lost and Late...,Martin Dupont,179.3ø
Two Trains,All Dressed Up & No Place To Go,Nicolette Larson,254.6ø
Talk To Me,All Dressed Up & No Place To Go,Nicolette Larson,194.3ø
Still You Linger On,All Dressed Up & No Place To Go,Nicolette Larson,174.4ø
Say You Will,All Dressed Up & No Place To Go,Nicolette Larson,212.1ø
Nathan Jones,All Dressed Up & No Place To Go,Nicolette Larson,187.4ø
I Want You So Bad,All Dressed Up & No Place To Go,Nicolette Larson,213.7ø
I Only Want To Be With You,Rhino Hi-Five: Nicolette Larson,Nicolette Larson,198.1ø
Telex,All Balls And No Willy + Where Did I Go Right,John Otway,135.5ø
Montreal,All Balls And No Willy + Where Did I Go Right,John Otway,204.5ø
Over Like a Fat Rat,Vanguard Dance Classics Part 1,Fonda Rae,449.9ø
Our Man Flint,California Kicks,The Challengers,114.8ø
M. Kurtz,1980-82 Collected,Ike Yard,335.1ø
Loss,1980-82 Collected,Ike Yard,453.2ø
Kino,1980-82 Collected,Ike Yard,424.3ø
Cherish 8,1980-82 Collected,Ike Yard,266.2ø
You're The One For Me,Floorfillers 80s Club Classics,D-Train,278.2ø
Tristeza De La Ciudad,Abuelos 1982 / 1987,Los Abuelos De La Nada,213.9ø
Te Vas Rica,Los Abuelos De La Nada,Los Abuelos De La Nada,291.1ø
Levantando Temperatura,Completo,Los Abuelos De La Nada,147.0ø
En La Cama O En El Suelo,Abuelos 1982 / 1987,Los Abuelos De La Nada,239.6ø
Kuwait,Edelweiss,Joachim Witt,163.2ø
Ich Fahr' Nach Afrika,Edelweiss,Joachim Witt,221.4ø
Ich Bin Der Deutsche Neger,Edelweiss,Joachim Witt,302.3ø
Exil,Edelweiss,Joachim Witt,251.5ø
Denn Ich Bin So Einsam,Edelweiss,Joachim Witt,203.8ø
Vicky,Grandes Exitos,Alaska Y Los Pegamoides,76.5ø
Signed_ Sealed_ Delivered (I'm Yours),Disc Charge,Boys Town Gang,344.2ø
Come and Get Your Love,Disc Charge,Boys Town Gang,422.7ø
Can't Take My Eyes Off You,Disc Charge,Boys Town Gang,273.5ø
Rainy Day Memories,Top Secret (Greatest Hits),Secret Service,190.5ø
Like A Morning Song,Top Secret (Greatest Hits),Secret Service,182.6ø
If I Try,Top Secret (Greatest Hits),Secret Service,247.7ø
Flash In The Night,Top Secret (Greatest Hits),Secret Service,218.3ø
Fire Into Ice,Top Secret (Greatest Hits),Secret Service,223.1ø
Cry Softly (Time Is Mourning),Top Secret (Greatest Hits),Secret Service,212.3ø
Una Vuelta Mas,Actuar Para Vivir,Juan Carlos Baglietto,286.7ø
Tiempos Dificiles,Actuar Para Vivir,Juan Carlos Baglietto,232.6ø
Sobre La Cuerda Floja,Tiempos Dificiles,Juan Carlos Baglietto,336.4ø
Sin Luna,Tiempos Dificiles,Juan Carlos Baglietto,385.9ø
Saltando De Piedra En Piedra,Actuar Para Vivir,Juan Carlos Baglietto,315.1ø
Rio Marron,Actuar Para Vivir,Juan Carlos Baglietto,255.4ø
Mirta_ De Regreso,Tiempos Dificiles,Juan Carlos Baglietto,275.9ø
Los Nuevos Brotes,Tiempos Dificiles,Juan Carlos Baglietto,222.3ø
La Vida Es Una Moneda,Coleccion Aniversario,Juan Carlos Baglietto,226.8ø
La Musica Del Rio De La Plata,Tiempos Dificiles,Juan Carlos Baglietto,226.1ø
La Censura No Existe,Actuar Para Vivir,Juan Carlos Baglietto,57.6ø
Era En Abril,Lo Mejor De Los Mejores,Juan Carlos Baglietto,285.6ø
En La Cruz De Los Dias,Actuar Para Vivir,Juan Carlos Baglietto,189.3ø
Dulce Pajaro,Tiempos Dificiles,Juan Carlos Baglietto,142.3ø
De Plenilunio,Actuar Para Vivir,Juan Carlos Baglietto,268.0ø
Actuar Para Vivir,Coleccion Aniversario,Juan Carlos Baglietto,243.1ø
Ride On Baby,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,231.5ø
Nuclear Reactions,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,216.6ø
Girls,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,163.4ø
Come Back Suzanne,A Stone Alone - The Solo Anthology 1974-2002,Bill Wyman,202.0ø
Morgengruss II,Aguirre (Orig.Soundtrack),Popol Vuh,175.9ø
Violence,Charge Of The 7th Cavalry,Combat 84,146.5ø
Skinhead,Charge Of The 7th Cavalry,Combat 84,126.0ø
Combat 84,Charge Of The 7th Cavalry,Combat 84,108.4ø
Barry Prudom (Re-Mix),Orders Of The Day,Combat 84,121.1ø
You're My Love,Aldo Nova,Aldo Nova,213.6ø
Under The Gun,Aldo Nova,Aldo Nova,227.2ø
See The Light,Aldo Nova,Aldo Nova,234.8ø
It's Too Late,Aldo Nova,Aldo Nova,201.6ø
Hot Love,Aldo Nova,Aldo Nova,234.4ø
Heart To Heart,Aldo Nova,Aldo Nova,222.7ø
Foolin' Yourself,Aldo Nova,Aldo Nova,214.8ø
Fantasy,Aldo Nova,Aldo Nova,305.3ø
Can't Stop Lovin' You,Aldo Nova,Aldo Nova,236.7ø
Ball And Chain,Aldo Nova,Aldo Nova,242.8ø
The Sailorman Song,The Best Of Bzn,BZN,213.5ø
Your Place Or Mine,Hey Ricky,Melissa Manchester,230.9ø
You Should Hear How She Talks About You,The Essence Of Melissa Manchester,Melissa Manchester,255.2ø
Someone To Watch Over Me,Hey Ricky,Melissa Manchester,232.8ø
Slowly,Hey Ricky,Melissa Manchester,211.9ø
Race To The End,Hey Ricky,Melissa Manchester,232.4ø
I'll Always Love You,Hey Ricky,Melissa Manchester,212.6ø
Hey Ricky (You're A Low Down Heel),Hey Ricky,Melissa Manchester,255.8ø
Come In From The Rain,The Essence Of Melissa Manchester,Melissa Manchester,259.1ø
This Time,Donatella Rettore,Donatella Rettore,222.9ø
Sayonara,Kamikaze Rock 'N' Roll Suicide,Donatella Rettore,221.1ø
Sangue Del Mio Sangue,Kamikaze Rock 'N' Roll Suicide,Donatella Rettore,263.5ø
Lamette,Donatella Rettore,Donatella Rettore,170.7ø
Kamikaze Rock'N'Roll Suicide,Donatella Rettore,Donatella Rettore,232.7ø
Giulietta,Kamikaze Rock 'N' Roll Suicide,Donatella Rettore,110.5ø
Your Face Is Familiar,Mundell,Hugh Mundell,316.9ø
Walk With Jah,Mundell,Hugh Mundell,341.0ø
Tell I A Lie,Mundell,Hugh Mundell,250.4ø
Red Gold & Green,Mundell,Hugh Mundell,247.3ø
Rasta Have The Handle Dub,Mundell,Hugh Mundell,181.6ø
Rasta Have The Handle,Mundell,Hugh Mundell,249.2ø
Jah Music,Mundell,Hugh Mundell,280.6ø
Jacqueline,Mundell,Hugh Mundell,187.7ø
Going Places,Mundell,Hugh Mundell,294.1ø
24 Hours A Day,Mundell,Hugh Mundell,237.2ø
Wicked She Wicked,"Reggae Anthology: Henry ""Junjo"" Lawes - Volcano Eruption",Billy Boyo,288.4ø
Still Taking Chances,The Best Of Michael Martin Murphey,Michael Martin Murphey,251.9ø
Geronimo's Cadillac,Geronimo's Cadillac,Michael Martin Murphey,278.5ø
Disenchanted,The Best Of Michael Martin Murphey,Michael Martin Murphey,274.6ø
Cloudburst,Everybody's Boppin',Lambert_ Hendricks & Ross,138.3ø
Navigando Controvento,Stadio,Stadio,278.4ø
Dusty Skies,Together Again,Bob Wills,198.6ø
Cowboy Stomp,Bob Wills and His Texas Playboys 1932-1947,Bob Wills,143.2ø
Cotton Eyed Joe,Chart Buster Vol. 4,Bob Wills,103.2ø
Together,The Philip Lynott Album,Phil Lynott,220.4ø
The Man's A Fool,The Philip Lynott Album,Phil Lynott,179.9ø
Old Town,The Philip Lynott Album,Phil Lynott,205.7ø
Ode To Liberty (The Protest Song),The Philip Lynott Album,Phil Lynott,348.6ø
Little Bit Of Water,The Philip Lynott Album,Phil Lynott,215.4ø
Growing Up,The Philip Lynott Album,Phil Lynott,300.5ø
Gino,The Philip Lynott Album,Phil Lynott,249.9ø
Fatalistic Attitude,The Philip Lynott Album,Phil Lynott,273.0ø
Cathleen,The Philip Lynott Album,Phil Lynott,216.1ø
Peilimorsian (2001 Digital Remaster),Nekrofiilis,Organ,214.6ø
Organ (2001 Digital Remaster),Nekrofiilis,Organ,227.9ø
Nekrofiilis (2001 Digital Remaster),Nekrofiilis,Organ,213.6ø
Neekerisuukkoja (2001 Digital Remaster),Nekrofiilis,Organ,200.6ø
Kolme prinsessaa (2001 Digital Remaster),Nekrofiilis,Organ,220.3ø
Kani kertoo (2001 Digital Remaster),Nekrofiilis,Organ,215.5ø
Kaavakekauhu (2001 Digital Remaster),Nekrofiilis,Organ,280.6ø
For next (2001 Digital Remaster),Nekrofiilis,Organ,194.0ø
Aknebobbin (2001 Digital Remaster),Nekrofiilis,Organ,121.0ø
Lazy Ways,Lazy Ways/Beach Party,Marine Girls,162.6ø
Der Heilige Schwanz (Remastered) - Abspann,Das Herz Eines Boxers,Westernhagen,36.7ø
Travel Time,The Plateau Phase,Crispy Ambulance,231.9ø
The Wind Season,The Plateau Phase,Crispy Ambulance,329.4ø
The Force And The Wisdom,The Plateau Phase,Crispy Ambulance,242.2ø
Death From Above,The Plateau Phase,Crispy Ambulance,208.8ø
Chill,The Plateau Phase,Crispy Ambulance,287.3ø
Bardo Plane,The Plateau Phase,Crispy Ambulance,212.2ø
Are You Ready?,The Plateau Phase,Crispy Ambulance,349.1ø
Vackra djur,En plats i solen,Lustans Lakejer,196.4ø
En plats i solen,En plats i solen,Lustans Lakejer,280.0ø
Victims Of The Age,The Greatest Hits Of Mark Heard,Mark Heard,198.6ø
Some Folks' World,Acoustic,Mark Heard,276.1ø
Nothing Is Bothering Me,The Greatest Hits Of Mark Heard,Mark Heard,234.4ø
Heart Of Hearts,The Greatest Hits Of Mark Heard,Mark Heard,187.5ø
You Know I Want You,We Are One,Pieces Of A Dream,269.6ø
Yo Frat,We Are One,Pieces Of A Dream,288.5ø
When You Are Here With Me,We Are One,Pieces Of A Dream,277.8ø
We Are One,We Are One,Pieces Of A Dream,295.3ø
Pop Rock,We Are One,Pieces Of A Dream,309.1ø
Please Don't Do This To Me,We Are One,Pieces Of A Dream,212.3ø
Mt. Airy Groove,The Best Of Pieces Of A Dream,Pieces Of A Dream,209.3ø
For Ramsey,We Are One,Pieces Of A Dream,239.8ø
Don't Be Sad,We Are One,Pieces Of A Dream,276.1ø
Weather The Windmill,Titles,Mick Karn,240.1ø
Trust Me,Titles,Mick Karn,297.4ø
Tribal Dawn,Titles,Mick Karn,252.1ø
Sensitive,Titles,Mick Karn,274.4ø
Saviour_ Are You With Me?,Titles,Mick Karn,244.8ø
Piper Blue,Titles,Mick Karn,263.5ø
Passion In Moisture,Titles,Mick Karn,253.9ø
Lost Affections In A Room,Titles,Mick Karn,254.6ø
Out Of Limits,Pulp Fiction,The Marketts,126.6ø
My Spine Is The Bassline,Disco Not Disco Digital Edition,Shriekback,241.7ø
Feelers,The Dancing Years,Shriekback,407.5ø
Mockingbird,Demon Music UK Top 75 Hits Vol 4,The Belle Stars,201.6ø
Stab the Judge,No Return - Live!,One Way System,127.9ø
Riot Torn City,No Return - Live!,One Way System,170.3ø
Jerusalem,No Return - Live!,One Way System,186.7ø
Jackie Was A Junkie,No Return - Live!,One Way System,142.1ø
Give Us a Future,Punk of Anagram,One Way System,160.3ø
You Make Me Spew,Chronic Generation,Chron Gen,73.2ø
Rock a Bill,Chronic Generation,Chron Gen,133.2ø
Mindless Few (Single Version),Chronic Generation,Chron Gen,189.4ø
Living Next Door to Alice,Live at the Waldorf,Chron Gen (with the Chron Squad),194.0ø
Lies (Single Version),Chronic Generation,Chron Gen,107.1ø
Jet Boy Jet Girl,Chronic Generation,Chron Gen,136.1ø
Hounds of the Night,Live at the Waldorf,Chron Gen,201.8ø
Disco Tech,Chronic Generation,Chron Gen,167.9ø
Val Kapot,Deurdonderen,Normaal,263.3ø
Oei_ Oei_ Oei_ Oei_ Foi Toch,Deurdonderen,Normaal,263.7ø
Mamma_ Woar Is Mien Pils,Deurdonderen,Normaal,178.5ø
L.D.N.N. (Loaw 't Dink Niet Duumen),Deurdonderen,Normaal,176.0ø
Deurdonderen,Deurdonderen,Normaal,233.7ø
Bloedarmoe,Deurdonderen,Normaal,260.3ø
You Ain't Seen Nothing Yet,Still Out Of Order,Infa Riot,126.5ø
The Winner,The Best Of Infa Riot,Infa Riot,149.9ø
Still Out Of Order,Still Out Of Order,Infa Riot,116.9ø
Power ,The Best Of Infa Riot,Infa Riot,207.0ø
In For A Riot,Still Out Of Order,Infa Riot,195.6ø
Friday Oh Friday,Still Out Of Order,Infa Riot,159.2ø
Five Minute Fashions (Demo),Still Out Of Order,Infa Riot,237.8ø
Five Minute Fashion,The Best Of Infa Riot,Infa Riot,200.8ø
Emergency,Live And Loud,Infa Riot,199.5ø
Each Dawn I Die,Live And Loud,Infa Riot,174.8ø
Catch 22,Still Out Of Order,Infa Riot,157.8ø
Catalogue Kids,Still Out Of Order,Infa Riot,144.2ø
Bootboys,The Best Of Infa Riot,Infa Riot,150.4ø
Heart's Desire,The Masters Series: Rare Groove,Don Blackman,269.6ø
Tonight I'm Gonna Make You Mine,Sneakin' Out,Stacy Lattisaw,185.8ø
Sneakin' Out,Sneakin' Out,Stacy Lattisaw,350.2ø
I Could Love You So Divine,Sneakin' Out,Stacy Lattisaw,256.1ø
Hey There Lonely Boy,Sneakin' Out,Stacy Lattisaw,236.0ø
Guys Like You [Give Love A Bad Name],Sneakin' Out,Stacy Lattisaw,244.7ø
Don't Throw It All Away,Sneakin' Out,Stacy Lattisaw,247.5ø
Attack Of The Name Game,Sneakin' Out,Stacy Lattisaw,383.8ø
Me Pregunto,La Esquina Del Viento / Andalucia,Medina Azahara,206.6ø
Sally Ditch,Complete Recordings,13th Chime,202.9ø
Fire,Complete Recordings,13th Chime,238.7ø
Dug Up,Complete Recordings,13th Chime,147.6ø
Cursed,Complete Recordings,13th Chime,249.4ø
X Affair,Caution In The Wind,Anti-Pasti,160.6ø
The Best Of Us,Caution In The Wind,Anti-Pasti,150.0ø
See How They Run,Caution In The Wind,Anti-Pasti,233.7ø
One Friday Night,Caution In The Wind,Anti-Pasti,144.0ø
Mr Mystery,Caution In The Wind,Anti-Pasti,149.2ø
Hate Circulation,Caution In The Wind,Anti-Pasti,167.5ø
Guinea Pigs,Caution In The Wind,Anti-Pasti,199.3ø
Get Out Now,Caution In The Wind,Anti-Pasti,166.2ø
East To The West,Caution In The Wind,Anti-Pasti,240.4ø
Caution In The Wind,Rondelet Records - Punk Singles Collection,Anti-Pasti,178.8ø
Beyond Belief,Caution In The Wind,Anti-Pasti,133.4ø
Agent ABC,Caution In The Wind,Anti-Pasti,176.8ø
You're All I Need To Get By,Stubborn Love,Kathy Troccoli,248.7ø
There's Still Time,Stubborn Love,Kathy Troccoli,225.0ø
Stubborn Love,Stubborn Love,Kathy Troccoli,272.7ø
Once In A Lifetime Love,Stubborn Love,Kathy Troccoli,287.6ø
Love Of My Life,Stubborn Love,Kathy Troccoli,242.4ø
Lord I Need You Now,Stubborn Love,Kathy Troccoli,245.7ø
Hand In Hand,Stubborn Love,Kathy Troccoli,235.5ø
The K.G.B. (Made A Man Out Of Me),Drop Out With The Barracudas,The Barracudas,131.6ø
Surfers Are Back,The Big Gap,Barracudas,128.2ø
Summer Fun (Alternative Version),Drop Out With The Barracudas,The Barracudas,163.0ø
Summer Fun,Drop Out With The Barracudas,The Barracudas,195.2ø
Somewhere Outside,Drop Out With The Barracudas,The Barracudas,194.7ø
Shades Of Today,Drop Out With The Barracudas,The Barracudas,182.2ø
On The Strip,Drop Out With The Barracudas,The Barracudas,163.3ø
I Can't Sleep,Drop Out With The Barracudas,The Barracudas,141.9ø
His Last Summer,Drop Out With The Barracudas,The Barracudas,213.9ø
Codeine,Two Sides Of A Coin,Barracudas,225.8ø
California Lament,Drop Out With The Barracudas,The Barracudas,222.2ø
(I Wish It Could Be) 1965 Again,Drop Out With The Barracudas,The Barracudas,206.6ø
Caged,The Complete Collection,1919,152.7ø
After The Fall,The Complete Collection,1919,262.3ø
I Can Take You To The Sun,Kats Karavan - The History Of John Peel On The Radio,The Misunderstood,219.4ø
Just Loving You,Motortown Revue - 40th Anniversary Collection,Kim Weston,176.6ø
Is It A Dream,Playlist: Electro,Classix Nouveaux,219.0ø
Because You're Young,The Very Best Of Classix Nouveaux,Classix Nouveaux,200.8ø
Give In,Gowan,Gowan,271.3ø
Yo no,Los singles y primeras grabaciones,Paralisis Permanente,221.7ø
Unidos,Los singles y primeras grabaciones,Paralisis Permanente,163.3ø
Todo el mundo,Heroes de los 80. El acto,Paralisis Permanente,125.1ø
Tengo un precio,Heroes de los 80. El acto,Paralisis Permanente,238.8ø
Tengo un pasajero,Heroes de los 80. El acto,Paralisis Permanente,154.2ø
Quiero ser tu perro,Heroes de los 80. El acto,Paralisis Permanente,152.2ø
Jugando a las cartas,Los singles y primeras grabaciones,Paralisis Permanente,130.6ø
Esto no es,Heroes de los 80. El acto,Paralisis Permanente,133.7ø
El Acto,Heroes de los 80. El acto,Paralisis Permanente,137.3ø
Bacanal,Heroes de los 80. El acto,Paralisis Permanente,167.2ø
Autosuficiencia,Los singles y primeras grabaciones,Paralisis Permanente,128.1ø
Adictos a la lujuria,Heroes de los 80. El acto,Paralisis Permanente,208.3ø
Ode,Cycles,David Darling,414.2ø
Fly,Cycles,David Darling,564.9ø
Cycle Song,Cycles,David Darling,429.3ø
You're Gonna Die,The Riot City Years 1982-1984,Chaotic Dischord,84.7ø
Fuck The World,The Riot City Years 1982-1984,Chaotic Dischord,134.0ø
Death of the Sun,King of the Dead,Cirith Ungol,234.0ø
Star,Het Beste Van Maywood,Maywood,183.3ø
Show Me The Way To Paradise,Het Beste Van Maywood,Maywood,178.1ø
My Love For You,Het Beste Van Maywood,Maywood,220.0ø
Get Away,Het Beste Van Maywood,Maywood,248.7ø
Ask For Tina,Het Beste Van Maywood,Maywood,194.7ø
So Long,Road Block,Sammy Dread,225.6ø
Road Block,Reggae Anthology: The Channel One Story,Sammy Dread,197.1ø
Jenny,Road Block,Sammy Dread,207.2ø
Jah Guide,Road Block,Sammy Dread,188.6ø
In A Man's Heart,Road Block,Sammy Dread,204.9ø
Dreadlocks Queen,Road Block,Sammy Dread,209.7ø
