Love At First Sight,Love At First Sight,Kylie Minogue,238.6ø
I Got Your Number (Read All About It Album Version),Read All About It,Newsboys,282.4ø
Hold On Tight (Read All About It Album Version),Read All About It,Newsboys,233.6ø
He's Coming Back (Read All About It Album Version),Read All About It,Newsboys,226.7ø
I'm Your Man,COHEN LIVE - LEONARD COHEN LIVE IN CONCERT,Leonard Cohen,329.9ø
Skin Trade (Parisian Mix),The Singles Box 1986 - 1995,Duran Duran,487.9ø
I Don't Want Your Love (LP Version),Big Thing,Duran Duran,246.5ø
All She Wants Is (US Master Mix),The Singles Box 1986 - 1995,Duran Duran,438.6ø
All She Wants Is,Big Thing,Duran Duran,275.1ø
Freak Scene,Sci-Fi Lo-Fi Vol. 3,Dinosaur Jr.,219.7ø
Land,Big Thing,Duran Duran,372.6ø
Drug (It's Just A State Of Mind) (Daniel Abraham Mix),Big Thing,Duran Duran,261.2ø
Drug (It's Just A State Of Mind),The Singles Box 1986 - 1995,Duran Duran,135.4ø
Fiesta,Just Look Them Straight In The Eye And Say... PogueMahone!!,The Pogues,235.4ø
Only The Good Die Young (1998 Digital Remaster),Seventh Son Of A Seventh Son,Iron Maiden,280.6ø
Moonchild (1998 Digital Remaster),Seventh Son Of A Seventh Son,Iron Maiden,340.5ø
Remember,Dust In The Wind,Billie Holiday,157.6ø
On the Sunny Side of the Street,Billie Holiday Volume 2,Billie Holiday,180.8ø
Moonlight In Vermont,Jazz Divas,Billie Holiday,227.8ø
Lover Man,Lady Day,Billie Holiday,198.1ø
All of Me,Billie Holiday Volume 4,Billie Holiday,182.2ø
Queen Of The Rodeo,Music Bank,Alice In Chains,279.0ø
Killing Yourself,Music Bank,Alice In Chains,158.2ø
I Can't Have You Blues,Music Bank,Alice In Chains,240.7ø
No Pain No Gain (Album),Prison Bound,Social Distortion,224.9ø
Lost Child (Album),Prison Bound,Social Distortion,258.7ø
Indulgence (Album),Prison Bound,Social Distortion,276.6ø
I Want What I Want (Album),Prison Bound,Social Distortion,184.0ø
My man,The Quintessence Vol.2 (New-York-Los Angeles),Billie Holiday,182.8ø
Embraceable you,The Quintessence Vol.2 (New-York-Los Angeles),Billie Holiday,196.7ø
Where Are You Tonite (Album Version),C.K.,Chaka Khan,296.4ø
Sticky Wicked (Album Version),C.K.,Chaka Khan,417.5ø
Baby Me (Album Version),C.K.,Chaka Khan,246.0ø
Watermark,Watermark,Enya,143.3ø
The Longships,Watermark,Enya,216.3ø
Storms In Africa,Watermark,Enya,242.1ø
River,Watermark,Enya,189.4ø
Orinoco Flow,Watermark,Enya,264.8ø
On Your Shore,Watermark,Enya,237.6ø
Na Laetha Geal M'oige,Watermark,Enya,236.1ø
Exile,Watermark,Enya,259.9ø
Good Old Days,Permanent Record: Al In The Box,Weird Al Yankovic,203.5ø
Alimony,Permanent Record: Al In The Box,Weird Al Yankovic,198.1ø
Good Love,SEVEN DAYS LIVE,Poison,283.0ø
Come And Get It,Ram It Down,Judas Priest,247.2ø
Blood Red Skies,Metal Works '73-'93,Judas Priest,469.0ø
Hollywood (Africa),What Hits?,Red Hot Chili Peppers,301.5ø
From Safety To Where,Joy Division: Martin Hannett's Personal Mixes,Joy Division,149.0ø
Fire,Woodstock '99,Red Hot Chili Peppers,170.0ø
Squarehead,Live At the Channel (Boston_ MA. 1988),Iggy Pop,303.9ø
Cold Metal,A Million In Prizes: Iggy Pop Anthology (Edited Version),Iggy Pop,207.8ø
Failures,Let The Movie Begin,Joy Division,146.9ø
That Lady,3 + 3,The Isley Brothers,258.2ø
Tower Of Song,Leonard Cohen: I'm Your Man,Leonard Cohen | U2,344.2ø
Jazz Police,The Collection,Leonard Cohen,231.7ø
First We Take Manhattan,Greatest Hits,Leonard Cohen,350.7ø
Everybody Knows,Greatest Hits,Leonard Cohen,334.4ø
Ain't No Cure For Love,Live In London,Leonard Cohen,376.9ø
Matter Of Time,UB40,UB40,202.1ø
Si Estamos Juntos,...Nada Como El Sol - Selecciones Especiales En Espanol Y Portugues,Sting,260.9ø
Fragilidad,...Nada Como El Sol - Selecciones Especiales En Espanol Y Portugues,Sting,233.6ø
Tell Mama,Pearl (Legacy Edition),Janis Joplin,407.3ø
Raise Your Hand,Janis Joplin: The Woodstock Experience,Janis Joplin,331.2ø
One Night Stand,Janis,Janis Joplin,188.5ø
Harry,Farewell Song,Janis Joplin,59.0ø
Farewell Song,Janis,Janis Joplin,262.3ø
Vibe Alive,Perfect Machine,Herbie Hancock,326.1ø
Santa Claus Is Comin' To Town,Christmas Harmonies,The Beach Boys,141.1ø
The Ordinary Boys (LP Version),Viva Hate,Morrissey,190.2ø
Margaret On The Guillotine (LP Version),Viva Hate,Morrissey,221.6ø
Little Man_ What Now? (LP Version),Viva Hate,Morrissey,108.2ø
I Know Very Well How I Got My Name,The Singles '88-91',Morrissey,122.0ø
Dial A Cliche,Viva Hate,Morrissey,148.2ø
Break Up The Family (LP Version),Viva Hate,Morrissey,234.7ø
Angel Angel Down We Go Together,Viva Hate,Morrissey,99.7ø
Alsatian Cousin (LP Version),Viva Hate,Morrissey,192.2ø
You Got It (The Right Stuff),Essential 80s - Classic Eighties Pop And Rock Hits,New Kids On The Block,249.1ø
Please Don't Go Girl,Hangin' Tough,New Kids On The Block,263.5ø
My Favorite Girl,No More Games/The Remix Album,New Kids On The Block,332.1ø
I Remember When,Hangin' Tough,New Kids On The Block,251.3ø
I Need You,Hangin' Tough,New Kids On The Block,215.0ø
Hold On,Hangin' Tough,New Kids On The Block,217.7ø
Hangin' Tough,Hangin' Tough,New Kids On The Block,256.5ø
Cover Girl,Super Hits,New Kids On The Block,245.4ø
Where Is My Mind?,Wave Of Mutilation: Best Of Pixies,Pixies,229.3ø
Gigantic,Debaser,Pixies,205.0ø
Bone Machine,Debaser,Pixies,184.3ø
No Problems,Maximum RocknRoll,NOFX,72.1ø
Id,Maximum RocknRoll,NOFX,120.6ø
Beast Within,Maximum RocknRoll,NOFX,56.8ø
Magic Of Love,Janis Joplin Live At Winterland '68,Janis Joplin,187.7ø
Strange Weather,Beautiful Maladies:  The Island Years,Tom Waits,214.2ø
16 Shells From A 30.6,Big Time,Tom Waits,258.1ø
All Night Long,Live,Lionel Richie,334.4ø
Memories,Maximum RocknRoll,NOFX,53.9ø
Tradewinds,Silhouette,Kenny G,249.8ø
Summer Song,Silhouette,Kenny G,270.7ø
Silhouette,Live,Kenny G,552.1ø
Pastel,Silhouette,Kenny G,345.5ø
I'll Be Alright,Silhouette,Kenny G,244.6ø
Home,Silhouette,Kenny G,261.1ø
All In One Night,Silhouette,Kenny G,316.9ø
Against Doctor's Orders,Silhouette,Kenny G,283.8ø
