A Human Certainty,Paganicons,Saccharine Trust,310.1ø
Resurrection,Complete Decry 82-86,Decry,223.5ø
Yesterday's News,The Boy That Just Went Wrong,Fred Eaglesmith,140.6ø
The Boy That Just Went Wrong,The Boy That Just Went Wrong,Fred Eaglesmith,274.0ø
Living Out On The Road,The Boy That Just Went Wrong,Fred Eaglesmith,233.1ø
Make My Home Where I Hang My Hat,Down On Bended Knee,Johnny Copeland,206.0ø
Honky Tonkin',Down On Bended Knee,Johnny Copeland,306.2ø
Devil's Hand,Down On Bended Knee,Johnny Copeland,186.2ø
Three Into Two Won't Go,I'm A Blues Man,Z. Z. Hill,172.2ø
Steal Away,The Down Home Soul Of Z Z Hill,Z Z Hill,164.0ø
It's Been So Long,I'm A Blues Man,Z. Z. Hill,209.6ø
I'm A Blues Man,In Memorium,Z. Z. Hill,214.5ø
Cheatin' Love,I'm A Blues Man,Z. Z. Hill,206.1ø
Blind Side,I'm A Blues Man,Z. Z. Hill,167.3ø
Era De Uranio,Elija Y Gane,Spinetta Jade,258.8ø
Break Dance - Electric Boogie,The Sugar Hill Hip-Hop Box Set,West Street Mob,308.5ø
It's Hard To Be Humble,True Country,Mac Davis,259.8ø
Vote For We,Stop That Train,Clint Eastwood & General Saint,211.3ø
Vote For Me,Stop That Train,Clint Eastwood & General Saint,213.5ø
True Vegetarian,Stop That Train,Clint Eastwood & General Saint,168.7ø
Stop That Train,Stop That Train,Clint Eastwood & General Saint,310.2ø
Stop Jack,Stop That Train,Clint Eastwood & General Saint,204.7ø
Shame & Scandal,Stop That Train,Clint Eastwood & General Saint,170.3ø
Rock With Me,Stop That Train,Clint Eastwood & General Saint,179.9ø
Nuclear Crisis,Stop That Train,Clint Eastwood & General Saint,274.1ø
"Monkey Man (12"" Mix)",Stop That Train,Clint Eastwood & General Saint,383.3ø
Monkey Man,Stop That Train,Clint Eastwood & General Saint,197.8ø
"Matty Gunga Walk (12"" Mix)",Stop That Train,Clint Eastwood & General Saint,350.9ø
Matty Gunga Walk,Stop That Train,Clint Eastwood & General Saint,224.4ø
H.A.P.P.Y.,Stop That Train,Clint Eastwood & General Saint,187.6ø
Everything Crash,Stop That Train,Clint Eastwood & General Saint,234.6ø
"Disco Queen (12"" Mix)",Stop That Train,Clint Eastwood & General Saint,297.0ø
Disco Queen,Stop That Train,Clint Eastwood & General Saint,176.7ø
United Races (Single Version),Cause For Alarm,Cause For Alarm,92.0ø
True Colors (Single Version),Cause For Alarm,Cause For Alarm,67.7ø
Time Will Tell (Single Version),Cause For Alarm,Cause For Alarm,127.6ø
Time To Try (Single Version),Cause For Alarm,Cause For Alarm,68.0ø
Stand As One (Single Version),Cause For Alarm,Cause For Alarm,61.5ø
Second Chance (Single Version),Cause For Alarm,Cause For Alarm,64.6ø
Poison In The Machine (Single Version),Cause For Alarm,Cause For Alarm,57.1ø
Parasite (Single Version),Cause For Alarm,Cause For Alarm,47.5ø
In Search Of (Single Version),Cause For Alarm,Cause For Alarm,45.8ø
Get The Glory,Laughin Complete Aa Tracks,Laughin'Nose,144.7ø
Death Trap,Laughin' Cunts Up Your Nose,Laughin'Nose,93.9ø
Tierra De Nadie,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,174.7ø
Que Dios Reparta Suerte,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,275.9ø
Mentir,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,211.0ø
Maquis,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,175.7ø
Gresca Gitana,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,213.5ø
Grado 33,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,221.5ø
World Without Pain (Remastered),Equator,Randy Stonehill,235.2ø
Shut De Do (Remastered),Equator,Randy Stonehill,165.2ø
Light Of The World (Remastered),Equator,Randy Stonehill,233.4ø
Hide Them In Your Love (Remastered),Equator,Randy Stonehill,215.1ø
Even The Best Of Friends (Remastered),Equator,Randy Stonehill,279.1ø
Cosmetic Fixation (Remastered),Equator,Randy Stonehill,254.2ø
China (Remastered),Equator,Randy Stonehill,330.0ø
Big Ideas [In The Shrinking World] (Remastered),Equator,Randy Stonehill,272.5ø
Room With A View,Room With A View,Let's Active,229.3ø
Make Up With Me,Make Up With Me,Let's Active,221.2ø
Every Word Means No,Every Word Means No,Let's Active,173.6ø
Trans Am,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,98.1ø
Suburbia,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,84.9ø
Status Symbol,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,82.8ø
Old People Talk Loud,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,34.1ø
Mischief Night,Network Of Friends 1,Adrenalin O.D.,73.6ø
House Husband,The Wacky Hi-Jinks of Adrenalin O.D.,Adrenalin O.D.,48.7ø
There Will Never Be Another You,Lennie Tristano - Manhattan Studio,Lennie Tristano,223.7ø
Momentum,Lennie Tristano - Manhattan Studio,Lennie Tristano,398.3ø
Mean To Me,Lennie Tristano - Manhattan Studio,Lennie Tristano,292.2ø
Manhattan Studio,Lennie Tristano - Manhattan Studio,Lennie Tristano,219.0ø
I'll See You In My Dreams,Lennie Tristano - Manhattan Studio,Lennie Tristano,183.1ø
I'll Remember April,Lennie Tristano - Manhattan Studio,Lennie Tristano,209.8ø
Too Young To Die,Master Of Disguise / The Dominatress,Savage Grace,312.5ø
The Dominatress,Master Of Disguise / The Dominatress,Savage Grace,261.5ø
Live To Burn,Master Of Disguise / The Dominatress,Savage Grace,212.2ø
Fight For Your Life,Master Of Disguise / The Dominatress,Savage Grace,271.6ø
Curse The Night,Master Of Disguise / The Dominatress,Savage Grace,336.3ø
Der Knutschfleck,Cover Mania - Die Deutsche,IXI,223.6ø
Way Out Of Shape (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,233.7ø
Waiting For A Train (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,292.3ø
Topless (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,225.8ø
Taking Over Heaven (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,235.8ø
Some Will Pay (For What Others Pay To Avoid) (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,222.5ø
Seeing Is Believing (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,198.1ø
Rainy Season (7'' Single Version),Jerky Versions Of The Dream,Howard Devoto,220.0ø
Rainy Season (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,305.4ø
Rainforest (Variation N16) (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,311.6ø
Out Of Shape With Me (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,252.0ø
I Admire You (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,314.2ø
Cold Imagination (2007 Digital Remaster),Jerky Versions Of The Dream,Howard Devoto,260.8ø
Make A Circuit With Me,The Best Of Polecats,Polecats,175.6ø
Pampa Power,Fluchtpunkt Dudenhofen,Rodgau Monotones,226.8ø
John Wayne Is Big Leggy,Electric 80s,Haysi Fantayzee,199.1ø
When You Were Mine,Air Harmonie (Live in Bonn 2008),Mitch Ryder,225.0ø
The Thrill Of It All,Air Harmonie (Live in Bonn 2008),Mitch Ryder,267.1ø
Swamp Baby,Sunglasses After Dark,Sunglasses After Dark,263.6ø
