We Are Not Alone,The Breakfast Club,Karla Devito,218.2ø
Could It Be I'm Falling In Love,Original Hits - Rap & Soul,David Grant & Jaki Graham,253.9ø
Drinkin' Wine Spo-dee-o-dee,Atomic Cocktails - Bring Another Drink,Stick McGhee,194.4ø
I've Got A Happy Heart,Country's Greatest Hits of the 70's,Susan Raye,101.0ø
Rosemary Recalls,The Man from Snowy River,Bruce Rowland,84.0ø
Main Theme,The Man from Snowy River,Bruce Rowland,91.6ø
End Titles,The Man from Snowy River,Bruce Rowland,235.8ø
When Your Lover Has Gone,Sonny Rollins [2-fer],Sonny Rollins Quartet,371.7ø
Paul's Pal,Prestige Profiles,Sonny Rollins Quartet,311.1ø
My Reverie,My Reverie,Sonny Rollins,369.7ø
Charlie's Shoes,Country Lover,Billy Walker,142.1ø
No Charge,The First Ladies Of Country - Honky Tonk Angels,Melba Montgomery,201.5ø
Voice,Network Of Friends 1,The Execute,115.1ø
Violent Few,Skins N Punks (Volume 1),Last Rough Cause,160.4ø
No Real Reason,Skins N Punks (Volume 1),Last Rough Cause,195.1ø
My Life,Skins N Punks (Volume 1),Last Rough Cause,123.2ø
Let Them Know,Skins N Punks (Volume 1),Last Rough Cause,135.6ø
Wide Awake  (LP Version),Change No Change,Elliot Easton,204.6ø
Walk On Walden  (LP Version),Change No Change,Elliot Easton,165.1ø
Tools Of Your Labor (LP Version),Change No Change,Elliot Easton,226.2ø
The Hard Way  (LP Version),Change No Change,Elliot Easton,193.4ø
Stop The World From Turning  (LP Version),Change No Change,Elliot Easton,310.4ø
Shayla  (LP Version),Change No Change,Elliot Easton,164.5ø
Long_ Long Time  (LP Version),Change No Change,Elliot Easton,282.1ø
Lonely Is the Dark (LP Version),Change No Change,Elliot Easton,265.9ø
Let It Slide  (LP Version),Change No Change,Elliot Easton,281.7ø
I Want You  (LP Version),Change No Change,Elliot Easton,215.3ø
Help Me  (LP Version),Change No Change,Elliot Easton,227.0ø
Fight My Way To Love  (LP Version),Change No Change,Elliot Easton,256.4ø
Change  (LP Version),Change No Change,Elliot Easton,190.9ø
(Wearing Down) Like A Wheel (LP Version),Change No Change,Elliot Easton,274.6ø
(She Made It) New For Me  (LP Version),Change No Change,Elliot Easton,256.4ø
Rockberry Jam,Eazy E & Posse,L.a. Dream Team,314.9ø
308,Malibooz Rule!,The Malibooz,132.0ø
