Prime Directive,Prime Directive,Dave Holland_ Chris Potter_ Robin Eubanks_ Steve Nelson_ Billy Kilson,466.3ø
Preoccupation,One Minute Science,Sunna,273.5ø
Power Struggle (Album Version),One Minute Science,Sunna,241.9ø
One Conditioning,One Minute Science,Sunna,241.3ø
O.D.,One Minute Science,Sunna,332.7ø
Insanity Pulse,One Minute Science,Sunna,229.0ø
I'm Not Trading,One Minute Science,Sunna,230.5ø
I Miss,One Minute Science,Sunna,276.4ø
Grape,One Minute Science,Sunna,400.1ø
Forlorn,One Minute Science,Sunna,260.0ø
7%,One Minute Science,Sunna,229.1ø
Dismissal of Faith,The Demos,Doctor Butcher,319.9ø
Bridges,The Demos,Doctor Butcher,333.7ø
Born of the Board,The Demos,Doctor Butcher,454.6ø
What Would You Do,Dance With Me,Debelah Morgan,257.4ø
Think Of You (Intro),Dance With Me,Debelah Morgan,35.6ø
Think Of You,Dance With Me,Debelah Morgan,209.2ø
Take The Rain Away,Dance With Me,Debelah Morgan,205.5ø
I Remember (Dark Child 01 Remix Extended) (Rodney Jerkins Remix Extended),Dance With Me,Debelah Morgan,249.3ø
I Remember (Album Version),Dance With Me,Debelah Morgan,238.0ø
I Can't Stop Loving You,Dance With Me,Debelah Morgan,235.4ø
Dance With Me (Soul Central Mix),Dance With Me,Debelah Morgan,217.3ø
Dance With Me (LP Version),Dance With Me,Debelah Morgan,221.9ø
Dance With Me (Boom Boom Remix),Dance With Me,Debelah Morgan,235.5ø
Come And Danz,Dance With Me,Debelah Morgan,219.5ø
Close To You (Lover's Bonus Track),Dance With Me,Debelah Morgan,241.0ø
Close To You,Dance With Me,Debelah Morgan,290.8ø
Bring Back The Sun,Dance With Me,Debelah Morgan,236.0ø
"Baila Conmigo (Spanish Version of ""Dance With Me"")",Dance With Me,Debelah Morgan,221.8ø
Baby I Need Your Love,Dance With Me,Debelah Morgan,234.6ø
End To End Rush,Johnny Hanson Presents Puck Rock Vol. 2,Swank,193.9ø
The Blue Experiment,The Boat - EP,Yuppie Flu,396.6ø
Order the Player Off the Field,The Boat - EP,Yuppie Flu,191.4ø
Kids Up a House Tree,The Boat - EP,Yuppie Flu,210.3ø
Boat or Swim,The Boat - EP,Yuppie Flu,256.4ø
A Song's a Song,The Boat - EP,Yuppie Flu,255.3ø
Stargazer,Distant Pulses,Negative Format,423.2ø
Nebula6 (The Outer Rim),Distant Pulses,Negative Format,429.6ø
Nebula3 (Remote Pilosophy),Distant Pulses,Negative Format,337.0ø
N.E.A.R.,Distant Pulses,Negative Format,333.6ø
Distant Pulses,Distant Pulses,Negative Format,474.6ø
Asking For The Future,Distant Pulses,Negative Format,365.8ø
There Is A Monster,The Flying Ballerina,Drums & Tuba,165.5ø
Pete's Dance,Box Fetish,Drums & Tuba,152.2ø
Out Of Case,Box Fetish,Drums & Tuba,74.6ø
Meter Maid,The Flying Ballerina,Drums & Tuba,106.8ø
Gimpel The Fool,Box Fetish,Drums & Tuba,76.6ø
Brief Case,Box Fetish,Drums & Tuba,114.6ø
Bertone,The Flying Ballerina,Drums & Tuba,289.6ø
Train Song,Voice Brother and Sister,Summer Hymns,304.8ø
Stick Your Tail in the Wind,Voice Brother and Sister,Summer Hymns,235.4ø
Mr. Brewer (Cackle_ Cackle),Voice Brother and Sister,Summer Hymns,333.2ø
Mazeway/Memorie,Voice Brother and Sister,Summer Hymns,337.7ø
Knock Louder,Voice Brother and Sister,Summer Hymns,115.8ø
In Crumb's Mind,Voice Brother and Sister,Summer Hymns,99.8ø
I Shall Miss Missing You,Voice Brother and Sister,Summer Hymns,117.1ø
Half Sick of Shadows,Voice Brother and Sister,Summer Hymns,121.4ø
Eating Bark,Voice Brother and Sister,Summer Hymns,249.0ø
Beginning to See,Voice Brother and Sister,Summer Hymns,92.6ø
You Make Me High (When You Go Down Low),Girls Fucking Shit Up,Lolita Storm,84.3ø
Slave Boy,Girls Fucking Shit Up,Lolita Storm,102.0ø
Run Baby Run,Girls Fucking Shit Up,Lolita Storm,112.6ø
Red Hot Riding Hood,Red Hot Riding Hood,Lolita Storm,160.1ø
O.K. Sid,Girls Fucking Shit Up,Lolita Storm,84.5ø
Meat Injection,Girls Fucking Shit Up,Lolita Storm,119.8ø
I Luv You So Much,Red Hot Riding Hood,Lolita Storm,202.9ø
I Luv Speed,Hot Lips Wet Pants,Lolita Storm,118.1ø
I Luv Daddy,Girls Fucking Shit Up,Lolita Storm,64.1ø
Hey Hot Stuff,Girls Fucking Shit Up,Lolita Storm,111.7ø
He's So Bad I Luv Him,Girls Fucking Shit Up,Lolita Storm,100.0ø
Feeling Inside,Girls Fucking Shit Up,Lolita Storm,78.2ø
Co-Op,Girls Fucking Shit Up,Lolita Storm,84.7ø
Boy,Red Hot Riding Hood,Lolita Storm,144.2ø
Anthea Turner's Tears,Girls Fucking Shit Up,Lolita Storm,88.1ø
That's For Sure,Music of Manhattan_ 1951,Lee Wiley,204.0ø
Ghost of a Chance,Music of Manhattan_ 1951,Lee Wiley,258.3ø
So deep,So Deep,Ann Lee,230.7ø
Sparring Provenance,Darla 100,Steven R. Smith,286.0ø
Sick Of Losing,Burner,Jane Jensen,255.8ø
Save The World,Burner,Jane Jensen,215.2ø
Rock That,Burner,Jane Jensen,206.6ø
Miss You,Burner,Jane Jensen,230.7ø
Illuminate,Burner,Jane Jensen,206.4ø
Fast Girl USA,Burner,Jane Jensen,258.1ø
Candy And Razor Blades,Burner,Jane Jensen,240.3ø
Burner,Burner,Jane Jensen,318.9ø
Yemura,History Of Things To Come,Ian O'Brien,492.3ø
Theme from Apollo,History Of Things To Come,Ian O'Brien,175.5ø
Hot rod lincoln,The early years 1967-1970 (Remastered),Commander Cody,161.2ø
Coffin Ed & Grave Digger Jones,Ginmill Perfume - The Story So Far 1995-2000,Flaming Stars,183.2ø
T.I.M,Let It Go,galactic cowboys,214.2ø
Song For Sybo,Let It Go,galactic cowboys,171.4ø
Ordinary,Let It Go,galactic cowboys,172.6ø
Life And Times,Let It Go,galactic cowboys,273.5ø
Hey Mr.,Let It Go,galactic cowboys,351.5ø
Future,Let It Go,galactic cowboys,211.7ø
Flag,Let It Go,galactic cowboys,195.3ø
Disney's Spinnin',Let It Go,galactic cowboys,275.1ø
Bucket Of Chicken,Let It Go,galactic cowboys,162.5ø
Another Hill,Let It Go,galactic cowboys,289.2ø
Quiero Tu Nombre Olvidar,En Familia,Vainica Doble,216.2ø
Nana En Re,En Familia,Vainica Doble,256.9ø
La Vegetariana,En Familia,Vainica Doble,157.6ø
La Flor De La Canalla,En Familia,Vainica Doble,278.9ø
El Ruido,En Familia,Vainica Doble,241.9ø
El Rey De La Selva,En Familia,Vainica Doble,215.0ø
El Pintor,En Familia,Vainica Doble,269.5ø
El Paisaje,En Familia,Vainica Doble,288.3ø
El Museo,En Familia,Vainica Doble,215.4ø
Don Marcial,En Familia,Vainica Doble,323.6ø
Dices Que Soy,Elefant Dosmiluno,Vainica Doble,198.4ø
Chinita De Shangai,En Familia,Vainica Doble,247.6ø
Caballero Medieval,En Familia,Vainica Doble,243.0ø
White Riot,Tortured Tunes - Live,Major Accident,87.7ø
Wasted Life (Demo),The Clockwork Demos,Major Accident,130.1ø
That's You (Demo),The Clockwork Demos,Major Accident,116.1ø
Terrorist Gang (Demo),The Clockwork Demos,Major Accident,129.1ø
Suzy Is A Headbanger (Demo),The Clockwork Demos,Major Accident,88.6ø
Self Appointed Hero (Demo),The Clockwork Demos,Major Accident,142.5ø
People Like You (Demo),The Clockwork Demos,Major Accident,185.5ø
In The World Today (Demo),The Clockwork Demos,Major Accident,147.3ø
Headline Story (Demo),The Clockwork Demos,Major Accident,280.5ø
Blitzkrieg Bop (Demo),The Clockwork Demos,Major Accident,108.9ø
Black And White (Demo),The Clockwork Demos,Major Accident,126.4ø
Alternative Ulster (Demo),The Clockwork Demos,Major Accident,148.3ø
(Standing On The) Sidelines (Demo) ,The Clockwork Demos,Major Accident,128.0ø
Vengeance attained,Messiah,STEEL PROPHET,389.6ø
Unseen,Messiah,STEEL PROPHET,313.2ø
Technocricide,Genesis,STEEL PROPHET,307.9ø
Nihilism's spell,Genesis,STEEL PROPHET,342.0ø
Mysteries Of Iniquity,Messiah,STEEL PROPHET,237.3ø
Ghost Once Past,Messiah,STEEL PROPHET,331.3ø
Earth and sky,Messiah,STEEL PROPHET,313.2ø
Dream Deceiver,Genesis,STEEL PROPHET,326.4ø
Don't you (forget about me),Genesis,STEEL PROPHET,279.1ø
3/7/47,Messiah,STEEL PROPHET,271.0ø
Bayou Boys,20 Favorites,Eddy Raven,167.9ø
Chameleon,Alexander The Great! - Monty Swings On MPS,Monty Alexander,420.9ø
Runnin' Round,The Legendary Marvin Pontiac - Greatest Hits,Marvin Pontiac,221.5ø
Dancin' (On A Saturday Night),Demon Music UK Top 20 Hits Vol 1,Barry Blue,192.8ø
Marathon man,Jazz beat,Bumcello,98.7ø
Musica,Lazer Attack,Ural 13 Diktators,420.6ø
Lazer Attack,Lazer Attack,Ural 13 Diktators,375.3ø
Elite Forces,Lazer Attack,Ural 13 Diktators,334.5ø
Chernobyl Reaction,Lazer Attack,Ural 13 Diktators,278.3ø
I've Got A Feeling I'm Falling,The Very Best Of,James P. Johnson,174.2ø
Charleston,Carolina Shout,James P Johnson,242.8ø
Logarhythmic,Psychoactive Scandosounds 2,Hux Flux,564.2ø
Live-N-Direct (Skit),Coming Forth By Day; the Book of the Dead,Scienz of Life,168.4ø
Divine Powerz,Coming Forth By Day; the Book of the Dead,Scienz of Life,299.4ø
Afro Dz Act 1,Coming Forth By Day; the Book of the Dead,Scienz of Life,237.1ø
The First Cut (Nightbreed),Modern Primitives,Catastrophe Ballet,293.4ø
One Last Kiss,Modern Primitives,Catastrophe Ballet,289.6ø
Mother (Serpent),Modern Primitives,Catastrophe Ballet,232.7ø
Love Ain't Dead...It Was Just Asleep,Modern Primitives,Catastrophe Ballet,288.5ø
Janus-Faced,Modern Primitives,Catastrophe Ballet,216.6ø
In the Moment When You Leave,Modern Primitives,Catastrophe Ballet,251.9ø
House of Hate (Re-Built 2000),Modern Primitives,Catastrophe Ballet,224.7ø
Angelfire,Modern Primitives,Catastrophe Ballet,67.7ø
Anarchy In the U.K.,Modern Primitives,Catastrophe Ballet,202.1ø
Your Friends,Spotlight On Dee Clark,Dee Clark,129.4ø
You're Looking Good,Greatest Hits,Dee Clark,133.3ø
I'm going back to school,The Dee Clark show,Dee Clark,455.3ø
How About That,Spotlight On Dee Clark,Dee Clark,153.8ø
High Heel Sneakers,Raindrops,Dee Clark,155.8ø
You'll Be There,Mary Coughlan Sings Billie Holiday,Mary Coughlan,243.7ø
Until The Real Thing Comes Along,Mary Coughlan Sings Billie Holiday,Mary Coughlan,192.2ø
These Foolish Things,Mary Coughlan Sings Billie Holiday,Mary Coughlan,239.4ø
Them There Eyes,Mary Coughlan Sings Billie Holiday,Mary Coughlan,175.2ø
Porgy,Mary Coughlan Sings Billie Holiday,Mary Coughlan,219.0ø
Nice Work If You Can Get It,Mary Coughlan Sings Billie Holiday,Mary Coughlan,179.1ø
Miss Brown To You,Mary Coughlan Sings Billie Holiday,Mary Coughlan,175.0ø
Love For Sale,Mary Coughlan Sings Billie Holiday,Mary Coughlan,330.1ø
I'll Be Seeing You,Mary Coughlan Sings Billie Holiday,Mary Coughlan,160.6ø
I Cover The Waterfront,Mary Coughlan Sings Billie Holiday,Mary Coughlan,243.5ø
Fine And Mellow,Mary Coughlan Sings Billie Holiday,Mary Coughlan,178.2ø
Don't Explain,Mary Coughlan Sings Billie Holiday,Mary Coughlan,301.0ø
Billie's Blues,Mary Coughlan Sings Billie Holiday,Mary Coughlan,174.2ø
Tuxedo Junction,Let's Swing - Volume 2,Erskine Hawkins & Orchestra,198.8ø
Sneakin' Out,Jukebox Hits 1940-1950,ERSKINE HAWKINS,193.8ø
Holiday For Swing,Radio Jazz - The best broadcasts 1937-1953,ERSKINE HAWKINS,247.5ø
Hawk's Boogie,Jukebox Hits 1940-1950,ERSKINE HAWKINS,178.4ø
Five O'Clock Whistle,Jukebox Hits 1940-1950,ERSKINE HAWKINS,186.8ø
Battlefield,Life Is A Carnival,The Wild Magnolias,228.0ø
I Feel Like Buddy Holly,A Songwriter's Tale,Mike Batt,267.5ø
Understand,Come My Way,Christine Anu,207.6ø
Sunshine On A Rainy Day,Come My Way,Christine Anu,226.6ø
Soul Chant (reprise),Come My Way,Christine Anu,207.5ø
Soul Chant,Come My Way,Christine Anu,66.9ø
Mothers Child,Come My Way,Christine Anu,291.4ø
Jump To Love,Come My Way,Christine Anu,237.0ø
Island Home (Earth Beat),Come My Way,Christine Anu,229.3ø
I Hear You Call,Come My Way,Christine Anu,238.6ø
Fire & Water (take Me Down),Come My Way,Christine Anu,239.6ø
Coz Im Free,Come My Way,Christine Anu,236.4ø
Change Your Mind,Come My Way,Christine Anu,210.7ø
Celebrate,Come My Way,Christine Anu,254.5ø
Beat Of Your Heart,Come My Way,Christine Anu,238.1ø
Under Cover Feat Nada,Flying Eye Land,California Sunshine,456.6ø
The Future Now,Wonderland,California Sunshine,437.9ø
Rocket,Flying Eye Land,California Sunshine,484.5ø
Jungle Dream,Flying Eye Land,California Sunshine,489.9ø
Futuro,Wonderland,California Sunshine,483.1ø
Forest,Flying Eye Land,California Sunshine,512.7ø
Flying Eye Land,Flying Eye Land,California Sunshine,480.3ø
Bhadones,Wonderland,California Sunshine,480.0ø
Wari Wah,Moors And Christians,James Hardway,264.9ø
Movin On,Moors And Christians,James Hardway,445.6ø
Lovesensi,Moors And Christians,James Hardway,319.6ø
Los Locus Inglis,Moors And Christians,James Hardway,246.0ø
Amala Eh,Moors And Christians,James Hardway,254.3ø
Fascinated (Original Mix),Fascinated - The Remixes,Company B,453.0ø
Bass Mechanic (Ford's House Mix Radio Edit),Bass Mechanic,Bass Mekanik,213.3ø
Hang your head in shame,Old Shep,Red Foley,175.3ø
XYZ,New Recovery,NRA,125.7ø
Shuo Meng,Muse,Candy Lo,327.2ø
Shi Jie Jin Tou . Nou Ku Yi Jing,Muse,Candy Lo,205.7ø
Nu Mo Shu Shi De Cui Mian Liao Fa (Hypootherapy),Muse,Candy Lo,223.6ø
Dai Ni Fa Meng,Muse,Candy Lo,227.5ø
The Hole,Future,Artist Unknown,307.3ø
Standing On The Shoulder Of Midgets Part 4,Future,Artist Unknown,106.3ø
Standing On The Shoulder Of Midgets Part 3,Future,Artist Unknown,80.2ø
Standing On The Shoulder Of Midgets Part 2,Future,Artist Unknown,42.7ø
Standing On The Shoulder Of Midgets Part 1,Future,Artist Unknown,40.8ø
Sad Song,Future,Artist Unknown,272.2ø
Masheen,Future,Artist Unknown,424.6ø
Mantra Debil,Future,Artist Unknown,244.5ø
Luvgun,Future,Artist Unknown,278.7ø
Dancelikespasztx,Future,Artist Unknown,357.0ø
Anthem,Future,Artist Unknown,307.8ø
Tribal War,Too Rude,Too Rude,294.2ø
Not Today,Too Rude,Too Rude,230.1ø
New Sheriff,Too Rude,Too Rude,219.9ø
Meet You There,Too Rude,Too Rude,283.1ø
If You Love It,Too Rude,Too Rude,252.0ø
Got Nothin',Too Rude,Too Rude,253.0ø
Drop By,Too Rude,Too Rude,234.7ø
Dog History,Too Rude,Too Rude,289.4ø
Do You Feel What I Mean?,Acustico,Too Rude (Dogboy),305.2ø
Do You Feel What I Dub?,Too Rude,Too Rude,265.1ø
Connected,Too Rude,Too Rude,226.5ø
Triton (the light guide),Crisis,Symbyosis,334.0ø
To Decant Souls,The Fluid,Symbyosis,136.2ø
The Quest,The Fluid,Symbyosis,352.6ø
The obscure periplus of thanos,Crisis,Symbyosis,306.3ø
The epileptic modern artistic non-beliver,Crisis,Symbyosis,275.3ø
Synthesis,Crisis,Symbyosis,335.0ø
Self mutation,Crisis,Symbyosis,285.2ø
Little princess,Crisis,Symbyosis,190.9ø
Kahl palyn,Crisis,Symbyosis,216.0ø
Ephemeral life conductor,Crisis,Symbyosis,201.1ø
Der waltz von gehangen,Crisis,Symbyosis,154.2ø
Crusades Pt 3  : Angels,The Fluid,Symbyosis,74.8ø
Crusades Pt 2 : Thibalt,The Fluid,Symbyosis,299.7ø
Crusades Pt 1 :  Faith,The Fluid,Symbyosis,318.1ø
Acrid nebula,Crisis,Symbyosis,266.1ø
Why Can't I Get You Off My Mind,Soldados De Plata,La Tropa F,198.9ø
Toma Mi Amor,30 Del Recuerdo,La Tropa F,169.6ø
Sin Tu Amor,Soldados De Plata,La Tropa F,258.9ø
Ritmo Y Sabor,Soldados De Plata,La Tropa F,170.3ø
No Me Mates,Soldados De Plata,La Tropa F,179.6ø
Esperando El Milenio,Soldados De Plata,La Tropa F,171.5ø
Botas Y Sombrero,Esto Es Lo Nuestro - 20 Exitos,La Tropa F,156.7ø
Neyzen,Bellydancing Breakbeats,Oojami,314.7ø
Melons,Melons/Latmo,The Amalgamation Of Soundz_,348.7ø
Latmo,Melons/Latmo,The Amalgamation Of Soundz_,480.6ø
The Hollow Blue,8 Miles High,Superheist,254.7ø
Pulse,8 Miles High,Superheist,215.9ø
Detonate,8 Miles High,Superheist,188.0ø
Crank The System,The Prize Recruit,Superheist,224.3ø
Beach View,8 Miles High,Superheist,182.3ø
1.4.U,8 Miles High,Superheist,251.2ø
Relax With Mekon,Relax With Mekon,Mekon feat. Shawn Lee|Deckwrecka,228.2ø
Out Of My Soul,Relax With Mekon,Mekon Feat. Marc Almond,366.8ø
Let's Rok,Relax With Mekon,Mekon,255.4ø
Let Me Hit 'Em,Relax With Mekon,Mekon feat. Evil B,312.2ø
Irregular,Relax With Mekon,Mekon feat. Major,230.3ø
Everywhere,Relax With Mekon,Mekon,268.5ø
Eurostar,Relax With Mekon,Mekon feat. Jacques Lu Cont,367.0ø
Calm Gunshot,Relax With Mekon,Mekon feat. Lesley Winer,251.7ø
I Got Lost In His Arms,Annie Get Your Gun,Ethel Merman | Chorus,166.9ø
Friendship,The Best Of Broadway Vol 2,Ethel Merman,106.8ø
Eadie Was a Lady,25 Years In Memoriam,Ethel Merman,382.4ø
Doin' What Comes Natur'lly,The Best Of Broadway Vol 1,Ethel Merman,200.4ø
City of Lost Children,Where No One Knows My Name,Enemy You,178.8ø
Shush Dafty,Punk Rock High Roller,Jacknife Lee,264.3ø
My Baby Got the Beat,Punk Rock High Roller,Jacknife Lee,223.3ø
Juice Machine,Punk Rock High Roller,Jacknife Lee,260.2ø
Jacknife Lee Is Your Friend_ Let Me In,Punk Rock High Roller,Jacknife Lee,305.3ø
I Think About You,Punk Rock High Roller,Jacknife Lee,232.5ø
I Love Your Sauce,Punk Rock High Roller,Jacknife Lee,251.4ø
Do Your Thing Cornball,Punk Rock High Roller,Jacknife Lee,228.6ø
Aloha Satelite Special,Punk Rock High Roller,Jacknife Lee,263.3ø
1970's Dictator Chic,Punk Rock High Roller,Jacknife Lee,197.9ø
Lost Sense Of The Cosmic,Early Man,Tummler,489.4ø
Waves Waltz,Gerroa Songs,Archer Prewitt,154.1ø
The Bay,Gerroa Songs,Archer Prewitt,118.0ø
Tell Me Now,Gerroa Songs,Archer Prewitt,218.5ø
Gerroa,Gerroa Songs,Archer Prewitt,322.8ø
Another Peace of Mind,Gerroa Songs,Archer Prewitt,311.6ø
Along The Coast,Gerroa Songs,Archer Prewitt,201.1ø
Panamerica,Panamerica 2007,Major Boys,458.7ø
Tziganne,Situation Dangerous,Bozzio Levin Stevens,267.8ø
Tragic,Situation Dangerous,Bozzio Levin Stevens,419.6ø
Dangerous,Situation Dangerous,Bozzio Levin Stevens,400.1ø
Yes Mama,Clarks Booty,Little John,228.8ø
Long Time Comin',Best of Wayne Fontana & The Mindbenders,Wayne Fontana | The Mindbenders,126.5ø
Like I Did,Best of Wayne Fontana & The Mindbenders,Wayne Fontana | The Mindbenders,151.7ø
It's All Here,Tundra,Anneli Drecker,194.2ø
Winey Winey,Let's Do Rocksteady: The Story Of Rocksteady 1966-68,The Kingstonians,172.9ø
What Goes Around,Soft Place To Fall,Deborah Coleman,254.3ø
The Day It Comes,Soft Place To Fall,Deborah Coleman,234.2ø
Soft Place To Fall,Soft Place To Fall,Deborah Coleman,263.0ø
Nothin' To Do With Love,Soft Place To Fall,Deborah Coleman,214.7ø
Look What You Do To Me,Soft Place To Fall,Deborah Coleman,220.4ø
If You Love Me Like You Say,Soft Place To Fall,Deborah Coleman,218.3ø
I'm A Woman,Soft Place To Fall,Deborah Coleman,291.8ø
Confused,Soft Place To Fall,Deborah Coleman,209.4ø
Another Hoping Fool,Soft Place To Fall,Deborah Coleman,255.2ø
Satisfaction,Fundamental Reggae Vol.01,Carl Dawkins,176.9ø
The Outer Space,Exclusively Talentmaker!,Optiganally Yours,260.0ø
Rake,Exclusively Talentmaker!,Optiganally Yours,196.9ø
Poodleman,Exclusively Talentmaker!,Optiganally Yours,141.7ø
Oar,Exclusively Talentmaker!,Optiganally Yours,263.1ø
I'm Bad At Sports,Exclusively Talentmaker!,Optiganally Yours,135.3ø
Held,Exclusively Talentmaker!,Optiganally Yours,244.4ø
Gepetto,Exclusively Talentmaker!,Optiganally Yours,201.5ø
Figaro,Exclusively Talentmaker!,Optiganally Yours,216.4ø
Ether,Exclusively Talentmaker!,Optiganally Yours,101.0ø
Empire State Human,Reproductions: Songs Of The Human League,Optiganally Yours,190.8ø
Donut,Exclusively Talentmaker!,Optiganally Yours,134.0ø
Requiem For Hartford Ave. (LP Version),Layin' In The Cut,James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],358.3ø
Oriental Shuffle,Chasin' The Gypsy,James Carter,484.0ø
Nuages (Clouds),Chasin' The Gypsy,James Carter,336.7ø
Layin' In The Cut (LP Version),Layin' In The Cut,James Carter [Featuring Jef Lee Johnson_ Marc Ribot_ Jamaaladeen Tacuma And G. Calvin Weston],417.6ø
La Derniere Bergere (The Last Shepherdess),Chasin' The Gypsy,James Carter,394.4ø
Imari's Lullaby,Chasin' The Gypsy,James Carter,229.8ø
I'll Never Be The Same,Chasin' The Gypsy,James Carter,438.0ø
Chasin' The Gypsy,Chasin' The Gypsy,James Carter,242.8ø
Avalon,Chasin' The Gypsy,James Carter,278.5ø
Artillerie Lourde (Heavy Artillery),Chasin' The Gypsy,James Carter,415.9ø
Jamais Je Ne T'Ai Dit Que Je T'Aimerai Toujours,The Immortal Jeanne Moreau,Jeanne Moreau,206.7ø
Howzit In Dallas?,Texas Rhythm Club,Joe McBride,271.2ø
You've Got Me,Panorama,Cosmic Rough Riders,188.4ø
Value Of Life,Panorama,Cosmic Rough Riders,161.2ø
The Pain Inside,Panorama,Cosmic Rough Riders,203.8ø
The Gun Isn't Loaded,Panorama,Cosmic Rough Riders,175.3ø
Have You Heard The News Today?,Panorama,Cosmic Rough Riders,174.2ø
Delta 1.73,Delta 1 EP,Nuclear Ramjet,589.9ø
Delta 1.6,Delta 1 EP,Nuclear Ramjet,595.0ø
Way,Jen Chapin Live at the Bitter End,Jen Chapin,273.2ø
She's Gone,Jen Chapin Live at the Bitter End,Jen Chapin,247.1ø
River,Jen Chapin Live at the Bitter End,Jen Chapin,364.0ø
Portrait,Jen Chapin Live at the Bitter End,Jen Chapin,345.5ø
Open Wide,Jen Chapin Live at the Bitter End,Jen Chapin,203.3ø
Me Be Me,Jen Chapin Live at the Bitter End,Jen Chapin,409.1ø
Manchild,Jen Chapin Live at the Bitter End,Jen Chapin,319.7ø
I'll Take You With Me,Jen Chapin Live at the Bitter End,Jen Chapin,244.1ø
Good At Love,Jen Chapin Live at the Bitter End,Jen Chapin,297.8ø
'Til I Get There,Jen Chapin Live at the Bitter End,Jen Chapin,352.8ø
What To Do,Exotic Dancer Blues,Southern Gentlemen,312.3ø
Too Hot For Love,Exotic Dancer Blues,Southern Gentlemen,289.4ø
Time Traveler,Exotic Dancer Blues,Southern Gentlemen,415.6ø
Madness In The Dark,Exotic Dancer Blues,Southern Gentlemen,339.1ø
I Feel So Blue,Exotic Dancer Blues,Southern Gentlemen,307.6ø
Give your Lust (Bonus Track),Exotic Dancer Blues,Southern Gentlemen,204.3ø
Exotic Dancer Blues,Exotic Dancer Blues,Southern Gentlemen,268.7ø
Ease The Pain,Exotic Dancer Blues,Southern Gentlemen,248.8ø
Drive Me Wild,Exotic Dancer Blues,Southern Gentlemen,355.6ø
Down To New Orleans,Exotic Dancer Blues,Southern Gentlemen,290.4ø
Back Door Woman,Exotic Dancer Blues,Southern Gentlemen,362.6ø
Rag In G,Texas Blues Guitar,Mance Lipscomb,120.6ø
Mama_ Don't Dog Me,Texas Songster,Mance Lipscomb,203.7ø
Ain't It Hard,Texas Blues Guitar,Mance Lipscomb,195.3ø
