Desperate Dan,The Greatest Hits,Lieutenant Pigeon,169.1ø
Neon City (LP Version),Jumpin' The Gunne,Jo Jo Gunne,158.8ø
Monkey Music (LP Version),Jumpin' The Gunne,Jo Jo Gunne,204.6ø
I Wanna Love You (LP Version),Jumpin' The Gunne,Jo Jo Gunne,230.2ø
High School Drool (LP Version),Jumpin' The Gunne,Jo Jo Gunne,215.1ø
Getaway (LP Version),Jumpin' The Gunne,Jo Jo Gunne,211.4ø
Couldn't Love You Better (LP Version),Jumpin' The Gunne,Jo Jo Gunne,180.2ø
Broken Down Man (LP Version),Bite Down Hard,Jo Jo Gunne,226.9ø
Before You Get Your Breakfast (LP Version),Jumpin' The Gunne,Jo Jo Gunne,252.4ø
At The Spa (LP Version),Jumpin' The Gunne,Jo Jo Gunne,174.9ø
When the Stars Begin to Fall,On Radio - Volume 4,Blue Sky Boys,127.5ø
Little Bessie,Classic Country Remastered: Charlotte_ NC - Rock Hills_ SC 1937_ 1938 (CD B),The Blue Sky Boys,190.3ø
New World Coming,Imaginational Anthem_ Vol. 2,Billy Faier,445.8ø
Wufferton Frog (LP Version),There's An Innocent Face,Curt Boetcher,249.4ø
The Choice Is Yours (LP Version),There's An Innocent Face,Curt Boetcher,129.8ø
Such A Lady (LP Version),There's An Innocent Face,Curt Boetcher,125.9ø
She'll Stay With You (LP Version),There's An Innocent Face,Curt Boetcher,142.4ø
Malachi Star (LP Version),There's An Innocent Face,Curt Boetcher,170.3ø
Love You Yes I Do (LP Version),There's An Innocent Face,Curt Boetcher,197.7ø
Lay Down (LP Version),There's An Innocent Face,Curt Boetcher,204.5ø
I've Been Wrong (LP Version),There's An Innocent Face,Curt Boetcher,218.3ø
I Love You More Each Day (LP Version),There's An Innocent Face,Curt Boetcher,160.3ø
Bobby California (LP Version),There's An Innocent Face,Curt Boetcher,280.9ø
We Are Your Children Too,Watch,Seatrain,222.0ø
Watching The River Flow,Watch,Seatrain,203.3ø
Scratch,Watch,Seatrain,225.1ø
Pack Of Fools,Watch,Seatrain,275.6ø
North Coast,Watch,Seatrain,263.4ø
Freedom Is The Reason,Watch,Seatrain,255.5ø
Bloodshot Eyes,Watch,Seatrain,180.7ø
Abbeville Fair,Watch,Seatrain,294.5ø
Voglia Di Rivivere,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,214.6ø
Smarrimento,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,479.0ø
Paura Del Niente,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,466.3ø
Fuga E Morte,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,440.2ø
E Poi,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,125.3ø
Cimitero Di Guerra,Io Non So Da Dove Vengo_ E Non So Dove Mai Andro'.Uomo E' Il Nome Che Mi Han Dato,De De Lind,319.4ø
Mizrab,The Sorcerer,Gabor Szabo,418.9ø
