Birdhouse In Your Soul (LP Version),Flood,They Might Be Giants,198.9ø
Bearer Of Pain (Live Fryshuset 90_ mixing desk version),Live,CANDLEMASS,370.3ø
Step Back,Let The Rhythm Hit 'Em,Eric B. & Rakim,270.7ø
Set 'Em Straight,Let The Rhythm Hit 'Em,Eric B. & Rakim,273.2ø
Run For Cover,Let The Rhythm Hit 'Em,Eric B. & Rakim,292.9ø
Mahogany,Let The Rhythm Hit 'Em,Eric B. & Rakim,277.8ø
Let The Rhythm Hit 'Em,Let The Rhythm Hit 'Em,Eric B. & Rakim,371.6ø
Keep 'Em Eager To Listen,Let The Rhythm Hit 'Em,Eric B. & Rakim,281.2ø
In The Ghetto,The 18th Letter / The Book Of Life,Eric B. & Rakim,326.2ø
Eric B. Made My Day,Let The Rhythm Hit 'Em,Eric B. & Rakim,312.9ø
U-Godit Gowin On,Lalah Hathaway,Lalah Hathaway,207.1ø
Stay Home Tonight,Lalah Hathaway,Lalah Hathaway,254.8ø
Somethin',Lalah Hathaway,Lalah Hathaway,218.4ø
Smile,Lalah Hathaway,Lalah Hathaway,293.9ø
Sentimental,Lalah Hathaway,Lalah Hathaway,220.4ø
Obvious,Lalah Hathaway,Lalah Hathaway,315.5ø
I'm Coming Back,Lalah Hathaway,Lalah Hathaway,336.6ø
I Gotta Move On,Lalah Hathaway,Lalah Hathaway,286.2ø
Heaven Knows,Lalah Hathaway,Lalah Hathaway,317.8ø
Point Of No Return ( The Train Part III ),Back To The Future III,Alan Silvestri,228.2ø
Time Stands Still  (Album Version),Fire And Love,Guardian,266.8ø
The Rain  (Album Version),Fire And Love,Guardian,331.6ø
Takin' On The World  (Album Version),Fire And Love,Guardian,232.9ø
Never Say Goodbye (Album Version),Fire And Love,Guardian,304.8ø
Forever And A Day  (Album Version),Fire And Love,Guardian,311.0ø
Yes and No,Swell,Swell,248.7ø
Wooden Hippie Nice,Swell,Swell,208.9ø
Stop,Swell,Swell,199.0ø
Get High,Swell,Swell,192.4ø
A Town,Swell,Swell,279.5ø
Miracles Need Wings To Fly,Love Songs,Teena Marie,311.2ø
Just Us Two,Super Hits,Teena Marie,365.5ø
Cry Me A River,Nature Boy: The Standards Album,Aaron Neville,274.1ø
Voy A Hablar Con El,Esta Es Tu Vida,Hombres G,161.6ø
Tengo Hambre,Esta Es Tu Vida,Hombres G,170.7ø
Solo Al Llover,Esta Es Tu Vida,Hombres G,333.0ø
Rita,1984 - 1992 Disco Libro,Hombres G,173.5ø
Estoy Pintando Tu Sonrisa,Esta Es Tu Vida,Hombres G,134.0ø
Esta Es Tu Vida II,Esta Es Tu Vida,Hombres G,161.3ø
Esta Es Tu Vida,Peligrosamente Juntos,Hombres G,272.0ø
En La Arena,Esta Es Tu Vida,Hombres G,228.0ø
El Tiempo No Es Mi Amigo,Esta Es Tu Vida,Hombres G,217.8ø
El Rey Del Rock'n'Roll,Esta Es Tu Vida,Hombres G,199.4ø
The Beast,Bloodletting,Concrete Blonde,232.3ø
I Don't Need A Hero,Bloodletting,Concrete Blonde,265.3ø
Caroline,Bloodletting,Concrete Blonde,332.2ø
Bloodletting (The Vampire Song),Recollection - The Best Of,Concrete Blonde,270.3ø
Miller's Crossing,Miller's Crossing,Carter Burwell,155.8ø
Caspar Laid Out,Miller's Crossing,Carter Burwell,117.6ø
Camptown Races,Gone With The Wind,The Dave Brubeck.....,130.0ø
Your Time Is Gonna Come,Un-led-Ed,Dread Zeppelin,310.3ø
Whole Lotta Love,Live: Front Yard Bar*B*Que,Dread Zeppelin,96.2ø
Moby Dick,Best Of The IRS Years,Dread Zeppelin,257.7ø
Medley: Heartbreaker (At The End of the Lonely Street)/Heartbreak Hotel,Un-led-Ed,Dread Zeppelin,286.9ø
Immigrant Song,Bootleg,Dread Zeppelin,197.7ø
I Can't Quit You Baby,Bootleg,Dread Zeppelin,266.1ø
Bring It On Home,Un-led-Ed,Dread Zeppelin,275.1ø
Ragtime Cowboy Joe,Let's All Sing With The Chipmunks,The Chipmunks With David Seville,127.2ø
You Win Again,Shooting Straight In The Dark,Mary Chapin Carpenter,241.7ø
When She's Gone,Shooting Straight In The Dark,Mary Chapin Carpenter,305.0ø
The Moon And St. Christopher,Shooting Straight In The Dark,Mary Chapin Carpenter,260.9ø
Down At The Twist And Shout,Party Doll And Other Favorites,Mary Chapin Carpenter,197.5ø
Can't Take Love For Granted,Shooting Straight In The Dark,Mary Chapin Carpenter,240.4ø
Love Is Here To Stay,What A Wonderful Duet,Ella Fitzgerald & Louis Armstrong,234.0ø
Under One Condition  (LP Version),In The Heart Of The Young,Winger,270.6ø
Miles Away,Down Incognito,Kip Winger,240.3ø
Loosen Up (LP Version),In The Heart Of The Young,Winger,208.9ø
Little Dirty Blonde (LP Version),In The Heart Of The Young,Winger,213.9ø
Little Dirty Blonde,Demo Anthology,Winger,219.6ø
In The Heart Of The Young  (LP Version),In The Heart Of The Young,Winger,277.5ø
In The Day We'll Never See,Demo Anthology,Winger,209.8ø
Can't Get Enough (LP Version),In The Heart Of The Young,Winger,258.3ø
Baptized By Fire (LP Version),In The Heart Of The Young,Winger,251.0ø
Love Will Make Your Mind Go Wild,Spotlight On,The Penguins,156.6ø
Kiss A Fool Goodbye,Spotlight On,The Penguins,171.3ø
You Are The One,More Of The Night,The Whispers,326.3ø
My Heart Your Heart,More Of The Night,The Whispers,319.1ø
More of the Night,More Of The Night,The Whispers,362.5ø
Misunderstanding,More Of The Night,The Whispers,349.0ø
Innocent (Heat Of The Heat Edit),More Of The Night,The Whispers,277.6ø
Innocent,More Of The Night,The Whispers,316.5ø
Help them See the Light,More Of The Night,The Whispers,324.8ø
Girl Don't Make Me Wait,More Of The Night,The Whispers,266.7ø
Forever Lover,More Of The Night,The Whispers,289.3ø
Don't Be Late For Love,More Of The Night,The Whispers,312.7ø
Babes,More Of The Night,The Whispers,255.0ø
Punishment Park,Unita - Les Maxis,Indochine,233.9ø
Ships Are Sailing,Access All Areas,Axxis,236.7ø
Living Inside Your Love,The Legacy Of Phyllis Hyman,Phyllis Hyman,373.0ø
All Over You,Anthology,Freddie Jackson,271.3ø
Together,Together,Anne Murray,173.0ø
Nevertheless (I'm In Love With You),Somebody's Waiting,Anne Murray,198.2ø
Touch The Rainbow,Access All Areas,Axxis,212.9ø
Save Me,Access All Areas,Axxis,251.8ø
Little Look Back,Access All Areas,Axxis,237.2ø
La Fourmi,Rive Gauche On Radio,Juliette Greco,79.8ø
NAHKAPARTURI,Cloaca Maxima,CMX,108.3ø
The Story Of My Life,The Essential Marty Robbins  1951-1982,Marty Robbins,154.6ø
That's All Right,Rockabilly's Best - Vol 1,Marty Robbins,141.1ø
Return To Me,The Essential Marty Robbins  1951-1982,Marty Robbins,174.7ø
I Couldn't keep From Crying,The Essential Marty Robbins  1951-1982,Marty Robbins,167.5ø
Devil Woman,The Story Of My Life: The Best Of Marty Robbins 1952-1965,Marty Robbins,174.4ø
A White Sport Coat,20 All Time Greats Of The 50's,Marty Robbins,150.6ø
The Showdown,Back To The Future III,Alan Silvestri,89.5ø
The Hanging,Back To The Future III,Alan Silvestri,104.1ø
First Carnage,Predator 2,Alan Silvestri,156.2ø
Medina,Best Of Youssou N'dour,Youssou N'Dour,201.6ø
Attenti Al Lupo,La Neve Con La Luna......,Lucio Dalla,295.5ø
Apriti Cuore,Amen,Lucio Dalla,326.2ø
Johnny B,Both Sides Live,The Hooters,242.8ø
Gib Uns Etwas Zeit.,Unendlich Mehr,Pur,223.8ø
Freunde,Live,Pur,304.5ø
So In To You,Anthology: Greatest & Latest,Atlanta Rhythm Section,292.4ø
Strada Firenze,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,80.5ø
Stallo,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,58.5ø
Sparo,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,192.2ø
Secondo Incontro,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,35.9ø
Scena D'Amore Studio,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,85.8ø
Prigione Pozzo,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,70.9ø
Fusione,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,108.9ø
Bozzetto,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,79.7ø
Borgo,Una Vita Scellerata: Musiche Per Il Film,Franco Battiato,68.6ø
Space Beer,Best Case Scenario: 25 Years In Beers,Tankard,255.1ø
Beermuda,Best Case Scenario: 25 Years In Beers,Tankard,282.7ø
Sorridi,Giannissima,Gianna Nannini,221.2ø
Rollercoaster,Honey's Dead,The Jesus And Mary Chain,226.2ø
When The Rainbow Comes,Goodbye Jumbo,World Party,298.9ø
Way Down Now,Goodbye Jumbo,World Party,229.0ø
Sweet Soul Dream,Goodbye Jumbo,World Party,279.2ø
Show Me To The Top,Goodbye Jumbo,World Party,314.5ø
Put The Message In The Box,Goodbye Jumbo,World Party,256.3ø
Love Street,Goodbye Jumbo,World Party,261.0ø
God On My Side,Goodbye Jumbo,World Party,255.4ø
And I Fell Back Alone,Goodbye Jumbo,World Party,237.0ø
Ain't Gonna Come Till I'm Ready,Goodbye Jumbo,World Party,305.3ø
Unison (LP Version),Laura Branigan,Laura Branigan,280.6ø
Turn The Beat Around (LP Version),Laura Branigan,Laura Branigan,258.4ø
The Best Was Yet To Come  (LP Version),Laura Branigan,Laura Branigan,201.9ø
Smoke Screen (LP Version),Laura Branigan,Laura Branigan,245.4ø
Reverse Pyschology (LP Version),Laura Branigan,Laura Branigan,213.5ø
No Promise-No Guarantee  (LP Version),Laura Branigan,Laura Branigan,301.3ø
Never In A Million Years  (LP Version),Laura Branigan,Laura Branigan,249.9ø
Moonlight on Water (LP Version),Laura Branigan,Laura Branigan,279.4ø
Let Me In  (LP Version),Laura Branigan,Laura Branigan,314.5ø
Bad Attitude (LP Version),Laura Branigan,Laura Branigan,241.9ø
Wings,The Dream Goes On - From the Black Sword to Distant Horizons: An Anthology 1985-1997,Hawkwind,309.1ø
Wrap My Arms Around Him,Le Jardin De Heavenly,Heavenly,186.3ø
Our Love Is Heavenly,Le Jardin De Heavenly,Heavenly,209.4ø
I Fell In Love Last Night,Heavenly Vs. Satan,Heavenly,320.0ø
Love Is Blue,The World's Most Popular Pianist Plays Pop Hits For Swinging Romantics,Richard Clayderman,104.5ø
Blue Eyes,The World's Most Popular Pianist Plays Bee Gees_ Elton John and Other Favorites,Richard Clayderman,186.2ø
Yearning For Your Love,The Future,Guy,296.1ø
Where Did The Love Go,The Future,Guy,74.6ø
Wanna Get With U,The Future,Guy,484.0ø
Total Control,The Future,Guy,178.7ø
The Future,The Future,Guy,283.7ø
Teddy's Jam 2,The Future,Guy,258.6ø
Tease Me Tonite,The Future,Guy,310.0ø
Long Gone,The Future,Guy,353.5ø
Let's Stay Together,The Future,Guy,240.5ø
Let's Chill,The Future,Guy,323.9ø
Her,The Future,Guy,232.8ø
Gotta Be A Leader,The Future,Guy,286.5ø
Do Me Right,The Future,Guy,263.3ø
D-O-G Me Out,The Very Best Of Guy,Guy,265.9ø
Peace To The World,Live At San Quentin,B.B. King,236.0ø
Buzz Me,Let The Good Times Roll:  The Music Of Louis Jordan,B.B. King,172.6ø
Mama,Raindrops&.Always Raindrops,BJ Thomas,187.2ø
(Hey Won't You Play) Another Somebody Done Somebody Wrong Song,True Country,B.J. THOMAS,199.7ø
Tower Of Inspiration,Master Plan,Dave Weckl,239.4ø
Softly_ As In A Morning Sunrise,Master Plan,Dave Weckl,300.9ø
Master Plan,Master Plan,Dave Weckl,493.9ø
Island Magic,Master Plan,Dave Weckl | Chick Corea,295.4ø
In Common,Master Plan,Dave Weckl | Eric Marienthal,354.8ø
Here And There,Master Plan,Dave Weckl | Eric Marienthal,368.2ø
Garden Wall,Master Plan,Dave Weckl | Michael Brecker,272.1ø
Festival De Ritmo,Master Plan,Dave Weckl | Eric Marienthal,291.8ø
Auratune,Master Plan,Dave Weckl,287.1ø
Room At The Top,True School Party,Adam Ant,249.4ø
Believers Of The Unpure,Jesus Points The Bone At You?,Christian Death,354.1ø
Dismembered,Like An Everflowing Stream,DISMEMBER,353.6ø
While My Guitar Gently Weeps,Rootless Cosmopolitans,Marc Ribot,122.6ø
The Wind Cries Mary,Rootless Cosmopolitans,Marc Ribot,303.2ø
The Cocktail Party,Rootless Cosmopolitans,Marc Ribot,300.5ø
Shortly After Takeoff,Rootless Cosmopolitans,Marc Ribot,253.6ø
Nature Abhors A Vacuum Cleaner,Rootless Cosmopolitans,Marc Ribot,273.7ø
I Should Care,Rootless Cosmopolitans,Marc Ribot,78.7ø
Have A Nice Day,Rootless Cosmopolitans,Marc Ribot,228.2ø
Friendly Ghosts,Rootless Cosmopolitans,Marc Ribot,320.6ø
Beak Lunch Manifesto,Rootless Cosmopolitans,Marc Ribot,389.1ø
The Gentle Kind,Stray,Aztec Camera,332.6ø
The Crying Scene,Stray,Aztec Camera,214.7ø
Stray,Stray,Aztec Camera,333.3ø
Song For A Friend,Stray,Aztec Camera,148.0ø
Over My Head,Stray,Aztec Camera,353.5ø
Notting Hill Blues,Stray,Aztec Camera,401.5ø
How It Is,Stray,Aztec Camera,240.2ø
Good Morning Britain,Stray,Aztec Camera,242.5ø
Get Outta London,Stray,Aztec Camera,221.5ø
The Child's Right,Various Failures,Swans,216.4ø
Please Remember Me,Various Failures,Swans,289.0ø
Miracle Of Love,Various Failures,Swans,386.9ø
Drink To Me Only With Thine Eyes,Various Failures,Swans,77.6ø
Dream Dream,Various Failures,Swans,332.1ø
Black Eyed Dog,Various Failures,Swans,237.2ø
Put Your Trust In Me,Sweet Talker,Richard Thompson,226.9ø
Ebony Tears,Serpents Gold,Cathedral,281.1ø
The Glow Worm,The Fabulous Fifties Vol 1,The Mills Brothers,158.6ø
Old Fashioned Love,Old Fashioned Love,The Mills Brothers,134.5ø
Georgia On My Mind,The Gipsy King,Django Reinhardt_ Stephane Grappelli,192.4ø
Yonder Comes A Sucker,Moments Vol. 1,Jim Reeves,152.3ø
Snowflake,Up Through The Years/ Distant Drums,Jim Reeves,129.9ø
Mexican Joe,RCA  Country Legends,Jim Reeves,157.6ø
I Guess I'm Crazy,RCA  Country Legends,Jim Reeves,145.1ø
Bimbo,Granada,Jim Reeves,248.5ø
Adios Amigo,My Greatest Songs,Jim Reeves,151.2ø
Tuna Recreativa,Mingos E Os Samurais,Rui Veloso,176.6ø
No Dia Em Que O Meno Rock Morreu,Mingos E Os Samurais,Rui Veloso,159.6ø
Morena De Azul,Mingos E Os Samurais,Rui Veloso,266.3ø
Fio De Beque,Mingos E Os Samurais,Rui Veloso,201.6ø
World Clique (LP Version),World Clique,Deee-Lite,202.8ø
Who Was That (LP Version),World Clique,Deee-Lite,274.6ø
What Is Love? (LP Version),World Clique,Deee-Lite,228.7ø
What Is Love? (Holographic Goatee Mix),100 Chillout Classics,Deee-Lite,220.5ø
Smile On (LP Version),World Clique,Deee-Lite,238.0ø
Groove Is In The Heart (LP Version),World Clique,Deee-Lite,233.1ø
Groove Is In The Heart,Push It!,Deee-Lite,232.9ø
Good Beat (LP Version),World Clique,Deee-Lite,278.7ø
E.S.P. (LP Version),World Clique,Deee-Lite,224.3ø
Deee-Lite Theme (LP Version),World Clique,Deee-Lite,129.2ø
Build The Bridge (LP Version),World Clique,Deee-Lite,271.7ø
Ballad Medley: Alone Together; Summertime;Come Rain Or Come Shine,Dinah Jams,Dinah Washington,439.2ø
Choo Choo Ch' Boogie,Live at Austin City Limits Music Festival 2006: Asleep at the Wheel,Asleep At The Wheel,331.0ø
Miserable,Una Aventura...La Historia,Grupo Niche,322.0ø
Bar Y Copas,The Best,Grupo Niche,257.8ø
Atrevida,The Best,Grupo Niche,276.9ø
Your Old Magic,Tennessee Woman,Tanya Tucker,191.7ø
Walking Shoes,20 Greatest Hits,Tanya Tucker,158.7ø
Take Another Run,Tennessee Woman,Tanya Tucker,181.5ø
Shotgun,Tennessee Woman,Tanya Tucker,207.3ø
San Antonio Stroll,The Ultimate Collection,Tanya Tucker,168.1ø
Oh What It Did To Me,20 Greatest Hits,Tanya Tucker,211.4ø
Goodbye Baby,Tennessee Woman,Tanya Tucker,206.7ø
Tricky Trick,The Collection,Whodini,305.6ø
In The Beginning,The Collection,Whodini,220.6ø
Haunted House Of Rock,Greatest Hits,Whodini,392.9ø
Be Yourself,Greatest Hits,Whodini featuring Millie Jackson,203.5ø
Any Way I Gotta Swing It,Greatest Hits,Whodini,267.2ø
Ain't Nobody,Funk Unit - Live In Stockholm,Nils Landgren,242.4ø
Test Of Time,Rhythm Romance,The Romantics,203.3ø
Shotgun Boogie,Krokus' Stop The World,Krokus,320.8ø
She Drives Me Crazy,Krokus' Stop The World,Krokus,313.8ø
Good Times,Krokus' Stop The World,Krokus,281.5ø
Electric Man,Krokus' Stop The World,Krokus,323.2ø
Valley Vista,Eroica,Wendy & Lisa,224.0ø
Turn Me Inside Out,Eroica,Wendy & Lisa,272.3ø
Staring At The Sun,Eroica,Wendy & Lisa,258.8ø
Skeleton Key,Eroica,Wendy & Lisa,251.7ø
Rainbow Lake,Eroica,Wendy & Lisa,282.4ø
Porch Swing,Eroica,Wendy & Lisa,324.2ø
Mother Of Pearl,Eroica,Wendy & Lisa,310.4ø
Don't Try To Tell Me,Eroica,Wendy & Lisa,282.6ø
Crack In The Pavement,Eroica,Wendy & Lisa,204.5ø
Persearsenaali,1990-1992,YUP,122.7ø
Kirvesperseet,1990-1992,YUP,153.2ø
Paradise (Will Shine Like The Moon),Carved In Sand,The Mission,233.9ø
Metal Guru,Carved In Sand,The Mission,148.1ø
Into The Blue,Sum And Substance,The Mission,288.3ø
Bird Of Passage,The Mission At The BBC,The Mission,266.3ø
Pace Verde,White Winds,Andreas Vollenweider,318.0ø
Let There Be Music (LP Version),Still The One,Orleans,243.1ø
Dance With Me (LP Version),Still The One,Orleans,200.0ø
Rub A Dub Style,Rab A Dab Stail,Los Pericos,237.0ø
If Anybody Had A Heart,The Complete John Waite_ Volume One: Falling Backwards,John Waite,269.1ø
Mama Weer All Crazee Now,Carved In Sand,The Mission,227.3ø
Hands Across The Ocean,Grains Of Sand,The Mission,230.0ø
Hand Of Love,Thunder Up,The Sound,200.4ø
Sunshine,The Yellow Album,The Archies,202.0ø
NIILO YLI-MAINIO,Hatullinen Paskaa / Soolot,Eppu Normaali,178.3ø
We're Out Of Gas,Back To The Future III,Alan Silvestri,77.6ø
Wake Up Juice,Back To The Future III,Alan Silvestri,71.3ø
Truly Dead,Predator 2,Alan Silvestri,297.9ø
This Is History,Predator 2,Alan Silvestri,388.7ø
Rest In Pieces,Predator 2,Alan Silvestri,94.9ø
Goodbye Clara,Back To The Future III,Alan Silvestri,181.7ø
End Credits,Back To The Future III,Alan Silvestri,240.5ø
Dem Bones,Predator 2,Alan Silvestri,270.1ø
Danny Gets It,Predator 2,Alan Silvestri,200.0ø
A Science Experiment? ( The Train Part I ),Back To The Future III,Alan Silvestri,190.4ø
Tiger Rag,Masters Of Jazz Vol. 3,Art Tatum,132.1ø
This Can't Be Love,Tatum Group Masterpieces_ Vol 2,Art Tatum,229.6ø
St. Louis Blues,The History Of Jazz Vol. 2,Art Tatum,149.6ø
Moonglow,Jazzmasters Vol 7 - Art Tatum - Part 2,Art Tatum,152.3ø
I Would Do Anything For You,On The Sunny Side Of The Street,Art Tatum,150.6ø
Solo Con Io,La Storia,Rino Gaetano,194.3ø
Le Beatitudini,Sotto I Cieli Di Rino,Rino Gaetano,232.3ø
War,Bunny Wailer Tribute to Bob Marley,Bunny Wailer,230.0ø
Time Will Tell,Bunny Wailer Tribute to Bob Marley,Bunny Wailer,207.9ø
Soul Rebel,Bunny Wailer Tribute to Bob Marley,Bunny Wailer,265.2ø
No Woman No Cry,Made In Jamaica - Reggae (Music from the Motion Picture),Bunny Wailer,218.2ø
Paracidal Epitaph,Tortured Existence,Demolition Hammer,329.7ø
Neanderthal,Tortured Existence,Demolition Hammer,304.1ø
Mercenary Aggression,Tortured Existence,Demolition Hammer,205.3ø
Infectious Hospital Waste,Tortured Existence,Demolition Hammer,301.3ø
Hydrophobia,Tortured Existence,Demolition Hammer,190.0ø
Gelid Remains,Tortured Existence,Demolition Hammer,323.3ø
Crippling Velocity,Tortured Existence,Demolition Hammer,345.3ø
Cataclysm,Tortured Existence,Demolition Hammer,348.5ø
Encore,The Best Of Cheryl Lynn:  Got To Be Real,Cheryl Lynn,273.3ø
