Pennies From Heaven,The Best of Louis Prima,Louis Prima,169.4ø
Keep A Knockin',Tutti Frutti & Other Favorites (Digitally Remastered),Little Richard,128.4ø
Jenny Jenny,Talking 'Bout Soul,Little Richard,117.2ø
Alice In Wonderland,Stardust,The Dave Brubeck Quartet,213.5ø
It's You I Love,US - June - 1957,Fats Domino,123.4ø
The Meaning Of The Blues (Single Version) (2002 Digital Remaster),About The Blues,Julie London,179.0ø
The Meaning Of The Blues (2002 Digital Remaster),About The Blues,Julie London,178.9ø
Snuggled On Your Shoulder,Make Love To Me,Julie London,223.6ø
Shadow Woman (2002 Digital Remaster),About The Blues,Julie London,159.1ø
Midnight Sun,The Essential Julie London Collection,Julie London,149.1ø
Meaning Of The Blues,About The Blues/London By Night,Julie London,176.5ø
Make Love To Me,Make Love To Me,Julie London,152.0ø
Invitation To The Blues,Invitation To The Blues,Julie London,176.7ø
Go Slow,Make Love To Me,Julie London,135.0ø
Dream Of You,The Essential Julie London Collection,Julie London,162.0ø
Don'cha Go 'Way Mad,Julie / Love On The Rocks,Julie London,157.1ø
Daddy,London By Night / Julie,Julie London,139.9ø
Bye Bye Blues,About The Blues/London By Night,Julie London,100.5ø
Bouquet Of Blues (2002 Digital Remaster),About The Blues,Julie London,178.5ø
Blues In The Night,Invitation To The Blues,Julie London,233.2ø
Basin Street Blues,Invitation To The Blues,Julie London,187.5ø
Alone Together,Make Love To Me,Julie London,145.6ø
All My Life,The Essential Julie London Collection,Julie London,183.7ø
About The Blues (2002 Digital Remaster),About The Blues,Julie London,188.7ø
About The Blues,Invitation To The Blues,Julie London,187.4ø
A Room With A View,Make Love To Me,Julie London,176.0ø
A Nightingale Can Sing The Blues,About The Blues/London By Night,Julie London,191.4ø
One Bass Hit,The Quintessence : Stockholm - New York - Paris (1938 - 1949),Kenny Clarke,174.7ø
Don't Gamble With Love,Backline Volume 58,Paul Anka,148.5ø
Diana,Schellackstars Vol.2,Paul Anka,146.6ø
Who Do You Love,La Bamba,Bo Diddley,183.7ø
Diddy Wah Diddy,Hey! Bo Diddley,Bo Diddley,146.7ø
You Stepped Out Of A Dream,The Twelfth Of Never,Johnny Mathis,164.4ø
Will I Find My Love Today,The Twelfth Of Never,Johnny Mathis,214.0ø
Too Close For Comfort,The Twelfth Of Never,Johnny Mathis,154.5ø
The Twelfth Of Never,US - October - 1957,Johnny Mathis,141.4ø
Looking At You,Johnny Mathis,Johnny Mathis,136.3ø
Walkin' After Midnight,High Noon - 22 Country Memories,Patsy Cline,152.7ø
Too Many Secrets,That's How Much I Love You,Patsy Cline,138.6ø
That Wonderful Someone,Lovesick Blues,Patsy Cline,148.6ø
I Don't Wanna,I'm Blue Again,Patsy Cline,143.1ø
Hungry for Love,The Best of Patsy Cline - The Early Years,Patsy Cline,151.1ø
Fingerprints,Music Trends - Country Busters,Patsy Cline,171.8ø
Someday My Prince Will Come,For All Time,The Dave Brubeck Quartet,380.5ø
Say Boss Man,The Story Of Bo Diddley: Very Best Of,Bo Diddley,151.6ø
Mona,Turn up the house lights,Bo Diddley,327.4ø
Hush Your Mouth,The Story Of Bo Diddley: Very Best Of,Bo Diddley,169.2ø
Before You Accuse Me,Blues! Blues! Blues!,Bo Diddley,183.3ø
Wake Up Little Susie,1957 - UK - November,Everly Brothers,126.0ø
Maybe Tomorrow,Rock & Roll Legenden (The Platters Vs. The Everly Brothers),The Everly Brothers,124.2ø
I Wonder If I Care As Much,They're Off and Rolling_ Says Archie,The Everly Brothers,135.4ø
Bye Bye Love,50's Pop Gold Vol. 2,The Everly Brothers,160.1ø
You're My Everything,Chronicles - The Complete Prestige Recordings 1951-1956,Miles Davis Quintet,287.5ø
Woody'N You,Chronicles - The Complete Prestige Recordings 1951-1956,Miles Davis Quintet,302.6ø
Oleo,Best of Jazz,Miles Davis Quintet Feat. John Coltrane,248.3ø
It Could Happen To You,56 Quintet - Best Of,Miles Davis,400.4ø
If I Were A Bell,The Very Best Of Prestige Records (60th Anniversary),Miles Davis Quintet,500.1ø
Young Blood,Yakety Yak & Other Hits (Digitally Remastered),The Coasters,134.2ø
Searchin' (LP Version),The Coasters,The Coasters,166.9ø
Searchin',Yakety Yak & Other Hits (Digitally Remastered),The Coasters,183.0ø
One Kiss (LP Version),The Coasters,The Robins aka The Coasters,171.3ø
Down In Mexico,Spotlight On The Coasters,The Coasters,199.4ø
