I And I,Infidels,Bob Dylan,311.4ø
Riot Squad (1991 Digital Remaster),Rock For Light,Bad Brains,119.7ø
Riot Squad,Rat Music for Rat People Vol. IV,Bad Brains,135.7ø
Right Brigade (1991 Digital Remaster),Rock For Light,Bad Brains,127.6ø
Rally Round Jah Throne (1991 Digital Remaster),Rock For Light,Bad Brains,238.7ø
Joshua's Song (1991 Digital Remaster),Rock For Light,Bad Brains,32.3ø
Joshua's Song,Live at CBGB 1982,Bad Brains,36.5ø
Jam (1991 Digital Remaster),Rock For Light,Bad Brains,75.8ø
I And I Survive (1991 Digital Remaster),Rock For Light,Bad Brains,313.7ø
I and I Survive,Live at CBGB 1982,Bad Brains,342.9ø
I (1991 Digital Remaster),Rock For Light,Bad Brains,115.5ø
How Low Can A Punk Get (1991 Digital Remaster),Rock For Light,Bad Brains,109.5ø
How Low Can a Punk Get,Live at CBGB 1982,Bad Brains,127.7ø
F.V.K. (1991 Digital Remaster),Rock For Light,Bad Brains,58.5ø
F.V.K.,Live at CBGB 1982,Bad Brains,67.4ø
Destroy Babylon (1991 Digital Remaster),Rock For Light,Bad Brains,79.3ø
Destroy Babylon,Live at CBGB 1982,Bad Brains,85.3ø
Coptic Times (1991 Digital Remaster),Rock For Light,Bad Brains,126.3ø
Big Takeover (1991 Digital Remaster),Rock For Light,Bad Brains,149.2ø
Attitude (1991 Digital Remaster),Rock For Light,Bad Brains,69.9ø
At The Movies (1991 Digital Remaster),Rock For Light,Bad Brains,136.4ø
Spread Your Love,Powerlight,Earth_ Wind & Fire,234.0ø
Side By Side,Powerlight,Earth_ Wind & Fire,356.2ø
Hearts To Heart,Powerlight,Earth_ Wind & Fire,225.7ø
Fall In Love With Me,The Essential,Earth_ Wind & Fire,234.0ø
No Control,The Best Of Eddie Money,Eddie Money,253.7ø
