Cracked Brain,Thrash Anthems,DESTRUCTION,223.7ø
A New Life,Total Recall: The Deluxe Edition,Jerry Goldsmith,142.2ø
Put Your Finger In The Air,Pete Seeger: A Link In The Chain,Pete Seeger,98.2ø
Michael Row The Boat Ashore,Pete Seeger: A Link In The Chain,Pete Seeger,136.5ø
Ilka's Bedouin Tune,Children's Concert At Town Hall,Pete Seeger,90.5ø
I've Been Working on the Railroad,Song and Play Time,Pete Seeger,69.1ø
Didn' Ol' John Cross The Water On His Knees,Children's Concert At Town Hall,Pete Seeger,106.2ø
Be Kind To Your Parents,Children's Concert At Town Hall,Pete Seeger,69.9ø
Applause,Children's Concert At Town Hall,Pete Seeger,31.0ø
You Were Meant For Me (LP Version),A Donny Hathaway Collection,Donny Hathaway,231.1ø
To Be Young_ Gifted And Black (LP Version),A Donny Hathaway Collection,Donny Hathaway,401.2ø
Someday We'll All Be Free (LP Version),A Donny Hathaway Collection,Donny Hathaway,250.7ø
I Love You More Than You'll Ever Know (LP Version),A Donny Hathaway Collection,Donny Hathaway,322.9ø
A Song For You (LP Version),A Donny Hathaway Collection,Donny Hathaway,325.0ø
Mujer Amante,Magos_ Espadas Y Rosas,Rata Blanca,363.1ø
La Leyenda Del Hada y El Mago,Magos_ Espadas Y Rosas,Rata Blanca,322.4ø
Haz Tu Jugada,Magos_ Espadas Y Rosas,Rata Blanca,379.0ø
El Camino Del Sol,Magos_ Espadas Y Rosas,Rata Blanca,566.7ø
El Beso De La Bruja,Magos_ Espadas Y Rosas,Rata Blanca,257.1ø
Will You Come To The Bower,Wild Rover - The Best Of,The Dubliners,235.2ø
Roisin Dubh,Originals,The Dubliners,246.2ø
I'll Tell My Ma,Irish Pipe & Tinwhistle Songs,The Dubliners,126.1ø
Boulavogue,The Dubliners,The Dubliners,253.1ø
That's Why I Love You So,Reet Petite,Jackie Wilson,124.5ø
The Return Of Maggie Brown,Lousy With Love - The B-Sides Of Del Amitri,Del Amitri,224.0ø
Love In My Veins,Small Feces Vol. 2,Turbonegro,261.4ø
Let's Go To Mars,Small Feces Vol. 2,Turbonegro,127.0ø
Cockwork,Small Feces Vol. 2,Turbonegro,170.0ø
The Meaning Of The Blues,Now You See It ... (Now You Don't),Michael Brecker,364.0ø
Quiet City,Now You See It ... (Now You Don't),Michael Brecker,367.3ø
Peep,Now You See It ... (Now You Don't),Michael Brecker,448.5ø
Ode To The Doo Da Day,Now You See It ... (Now You Don't),Michael Brecker,351.1ø
Never Alone,Now You See It ... (Now You Don't),Michael Brecker,336.2ø
Minsk,Now You See It ... (Now You Don't),Michael Brecker,546.6ø
Escher Sketch (A Tale Of Two Rhythms),Now You See It ... (Now You Don't),Michael Brecker,326.0ø
Dogs In The Wine Shop,Now You See It ... (Now You Don't),Michael Brecker,394.8ø
Playa Del Carmen,Zyryab,Paco De Lucia,267.1ø
Falling In Love Again,Love Songs Of The War Years,Marlene Dietrich,196.6ø
Don't Ask Me,The Greatest Hits... So Far,Public Image Ltd,222.1ø
Something To Hold On To,Hell To Pay,The Jeff Healey Band,238.0ø
Life Beyond The Sky,Legacy:Volume One,The Jeff Healey Band,264.9ø
Let It All Go,Hell To Pay,The Jeff Healey Band,225.1ø
I Think I Love You Too Much,LIVE AT MONTREUX,The Jeff Healey Band,343.3ø
I Can't Get My Hands On You,Hell To Pay,The Jeff Healey Band,222.7ø
How Much,Hell To Pay,The Jeff Healey Band,288.4ø
How Long Can A Man Be Strong,Hell To Pay,The Jeff Healey Band,267.2ø
Highway Of Dreams,Hell To Pay,The Jeff Healey Band,288.3ø
Hell To Pay,Hell To Pay,The Jeff Healey Band,234.8ø
Full Circle,Legacy:Volume One,The Jeff Healey Band,280.4ø
War Now,Sexual Favours - Live!,The Exploited,243.3ø
Sexual Favours,Sexual Favours - Live!,The Exploited,231.3ø
Law & Order,Live And Loud,Exploited,154.5ø
Swingin' Low,Telstar: The Joe Meek Story OST,The Outlaws,123.4ø
Tardes De Bolonha,Existir,Madredeus,184.6ø
O Pomar Das Laranjeiras,Existir,Madredeus,260.0ø
O Menino,Existir,Madredeus,236.5ø
Cuidado,Existir,Madredeus,252.6ø
A Vontade De Mudar,Existir,Madredeus,138.5ø
Victory Is Mine,Victory Is Mine,Dennis Brown,213.5ø
Silver,Smile,Ride,252.4ø
Perfect Time,Smile,Ride,233.8ø
Nowhere,Sci-Fi Lo-Fi Vol. 3,Ride,324.3ø
Like A Daydream,Smile,Ride,185.8ø
Furthest Sense,Smile,Ride,202.5ø
European Son,Unpiecing the Jigsaw - A Tribute to The Velvet Underground,Ride,234.8ø
Drive Blind,Smile,Ride,284.8ø
Close My Eyes,Smile,Ride,326.1ø
Chelsea Girl,Smile,Ride,176.7ø
All I Can See,Smile,Ride,203.3ø
Stompin' At The Savoy,Far Wes,Wes Montgomery,264.6ø
Leila,Far Wes,Wes Montgomery,210.9ø
Far Wes,Far Wes,Wes Montgomery,355.6ø
Troubadour,Live at the Folklore Center_ NYC - March 6_ 1967,Tim Buckley,270.3ø
The Earth is Broken,Dream Letter,Tim Buckley,419.6ø
Introduction,Dream Letter,Tim Buckley,66.2ø
The Lion Sleeps Tonight (Wimoweh),Down Memory Lane,The Tokens,160.6ø
Mister Jive,Parole d'Amore Scritte A Macchina,Paolo Conte,135.8ø
Il Maestro,Parole d'Amore Scritte A Macchina,Paolo Conte,209.1ø
Don't break my heart,Paolo Conte Live,Paolo Conte,147.5ø
Nu Disco,Peking Spring,Mission Of Burma,198.8ø
Mar y Arena,"Ana Gabriel ""En Vivo",Ana Gabriel,198.8ø
Ay Amor,"Ana Gabriel ""En Vivo",Ana Gabriel,203.8ø
Gente Della Notte,Lorenzo - Raccolta,Jovanotti,267.3ø
U & Mi Rmx 91,Hello Afrika,Dr.Alban,303.0ø
U & Mi,The Very Best Of 1990 - 1997,Dr. Alban,226.7ø
The Alban Prelude,Hello Afrika,Dr. Alban,97.4ø
Sweet Reggae Music,Hello Afrika,Dr.Alban,327.5ø
Stop The Pollution,Hello Afrika,Dr. Alban,221.5ø
Proud! (To Be Afrikan),Hello Afrika,Dr. Alban,257.6ø
Our Father (Pather Noster),Hello Afrika,Dr. Alban,285.1ø
No Coke  (Remix),Hello Afrika,Dr. Alban,229.1ø
No Coke,The Very Best Of 1990 - 1997,Dr.Alban,235.7ø
Hello Afrika,The Very Best Of 1990 - 1997,Dr. Alban feat. Leila K.,337.4ø
Groove Machine II,Hello Afrika,Dr. Alban,129.7ø
Love Love Love,Summer Hits No. One,The Queers,150.3ø
Junk Freak,Grow Up,The Queers,233.7ø
I Met Her At The Rat,Grow Up,The Queers,184.6ø
Goodbye California,Grow Up,The Queers,144.0ø
Hang On To A Dream,Life Of Riley - The Lightning Seeds Collection,The Lightning Seeds,142.7ø
Love Call (Alternate),Love Call,Ornette Coleman,331.5ø
Love Call,Love Call,Ornette Coleman,525.6ø
Check Out Time,Love Call,Ornette Coleman,502.9ø
Broad Way Blues,The History of Blue Note_ 70th Anniversary,Ornette Coleman,522.3ø
Rocket USA,Suicide,Suicide,256.8ø
You Can Dress 'Em Up (But You Can't Take 'Em Out),Otis,Mojo Nixon,171.1ø
Took Out The Trash And Never Came Back,Otis,Mojo Nixon,282.6ø
Star Spangled Mojo,Otis,Mojo Nixon,83.3ø
Shane's Dentist,Otis,Mojo Nixon,124.7ø
Put A Sex Mo-Sheen In The White House,Otis,Mojo Nixon,260.0ø
I Wanna Race Bigfoot Trucks,Otis,Mojo Nixon,225.8ø
Gonna Be A New World,Otis,Mojo Nixon,233.8ø
Don Henley Must Die,Otis,Mojo Nixon,260.0ø
Destroy All Lawyers,Otis,Mojo Nixon,180.7ø
Debbie Gibson Is Pregnant With My Two Headed Love Child,Root Hog Or Die,Mojo Nixon,127.0ø
Ain't High Falutin',Otis,Mojo Nixon,196.0ø
How The Heart Behaves,Hello Dad...I'm In Jail,Was (Not Was),235.0ø
Now I'm Feeling Zombiefied,Alien Sex Fiend Halloween,Alien Sex Fiend,476.2ø
Walk-Don't Run,Greatest Instrumentals of the Rock Era - 50 Hit Songs,The Ventures,127.4ø
I'm Gonna Move To The Outskirts Of Town,Crosscut Saw: Albert King In San Francisco,Albert King,455.4ø
Naquele Tempo,Baden Powell & Filhos,Baden Powell & filhos,330.9ø
Stone Cold Gentleman (Rizz's Interlude),Ralph Tresvant,Ralph Tresvant,369.5ø
She's My Love Thang,Ralph Tresvant,Ralph Tresvant,267.0ø
Sensitivity (Ralph's Rap),Ralph Tresvant,Ralph Tresvant,298.9ø
Sensitivity,Ralph Tresvant,Ralph Tresvant,281.4ø
Rated R,Ralph Tresvant,Ralph Tresvant,290.7ø
Public Figure (Ordinary Guy),Ralph Tresvant,Ralph Tresvant,285.2ø
Love Hurts,Ralph Tresvant,Ralph Tresvant,308.2ø
Last Night,Ralph Tresvant,Ralph Tresvant,354.1ø
I Love You (Just For You),Ralph Tresvant,Ralph Tresvant,344.5ø
Girl I Can't Control It,Ralph Tresvant,Ralph Tresvant,285.3ø
Do What I Gotta Do,Ralph Tresvant,Ralph Tresvant,343.7ø
Alright Now,Ralph Tresvant,Ralph Tresvant,259.3ø
Exhaustion,Live at McCabe's,Henry Rollins,539.9ø
Les Fleurs,Les Fleurs & Other Favorites (Digitally Remastered),Minnie Riperton,197.7ø
Lay Me Down,Affection,Lisa Stansfield,253.5ø
I'm Not In Love,The Pop Years 1990 - 1991,Will To Power,219.4ø
