Ford Mustang,Love And The Beat vol.1,Serge Gainsbourg,162.6ø
Can't Find Another Way Of Doing It,I Thank You,Sam & Dave,154.1ø
Paradise Flat,Singles Collection 66-73,Status Quo,189.9ø
Elizabeth Dreams,Picturesque Matchstickable Messages From The Status Quo,Status Quo,208.4ø
Black Veils Of Melancholy,Picturesque Matchstickable Messages From The Status Quo,Status Quo,197.0ø
Ventura Boulevard (Album Version),Roots,The Everly Brothers,169.9ø
Turn Around  (Album Version),Roots,The Everly Brothers,167.7ø
Montage:  The Everly Family (1952)/ Shady Grove/Kentucky,Roots,The Everly Brothers,163.5ø
Mama Tried (Album Version),Roots,The Everly Brothers,138.1ø
Less Of Me  (Album Version),Roots,The Everly Brothers,183.2ø
What You Doin' Here,Love Is All Around,The Troggs,268.0ø
Night of the Long Grass,Troggology,The Troggs,187.7ø
Love Is All Around,Fill It! - I Love the Sixties,The Troggs,160.8ø
Little Girl,Love Is All Around,The Troggs,176.2ø
I Can't Control Myself,Wild Thing - The Best Of The Troggs,The Troggs,182.6ø
Gonna Make You,Live At Max's Kansas City,The Troggs,385.1ø
Give It To Me (All Your Love),20 Of Their Best,The Troggs,135.6ø
Cousin Jane,Troggology,The Troggs,146.1ø
Any Way That You Want Me,100 Hits Of The Swingin' 60's,The Troggs,175.6ø
I May Be Wrong_ But I Won't Be Wrong Always,Undead,Ten Years After,589.6ø
Watch My Fingers,The Texas Bluesman,Lightning Hopkins,168.6ø
You Ain't Goin' Nowhere,Any Day Now,Joan Baez,180.4ø
Song In The Blood,Baptism,Joan Baez,268.7ø
Poems From The Japanese,Baptism,Joan Baez,140.9ø
Old Welsh Song,Baptism,Joan Baez,76.2ø
No Man Is An Island,Baptism,Joan Baez,56.5ø
Love Is Just a Four-Letter Word,Carry It On (Re-mastered),Joan Baez,247.7ø
It Aint Me Babe,Any Day Now,Joan Baez,197.7ø
Evil,Baptism,Joan Baez,90.2ø
All The Pretty Little Horses,Baptism,Joan Baez,74.6ø
Time Will Show The Wiser,Chronicles,Fairport Convention,184.5ø
M.1 Breakdown,Fairport Convention,Fairport Convention,83.2ø
Revelation: Revolution '69,Revelation: Revolution '69,The Lovin' Spoonful,142.5ø
Never Going Back,Very Best Of The Lovin' Spoonful,The Lovin' Spoonful,172.2ø
Me About You,Revelation: Revolution '69,The Lovin' Spoonful,227.9ø
Do You Believe In Magic?,Very Best Of The Lovin' Spoonful,The Lovin' Spoonful,123.1ø
Amazing Air,Revelation: Revolution '69,The Lovin' Spoonful,172.6ø
(Till I) Run With You,Revelation: Revolution '69,The Lovin' Spoonful,114.4ø
Listen To Me,Special Collection,The Hollies,158.8ø
