Trouble,thrall-demonsweatlive,Danzig,201.7ø
Meet In The Middle,Greatest Hits,Diamond Rio,199.6ø
It's Gone,Diamond Rio,Diamond Rio,196.6ø
The Last Payday,Blue Light_ Red Light,Harry Connick_ Jr.,438.4ø
She Belongs To Me,3 CD Slipcase,Harry Connick_ Jr.,237.2ø
Just Kiss Me,Blue Light_ Red Light,Harry Connick_ Jr.,296.8ø
No Other One,Big Bands (Benny Goodman And His Orchestra Volume 2 1935-36),Benny Goodman and His Orchestra,161.3ø
Where Were You,Beckology,Jeff Beck withTerry Bozzio & Tony Hymas,199.9ø
Sleep Walk,Beckology,Jeff Beck,139.2ø
Big Block,Live at BB King Blues Club,Jeff Beck,268.0ø
WISH YOU WERE HER,Don't Try This At Home,Billy Bragg,166.2ø
THE FEW,Don't Try This At Home,Billy Bragg,207.0ø
Tank Park Salute,The Best of Mountain Stage - Vol. 2,Billy Bragg,219.7ø
Sexuality,Must I Paint You A Picture?: The Essential Billy Bragg,Billy Bragg,228.3ø
PICADILLY RAMBLER,Don't Try This At Home,Billy Bragg,109.4ø
Ontario Quebec And Me,Reaching To The Converted,Billy Bragg,164.9ø
MOVING THE GOALPOSTS,Don't Try This At Home,Billy Bragg,154.0ø
JUST ONE VICTORY (Alternative Version),Don't Try This At Home,Billy Bragg,330.5ø
What Do I Get? (Live),Product,Buzzcocks,166.6ø
Teenage Whore,Pretty On The Inside,Hole,177.7ø
Starbelly,Pretty On The Inside,Hole,106.5ø
Sassy,Pretty On The Inside,Hole,103.2ø
Pretty On The Inside,Pretty On The Inside,Hole,88.1ø
Mrs. Jones,Pretty On The Inside,Hole,325.6ø
Loaded (Explicit),Pretty On The Inside,Hole,259.1ø
Good Sister-Bad Sister (Explicit),Pretty On The Inside,Hole,347.1ø
Garbage Man (Explicit),Pretty On The Inside,Hole,199.5ø
Clouds,Pretty On The Inside,Hole,237.6ø
Berry (Explicit),Pretty On The Inside,Hole,166.1ø
Babydoll,Pretty On The Inside,Hole,299.3ø
Sunburst,Butterfly,Ennio Morricone,97.3ø
I nuovi crociati,Novecento - 1900 (Bande originale du film de Bernardo Bertolucci (1976)),Ennio Morricone,213.9ø
Girl On My Porch,Butterfly,Ennio Morricone,187.0ø
A Son-In-Law,Butterfly,Ennio Morricone,66.8ø
Rotterdam,Sea Monsters,The Wedding Present,196.0ø
Dare,Sea Monsters,The Wedding Present,225.4ø
Dalliance,Sea Monsters,The Wedding Present,265.2ø
Blonde,Sea Monsters,The Wedding Present,307.6ø
Way Of The World,Simply The Best,Tina Turner,265.6ø
Addicted To Love (Live),The Platinum Collection,Tina Turner,321.1ø
Then Again,For The Record,Alabama,223.9ø
Fallin' Again,Just Us,Alabama,237.5ø
American Music,The Best Of Mountain Stage - Vol. 7,Violent Femmes,239.9ø
The Rush,Power Of Love,Luther Vandross,405.1ø
Black Widow (Explicit LP Version),Wretch,Kyuss,164.0ø
Shit And Lobster,Singles Box Set,Helloween,246.0ø
Blue Suede Shoes,Singles Box Set,Helloween,154.5ø
Ooh My Soul,The Little Richard Sessions_ Vol. 2,Little Richard,106.1ø
More Than I Know,Discover Leftfield,Leftfield,346.7ø
To Kill A Hooker,EFIL4ZAGGIN,N.W.A.,50.8ø
The Dayz Of Wayback,EFIL4ZAGGIN,N.W.A.,259.3ø
Real Niggaz Don't Die,The Best Of N.W.A: The Strength Of Street Knowledge,N.W.A.,219.0ø
Protest,EFIL4ZAGGIN,N.W.A.,53.3ø
Prelude,EFIL4ZAGGIN,N.W.A.,147.6ø
One Less Bitch,EFIL4ZAGGIN,N.W.A.,287.6ø
Niggaz 4 Life,EFIL4ZAGGIN,N.W.A.,299.0ø
Message To B.A.,EFIL4ZAGGIN,N.W.A.,48.8ø
Don't Drink That Wine,EFIL4ZAGGIN,N.W.A.,67.7ø
Appetite For Destruction,The Best Of N.W.A: The Strength Of Street Knowledge,N.W.A.,188.6ø
1-900-2-COMPTON,EFIL4ZAGGIN,N.W.A.,87.6ø
Pour Ce Que Tu N'Etais Pas,Lemon Incest,Charlotte Gainsbourg,194.9ø
The Fortuneteller,True At Heart,Doro,314.4ø
Live It,True At Heart,Doro,253.3ø
Heartshaped Tattoo,True At Heart,Doro,223.6ø
Gettin Nowhere Without You,True At Heart,Doro,261.6ø
747 (Strangers In The Night) (Live),Best Of Saxon,Saxon,278.6ø
This House Is Condemned,Separations,Pulp,472.8ø
Countdown (Radio Edit),Countdown (Rare Single),Pulp,484.9ø
Countdown,Separations,Pulp,307.6ø
Fall In Love Again,Playlist: The Very Best Of Eddie Money,Eddie Money,262.0ø
Jelly Bread,Stax Profiles - Booker T. & The MG's,Booker T & The MG's,150.6ø
S.M.U.D.O. Ich bin halt so,Jetzt Geht'S Ab,Die Fantastischen Vier,201.8ø
Kartoffel Clip,Jetzt Geht'S Ab,Die Fantastischen Vier,291.8ø
Is Ja Gut Jetzt,Jetzt Geht'S Ab,Die Fantastischen Vier,104.0ø
Ich muss,Jetzt Geht'S Ab,Die Fantastischen Vier,188.3ø
Ich krieg nie genug,Live und Direkt,Die Fantastischen Vier,325.6ø
Das Interview,Jetzt Geht'S Ab,Die Fantastischen Vier,124.2ø
45 Fieber,Jetzt Geht'S Ab,Die Fantastischen Vier,70.3ø
Refrigerator Car,Playlist: The Very Best Of Spin Doctors,Spin Doctors,330.2ø
Zodiac Lung,Spine of God,Monster Magnet,284.4ø
Spine of God,Spine of God,Monster Magnet,482.5ø
Sin's a good man's brother,Spine of God,Monster Magnet,211.5ø
Pill Shovel,Spine of God,Monster Magnet,241.0ø
Ozium (Demo Version) (Bonustrack),Spine of God,Monster Magnet,518.2ø
Ozium,Spine of God,Monster Magnet,484.6ø
Medicine,Spine of God,Monster Magnet,201.5ø
Lord 13,25 TAB,Monster Magnet,249.3ø
Black Mastermind,Spine of God,Monster Magnet,493.9ø
Juego De Ajedrez,Ricky Martin,Ricky Martin,199.1ø
El Amor De Mi Vida,Ricky Martin,Ricky Martin,281.3ø
They're So Tough,Whenever We Wanted,John Mellencamp,257.3ø
Now More Than Ever,Whenever We Wanted,John Mellencamp,222.9ø
Melting Pot,Whenever We Wanted,John Mellencamp,288.7ø
Love And Happiness,Rough Harvest,John Mellencamp,217.6ø
I Ain't Ever Satisfied,Whenever We Wanted,John Mellencamp,216.7ø
Tainted Love '91,The Twelve Inch Singles,Soft Cell,352.3ø
EVERYWHERE (ALTTERNATIVE VERSION),Don't Try This At Home,Billy Bragg,282.0ø
Synthetically Revived,Human Waste,Suffocation,218.6ø
Seeds Of The Suffering (Album Version),Effigy of the Forgotten,Suffocation,352.8ø
Reincremation (Demo),Human Waste,Suffocation,174.9ø
Reincremation (Album Version),Effigy of the Forgotten,Suffocation,174.9ø
Mass Obliteration (Album Version),Effigy of the Forgotten,Suffocation,273.0ø
Mass Obliteration,Human Waste,Suffocation,268.8ø
Liege Of Inveracity (Album Version),Effigy of the Forgotten,Suffocation,270.8ø
Liege of Inveracity,The Close of a Chapter: Live,Suffocation,319.9ø
Jesus Wept (Album Version),Effigy of the Forgotten,Suffocation,225.8ø
Jesus Wept,Human Waste,Suffocation,218.2ø
Involuntary Slaughter (Demo),Human Waste,Suffocation,175.4ø
Involuntary Slaughter (Album Version),Effigy of the Forgotten,Suffocation,182.8ø
Infecting The Crypts (Album Version),Effigy of the Forgotten,Suffocation,289.4ø
Infecting the Crypts,The Close of a Chapter: Live,Suffocation,342.0ø
Effigy Of The Forgotten (Album Version),Effigy of the Forgotten,Suffocation,230.0ø
Effigy of the Forgotten,The Close of a Chapter: Live,Suffocation,247.1ø
Catatonia,The Close of a Chapter: Live,Suffocation,263.3ø
Main Title,Panic Room,Howard Shore,128.4ø
Way down to Hell,Curse of the coffin,Nekromantix,182.5ø
Survive or die,Curse of the coffin,Nekromantix,183.8ø
S/M,Curse of the coffin,Nekromantix,272.4ø
Rockin' reptile,Curse of the coffin,Nekromantix,132.7ø
Part two,Curse of the coffin,Nekromantix,252.1ø
Howlin' at the moon,Curse of the coffin,Nekromantix,199.2ø
Drugshock,Curse of the coffin,Nekromantix,188.4ø
Devile smile,Curse of the coffin,Nekromantix,290.1ø
Curse of the coffin,Curse of the coffin,Nekromantix,285.6ø
Alice in psycholand,Curse of the coffin,Nekromantix,177.3ø
Why,With Love From...,Bonnie Tyler,236.5ø
Save Me,With Love From...,Bonnie Tyler,248.0ø
Through Blood By Thunder,Jubileum I,bathory,361.7ø
Will Of The Wind (Reprise),Leap Of Faith,Kenny Loggins,75.3ø
Will Of The Wind,Leap Of Faith,Kenny Loggins,122.7ø
The Real Thing,Yesterday_ Today_ Tomorrow - The Greatest Hits Of Kenny Loggins,Kenny Loggins,339.1ø
My Father's House,Leap Of Faith,Kenny Loggins,327.3ø
Leap Of Faith,Outside: From The Redwoods,Kenny Loggins,414.1ø
If You Believe,Outside: From The Redwoods,Kenny Loggins,364.3ø
I Would Do Anything,Leap Of Faith,Kenny Loggins,396.3ø
Conviction Of The Heart,Outside: From The Redwoods,Kenny Loggins,338.3ø
She Swallowed It,EFIL4ZAGGIN,N.W.A.,253.9ø
Alwayz Into Somethin',EFIL4ZAGGIN,N.W.A.,265.0ø
Work,Love & Kisses [Deluxe Edition],Dannii Minogue,263.9ø
True Lovers,The Early Years,Dannii Minogue,272.9ø
Success,The Early Years,Dannii Minogue,222.8ø
I Don't Wanna Take This Pain,The Early Years,Dannii Minogue,204.9ø
Baby Love,The Early Years,Dannii Minogue,261.1ø
Attitude,Love & Kisses [Deluxe Edition],Dannii Minogue,306.7ø
What You Give,Gold,Tesla,435.0ø
I Ain't Superstitious,Gold,Tesla,187.7ø
Phin,Progressive History XXX,Fluke,389.8ø
Pearls Of Wisdom,Out (In Essence),Fluke,313.3ø
Joni,Six Wheels On My Wagon,Fluke,317.7ø
Glorious,Progressive History XXX,Fluke,355.2ø
Easy Peasy,Progressive History XXX,Fluke,250.9ø
John Henry,Folk Songs for Young People,Pete Seeger,270.0ø
You Send Me,Soul & RnB - The Hits,Percy Sledge,268.7ø
What You Do To Me,Four Thousand_ Seven Hundred and Seventy seconds; A Shortcut to Teenage Fanclub,Teenage Fanclub,118.6ø
The Concept,Four Thousand_ Seven Hundred and Seventy seconds; A Shortcut to Teenage Fanclub,Teenage Fanclub,338.9ø
Star Sign,Bandwagonesque,Teenage Fanclub,293.4ø
Sidewinder,BANDWAGONESQUE,Teenage Fanclub,182.9ø
Satan,BANDWAGONESQUE,Teenage Fanclub,82.3ø
Pet Rock,Bandwagonesque,Teenage Fanclub,154.4ø
Metal Baby,BANDWAGONESQUE,Teenage Fanclub,219.8ø
Is This Music?,BANDWAGONESQUE,Teenage Fanclub,202.1ø
I Don't Know,Bandwagonesque,Teenage Fanclub,274.7ø
Guiding Star,BANDWAGONESQUE,Teenage Fanclub,163.9ø
Don't Cry No Tears,Everything Flows (Single),Teenage Fanclub,150.5ø
December,BANDWAGONESQUE,Teenage Fanclub,181.9ø
Alcoholiday,BANDWAGONESQUE,Teenage Fanclub,326.9ø
Same Song,Resurrection,Digital Underground,237.4ø
Shaniko,Teenbeat 50,Courtney Love,111.2ø
Smile,Inside Life,Incognito,289.1ø
Release Yourself,Inside Life,Incognito,262.8ø
Metropolis,Inside Life,Incognito,311.6ø
Always There,Live In London - The 30th Anniversary Concert,Incognito,261.7ø
Tina Marie,Schellackstars Vol. 4,Perry Como,156.0ø
You Gotta Go,The Comfort Zone,Vanessa Williams,381.7ø
Work To Do,The Comfort Zone,Vanessa Williams,276.6ø
Strangers Eyes,The Comfort Zone,Vanessa Williams,376.3ø
Still In Love,The Comfort Zone,Vanessa Williams,322.1ø
Save The Best For Last,Drivetime,Vanessa Williams,223.2ø
Running Back To You,The Comfort Zone,Vanessa Williams,280.1ø
One Reason,The Comfort Zone,Vanessa Williams,292.6ø
Just For Tonight,The Comfort Zone,Vanessa Williams,268.6ø
Goodbye,The Comfort Zone,Vanessa Williams,261.1ø
Freedom Dance (Get Free!),The Comfort Zone,Vanessa Williams,254.7ø
Better Off Now,The Comfort Zone,Vanessa Williams,253.2ø
2 Of A Kind,The Comfort Zone,Vanessa Williams,316.1ø
Now Or Never,Leap Of Faith,Kenny Loggins,344.7ø
Cody's Song,Return To Pooh Corner,Kenny Loggins,276.5ø
TV Song (Non-Album Track),Jesus Built My Hotrod,Ministry,192.0ø
Man Should Surrender,Side Trax,Pailhead,220.4ø
Jesus Built My Hotrod (Short_ Pusillanimous_ So-They-Can-Fit-More Commercials-On-The-Radio Edit),Jesus Built My Hotrod,Ministry,222.5ø
TRUST,Don't Try This At Home,Billy Bragg,253.0ø
CINDY OF A THOUSAND LIVES,Don't Try This At Home,Billy Bragg,254.5ø
ACCIDENT WAITING TO HAPPEN,Billy Bragg Vol. 2,Billy Bragg,240.5ø
Thanx For Nothin'  (LP Version),Horrorscope,Overkill,246.0ø
Soulitude (LP Version),Horrorscope,Overkill,325.8ø
New Machine  (LP Version),Horrorscope,Overkill,318.5ø
Inectious (LP Version),Horrorscope,Overkill,244.4ø
Frankenstein  (LP Version),Horrorscope,Overkill,208.8ø
Bare Bones (LP Version),Horrorscope,Overkill,292.9ø
You Got Gold,The Missing Years,John Prine,278.4ø
Unlonely,The Missing Years,John Prine,275.6ø
It's a Big Old Goofy World,The Best of Mountain Stage - Vol. 2,John Prine,318.5ø
Everything Is Cool,A John Prine Christmas,John Prine,205.0ø
Daddy's Little Pumpkin,The Missing Years,John Prine,161.0ø
All the Best,The Missing Years,John Prine,208.8ø
Everybody Wants To Feel Like You,The Missing Years,John Prine,189.2ø
What You Won't Do For Love,We're The Best Of Friends,Natalie Cole & Peabo Bryson,360.9ø
Thou Swell,Unforgettable: With Love,Natalie Cole,110.7ø
The Very Thought Of You,Unforgettable: With Love,Natalie Cole,257.0ø
That Sunday That Summer,Unforgettable: With Love,Natalie Cole,211.7ø
Peaceful Living,Unpredictable,Natalie Cole,259.2ø
Nature Boy,The Christmas Song [Chestnuts Roasting On An Open Fire] / Nature Boy [Digital 45],Natalie Cole,203.7ø
Mona Lisa,Unforgettable: With Love,Natalie Cole,226.1ø
Medley: For Sentimental Reasons / Tenderly / Autumn Leaves,Unforgettable: With Love,Natalie Cole,452.9ø
Don't Get Around Much Anymore,Unforgettable: With Love,Natalie Cole,154.6ø
Annie Mae,Capitol Rare_ Volume 1,Natalie Cole,236.0ø
Almost Like Being In Love,Unforgettable: With Love,Natalie Cole,131.4ø
Tangled And Dark,Luck Of The Draw,Bonnie Raitt,292.9ø
Something To Talk About,Luck Of The Draw,Bonnie Raitt,227.5ø
Not The Only One,Luck Of The Draw,Bonnie Raitt,303.5ø
Luck Of The Draw,Luck Of The Draw,Bonnie Raitt,317.1ø
I Can't Make You Love Me,Luck Of The Draw,Bonnie Raitt,333.4ø
Real Life (2002 Digital Remaster),Real Life,Simple Minds,294.6ø
Ko Ko Mo,1955 US Top Twenty,Perry Como,159.7ø
Steel Bars,Soul Provider/Time_ Love & Tenderness,Micheal Bolton,208.7ø
Love Is A Wonderful Thing,The Soul Provider: The Best Of Michael Bolton,Michael Bolton,284.4ø
Sera Sera,J'ai Pollette D'arnu,IQ,164.8ø
Intelligence Quotient,J'ai Pollette D'arnu,IQ,453.7ø
Straight Shootin' Woman,Gold,Steppenwolf,245.3ø
Rock The Nation,Gold,Tesla,208.0ø
Lush Life,Unforgettable: With Love,Natalie Cole,260.6ø
Darling_ Je Vous Aime Beaucoup,Unforgettable: With Love,Natalie Cole,205.2ø
Avalon,Unforgettable: With Love,Natalie Cole,111.5ø
This Is Not A Test,CD Version of the First Two Records,Bikini Kill,119.2ø
Suck My Left One,CD Version of the First Two Records,Bikini Kill,142.2ø
Liar,CD Version of the First Two Records,Bikini Kill,154.3ø
Feels Blind,CD Version of the First Two Records,Bikini Kill,199.3ø
Double Dare Ya,CD Version of the First Two Records,Bikini Kill,160.7ø
Carnival,CD Version of the First Two Records,Bikini Kill,89.3ø
Can't Truss It,American Gangster,Public Enemy,279.2ø
When Two Worlds Collide (2002 Digital Remaster),Real Life,Simple Minds,246.0ø
Travelling Man,Themes - Volume 5,Simple Minds,317.8ø
Theme For Great Cities '91,Themes - Volume 5,Simple Minds,393.5ø
Stand By Love (2002 Digital Remaster),Real Life,Simple Minds,243.3ø
See The Lights (2002 Digital Remaster),Real Life,Simple Minds,261.9ø
Let There Be Love (Live),Themes - Volume 5,Simple Minds,322.5ø
Alive And Kicking (Live),Themes - Volume 5,Simple Minds,232.4ø
Sweet_ Sweet Lovin',The Very Best of The Platters,The Platters,113.9ø
Sonata,The Very Best of The Platters,The Platters,144.6ø
Up From The Skies,Pop Pop,Rickie Lee Jones,272.7ø
The Ballad Of The Sad Young Men,Pop Pop,Rickie Lee Jones,262.7ø
Spring Can Really Hang You Up The Most,Pop Pop,Rickie Lee Jones,237.9ø
Second Time Around,Pop Pop,Rickie Lee Jones,292.0ø
My One And Only Love,Lost & Found: Love Volume 5,Rickie Lee Jones,354.5ø
Love Junkyard,Pop Pop,Rickie Lee Jones,251.1ø
I Won't Grow Up,Pop Pop,Rickie Lee Jones,192.9ø
Hi-Lili Hi-Lo,Pop Pop,Rickie Lee Jones,219.0ø
Comin' Back To Me,Pop Pop,Rickie Lee Jones,335.4ø
Bye Bye Blackbird,Pop Pop,Rickie Lee Jones,143.5ø
Victims,Victims,Steel Pulse,244.5ø
Taxi,Victims,Steel Pulse,298.7ø
Free The Land,Victims,Steel Pulse,219.1ø
Feel The Passion,Victims,Steel Pulse,253.9ø
What Dwells Within,War Master,Bolt Thrower,258.4ø
War Master,War Master,Bolt Thrower,257.4ø
The Shreds Of Sanity,War Master,Bolt Thrower,206.6ø
Rebirth Of Humanity,War Master,Bolt Thrower,241.2ø
Profane Creation,War Master,Bolt Thrower,332.4ø
Domination,Grind Madness at the BBC,Bolt Thrower,163.0ø
We Can Do It,Victims,Steel Pulse,237.5ø
To Tutu,Victims,Steel Pulse,93.5ø
Taxi Driver,Rastafari Centennial: Live In Paris - Elysee Montmartre,Steel Pulse,258.3ø
Stay With The Rhythm,Victims,Steel Pulse,221.8ø
Money,Victims,Steel Pulse,251.7ø
Grab A Girlfriend,Victims,Steel Pulse,252.8ø
Gang Warfare,Victims,Steel Pulse,275.1ø
Evermore,Victims,Steel Pulse,207.5ø
Can't Get You (Out Of My System),Victims,Steel Pulse,246.7ø
Spirit,A Passage In Time,Dead Can Dance,299.8ø
Song For Sophia,A Passage In Time,Dead Can Dance,83.8ø
The Other Kind,Shut Up And Die Like An Aviator,Steve Earle & The Dukes,335.4ø
Intro,Shut Up And Die Like An Aviator,Steve Earle & The Dukes,53.7ø
Kiss Them For Me,Twice Upon A Time / The Singles,Siouxsie And The Banshees,268.4ø
Unconditional,PROVE YOU WRONG,Prong,285.2ø
Torn Between,PROVE YOU WRONG,Prong,191.8ø
Territorial Rites,PROVE YOU WRONG,Prong,210.4ø
Shouldn't Have Bothered,PROVE YOU WRONG,Prong,158.5ø
Prove You Wrong,PROVE YOU WRONG,Prong,210.3ø
Positively Blind,PROVE YOU WRONG,Prong,163.8ø
