Without You,The Essential,Eurogliders,247.2ø
Making Cash Money,The Best Of Grandmaster Flash & Sugar Hill,Busy Bee,97.5ø
Traumboy,Hohe Berge,Frl.Menke,231.6ø
Komm Computer,Hohe Berge,Frl.Menke,229.5ø
Jeden Tag,Hohe Berge,Frl.Menke,218.7ø
Ich sitz immer am Fenster,Hohe Berge,Frl.Menke,249.5ø
Angst,Hohe Berge,Frl.Menke,190.2ø
Weltraum-Automat,Wollt Ihr Musik oder was??,Rodgau Monotones,301.4ø
Therapie,Wollt Ihr Musik oder was??,Rodgau Monotones,216.9ø
Sonntag Morgen,Wollt Ihr Musik oder was??,Rodgau Monotones,227.9ø
Saucool,Wollt Ihr Musik oder was??,Rodgau Monotones,306.5ø
Roswitha,Risiken und Nebenwirkungen,Rodgau Monotones,248.8ø
Nuclear Attack,Thoroughbread Men,Resistance 77,103.6ø
Nottingham Problem,Riot City Records - The Punk Singles Collection,Resistance 77,92.3ø
Valley Of The Kings,Best Of,Allez Allez,335.2ø
Their Mistakes,Not So Quiet On The Western Front,Social Unrest,146.1ø
Glutamatonavidad,Navidades Radiactivas,Glutamato Ye-Ye,172.2ø
