Ethiopian Anthem,Lion Country,Ras Michael and the Sons of Negus,244.0ø
Dreams Wide Awake - Original,Of Queues And Cures,National Health,529.7ø
Dreams Wide Awake,Playtime,National Health,498.9ø
Borogroves_ Borogroves (Part 2) - Original,National Health,National Health,252.5ø
Borogroves_ Borogroves (Part 1) - Original,National Health,National Health,389.3ø
Steaming Pipes,Live,Happy The Man,275.4ø
Service with a Smile,Live,Happy The Man,244.4ø
Open Book,Live,Happy The Man,394.0ø
Morning Sun,Live,Happy The Man,274.3ø
Ibby It Is,Live,Happy The Man,518.1ø
I Forgot to Push It,Live,Happy The Man,217.3ø
Triple Vision,Sons Of Survival,Doctors Of Madness,243.5ø
Triple Version,Sons Of Survival,Doctors Of Madness,205.4ø
Sons Of Survival,Sons Of Survival,Doctors Of Madness,261.1ø
No Limits,Sons Of Survival,Doctors Of Madness,281.5ø
Network,Sons Of Survival,Doctors Of Madness,364.3ø
Kiss Goodbye Tomorrow,Sons Of Survival,Doctors Of Madness,138.7ø
Into The Strange,Sons Of Survival,Doctors Of Madness,178.1ø
Cool,Sons Of Survival,Doctors Of Madness,476.0ø
Bulletin,Sons Of Survival,Doctors Of Madness,163.9ø
50's Kids,Sons Of Survival,Doctors Of Madness,184.7ø
You're The One I Love,Stay The Night,Jane Olivor,207.4ø
The Right Garden,Safe Return,Jane Olivor,194.1ø
Stay The Night,Stay The Night,Jane Olivor,204.5ø
Song For My Father,Stay The Night,Jane Olivor,239.3ø
Solitaire,Stay The Night,Jane Olivor,216.0ø
Let's Make Some Memories,Safe Return,Jane Olivor,179.1ø
He's So Fine,Stay The Night,Jane Olivor,208.3ø
Can't We Make It Right Again,Stay The Night,Jane Olivor,207.1ø
Can't Leave You 'Cause I Love You,Stay The Night,Jane Olivor,188.4ø
Betsy Party,Live,Starshooter,287.0ø
35 tonnes,Live,Starshooter,295.8ø
You Make Me Sick,What A Bunch Of Rodents,Satan's Rats,129.4ø
Louise,What A Bunch Of Rodents,Satan's Rats,188.0ø
I'd Run A Mile To You,Early In The Morning,Mac Curtis,165.6ø
Watch Me Do It,Three Miles High,Mass Production,287.5ø
Slow Bump,Three Miles High,Mass Production,247.4ø
Sky High,Three Miles High,Mass Production,271.2ø
Scarey Love,Three Miles High,Mass Production,240.4ø
Our Thought [Let The Music Take You Away],Three Miles High,Mass Production,86.8ø
Music and Love,Three Miles High,Mass Production,189.8ø
Just Wanna Make A Dream Come True [Mass In F Minor],Three Miles High,Mass Production,332.9ø
I Don't Want To Know,Three Miles High,Mass Production,243.5ø
Groove Me,Three Miles High,Mass Production,323.1ø
Woman From Tokyo ,Unchain Your Brain: The Best Of Gillan,Ian Gillan Band,255.1ø
Smoke On The Water ,Unchain Your Brain: The Best Of Gillan,Ian Gillan Band,591.3ø
Turn Back The Hands Of Time,Soulful,George Faith,191.4ø
Why Should Love Be This Way (Alternate Version),Cabin Fever,Michael Stanley Band,268.1ø
Who's To Blame,Cabin Fever,Michael Stanley Band,192.5ø
What 'cha Wanna Do Tonight,Cabin Fever,Michael Stanley Band,200.7ø
Slip Away,Cabin Fever,Michael Stanley Band,218.6ø
Misery Loves Company,Cabin Fever,Michael Stanley Band,223.2ø
Fool's Parade,Cabin Fever,Michael Stanley Band,243.8ø
20 Fans,The Best Little Whorehouse In Texas,Jim Nabors,282.7ø
Too Late,Tycoon,Tycoon,245.7ø
The Way That it Goes,Tycoon,Tycoon,217.2ø
Such a Woman,Tycoon,Tycoon,261.4ø
Slow Down Boy,Tycoon,Tycoon,206.2ø
Out in the Cold,Tycoon,Tycoon,192.5ø
How Long,Tycoon,Tycoon,225.7ø
Drunken Sailor,Tycoon,Tycoon,203.3ø
Don't You Cry No More,Tycoon,Tycoon,239.8ø
Don't Worry,Tycoon,Tycoon,211.8ø
Too Many Lovers (LP Version),Randy Meisner,Randy Meisner,244.1ø
Take It To The Limit  (LP Version),Randy Meisner,Randy Meisner,259.4ø
Save The Last Dance For Me (LP Version),Randy Meisner,Randy Meisner,178.1ø
Please Be With Me (LP Version),Randy Meisner,Randy Meisner,202.5ø
Lonesome Cowgirl (LP Version),Randy Meisner,Randy Meisner,223.9ø
It Hurts To Be In Love (LP Version),Randy Meisner,Randy Meisner,147.9ø
If You Wanna Be Happy (LP Version),Randy Meisner,Randy Meisner,165.7ø
I Really Want You Here Tonight (LP Version),Randy Meisner,Randy Meisner,229.1ø
Heartsong (LP Version),Randy Meisner,Randy Meisner,239.0ø
Every Other Day (LP Version),Randy Meisner,Randy Meisner,232.7ø
Daughter Of The Sky  (LP Version),Randy Meisner,Randy Meisner,255.3ø
Bad Man (LP Version),Randy Meisner,Randy Meisner,159.3ø
Where Have You Been All My Life (LP Version),Fotomaker,Fotomaker,218.3ø
Two Can Make It Work (LP Version),Fotomaker,Fotomaker,181.0ø
Say The Same For You (LP Version),Fotomaker,Fotomaker,141.7ø
Can I Please Have Some More (LP Version),Fotomaker,Fotomaker,265.8ø
All There In Her Eyes (LP Version),Fotomaker,Fotomaker,216.2ø
The Hand On The Ear Folk Song,Funny In The Head - The Best Of The Barron Knights,The Barron Knights,110.4ø
Get Down Shep,Funny In The Head - The Best Of The Barron Knights,The Barron Knights,165.9ø
Air On A G String,Funny In The Head - The Best Of The Barron Knights,The Barron Knights,95.9ø
Gimme Some,Greatest Hits Remixes,"Jimmy ""Bo"" Horne",537.6ø
Dance Across The Floor,Essential Workout Mix: Disco Remixed Vol. 4,"Jimmy ""Bo"" Horne",261.6ø
Stormy,1969,Gabor Szabo,198.1ø
