The Greatest Man I Never Knew,Reba #1's,Reba McEntire,194.1ø
Gutted,Butchered At Birth,Cannibal Corpse,194.0ø
Covered With Sores - Bonus,Butchered At Birth,Cannibal Corpse,239.2ø
Covered With Sores,Live Cannibalism,Cannibal Corpse,223.7ø
Carnival In Rio (Punk Was),Bis zum bitteren Ende,Die Toten Hosen,186.2ø
Blitzkrieg Bop,Crash Landing,Die Toten Hosen,99.9ø
Mrs. Rita,New Miserable Experience,Gin Blossoms,247.9ø
Just South Of Nowhere,New Miserable Experience,Gin Blossoms,208.0ø
Allison Road,New Miserable Experience,Gin Blossoms,201.1ø
Live For Loving You,Into The Light,Gloria Estefan,279.2ø
Language Of Love,Into The Light,Gloria Estefan,255.9ø
Knockin' On Every Door,Joyride (2009 Version),Roxette,235.7ø
Fading Like A Flower,Clubland Classix,Roxette | Dancing DJs,196.6ø
Church Of Your Heart,Joyride,Roxette,196.4ø
(Do You Get) Excited?,Joyride (2009 Version),Roxette,254.9ø
The Meek,Live at CBGB 1982,Bad Brains,237.8ø
Banned In DC,Live at CBGB 1982,Bad Brains,129.8ø
Hark The Herald Angel Sing,Christmas with Boney M.,Boney M.,184.0ø
Two Occasions (Live),A Closer Look,Babyface,352.9ø
Love Saw It (Duet with Karyn White),A Closer Look,Babyface,375.2ø
Vulgar Necrolatry,Karelian Isthmus,Amorphis,261.6ø
Misery Path,Karelian Isthmus,Amorphis,257.6ø
Talkin' Loud And Sayin' Nothing,Playlist: The Very Best Of Living Colour,Living Colour,242.1ø
Should I Stay Or Should I Go,Vivid,Living Colour,148.7ø
Money Talks,BISCUITS,Living Colour,301.9ø
White Noise,Blind,Corrosion Of Conformity,257.0ø
Vote With A Bullet,Blind,Corrosion Of Conformity,205.5ø
Shallow Ground,Blind,Corrosion Of Conformity,144.0ø
Mine Are The Eyes Of God,Blind,Corrosion Of Conformity,300.9ø
Echoes In The Well,Blind,Corrosion Of Conformity,334.5ø
Dance Of The Dead,Blind,Corrosion Of Conformity,269.2ø
Buried,Blind,Corrosion Of Conformity,316.3ø
Break The Circle,Blind,Corrosion Of Conformity,251.6ø
Oily Water,Modern Life Is Rubbish,Blur,298.9ø
The Law (Explicit LP Version),Wretch,Kyuss,472.7ø
Stage III (Explicit LP Version),Wretch,Kyuss,253.7ø
Son Of A Bitch (Explicit LP Version),Wretch,Kyuss,363.3ø
Love Has Passed Me By (Explicit LP Version),Wretch,Kyuss,192.3ø
Katzenjammer (Explicit LP Version),Wretch,Kyuss,143.6ø
Isolation (Explicit LP Version),Wretch,Kyuss,168.1ø
Deadly Kiss (Explicit LP Version),Wretch,Kyuss,304.6ø
Big Bikes (Explicit LP Version),Wretch,Kyuss,301.2ø
(Beginning Of What's About To Happen) Hwy 74 (Explicit LP Version),Wretch,Kyuss,283.4ø
Wasted Time,Slave To The Grind,Skid Row,348.8ø
The Threat,Slave To The Grind,Skid Row,229.5ø
Riot Act,Slave To The Grind,Skid Row,160.1ø
Psycho Love,Slave To The Grind,Skid Row,237.2ø
Mudkicker,Slave To The Grind,Skid Row,233.4ø
Livin' On A Chain Gang,Slave To The Grind,Skid Row,238.1ø
In A Darkened Room,Slave To The Grind,Skid Row,235.1ø
Creepshow,Slave To The Grind,Skid Row,238.1ø
Beggars Day,Slave To The Grind,Skid Row,242.7ø
