Pongamos Que Hablo De Madrid,En Directo,Joaquin Sabina,250.4ø
Gold He Said,Girl Bites Dog_ Your Digital Pet,Bow Wow Wow,128.3ø
Giant Sized Baby Thing,Girl Bites Dog_ Your Digital Pet,Bow Wow Wow,144.9ø
Fools Rush In,Marie Antoinette (Original Motion Picture Soundtrack),Bow Wow Wow,137.5ø
The Creator,The Promised Land,Dennis Brown,232.6ø
We Come To Rock You,The Best Of Inner Circle Featuring Jacob Miller,Inner Circle | Jacob Miller,290.1ø
The Rambler,Beatin' The Odds,Molly Hatchet,290.0ø
Poison Pen,Beatin' The Odds,Molly Hatchet,185.4ø
Get Her Back,Beatin' The Odds,Molly Hatchet,182.6ø
Double Talker,Beatin' The Odds,Molly Hatchet,195.9ø
Dead and Gone,Beatin' The Odds,Molly Hatchet,262.5ø
Click Go The Shears,Ideal,Rolf Harris,185.3ø
Academy Fight Song,Signals_ Calls and Marches [Remastered],Mission Of Burma,189.8ø
Sweet Little Mystery,John Martyn Hit Pac - 5 Series,John Martyn,322.9ø
Some People Are Crazy,Grace And Danger,John Martyn,259.9ø
Lookin' On,Grace & Danger,John Martyn,310.3ø
Johnny Too Bad,BBC Live In Concert,John Martyn,554.6ø
Hurt In Your Heart,Ain't No Saint,John Martyn,408.2ø
Special Brew,Bad Manners,Bad Manners,200.3ø
Ne-Ne Na-Na Na-Na Nu-Nu,Can Can,Bad Manners,109.8ø
Lorraine,Bad Manners,Bad Manners,121.9ø
Lip Up Fatty,Happy Birthday Dad,Bad Manners,168.1ø
Just a Feeling,Bad Manners,Bad Manners,190.2ø
Inner London Violence,Special Brew - The Platinum Collection,Bad Manners,229.1ø
El Pussycat,Special Brew - The Platinum Collection,Bad Manners,151.7ø
Echo 4-2,Special Brew - The Platinum Collection,Bad Manners,166.5ø
Doris,Special Brew - The Platinum Collection,Bad Manners,172.3ø
Touch Me,The Second Album + The First Rehearsal Tapes,Suicide,398.6ø
Harlem,Attempted: Live At Max's Kansas City 1980,Suicide,389.8ø
Dance,The Second Album + The First Rehearsal Tapes,Suicide,202.9ø
Be Bop Kid,The Second Album + The First Rehearsal Tapes,Suicide,131.3ø
Wildwood Boys,The Long Riders [OST],Ry Cooder,255.1ø
The Long Riders,The Long Riders [OST],Ry Cooder,196.3ø
Speedo (LP Version),Borderline,Ry Cooder,203.9ø
Seneca Square Dance,The Long Riders [OST],Ry Cooder,120.1ø
Jesse James,The Long Riders [OST],Ry Cooder,146.5ø
I'm A Good Old Rebel,The Long Riders [OST],Ry Cooder,139.7ø
I Always Knew That You Were The One,The Long Riders [OST],Ry Cooder,188.0ø
Escape From Northfield,The Long Riders [OST],Ry Cooder,75.0ø
Cole Younger Polka,The Long Riders [OST],Ry Cooder,144.5ø
634-5789 (LP Version),Borderline,Ry Cooder,181.0ø
The Marshall Plan,The Best Of,Blue Oyster Cult,325.3ø
Fallen Angel,The Singles Collection,Blue Oyster Cult,192.8ø
Black Blade,Extraterrestrial Live,Blue Oyster Cult,376.9ø
Till The Walls Come Tumblin' Down,Masters Of Rock,J. Geils Band,244.5ø
Takin' You Down,Masters Of Rock,J. Geils Band,247.8ø
No Anchovies_ Please,Love Stinks,J. Geils Band,161.7ø
Night Time,Best Of The J. Geils Band,J. Geils Band,269.5ø
Love Stinks,Love Stinks,J. Geils Band,224.4ø
Just Can't Wait,Flashback- Best Of,J. Geils Band,195.3ø
Desire (Please Don't Turn Away),Love Stinks,J. Geils Band,217.7ø
Come Back,Masters Of Rock,J. Geils Band,311.3ø
You Take My Breath Away,Love Lives Forever,Minnie Riperton,272.8ø
The Song Of Life (La-La-La),Love Lives Forever,Minnie Riperton,257.8ø
Strange Affair,Love Lives Forever,Minnie Riperton,478.3ø
Island In The Sun,Love Lives Forever,Minnie Riperton,293.4ø
I'm In Love Again,Love Lives Forever,Minnie Riperton,261.0ø
Give Me Time,Love Lives Forever,Minnie Riperton,268.7ø
When A Man's In Love,St. Patrick'S Day Celebration,The Chieftains,217.3ø
March From Oscar And Malvina,St. Patrick'S Day Celebration,The Chieftains,254.1ø
Carolan's Welcome,Boil The Breakfast Early,The Chieftains,174.8ø
Boil The Breakfast Early,The Best Of The Chieftains,The Chieftains,234.5ø
Yearning For Your Love,Universal Masters Collection,The Gap Band,344.4ø
Humpin',Drop the Bomb (Live),The Gap Band,235.8ø
Stand Tall,Burton Cummings,Burton Cummings,272.3ø
Is It Really Right,Burton Cummings,Burton Cummings,296.1ø
I'm Scared,Burton Cummings,Burton Cummings,245.2ø
