Henry Lee,Murder_ Theft and Devilish Deals,Dick Justice,205.5ø
Baby It Hurts,This Little Girl's Gone Rockin',Glenda Collins,144.3ø
Age For Love,This Little Girl's Gone Rockin',Glenda Collins,140.4ø
?,This Little Girl's Gone Rockin',Glenda Collins,216.9ø
Vals En Do Sostenido,Serie Platino,Los Indios Tabajaras,217.4ø
Solamente Una Vez,Serie Platino,Los Indios Tabajaras,143.1ø
Serenata De Luna,Serie Platino,Los Indios Tabajaras,138.2ø
Perfidia,Serie Platino,Los Indios Tabajaras,140.1ø
Penelope,Serie Platino,Los Indios Tabajaras,243.4ø
Lamento Borincano,RCA Club,Los Indios Tabajaras,164.7ø
La Cumparsita,Serie Platino,Los Indios Tabajaras,162.2ø
Begin The Beginning (Volver A Empezar),Serie Platino,Los Indios Tabajaras,170.9ø
Amor Amor Amor,Serie Platino,Los Indios Tabajaras,158.1ø
Adios_ Mariquita Linda,Serie Platino,Los Indios Tabajaras,138.6ø
Bummer,Please Kill Yourself So I Can Rock,Love 666,260.9ø
The Waltons,Themes Unlimited,Emporio Ensemble,86.9ø
Home And Away,Themes Unlimited,Emporio Ensemble,82.9ø
Brookside,Themes Unlimited,Emporio Ensemble,113.4ø
Looking Back To See,20 Of His Best,Justin Tubb,155.7ø
Lodi,20 Of His Best,Justin Tubb,159.0ø
F.O.J.K.,7-Toku,Space Streakings,120.0ø
Can I Kill 'Em?,Hiero Oldies: Volume Two,Pep Love and Jay Biz,196.3ø
Sweet Potatoes (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,127.7ø
Lover Man (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,247.8ø
Lazybones (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,289.1ø
Kneein' Me (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,203.0ø
I'm Rich (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,309.8ø
Havana Moon (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,292.8ø
Hard Time Killin' Floor (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,297.5ø
Dardanella (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,271.6ø
Cordelia (Album Version),Sweet Potatoes,Geoff And Maria Muldaur,237.7ø
Blue Railroad Train (LP Version),Sweet Potatoes,Geoff And Maria Muldaur,181.1ø
New Orleans Wiggle,New Orleans Dance Bands,Piron's New Orleans Orchestra,180.2ø
Make My Joyplane Crash And Burn,Greatest Hits Vol. 3,Wesley Willis & The Dragnews,143.4ø
I'm The Daddy Of Rock and Roll,Greatest Hits Vol. 3,Wesley Willis & The Dragnews,156.7ø
Toledo Steel,The Ultimate Seaside Companion,Chris Connelly and the Bells,129.8ø
The Ultimate Seaside Companion,The Ultimate Seaside Companion,Chris Connelly and the Bells,409.0ø
The Fortune-Live,The Ultimate Seaside Companion,Chris Connelly and the Bells,184.3ø
The Fortune II,The Ultimate Seaside Companion,Chris Connelly and the Bells,231.2ø
The Fortune,The Ultimate Seaside Companion,Chris Connelly and the Bells,232.5ø
No More Changing Of The Guard -Live,The Ultimate Seaside Companion,Chris Connelly and the Bells,365.0ø
No More Changing Of The Guard,The Ultimate Seaside Companion,Chris Connelly and the Bells,302.6ø
My East Is Your West,The Ultimate Seaside Companion,Chris Connelly and the Bells,257.9ø
Mississippi Palisades,The Ultimate Seaside Companion,Chris Connelly and the Bells,183.2ø
Island Head,The Ultimate Seaside Companion,Chris Connelly and the Bells,394.4ø
Empty Sam,The Ultimate Seaside Companion,Chris Connelly and the Bells,255.3ø
Static Soul,Instant Replay,Tetsu Inoue & Jonah Sharp,529.1ø
Sleeptone,Instant Replay,Tetsu Inoue & Jonah Sharp,296.0ø
Overstone,Instant Replay,Tetsu Inoue & Jonah Sharp,433.2ø
L Shaped,Instant Replay,Tetsu Inoue & Jonah Sharp,298.3ø
I Could Write A Book,Meet Betty Carter And Ray Bryant,Betty Carter & Ray Bryant,157.9ø
Brown Paper Bag,Watermelon,Driver Eight,218.5ø
Leaving Here Walking,Leaving Here Walking,Jimmy Burns,465.9ø
Brand New Second Hand,This Is Reggae Music,Peter Tosh | The Wailers,192.2ø
Take Me Away,Darla 100,Holiday Flyer,133.7ø
Midnight Ska,African Jazz 'N jive,Reggie Msomi's Hollywood Jazz band,146.8ø
Blank Generation,So Much Hate,The Xtraverts,158.0ø
Closer Together,Fall In Love,Glen Ricks,212.3ø
Intelligent Life (Independence Day Mix),Bass 2000: Mission 1,Bass Apocalypse,201.9ø
