Crow Jane,The Folkways Years_ 1944-1963,Sonny Terry,122.3ø
Melrose,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,126.7ø
Love Like Seas,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,297.0ø
Indian Wallpaper,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,246.3ø
Hippy On The Highway,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,244.5ø
Foul Play,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,302.6ø
Feed Me To The Lions,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,163.0ø
Dirty Dog,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,103.1ø
Cars,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,159.9ø
Camargue,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,68.0ø
Business,Shocking Shades Of Claw Boys Claw,Claw Boys Claw,145.4ø
Time Will Tell,P.E.A.C.E / War,Cause For Alarm,127.1ø
Sensou Hantai,Laughin Complete Aa Tracks,Laughin'Nose,204.6ø
Scene Death,Buttobase,Laughin'Nose,147.3ø
I Can't Trust A Woman,Laughin Complete Aa Tracks,Laughin'Nose,228.7ø
Hell Home,Laughin Complete Aa Tracks,Laughin'Nose,207.9ø
Tango,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,195.1ø
Haciendo El Bobo,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,221.2ø
Esclavo De Tus Pies,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,262.6ø
Cuatro Rosas,4 Rosas Y Que Dios Reparta Suerte,Gabinete Caligari,207.3ø
Waters Part,Waters Part,Let's Active,299.0ø
Ring True,Ring True,Let's Active,215.1ø
Easy Does,Easy Does,Let's Active,203.2ø
Crows On A Phone Line,Crows On A Phone Line,Let's Active,231.5ø
Blue Line,Blue Line,Let's Active,180.1ø
Minuano,Accordionist,Renato Borghetti,191.4ø
More More More,Smash Hits 1984,Carmel,195.7ø
Bad Day,Smash Hits 1983,Carmel,219.1ø
Take Me Nowhere,Phyllis Nelson - Move Closer,Phyllis Nelson,220.8ø
Stop Don't Do This To Me,"All of Phyllis Nelson (including ""I Like You"")",Phyllis Nelson,207.0ø
Somewhere In The City,Phyllis Nelson - Move Closer,Phyllis Nelson,296.1ø
Never Love A Rock Star,"All of Phyllis Nelson (including ""I Like You"")",Phyllis Nelson,198.3ø
Move Closer,Soul In Love - 35 Essential Love Songs,Phyllis Nelson,277.5ø
In A Cadillac,"All of Phyllis Nelson (including ""I Like You"")",Phyllis Nelson,211.5ø
Heartbeat To Heartbeat,Closer,Phyllis Nelson,212.9ø
Happy To See You,Phyllis Nelson - Move Closer,Phyllis Nelson,248.7ø
Zirkus kaputt,Volle Lotte,Rodgau Monotones,254.0ø
Tush,Live,Rodgau Monotones,275.5ø
Mach doch einfach selber mal Musik,Risiken und Nebenwirkungen,Rodgau Monotones,196.2ø
Frach mich net (wie's mir geht),Live,Rodgau Monotones,239.0ø
Die Hesse komme!,Volle Lotte,Rodgau Monotones,312.1ø
Send In The S.A.S.,Wet Dreams,Resistance 77,195.8ø
Russia,Two Ninety Nine,Resistance 77,156.9ø
Communist Cunt,Wet Dreams,Resistance 77,168.9ø
Kathleen,Solidarity,Richard Clapton,278.3ø
Amsterdam,Solidarity,Richard Clapton,314.7ø
Oh! Henry,Blind!,Andi Sex Gang,186.2ø
Mysterious,Vanguard Dance Classics Part 1,Twilight 22,354.4ø
Wild Style,World Destruction,Time Zone featuring John Lydon & Afrika Bambaataa,295.6ø
Sangre,Pacto con el diablo,Angeles del Infierno,219.1ø
No juegues con fuego,Pacto con el diablo,Angeles del Infierno,256.9ø
Esclavos de la noche,Pacto con el diablo,Angeles del Infierno,194.4ø
Es un pacto con el diablo,Pacto con el diablo,Angeles del Infierno,188.1ø
Sunglasses Ron,Sunglasses After Dark,Sunglasses After Dark,106.8ø
Soul,Sunglasses After Dark,Sunglasses After Dark,242.0ø
Rubber Mask,Sunglasses After Dark,Sunglasses After Dark,149.7ø
Queen Of Flies,Sunglasses After Dark,Sunglasses After Dark,212.0ø
Morbid Silence,Sunglasses After Dark,Sunglasses After Dark,245.2ø
Monster Ruck,Sunglasses After Dark,Sunglasses After Dark,137.8ø
Mental Geezer,Sunglasses After Dark,Sunglasses After Dark,120.5ø
Let's Go,Sunglasses After Dark,Sunglasses After Dark,143.4ø
Grave Of Shades,Sunglasses After Dark,Sunglasses After Dark,125.5ø
Flesh Eater,Sunglasses After Dark,Sunglasses After Dark,176.7ø
Destiny,Sunglasses After Dark,Sunglasses After Dark,118.0ø
Black Radio,Sunglasses After Dark,Sunglasses After Dark,203.3ø
At The Hop,Sunglasses After Dark,Sunglasses After Dark,119.7ø
? (Bac Pac),Sunglasses After Dark,Sunglasses After Dark,147.7ø
Rumble On Mersey Square South,Unearthed Merseybeat Volume 1,Wimple Winch,272.4ø
