Even Me,God Shall Wipe All Tears Away,Mahalia Jackson,180.8ø
Shake Ur Body,Set It Off,Shy FX & T-Power,201.7ø
Run Along,Set It Off,Shy FX & T-Power,239.9ø
Rising High,Set It Off,Shy FX & T-Power,271.7ø
Nature,Set It Off,Shy FX & T-Power,193.9ø
Love The Way,Set It Off,Shy FX & T-Power,207.2ø
I've Got An Idea (interlude),Set It Off,Shy FX & T-Power,71.8ø
Feelin' U,Set It Off,Shy FX & T-Power,324.5ø
Fabio (interlude),Set It Off,Shy FX & T-Power,49.2ø
Don't Wanna Know (Album version),Set It Off,Shy FX & T-Power feat. Di & Skibadee,211.3ø
Don't Give A Damn,Set It Off,Shy FX & T-Power,275.5ø
Superhuman,Joey Tempest,Joey Tempest,218.7ø
Outside Heaven,Joey Tempest,Joey Tempest,236.3ø
Magnificent,Joey Tempest,Joey Tempest,140.6ø
Loved By Me,Joey Tempest,Joey Tempest,226.7ø
Losers,Joey Tempest,Joey Tempest,190.1ø
Forgiven,Joey Tempest,Joey Tempest,240.3ø
Every Universe,Joey Tempest,Joey Tempest,250.5ø
Dreamless,Joey Tempest,Joey Tempest,216.8ø
Always On The Run,Joey Tempest,Joey Tempest,212.6ø
Stranded,Karma,Mr. Lil One,254.4ø
Hollow Point,Dangerous Mind,Mr. Lil One,238.9ø
2-Gee,Karma,Mr. Lil One,246.2ø
