Alfabed,Hollands Glorie,Ramses Shaffy,128.4ø
Work Song,Don't Say That I Ain't Your Man!-Essential Blues,The Butterfield Blues Band;Michael Bloomfield,474.3ø
This Love Of Mine,Latin Shadows,Shirley Scott,201.7ø
Soul Sauce,Latin Shadows,Shirley Scott,168.2ø
Perhaps_ Perhaps_ Perhaps (Quizas_ Quizas_ Quizas),Latin Shadows,Shirley Scott,156.7ø
Hanky Panky,Latin Shadows,Shirley Scott,255.3ø
For Dancers Only,Talkin Verve: Shirley Scott,Shirley Scott,227.7ø
Feeling Good,Latin Shadows,Shirley Scott,216.8ø
Dreamsville,Latin Shadows,Shirley Scott,193.1ø
Downtown,Talkin Verve: Shirley Scott,Shirley Scott,205.5ø
High On Love,Where The Action Is! Los Angeles Nuggets 1965-1968,The Knickerbockers,181.1ø
Working In The Coal Mine,Working In The Coal Mine / Everything I Do Gonh Be Funky - Single,Lee Dorsey,166.6ø
Bracero,There But For Fortune,Phil Ochs,250.8ø
Girl Don't Make Me Wait,The Complete Introduction To Northern Soul,Bunny Sigler,140.6ø
White Christmas,K. Smith X-Mas Album,Kate Smith,194.8ø
Silver Bells,K. Smith X-Mas Album,Kate Smith,154.9ø
I Heard The Bells On Christmas Day,K. Smith X-Mas Album,Kate Smith,163.3ø
Christmas Eve In My Home Town,K. Smith X-Mas Album,Kate Smith,200.1ø
Motherless Children Have A Hard Time,Vol. 1 - I'm Blue As A Man Can Be,Robert Pete Williams,323.0ø
Freight Train Blues,Long Ol' Way From Home,Robert Pete Williams,307.1ø
You've Got My Mind Messed Up,A Man Needs A Woman,James Carr,146.3ø
These Ain't Raindrops,You Got My Mind Messed Up,James Carr,154.3ø
The Dark End Of The Street,A Man Needs A Woman,James Carr,153.6ø
That's What I Want To Know,Soul Forever - Memphis Stew,James Carr,186.5ø
Pouring Water On A Drowning Man,The Goldwax Story Vol 1,James Carr,162.2ø
Love Attack,You Got My Mind Messed Up,James Carr,173.3ø
I Don't Want To Be Hurt Anymore,You Got My Mind Messed Up,James Carr,143.3ø
Forgetting You,You Got My Mind Messed Up,James Carr,175.4ø
Coming Back To Me Baby,You Got My Mind Messed Up,James Carr,118.6ø
Batman Theme,20th Century Rocks: 60's Pop - Those Were the Days,The Marketts,140.5ø
What Can I Give You This Christmas?,For Christmas This Year,The Lettermen,164.3ø
The Christmas Waltz,For Christmas This Year,The Lettermen,131.6ø
The Christmas Song (Merry Christmas To You),For Christmas This Year,The Lettermen,145.1ø
Silent Night_ Holy Night,For Christmas This Year,The Lettermen,130.4ø
Mary's Little Boy Child,For Christmas This Year,The Lettermen,165.9ø
Little Drummer Boy,For Christmas This Year,The Lettermen,180.9ø
I'll Be Home For Christmas,For Christmas This Year,The Lettermen,143.8ø
Have Yourself A Merry Little Christmas,For Christmas This Year,The Lettermen,166.1ø
Christmas All Alone,For Christmas This Year,The Lettermen,150.5ø
Double Shot (Of My Baby's Love),60's Jukebox Hits - Vol. 2,Swingin' Medallions,132.3ø
Hymn No. 5,Hannibalism!,The Mighty Hannibal,202.6ø
Fishin' Pole,Hannibalism!,The Mighty Hannibal,162.5ø
Helpless,Shake Me_ Wake Me - A Tribute To Holland Dozier Holland,Kim Weston,168.1ø
Let Our Love Begin,Eddie Bo Selected Favorites,Eddie Bo,130.5ø
From This Day On,Eddie Bo Selected Favorites,Eddie Bo,159.5ø
Cheryl's Goin' Home,Don't Be Concerned/Photographs Of Feeling,Bob Lind,127.9ø
If I Loved You,Sing For You,Chad & Jeremy,134.6ø
Nothing,Greatest Hits,The Fugs,192.6ø
Frenzy,Greatest Hits,The Fugs,169.8ø
If You Want This Love,Where The Action Is! Los Angeles Nuggets 1965-1968,The West Coast Pop Art Experimental Band,169.6ø
Non la fermare,Le Origini_ Vol. 1,Pooh,167.5ø
La solita storia,Le Origini_ Vol. 1,Pooh,201.9ø
The White Cockade,Early Days,The Watersons,219.0ø
The Whitby Lad,Early Days,The Watersons,195.3ø
The Tour of the Dales,Early Days,The Watersons,273.2ø
You're My Inspiration (LP Version),In Action,The Mad Lads,195.8ø
You Mean So Much To Me (LP Version),In Action,The Mad Lads,151.9ø
She's The One (LP Version),In Action,The Mad Lads,124.4ø
Patch My Heart,Don't Have To Shop Around,The Mad Lads,151.4ø
Nothing Can Break Through (LP Version),In Action,The Mad Lads,134.8ø
Land Of 1000 Dances (LP Version),In Action,The Mad Lads,213.4ø
I'm Learning (In The Ways Of My Love) (LP Version),In Action,The Mad Lads,167.7ø
I Want Someone (LP Version),In Action,The Mad Lads,161.6ø
I Want Someone,Don't Have To Shop Around,The Mad Lads,155.3ø
Get Out Of My Life (LP Version),In Action,The Mad Lads,186.8ø
Don't Have To Shop Around,Don't Have To Shop Around,The Mad Lads,168.8ø
Come Closer To Me (LP Version),In Action,The Mad Lads,159.7ø
