Turn Out The Stars,The Complete Fantasy Recordings,Bill Evans Trio,307.9ø
Blue Jeans,The Collection,Skyhooks,148.6ø
Twilight Birds,Efter Endnu En Dag,Gasolin',174.3ø
Pilli Villi,Gasolin' The Album Collection,Gasolin',204.0ø
Tears On My Pillow,Rockin' Chair/Something So Right,Gwen McCrae,242.6ø
Something So Right,Rockin' Chair/Something So Right,Gwen McCrae,323.0ø
Love Without Sex,The Best Of Gwen McCrae,Gwen McCrae,278.0ø
Iron Woman,Rockin' Chair/Something So Right,Gwen McCrae,251.1ø
Hangover Tavern,Original Hits - Country,Hank Thompson,153.8ø
Lluvia,40 Grandes Exitos,Mocedades,213.4ø
Mis Noches Sin Ti,Nino Bravo 50 Aniversario,Nino Bravo,174.4ø
Mi Tierra,Todo Nino,Nino Bravo,263.1ø
Libre,Nino Bravo 50 Aniversario,Nino Bravo | Francisco,257.2ø
Es El Viento,Todo Nino,Nino Bravo,158.3ø
Como Todos,Super 20,Nino Bravo,189.6ø
Make Your Body Move,Energy to Burn + 1980,B.T Express,313.9ø
Herbs,Energy to Burn + 1980,B.T Express,165.9ø
Energy Level,Energy to Burn + 1980,B.T Express,230.7ø
Depend On Yourself,Energy to Burn + 1980,B.T Express,421.3ø
You're Mean,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,353.9ø
Webb's Boogie,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,348.4ø
Unlucky Boy,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,152.0ø
Tutti Frutti,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,148.8ø
Too Late To Cry,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,187.1ø
The Thrill Is Gone,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,327.8ø
Stan The Man,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,262.8ø
Revelation,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,309.4ø
Prudence's Party,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,190.8ø
Jammin' With The Ash,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,421.4ø
As Time Goes Passing By,Poor Boy - The Deram Years 1972-1974,Chicken Shack | Stan Webb,210.2ø
Way Over In Dub,In Dub,Tappa Zukie,181.4ø
Rub This Dub,In Dub,Tappa Zukie,182.5ø
Prophesy Dub,In Dub,Tappa Zukie,196.9ø
Loving Dub,In Dub,Tappa Zukie,165.9ø
Judgement Dub,In Dub,Tappa Zukie,197.4ø
Jah Speak In Dub,In Dub,Tappa Zukie,191.7ø
Dub M.P.L.A.,In Dub,Tappa Zukie,186.4ø
Cool This Dub,In Dub,Tappa Zukie,208.6ø
Beautiful Dub,In Dub,Tappa Zukie,175.3ø
Fare _ Sfare _ Dire _ Indovinare,Poohlover,Pooh,198.4ø
The Sun Began To Rain,In Another Land,Larry Norman,79.1ø
Strong Love_ Strange Place (Bonus Track),In Another Land,Larry Norman,241.6ø
Six Sixty Six,In Another Land,Larry Norman,154.2ø
Shot Down,In Another Land,Larry Norman,122.2ø
Righteous Rocker #3,In Another Land,Larry Norman,51.4ø
Look Into Jesus,In Another Land,Larry Norman,158.3ø
Let That Tape Keep Rolling,Something New Under the Son,Larry Norman,307.9ø
Joyful Delta Ray (Bonus Track),In Another Land,Larry Norman,340.0ø
I Am a Servant,In Another Land,Larry Norman,190.6ø
Hymn To the Last Generation,In Another Land,Larry Norman,112.2ø
Diamonds,In Another Land,Larry Norman,97.0ø
DEJA VU (If God Is My Father),In Another Land,Larry Norman,81.2ø
