Patrol Wagon Blues,Blues on My Radio,Lazy Lester,230.2ø
Bring The Torch,Best Of Narada Christmas,Eric Tingstad|Nancy Rumbel,136.9ø
Vesela pesma,Best of live,Bajaga & Instruktori,231.1ø
Ruski voz,So far...The Best of... Bajaga,Bajaga & Instruktori,254.8ø
Plavi safir,Best of live,Bajaga & Instruktori,307.1ø
Godine prolaze,Best of live,Bajaga & Instruktori,266.1ø
Walk The Last Mile,Strange Kind Of Love,Love & Money,306.2ø
Strange Kind Of Love,Cheap Pearls And Whisky Dreams: The Best Of,Love & Money,313.6ø
Scapegoat,Strange Kind Of Love,Love & Money,230.8ø
Razorsedge,Strange Kind Of Love,Love & Money,260.6ø
Jocelyn Square,Strange Kind Of Love,Love & Money,240.2ø
Inflammable,Strange Kind Of Love,Love & Money,261.9ø
Halleluiah Man,Strange Kind Of Love,Love & Money,278.7ø
Axis Of Love,Strange Kind Of Love,Love & Money,305.9ø
Avalanche,Strange Kind Of Love,Love & Money,306.1ø
Somewhere South,Listen On - The Best Of The Railway Children,The Railway Children,214.5ø
Monica's Light,Listen On - The Best Of The Railway Children,The Railway Children,226.6ø
In The Meantime,Listen On - The Best Of The Railway Children,The Railway Children,230.9ø
The Scene,Mean,Filthy Christians,83.6ø
Beneath The Moon,The Hunchback of Notre Dame: A Musical by Dennis DeYoung,Dennis DeYoung,256.9ø
Bend Me Shape Me,60's Gold,The American Breed,130.8ø
The Tyger,Dawn of the Cycads,Birdsongs of the Mesozoic,200.2ø
Lost In The B-Zone,The Iridium Controversy,Birdsongs of the Mesozoic,286.7ø
Final Motif,Dawn of the Cycads,Birdsongs of the Mesozoic,243.4ø
Wake Up Call,Noisy Nights,Uzeb,310.6ø
Time Square,Live In Europe,Uzeb,529.0ø
Spider,Noisy Nights,Uzeb,294.7ø
Slinky,Fast Emotion,Uzeb,207.3ø
Noisy Nights,Noisy Nights,Uzeb,270.1ø
New Hit,Noisy Nights,Uzeb,498.0ø
New Funk,Live In Europe,Uzeb,288.3ø
Mister Bill,Noisy Nights,Uzeb,288.7ø
La Ballade Bleue,Live In Europe,Uzeb,516.3ø
4 P.M. Gate 26,Live In Europe,Uzeb,479.0ø
Moulin rouge,The Greatest Hits from 40's and 50's_ Vol. 48,Les Compagnons De La Chanson,127.6ø
