Conspiracy,Sweden Rock Festival - Best Of 2005-2006 Vol.1,Treat,262.2ø
Old Masterpiece (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,122.7ø
Mushroom Moon (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,205.2ø
Kerala (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,265.7ø
Immortal Bliss (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,173.1ø
I Wanna Be A Frog (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,136.0ø
Hey-Ho_ Red Banana (2005 Digital Remaster),Softwood Music Under Slow Pillars,Sielun Veljet,118.6ø
Oi mutsi mutsi,Kohdusta hautaan,Tuomari Nurmio,203.3ø
Mutakuono ja lakupelle,Vuosikerta,Irwin Goodman,166.3ø
Ei kukaan,Vuosikerta,Irwin Goodman,191.1ø
Yawn,Epicurean,The Orchids,442.7ø
Something For The Longing,Glass Arcade,The Orchids,325.9ø
Like A Virgin,Killer Lords,Lords Of The New Church,227.7ø
Novi Dani,Razum I Bezumlje,Majke,222.0ø
Iz Sve Snage,Idemo Hrvatska Kol'ko Nas Ima,Majke,156.3ø
The Waffer,The Very Best Of Larry Carlton,Larry Carlton,397.0ø
The Philosopher,On Solid Ground,Larry Carlton,248.5ø
Layla,On Solid Ground,Larry Carlton,247.8ø
Josie,On Solid Ground,Larry Carlton,310.5ø
Honey Samba,On Solid Ground,Larry Carlton,308.0ø
All In Good Time,On Solid Ground,Larry Carlton,521.3ø
You Should All Be Murdered,London Weekend,Another Sunny Day,278.4ø
Horseriding,London Weekend,Another Sunny Day,155.9ø
Green,London Weekend,Another Sunny Day,210.0ø
Can't You Tell It's True?,London Weekend,Another Sunny Day,110.1ø
Putujemo,The Ultimate Collection,Leb I Sol,285.0ø
Istok-zapad (telepatski),The Ultimate Collection,Leb I Sol,254.7ø
They Can't Take That Away From Me,Pure Tuck & Patti,Tuck & Patti,183.3ø
On A Clear Day,Love Warriors,Tuck & Patti,198.3ø
Love Warriors,Love Warriors,Tuck & Patti,291.6ø
If It's Magic,Pure Tuck & Patti,Tuck & Patti,279.9ø
Honey Pie,Love Warriors,Tuck & Patti,154.0ø
Hold Out_ Hold Up And Hold On,Love Warriors,Tuck & Patti,281.6ø
Glory Glory,Love Warriors,Tuck & Patti,444.8ø
Europa,Love Warriors,Tuck & Patti,304.0ø
Cantador (Like A Lover),Love Warriors,Tuck & Patti,307.2ø
Beyond The Blue Horizon,Lightning Strikes! (Beyond The Blue Horizon),Lou Christie,227.4ø
Mobile-Texas Line,The Very Best of Tom Rush: No Regrets 1962-1999,Tom Rush,189.9ø
Drop Down Mama,Tom Rush,Tom Rush,152.4ø
You Won't Be Satisfied Until You Break My Heart,Best Of The Big Bands,Les Brown,188.0ø
Sentimental Journey,The Essential Swing Collection,Les Brown,231.9ø
Mexican Hat Dance,Classic Years of Les Brown,Les Brown,191.7ø
Leap Frog,Sentimental Journey,Les Brown,161.0ø
I've Got My Love To Keep Me Warm,Sentimental Journey - 20 Big Band Greats,Les Brown,171.8ø
Stoned To Death,History Of,Zero Boys,141.4ø
Za Chlebem,Aya RL (Niebieska),Aya RL,247.7ø
Waltera Pamieci Rapsod Zalobny,Aya RL (Niebieska),Aya RL,297.2ø
Ten Czlowiek Z Teczka,Aya RL (Niebieska),Aya RL,305.5ø
Sloneczko - Piosenka Z Okladki,Aya RL (Niebieska),Aya RL,251.4ø
Sabotaz,Aya RL (Niebieska),Aya RL,229.0ø
Prinsie Serce,Aya RL (Niebieska),Aya RL,215.6ø
Moje On,Aya RL (Niebieska),Aya RL,272.9ø
Jak Ze Szkla I Stali,Aya RL (Niebieska),Aya RL,245.4ø
Fiji - Where Is Fiji?,Aya RL (Niebieska),Aya RL,214.0ø
Lemon Tree,Trini Lopez - If I Had a Hammer,Trini Lopez,168.3ø
Matinda,Le Voyageur,Papa Wemba,227.6ø
M'Fono Yami,Papa Wemba,Papa Wemba,224.8ø
Lingo Lingo,Le Voyageur,Papa Wemba,243.7ø
Le Voyageur,Le Voyageur,Papa Wemba,263.2ø
Bokulaka,Papa Wemba,Papa Wemba,444.4ø
Stop Your Fussin',Union,Toni Childs,280.8ø
Riders in the Sky,And the Year Was...1949,Vaughn Monroe,176.7ø
Let It Snow! Let It Snow! Let It Snow!,Vintage Country Vol 1,Vaughn Monroe,189.3ø
Fegyver Vagyok,Baj van!,Tankcsapda,141.7ø
Baj Van!!,Baj van!,Tankcsapda,96.7ø
Anarchia,Baj van!,Tankcsapda,139.3ø
Velveteen,Baby I Don't Care - The Collection,Transvision Vamp,569.3ø
Song To The Stars,Velveteen,Transvision Vamp,111.6ø
Pay The Ghosts,Velveteen,Transvision Vamp,280.8ø
Landslide Of Love,Baby I Don't Care - The Collection,Transvision Vamp,227.3ø
Kiss Their Sons,Baby I Don't Care - The Collection,Transvision Vamp,258.2ø
Falling For A Goldmine,Velveteen,Transvision Vamp,269.4ø
Down On You,Velveteen,Transvision Vamp,262.2ø
Born To Be Sold,Baby I Don't Care - The Collection,Transvision Vamp,222.5ø
Bad Valentine,Baby I Don't Care - The Collection,Transvision Vamp,223.7ø
Baby I Don't Care,Baby I Don't Care - The Collection,Transvision Vamp,343.6ø
She's A Little Angel,Little Of The Past,Little Angels,193.4ø
Radical Your Lover,Little Of The Past,Little Angels,226.1ø
Kickin' Up Dust,Little Of The Past,Little Angels,240.6ø
Don't Pray For Me,Little Of The Past,Little Angels,268.3ø
Wishful Thinking,25 Greatest Hits,Little Anthony & The Imperials,159.6ø
Traveling Stranger,25 Greatest Hits,Little Anthony & The Imperials,123.4ø
So Much,Yes! It's Little Anthony & The Imperials,Little Anthony & The Imperials,151.4ø
Please Say You Want Me,25 Greatest Hits,Little Anthony & The Imperials,167.3ø
My Empty Room,25 Greatest Hits,Little Anthony & The Imperials,150.3ø
It's Not For Me,25 Greatest Hits,Little Anthony & The Imperials,137.9ø
I Miss You So,25 Greatest Hits,Little Anthony & The Imperials,155.1ø
Splitter Pine,Splitter Pine,Dumdum Boys,267.8ø
Slave,Splitter Pine,Dumdum Boys,275.6ø
Oppned,Splitter Pine,Dumdum Boys,188.8ø
Hull I Himmelen,Splitter Pine,Dumdum Boys,255.7ø
Fort & Farlig,Splitter Pine,Dumdum Boys,171.8ø
Engelen,Splitter Pine,Dumdum Boys,257.5ø
Boom Boom,Splitter Pine,Dumdum Boys,170.0ø
Sid'aventure,Comme On A Dit,Jean-Louis Aubert,299.0ø
Groove Master,The Cutting Edge,Arrow,362.0ø
Darling,Skank - The Fifteen Commandments Of Ska,The Riffs,214.1ø
Blind Date,Skank - Ska For Ska's Sake,The Riffs,193.8ø
Swordlily,Flags Of Revolution,love like blood,254.0ø
Siruja,Veitsen valossa,Miljoonasade,199.0ø
Runoilija,Veitsen valossa,Miljoonasade,157.0ø
Kivipuuteri,Veitsen valossa,Miljoonasade,179.0ø
Kadonneet,Veitsen valossa,Miljoonasade,155.0ø
Salman Rushdie,Segundo Asalto,Def Con Dos,210.7ø
Pegale Al ruido,Segundo Asalto,Def Con Dos,257.5ø
S.U.C.C.E.S.S.,Blast,Holly Johnson,211.5ø
Love Will Come,Blast,Holly Johnson,268.5ø
Got It Made,Blast,Holly Johnson,229.0ø
Feel Good,Blast,Holly Johnson,328.4ø
Deep In Love,Blast,Holly Johnson,238.5ø
Geh nicht vorbei,Ich lebe gern,Christian Anders,305.8ø
Waters Of The Moon,Fire In The Mountain,Working Week,278.9ø
Waiting In Vain,Fire In The Mountain,Working Week,323.6ø
This Time,Fire In The Mountain,Working Week,382.9ø
Lost Weekend,Fire In The Mountain,Working Week,372.1ø
Flamingo,Fire In The Mountain,Working Week,286.1ø
Fire From The Mountain,Fire In The Mountain,Working Week,334.3ø
"Eldorado (12"" Remix)",Fire In The Mountain,Working Week,446.0ø
Eldorado,Fire In The Mountain,Working Week,298.4ø
Blade,Fire In The Mountain,Working Week,315.2ø
Love Cuts,Femmes Fatales,The Flatmates,271.7ø
Silver Bells,Ricky Van Shelton Sings Christmas,Ricky Van Shelton,189.1ø
Pretty Paper,Ricky Van Shelton Sings Christmas,Ricky Van Shelton,168.9ø
I'll Be Home For Christmas,Ricky Van Shelton Sings Christmas,Ricky Van Shelton,186.1ø
Country Christmas,Ricky Van Shelton Sings Christmas,Ricky Van Shelton,156.8ø
Christmas Long Ago,Ricky Van Shelton Sings Christmas,Ricky Van Shelton,186.9ø
Social Call,Betty Carter's Finest Hour,Betty Carter,145.6ø
When Will It Be Me,Under A Purpel Sky,Siglo Xx,247.8ø
Waiting For A Friend,Under A Purpel Sky,Siglo Xx,211.5ø
Vanity Lane,Under A Purpel Sky,Siglo Xx,194.1ø
Untouchable Flame,Under A Purpel Sky,Siglo Xx,236.6ø
Summers Die,Under A Purpel Sky,Siglo Xx,287.8ø
City In Dust,Under A Purpel Sky,Siglo Xx,198.3ø
Alice,Under A Purpel Sky,Siglo Xx,207.4ø
Friday 13th,Heavy Soul,Atomic Rooster,209.9ø
St. Louis Blues,Somewhere In France,Ray Bryant,416.9ø
Django,Somewhere In France,Ray Bryant,400.6ø
Start The Fire,The Reckoning,Margaret Becker,261.0ø
Run Ronald,The Only Good Punk,Electro Hippies,40.9ø
Acid Rain,The Only Good Punk,Electro Hippies,173.1ø
Whatever Way The Wind Blows,Good Evening,Marshall Crenshaw,205.9ø
Valerie,Good Evening,Marshall Crenshaw,215.6ø
Some Hearts,Good Evening,Marshall Crenshaw,262.8ø
She Hates To Go Home,Good Evening,Marshall Crenshaw,286.8ø
Radio Girl,Good Evening,Marshall Crenshaw,247.0ø
On The Run,Good Evening,Marshall Crenshaw,195.2ø
Let Her Dance,Good Evening,Marshall Crenshaw,176.4ø
Din Daa Daa,Din Daa Daa (Exklusiv Remix 1996),George Kranz,394.7ø
Wygnanie Z Raju,Dzieci Hioba,Jacek Kaczmarski,183.6ø
Swiatlo,Dzieci Hioba,Jacek Kaczmarski,89.4ø
Sara,Dzieci Hioba,Jacek Kaczmarski,107.9ø
Protest,Dzieci Hioba,Jacek Kaczmarski,106.6ø
Pochwala,Dzieci Hioba,Jacek Kaczmarski,101.9ø
Pan Wolodyjowski,Dzieci Hioba,Jacek Kaczmarski,188.6ø
Pan Podbipieta,Dzieci Hioba,Jacek Kaczmarski,236.1ø
Odnosimy Sie...,Dzieci Hioba,Jacek Kaczmarski,99.0ø
Liliput,Dzieci Hioba,Jacek Kaczmarski,209.4ø
Laputa,Dzieci Hioba,Jacek Kaczmarski,185.2ø
Lament,Dzieci Hioba,Jacek Kaczmarski,136.1ø
Kolysanka Dla Kleopatry,Dzieci Hioba,Jacek Kaczmarski,193.8ø
Japonska Rycina,Dzieci Hioba,Jacek Kaczmarski,201.8ø
Huynhynn,Dzieci Hioba,Jacek Kaczmarski,297.8ø
Dzieci Hioba,Dzieci Hioba,Jacek Kaczmarski,199.7ø
Ci Wszyscy Ludzie,Dzieci Hioba,Jacek Kaczmarski,233.9ø
Brobdingnag,Dzieci Hioba,Jacek Kaczmarski,137.7ø
Bieszczady,Dzieci Hioba,Jacek Kaczmarski,158.2ø
Cowboys To Girls,Super Hits,The Intruders,157.1ø
The Happiest Girl In The Whole U.S.A.,20th Century Masters: The Millennium Collection: Best of Donna Fargo,Donna Fargo,150.6ø
Killing Floor,A Long Time Comin',The Electric Flag,249.5ø
Groovin' Is Easy,A Long Time Comin',The Electric Flag,183.5ø
Who Ever Said It Was Love   (LP Version),Miki Howard,Miki Howard,296.1ø
Until You Come Back To Me (That's What I'm Gonna Do) (LP Version),Miki Howard,Miki Howard,248.6ø
Mister   (LP Version),Miki Howard,Miki Howard,226.1ø
Love Under New Management  (LP Version),Miki Howard,Miki Howard,408.3ø
Love Me All Over  (LP Version),Miki Howard,Miki Howard,251.3ø
Just The Way You Want Me To (LP Version),Miki Howard,Miki Howard,309.0ø
If You Still Love Her  (LP Version),Miki Howard,Miki Howard,330.0ø
I'll Be Your Shoulder  (LP Version),Miki Howard,Miki Howard,313.3ø
Come Home To Me (LP Version),Miki Howard,Miki Howard,349.8ø
Ain't Nuthin' In The World (LP Version),Miki Howard,Miki Howard,299.5ø
Touch,Greatest Hits,Noiseworks,303.5ø
Simple Man,Greatest Hits,Noiseworks,228.1ø
You Keep Me Hanging On,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,340.1ø
Right Back Where We Started From,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,437.1ø
Love On A Mountain Top,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,206.5ø
Lay Me Down Easy,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,223.0ø
I Just Wanna Spend Some Time With You,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,405.8ø
I Don't Believe In Miracles,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,355.7ø
Hitchin' A Ride,The Greatest Hits,Sinitta,213.8ø
Body Shopping,Hits+ Collection 86 - 09 Right Back Where We Started From,Sinitta,381.7ø
Mania (live),The Curse,Throwing Muses,235.4ø
Struggle For Jive,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,245.0ø
No Kid,Beograd Live,Urban Dance Squad,204.0ø
God Blasts The Queen,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,270.9ø
Fast Lane,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,245.8ø
Famous When You're Dead,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,495.8ø
Deeper Shade Of Soul,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,224.5ø
Brainstorm On The U.D.S.,Mental Floss For The Globe / Hollywood Live 1990,Urban Dance Squad,247.1ø
No Te Demores,Sus Mas Grandes Exitos,Alberto Plaza,143.4ø
The Doggie In the Window,Hit Parade 1953,Patti Page,146.9ø
Old Cape Cod,US - June - 1957,Patti Page,138.4ø
I Went To Your Wedding,Spotlight On Patti Page,Patti Page,203.4ø
How Much Is That Doggie In The Window,Tennesse Waltz - 20 Smash Hits,Patti Page,141.7ø
Changing Partners,Patti Page's Greatest Hits,Patti Page,142.5ø
Livin' In The Jungle,Best Of Schoolly D,Schoolly D,216.5ø
Power Circles,Clifford Darling_ Please Don't Live In the Past,Severed Heads,185.2ø
Golden Boy,Since the Accident (1983),Severed Heads,269.2ø
Gashing the Old Mae West,Since the Accident (1983),Severed Heads,365.1ø
Epilepsy '82,Since the Accident (1983),Severed Heads,220.2ø
We Just Gotta Do It (For Us),The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,255.1ø
Treat You So Well,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,253.8ø
Name And Number,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,240.4ø
Keep On Trying,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,296.5ø
Go Go Ahead,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,143.1ø
First Place,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,270.4ø
Cascade,The Very Best Of Curiosity Killed The Cat,Curiosity Killed The Cat,231.2ø
With My Little Stick Of Blackpool Rock,George Formby: England's Famed Clown Prince Of Song,George Formby,228.6ø
When I'm Cleaning Windows,Classic Years,George Formby,176.1ø
The Lancashire Toreador,George Formby: England's Famed Clown Prince Of Song,George Formby,233.9ø
Somebody's Wedding Day,Classic Years of George Formby,George Formby,203.5ø
Sitting on the Sands All Night,Leaning on a Lamp Post,George Formby,158.4ø
I'm A Froggie,George Formby: England's Famed Clown Prince Of Song,George Formby,206.4ø
Hindoo Man,It's Turned Out Nice Again,George Formby,181.4ø
Five And Twenty Years,When I'm Cleaning Windows,George Formby,167.2ø
Willow Weep For Me,Complete Originals Recordings,Tommy Flanagan,389.7ø
Voce Abuso,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,291.1ø
That TIred Routine Called Love,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,409.1ø
Raincheck,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,299.2ø
Mean Streets,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,252.6ø
I'm Old Fashioned,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,342.7ø
Glad To Be Happy,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,287.5ø
Caravan,Jazz Poet,Tommy Flanagan_ George Mraz_ Kenny Washington,383.7ø
I Could Be A Killer,China Basin,Gerard Films | Norman Gerard,246.2ø
Between Two Waves,Century Flower,Shelleyan Orphan,247.7ø
Cherry Oh Baby,Reggae Reggae,Eric Donaldson,181.6ø
Waltz of Joy,Universe One,Constance Demby,283.8ø
Tribal Gregorian,Set Free - The Definitive Edition,Constance Demby,259.4ø
The Galactic Chalice,Set Free - The Definitive Edition,Constance Demby,446.1ø
Moving On,Set Free - The Definitive Edition,Constance Demby,285.8ø
Lotus Opening,Set Free - The Definitive Edition,Constance Demby,353.6ø
Javalon,Set Free - The Definitive Edition,Constance Demby,259.4ø
I Set Myself Free,Set Free - The Definitive Edition,Constance Demby,270.3ø
Chambers Of The Heart,Set Free - The Definitive Edition,Constance Demby,277.9ø
Celestial Communion,Set Free - The Definitive Edition,Constance Demby,556.8ø
Paxarinos,Vivir Para Cantarlo,Victor Manuel,225.7ø
La Planta 14,Mucho Mas Que Dos (Live In Concert),Victor Manuel,226.1ø
Who Can I Turn To,16 Most Requested Songs,Robert Goulet,187.4ø
What Kind Of Fool Am I,16 Most Requested Songs,Robert Goulet,156.5ø
This Is All I Ask,16 Most Requested Songs,Robert Goulet,200.4ø
The Impossible Dream,16 Most Requested Songs,Robert Goulet,211.5ø
Take Me In Your Arms,16 Most Requested Songs,Robert Goulet,173.3ø
Sunrise Sunset,16 Most Requested Songs,Robert Goulet,222.1ø
Somewhere My Love,16 Most Requested Songs,Robert Goulet,183.3ø
She Touched Me,16 Most Requested Songs,Robert Goulet,148.1ø
Real Live Girl,16 Most Requested Songs,Robert Goulet,172.2ø
My Love_ Forgive Me,16 Most Requested Songs,Robert Goulet,170.2ø
If I Ruled The World,16 Most Requested Songs,Robert Goulet,176.4ø
If I Ever Leave You,16 Most Requested Songs,Robert Goulet,199.3ø
If Ever I Would Leave You,Robert Goulet'S Greatest Hits,Robert Goulet,130.4ø
For Once In My Life,16 Most Requested Songs,Robert Goulet,209.3ø
Call Me Irresponsible,16 Most Requested Songs,Robert Goulet,166.1ø
Piel De Serpiente,The Platinum Collection,Sangre Azul,233.2ø
No Puedo Estar Sin Ti,El Silencio De La Noche,Sangre Azul,296.6ø
El Silencio De La Noche,The Platinum Collection,Sangre Azul,247.9ø
Abre Fuego,El Silencio De La Noche,Sangre Azul,320.0ø
A Golpes De Rock,Sangre Azul - Grandes Exitos,Sangre Azul,267.8ø
When I'm Gone (LP Version),There But For Fortune,Phil Ochs,253.6ø
What's That I Hear? (LP Version),There But For Fortune,Phil Ochs,121.8ø
Too Many Martyrs (LP Version),There But For Fortune,Phil Ochs,168.7ø
Time Was,Broadside Tapes 1,Phil Ochs,101.0ø
There But For Fortune (LP Version),There But For Fortune,Phil Ochs,166.1ø
The Passing of My Life,Broadside Tapes 1,Phil Ochs,145.5ø
Talking Pay T.V.,Broadside Tapes 1,Phil Ochs,157.0ø
Spanish Civil War Song,Broadside Tapes 1,Phil Ochs,136.0ø
Santo Domingo (LP Version),There But For Fortune,Phil Ochs,356.7ø
Rivers of the Blood,Broadside Tapes 1,Phil Ochs,124.0ø
Ringing Of Revolution (LP Version),There But For Fortune,Phil Ochs,434.0ø
Power And The Glory (LP Version),There But For Fortune,Phil Ochs,137.1ø
One More Parade (LP Version),There But For Fortune,Phil Ochs,198.7ø
I'm Going To Say It Now (LP Version),There But For Fortune,Phil Ochs,175.2ø
I Shoulda Known Better,Broadside Tapes 1,Phil Ochs,207.1ø
I Ain't Marching Anymore (LP Version),There But For Fortune,Phil Ochs,154.6ø
Here's To The State Of Mississippi (LP Version),There But For Fortune,Phil Ochs,352.9ø
Christine Keeler,Broadside Tapes 1,Phil Ochs,94.5ø
Changes (LP Version),There But For Fortune,Phil Ochs,280.8ø
Ballad of John Henry Faulk,Broadside Tapes 1,Phil Ochs,187.5ø
Tinsel Heart,Disney & Other Singles,Brighter,204.1ø
Things Will Get Better,Disney & Other Singles,Brighter,232.7ø
Noah's Ark,Disney & Other Singles,Brighter,307.0ø
Inside Out,Disney & Other Singles,Brighter,243.2ø
I Don't Think It Matters,Disney & Other Singles,Brighter,181.3ø
Does Love Last Forever?,Disney & Other Singles,Brighter,152.8ø
Secret Love,Historic Country & Western,Slim Whitman,164.6ø
The True Spirit Of Mom And Dad,No Blue Thing,Ray Lynch,484.0ø
No Blue Thing,No Blue Thing,Ray Lynch,337.2ø
Homeward At Last,No Blue Thing,Ray Lynch,221.5ø
Here & Never Found,No Blue Thing,Ray Lynch,286.3ø
Evenings_ Yes,No Blue Thing,Ray Lynch,294.9ø
Drifted In A Deeper Land,No Blue Thing,Ray Lynch,447.3ø
Clouds Below Your Knees,No Blue Thing,Ray Lynch,293.2ø
Three/Four,The Bride Ship,Crime And The City Solution,195.4ø
The Shadow Of No Man,The Bride Ship,Crime And The City Solution,326.4ø
The Greater Head,The Bride Ship,Crime And The City Solution,262.1ø
The Bride Ship (Alternative Version),The Bride Ship,Crime And The City Solution,382.6ø
The Bride Ship,The Bride Ship,Crime And The City Solution,383.0ø
Stone,The Bride Ship,Crime And The City Solution,251.1ø
New World,The Bride Ship,Crime And The City Solution,217.3ø
Keepsake,The Bride Ship,Crime And The City Solution,280.1ø
White House Blues,Pentangling,John Renbourn,213.1ø
Coda,Revelation In The Courthouse Park,Harry Partch,209.6ø
Chorus Four,Revelation In The Courthouse Park,Harry Partch,408.9ø
Too Many Humans,Treponem Pal,Treponem Pal,198.1ø
The Prettiest Star,Treponem Pal,Treponem Pal,148.9ø
The Black Box,Treponem Pal,Treponem Pal,213.2ø
Soft Mouth Vagina,Treponem Pal,Treponem Pal,212.4ø
Silico,Treponem Pal,Treponem Pal,229.9ø
Low Man,Treponem Pal,Treponem Pal,332.2ø
In - Out,Treponem Pal,Treponem Pal,356.7ø
Embodiement Of Frustration,Treponem Pal,Treponem Pal,324.8ø
Written In Fiction,Laughter,The Mighty Lemon Drops,214.4ø
Where Do We Go From Heaven,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,340.5ø
The Heartbreak Thing,Laughter,The Mighty Lemon Drops,380.6ø
Second Time Around,Laughter,The Mighty Lemon Drops,233.7ø
One In A Million,Laughter,The Mighty Lemon Drops,272.1ø
Into The Heart Of Love,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,176.8ø
Beautiful Shame,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,210.3ø
At Midnight,Laughter,The Mighty Lemon Drops,270.3ø
We Were All Wounded At Wounded Knee,The Best Of Redbone,Redbone,197.7ø
Victoria Cross (Album Version),Heart Like A Gun,Fiona,248.0ø
Mariel (Album Version),Heart Like A Gun,Fiona,273.8ø
Look At Me Now (Album Version),Heart Like A Gun,Fiona,254.8ø
Little Jeannie [Got The Look Of Love] (Album Version),Heart Like A Gun,Fiona,203.5ø
Everything You Do [You're Sexing Me] [Duet with Kip Winger] (Album Version),Heart Like A Gun,Fiona,254.2ø
Bringing In The Beast (Album Version),Heart Like A Gun,Fiona,275.1ø
Shock,The 2K10 Remakes,Vomito Negro,238.6ø
No Hope No Fear,The 2K10 Remakes,Vomito Negro,237.6ø
Baby Needs Crack,The 2K10 Remakes,Vomito Negro,248.6ø
The Kind Of Man A Woman Needs,Tribute,Melissa Manchester,250.6ø
Tenderly,Tribute,Melissa Manchester,213.4ø
Midnight Blue,Platinum & Gold Collection,Melissa Manchester,238.3ø
Lady Be Good,Tribute,Melissa Manchester,130.8ø
Bubble Star,Voulzy Tour,Laurent Voulzy,313.5ø
What Kind Of Fool,Hey Girl Don't Bother Me,The Tams,127.2ø
Woodsmoke In The Wind  (Album Version),Land Of Enchantment,Michael Martin Murphey,258.7ø
Wild Ripplin' Water (Album Version),Cowboy Songs,Michael Martin Murphey,107.7ø
The Yellow Rose Of Texas (Album Version),Cowboy Songs,Michael Martin Murphey,180.1ø
The Yellow Rose Of Texas,Cowboy Classics: Playing Favorites II,Michael Martin Murphey,166.6ø
The Streets Of Laredo,Cowboy Classics: Old West Cowboy Collection,Michael Martin Murphey,419.0ø
The Old Chisholm Trail,Cowboy Classics: Playing Favorites II,Michael Martin Murphey,275.5ø
