Life Goes To A Party,The Trumpeteer (The Essence Of Swing),Harry James And His Orchestra,181.4ø
I Can't Make You Love Me (Album Version),Kevin Mahogany,Kevin Mahogany,292.8ø
Dark End Of The Street (Album Version),Kevin Mahogany,Kevin Mahogany,295.9ø
Ti Voglio Dire,Cari Amori Miei,Gianni Togni,275.7ø
Semplice ( Remix ),Cari Amori Miei,Gianni Togni,272.2ø
Segui Il Tuo Cuore,Cari Amori Miei,Gianni Togni,330.4ø
Per Noi Innamorati,Cari Amori Miei,Gianni Togni,217.9ø
Mi Salvo Con Te,Cari Amori Miei,Gianni Togni,255.1ø
Luna ( Remix ),Cari Amori Miei,Gianni Togni,252.4ø
La Nube Tossica,Cari Amori Miei,Gianni Togni,333.6ø
Il Volo Delle Piume,Cari Amori Miei,Gianni Togni,287.7ø
Giulia,Cari Amori Miei,Gianni Togni,284.7ø
Cari Amori Miei,Cari Amori Miei,Gianni Togni,277.4ø
Scarborough Fair,Eden 2,Another Fine Day,345.2ø
Ud & Se (96 Version),Mod Rov,Den Gale Pose,192.9ø
Flere Ho's,Lir & Leftovers,Den Gale Pose,290.9ø
DGP - Hvad Betyder Det? (Remix),Mod Rov,Den Gale Pose,208.9ø
DGP - Hvad Betyder Det?,Mod Rov,Den Gale Pose,218.7ø
Det Sidste Ord,Lir & Leftovers,Den Gale Pose,129.9ø
Den Danske Skole,Mod Rov,Den Gale Pose,257.0ø
Boom Ping Ping,Lir & Leftovers,Den Gale Pose,354.9ø
5 Svin,Mod Rov,Den Gale Pose,197.8ø
Seven Little Girls Sitting In The Back Seat,Car Trax - A Family Day Out,Paul Evans,131.8ø
Happy-Go-Lucky-Me,Pecker,Paul Evans,118.3ø
We're Gonna Rock,Tremoluxe,Studebaker John & The Hawks,202.0ø
Voodoo Woman,Tremoluxe,Studebaker John & The Hawks,302.1ø
Two Time Boogie,Tremoluxe,Studebaker John & The Hawks,240.4ø
Talk To Me Baby,Tremoluxe,Studebaker John & The Hawks,187.2ø
Since Day One,Tremoluxe,Studebaker John & The Hawks,232.6ø
Rock My Baby Right,Tremoluxe,Studebaker John & The Hawks,245.9ø
My Way Or The Highway,Tremoluxe,Studebaker John & The Hawks,259.4ø
Hey Hey Hey,Tremoluxe,Studebaker John & The Hawks,254.5ø
Gonna Start To Walkin',Tremoluxe,Studebaker John & The Hawks,183.4ø
Cold Cold Heart,Tremoluxe,Studebaker John & The Hawks,213.9ø
Boogie Twist,Tremoluxe,Studebaker John & The Hawks,240.7ø
100% Satisfaction,Tremoluxe,Studebaker John & The Hawks,206.9ø
Weird,I Eat Cannibals,Toto Coelo,217.0ø
Milk From The Coconut (Part 2),I Eat Cannibals,Toto Coelo,211.5ø
Man O' War,I Eat Cannibals,Toto Coelo,252.2ø
I Eat Cannibals (Part 2),I Eat Cannibals,Toto Coelo,246.2ø
I Eat Cannibals (Part 1),I Eat Cannibals,Toto Coelo,215.2ø
Hey Rajah,I Eat Cannibals,Toto Coelo,230.3ø
Dracula's Tango,I Eat Cannibals,Toto Coelo,216.0ø
You Took Advantage Of Me,The Hi Lo's,Hi Lo's,154.6ø
You Must Have Been A Beautiful Baby,In Stereo,Hi Lo's,129.7ø
Too Young For The Blues,The Hi Lo's,Hi Lo's,124.7ø
Shadow Waltz,The Hi-Lo's Under Glass,The Hi-Lo's,175.0ø
Rockin' Chair,Cherries & Other Delights!,The Hi-Lo's,87.7ø
Long Ago And Far Away,The Hi-Lo's Under Glass,The Hi-Lo's,145.5ø
Birth Of The Blues,The Hi-Lo's Under Glass,The Hi-Lo's,110.1ø
Twine Time,Greatest Instrumentals of the Rock Era - 50 Hit Songs,Alvin Cash,166.4ø
Keep On Dancing,Soul Explosion,Alvin Cash,173.2ø
The Doctor,Live 'N' Kickin',West_ Bruce & Laing,453.7ø
Backfire,Whatever Turns You On,West_ Bruce & Laing,172.4ø
Remora (Single Version),For The Love Of Indie Rock,By The Grace Of God,86.5ø
Plastic Bomb (Single Version),For The Love Of Indie Rock,By The Grace Of God,505.4ø
Pallbearer's Hymn (Single Version),For The Love Of Indie Rock,By The Grace Of God,126.2ø
November's Lie (Single Version),For The Love Of Indie Rock,By The Grace Of God,157.9ø
Navigator (Single Version),For The Love Of Indie Rock,By The Grace Of God,125.8ø
Ipecac (Single Version),For The Love Of Indie Rock,By The Grace Of God,126.2ø
Goliath (Single Version),For The Love Of Indie Rock,By The Grace Of God,156.4ø
Goliath,Three Steps To A Better Democracy,By The Grace Of God,162.2ø
Fissures (Single Version),For The Love Of Indie Rock,By The Grace Of God,141.0ø
Will You Love Me,Free,For Real,261.2ø
The Saddest Song I Ever Heard,Free,For Real,279.4ø
Nothing Without You,Free,For Real,286.1ø
Like I Do,Free,For Real,249.2ø
How Can I Get Close To You,Free,For Real,249.8ø
Good Morning Sunshine,Free,For Real,252.7ø
For All Of My Life,Free,For Real,237.6ø
Soccer M.C.,MAD!,Llwybr Llaethog,396.2ø
Peckham Dub Yn Fyw / Live,MAD!,Llwybr Llaethog,335.8ø
McKeowne Dub,MAD!,Llwybr Llaethog,299.5ø
Magnetig,MAD!,Llwybr Llaethog,269.4ø
Llandub,MAD!,Llwybr Llaethog,235.5ø
Ffanny,MAD!,Llwybr Llaethog,224.2ø
Electro-Sian,MAD!,Llwybr Llaethog,191.7ø
Dim Dat Dub Yn Fyw / Live,MAD!,Llwybr Llaethog,290.4ø
Comiwnydd Yn Fyw,MAD!,Llwybr Llaethog,333.3ø
Cariad Dub (Love Dub),MAD!,Llwybr Llaethog,404.0ø
Atha Cliath Dub,MAD!,Llwybr Llaethog,448.8ø
Mein Mann ist verhindert,Regen,Tim Fischer,233.2ø
Bidla Bu,Tim Fischer singt Kreisler,Tim Fischer,169.3ø
Barbara,Tim Fischer singt Kreisler,Tim Fischer,143.0ø
Don't You Just Know It,Young Blood,"Huey ""Piano"" Smith",231.2ø
Wayward Wind (Studio),That's What I Call A Ball,Larry Donn,162.2ø
Trouble Bound (Studio),That's What I Call A Ball,Larry Donn,134.0ø
The Twist (Studio),That's What I Call A Ball,Larry Donn,119.3ø
That's What I Call A Ball (Alternate Mix),That's What I Call A Ball,Larry Donn,109.8ø
Swinging (Studio),That's What I Call A Ball,Larry Donn,165.1ø
Surf Twist (Studio),That's What I Call A Ball,Larry Donn,126.4ø
Sunshine Rock (Studio),That's What I Call A Ball,Larry Donn,140.6ø
She's Mine (Studio),That's What I Call A Ball,Larry Donn,110.6ø
Shake Rattle And Roll (Studio),That's What I Call A Ball,Larry Donn,185.2ø
Rockin' Love (Studio),That's What I Call A Ball,Larry Donn,86.0ø
Rock And Rhythm (Studio),That's What I Call A Ball,Larry Donn,114.9ø
One More Time (Studio),That's What I Call A Ball,Larry Donn,106.1ø
One Broken Heart (Studio),That's What I Call A Ball,Larry Donn,84.7ø
Mystery Train (Studio),That's What I Call A Ball,Larry Donn,110.3ø
Mona Lisa (Studio),That's What I Call A Ball,Larry Donn,131.1ø
Milcow Blues Boogie (Studio),That's What I Call A Ball,Larry Donn,182.2ø
Lonely Avenue (Studio),That's What I Call A Ball,Larry Donn,161.0ø
I'm Left_ You're Right_ She's Gone (Studio),That's What I Call A Ball,Larry Donn,70.1ø
I'll Never Forget You (Studio),That's What I Call A Ball,Larry Donn,120.7ø
Honey Bun (Alternate Mix),That's What I Call A Ball,Larry Donn,115.9ø
Heartbeat (Studio),That's What I Call A Ball,Larry Donn,130.3ø
Great Balls Of Fire (Studio),That's What I Call A Ball,Larry Donn,108.9ø
Good Golly Miss Molly (Studio),That's What I Call A Ball,Larry Donn,146.2ø
Girl Next Door (Studio),That's What I Call A Ball,Larry Donn,143.6ø
End Of The Road (Studio),That's What I Call A Ball,Larry Donn,113.8ø
Down The Line (Studio),That's What I Call A Ball,Larry Donn,155.4ø
Blue Moon Of Kentucky (Studio),That's What I Call A Ball,Larry Donn,95.2ø
Baby Let's Play House (Studio),That's What I Call A Ball,Larry Donn,147.0ø
All Night Stomp (Studio),That's What I Call A Ball,Larry Donn,183.6ø
So Vou De Mulher,One One Seven In The Shade,Dirty Beatniks,392.2ø
Roger 'N' Andre,One One Seven In The Shade,Dirty Beatniks,362.1ø
Perfect Rhyme,One One Seven In The Shade,Dirty Beatniks,372.6ø
Music To Make You Stagger,One One Seven In The Shade,Dirty Beatniks,54.0ø
More Danger,One One Seven In The Shade,Dirty Beatniks,397.0ø
Hypnotisin',One One Seven In The Shade,Dirty Beatniks,364.5ø
Enough Already,One One Seven In The Shade,Dirty Beatniks,68.3ø
Cpsmic Rodeo,One One Seven In The Shade,Dirty Beatniks,314.3ø
Beatnik Bounce,One One Seven In The Shade,Dirty Beatniks,369.4ø
Witchita,Big Shiny Spears,Iron Lung Corp,566.2ø
The Great Nothing,Big Shiny Spears,Iron Lung Corp,284.4ø
Skirt,Big Shiny Spears,Iron Lung Corp,227.9ø
Sick,Big Shiny Spears,Iron Lung Corp,138.2ø
Join the Chant,Big Shiny Spears,Iron Lung Corp,172.2ø
Iron Lung,Big Shiny Spears,Iron Lung Corp,129.1ø
Frozen Shallow,Big Shiny Spears,Iron Lung Corp,260.5ø
Don't Touch Me,Big Shiny Spears,Iron Lung Corp,93.4ø
Crobar America,Big Shiny Spears,Iron Lung Corp,246.1ø
Chemikaze,Big Shiny Spears,Iron Lung Corp,255.5ø
(Pretty) Like a Porn Star,Big Shiny Spears,Iron Lung Corp,275.8ø
The Lord's Prayer,The Heart Of Christmas,Sergio Franchi,168.0ø
Un Borrico Z'Jogao,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,211.7ø
Tirititri,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,224.3ø
Mi Torero Tiene Gafas,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,181.1ø
Loco,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,219.9ø
Las Calles De Chicago,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,206.6ø
Gracias,Los Grandisimos Exitos De Los Chanlas,No Me Pises Que Llevo Chanclas,254.1ø
