Heart To Hang Onto,Anthology,Pete Townshend,267.0ø
kain's advice,pale,Diorama,321.1ø
bring me flowers,pale,Diorama,357.6ø
between the shadow and me,pale,Diorama,239.6ø
another queen,pale,Diorama,358.9ø
Let Me Love You,Tomorrow Today,Al Jarreau,283.7ø
Just To Be Loved,Tomorrow Today,Al Jarreau,260.4ø
Flame,Tomorrow Today,Al Jarreau,333.5ø
Valdr Galga,Valdr Galga,Thyrfing,279.7ø
The Deceitful,Valdr Galga,Thyrfing,280.6ø
Prelude: Heading For The Golden Hall / Storms Of Asgard,Valdr Galga,Thyrfing,446.0ø
Mimer's Well,Valdr Galga,Thyrfing,280.8ø
From Wilderness Came Death,Valdr Galga,Thyrfing,296.0ø
Firever,Valdr Galga,Thyrfing,180.7ø
Askans Rike,Valdr Galga,Thyrfing,270.0ø
Arising,Valdr Galga,Thyrfing,312.3ø
A Moment In Valhalla,Valdr Galga,Thyrfing,295.2ø
A Great Man's Return,Valdr Galga,Thyrfing,321.3ø
The Season,La Nuit The Finest Of Chill House Lounge by DJ Jondal Vol. 1,Beanfield,437.8ø
The Great Outside,Human Patterns,Beanfield,320.8ø
Scavenger Hunt,Human Patterns,Beanfield,154.1ø
Quantum,Human Patterns,Beanfield,286.8ø
Mohair,Human Patterns,Beanfield,408.2ø
Human Patterns,Human Patterns,Beanfield,366.0ø
Enchanting Signs (Vocal Version),Human Patterns,Beanfield,376.7ø
Corso,Human Patterns,Beanfield,403.6ø
Catalpa,Human Patterns,Beanfield,111.0ø
Azure,Human Patterns,Beanfield,362.5ø
Abstractions,Human Patterns,Beanfield,358.1ø
KB,The Menace,Elastica,192.8ø
How He Wrote Elastica Man,The Menace,Elastica,122.2ø
Your Love Is Incredible,Unleash The Dragon,Sisqo,250.1ø
You Are Everything Remix,Unleash The Dragon,Sisqo,257.0ø
Unleash The Dragon,Unleash The Dragon,Sisqo | Beanie Sigel,251.9ø
So Sexual,Unleash The Dragon,Sisqo,235.8ø
Is Love Enough,Unleash The Dragon,Sisqo,273.1ø
How Can I Love U 2Nite,Unleash The Dragon,Sisqo,308.1ø
Got To Get It,Unleash The Dragon,Sisqo,288.5ø
Addicted,Unleash The Dragon,Sisqo,288.4ø
2Nite,Unleash The Dragon,Sisqo,81.1ø
Tape of Vincent,The Sixth Sense,James Newton Howard,209.7ø
Photographs,The Sixth Sense,James Newton Howard,55.0ø
Malcolms Story / Coles Secret,The Sixth Sense,James Newton Howard,241.5ø
De Profundis,The Sixth Sense,James Newton Howard,143.2ø
Art Of Listening,Xray Sierra,Tom Cochrane,257.3ø
It's Not Love (But It's Not Bad),20 Country No 1's,Merle Haggard And The Strangers,202.0ø
Liz & Opie,Sounds Of Wood & Steel II,Victor Wooten,298.2ø
Wild Out,We Are The Streets,L.O.X.,327.6ø
Dangerous Toys,Vitamins and Crash Helmets Tour - Greatest Hits Live,Dangerous Toys,303.3ø
Writing A Letter,It's Been A Long Day,Smoking Popes,108.9ø
Wanted Love,It's Been A Long Day,Smoking Popes,104.5ø
Waiting Around,It's Been A Long Day,Smoking Popes,199.5ø
Stars,It's Been A Long Day,Smoking Popes,151.0ø
Run Away,It's Been A Long Day,The Smoking Popes,187.4ø
First Time,It's Been A Long Day,Smoking Popes,216.1ø
Breaking,It's Been A Long Day,Smoking Popes,135.3ø
Ramadan,The Sun Ra Arkestra Meets Salah Ragab In Egypt,The Sun Ra Arkestra,259.1ø
Oriental Mood,The Sun Ra Arkestra Meets Salah Ragab In Egypt,The Sun Ra Arkestra,288.4ø
Egypt Strut,The Sun Ra Arkestra Meets Salah Ragab In Egypt,The Sun Ra Arkestra,402.2ø
Quejios,La Patera,Marea,283.0ø
No Quiero Ser Un Poeta,La Patera,Marea,210.3ø
Lija Y Terciopelo,La Patera,Marea,274.9ø
Despellejo,La Patera,Marea,219.2ø
off,Ikasten,Berri Txarrak,143.7ø
Minutu bat,Ikasten,Berri Txarrak,199.2ø
Izanbergaren punta,Ikasten,Berri Txarrak,177.9ø
Iritsi,Ikasten,Berri Txarrak,260.4ø
Ikusi arte,Ikasten,Berri Txarrak,162.2ø
ez,Ikasten,Berri Txarrak,210.2ø
Biluzik,Ikasten,Berri Txarrak,322.0ø
Aspaldian utzitako zelda,Ikasten,Berri Txarrak,272.7ø
One Way Street (From The Film 'Rocky IV'),Greatest Hits,Go West,273.0ø
Whipped,Sacrificed,Razed in Black,100.4ø
Unlisted Track,Sacrificed,Razed in Black,344.1ø
Solution,Sacrificed,Razed in Black,365.0ø
Nightmare,Sacrificed,Razed in Black,287.3ø
Never Meant,Sacrificed,Razed in Black,313.8ø
I Worship You,Sacrificed,Razed in Black,333.2ø
Guilty,Sacrificed,Razed in Black,77.1ø
Better Off,Sacrificed,Razed in Black,345.3ø
Are You There?,Sacrificed,Razed in Black,106.1ø
(Ooh-Wee) He's Killing Me,The Best Year Of My Life: 1980,Patti Austin,206.1ø
My Domain,The Holy Bible 1992-2002,Gloomy Grim,169.0ø
Courtney,How To Meet Girls,Nerf Herder,166.9ø
Stir Up The Bass,In Stereo,Bomfunk MC's,215.9ø
Spoken Word,In Stereo,Bomfunk MC's,282.6ø
Rocking_ Just To Make Ya Move,In Stereo,Bomfunk MC's,225.5ø
Rock_ Rocking Tha Spot,In Stereo,Bomfunk MC's,192.9ø
Other Emcee's,In Stereo,Bomfunk MC's,228.1ø
In Stereo,In Stereo,Bomfunk MC's,291.2ø
Freestyler,In Stereo,Bomfunk MC's,306.0ø
Fashion_ Styley,In Stereo,Bomfunk MC's,281.1ø
1_2_3_4,In Stereo,Bomfunk MC's;The Cool Sheiks,245.9ø
Why Fight,Black And Dekker,Desmond Dekker,181.8ø
Sing A Song,Anthology: Israelites 1963 - 1999,Desmond Dekker,275.3ø
Jamaica Farewell,Anthology: Israelites 1963 - 1999,Desmond Dekker,206.1ø
Happy Birthday Jamaica,Anthology: Israelites 1963 - 1999,Desmond Dekker,240.3ø
Dance The Night Away,Anthology: Israelites 1963 - 1999,Desmond Dekker,223.5ø
Miss Surf,Miss Libido,Messer Chups,129.8ø
September In The Rain,Lester Young,Lester Young,190.3ø
I Can't Believe That You're in Love With Me,Genius of the Tenor Saxophone,Lester Young,192.6ø
Vegas,Planet V,Peshay,355.9ø
Truly,Miles From Home,Peshay | Kym Mazelle,286.4ø
Theme,Miles From Home,Peshay,413.9ø
Switch,Miles From Home,Peshay,365.6ø
Summer In The City,Miles From Home,Peshay | Valerie Etienne,293.1ø
Robotics,Miles From Home,Peshay,419.9ø
Retro,Miles From Home,Peshay,480.9ø
Pacific,Miles From Home,Peshay,464.9ø
Live At 2:37,Miles From Home,Peshay,376.4ø
End Of Story,Miles From Home,Peshay | J-Live,240.0ø
Amazon,Planet V,Peshay,475.2ø
Tequila (Mint Royale Shot),Whales And Dolphins - The Best Of,Terrorvision,249.7ø
Everything That Has Breath,All The Earth,The Parachute Band,338.2ø
The Ivy Variations (Album Version),Snowbound,Fourplay,216.9ø
The Christmas Song (Album Version),Snowbound,Fourplay,357.7ø
Snowbound (Album Version),Snowbound,Fourplay,302.9ø
Santa Claus Is Coming To Town (Album Version),Snowbound,Fourplay,224.4ø
River (Album Version),Snowbound,Fourplay,348.3ø
Merry Little Stroll Medley:  Have Yourself A Merry Little Christmas And Midnight Stroll (Album Version),Snowbound,Fourplay,246.4ø
Hark! The Herald Angels Sing (Album Version),Snowbound,Fourplay,288.0ø
Christmas Time Is Here (Album Version),Snowbound,Fourplay,253.0ø
Away In A Manger (Album Version),Snowbound,Fourplay,210.5ø
Auld Lang Syne (Album Version),Snowbound,Fourplay,285.6ø
Angels We Have Heard On High (Album Version),Snowbound,Fourplay,291.2ø
When You're Not Mine,Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,209.3ø
Poppa,Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,285.9ø
Lakeside,Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,193.0ø
Time to Shine,Northern Sulphuric Soul,Rae & Christian,311.5ø
The Bacalau,Northern Sulphuric Soul,Rae & Christian,195.8ø
Worm Out Words,Going Nowhere Fast,Satanic Surfers,135.7ø
What Ever,Punk-O-Rama 5,Satanic Surfers,138.8ø
Waiting for Nothing,Songs From the Crypt,Satanic Surfers,110.7ø
Traditional,Going Nowhere Fast,Satanic Surfers,90.7ø
That Song,Going Nowhere Fast,Satanic Surfers,108.0ø
Satinc Surfers,Songs From the Crypt,Satanic Surfers,136.2ø
Outro Instrumental,Going Nowhere Fast,Satanic Surfers,125.6ø
Hank,Songs From the Crypt,Satanic Surfers,141.3ø
Evil III,Going Nowhere Fast,Satanic Surfers,93.8ø
Dream About You,Songs From the Crypt,Satanic Surfers,101.0ø
Blissfully Ignorant,Going Nowhere Fast,Satanic Surfers,61.1ø
Big Bad Wolf,Going Nowhere Fast,Satanic Surfers,105.4ø
Oshogatsu,Festplatte,Die Prinzen,118.5ø
Maria durch ein' Dornwald ging,Ja_ ja_ (Wenn Weihnachten ist),Die Prinzen,188.7ø
Les Anges Dans Nos Campagnes (Gloria In Excelsis Deo),Ja_ ja_ (Wenn Weihnachten ist),Die Prinzen,253.5ø
Bald ist Weihnachten,Festplatte,Die Prinzen,269.1ø
Where is the man,Far off grace,Vanden Plas,370.8ø
Shape of my heart (Bonustrack),Far off grace,Vanden Plas,437.0ø
Kiss of death (Bonustrack),Far off grace,Vanden Plas,343.0ø
Iodic rain,Far off grace,Vanden Plas,374.0ø
Into The Sun,Spirit Of Live,Vanden Plas,425.0ø
Inside of your head,Far off grace,Vanden Plas,414.2ø
I'm in you,Far off grace,Vanden Plas,403.6ø
I don't miss you,Far off grace,Vanden Plas,231.7ø
I Can See,Spirit Of Live,Vanden Plas,266.5ø
Fields of hope,Far off grace,Vanden Plas,406.0ø
Far off grace,Far off grace,Vanden Plas,423.1ø
Women,Bigger & Blacker,Chris Rock,474.7ø
Two Women,Bigger & Blacker,Chris Rock,247.5ø
Race,Bigger & Blacker,Chris Rock,257.2ø
NYPD,Bigger & Blacker,Chris Rock | Horatio Sanz | Ice Cube,89.1ø
No Sex,Bigger & Blacker,Chris Rock,262.3ø
Nerd & Fly Girl,Bigger & Blacker,Chris Rock | Kaz Silver,178.2ø
Monica Interview,Bigger & Blacker,Chris Rock,118.5ø
Me & ODB,Bigger & Blacker,Chris Rock,429.5ø
Crazy White Kids,Bigger & Blacker,Chris Rock,506.5ø
Clermont Lounge #1,Bigger & Blacker,Chris Rock,55.5ø
Good To Me,A Decade Of Chicago's Finest,Irma Thomas,156.0ø
Don't Mess With My Man,Ruler Of Hearts,Irma Thomas,150.7ø
Cheater Man,Chess Soul Sisters,Irma Thomas,148.1ø
Orisun Iye,E Dide [Get Up],King Sunny Ade,178.3ø
Boogaboo,Didn't He Ramble Vol.2 (1928-1939),Jelly Roll Morton,203.4ø
Weedo,Dur Comme Fer,LOFOFORA,186.9ø
P.M.G.B.O (Partouze Musicale Gang Bang Oral),Dur Comme Fer,LOFOFORA,377.9ø
Les Liquides De Mon Corps,Dur Comme Fer,LOFOFORA,268.9ø
Les Gens,Dur Comme Fer,LOFOFORA,184.5ø
Charisman,Dur Comme Fer,LOFOFORA,350.9ø
Au Secours,Dur Comme Fer,LOFOFORA,242.3ø
5 Milliards,Dur Comme Fer,LOFOFORA,183.3ø
1 Million,Dur Comme Fer,LOFOFORA,280.6ø
One,Plays U2,The Royal Philharmonic Orchestra,303.5ø
I Still Haven't Found What I'm Looking For,Plays U2,The Royal Philharmonic Orchestra,337.1ø
No Te Busques Ya En El Umbral,Argentina Sorgo Films,Luis Alberto Spinetta,187.8ø
Muchacha Ojos De Papel,Elija Y Gane,Luis Alberto Spinetta,239.3ø
Correr Frente A Ti,Elija Y Gane,Luis Alberto Spinetta,230.1ø
Alma De Diamante,Elija Y Gane,Luis Alberto Spinetta,264.5ø
Aguila De Trueno (Part 2),Elija Y Gane,Luis Alberto Spinetta,83.5ø
Aguila De Trueno (Part 1),Elija Y Gane,Luis Alberto Spinetta,178.4ø
Tanya Montana,David Allan Coe - 16 Biggest Hits,David Allan Coe,221.8ø
Son Of The South,David Allan Coe - 16 Biggest Hits,David Allan Coe,233.4ø
Need A Little Time Off For Bad Behavior,David Allan Coe - 16 Biggest Hits,David Allan Coe,182.6ø
If This Is Just A Game,David Allan Coe - 16 Biggest Hits,David Allan Coe,211.1ø
I'm Gonna Hurt Her On The Radio,David Allan Coe - 16 Biggest Hits,David Allan Coe,159.9ø
Cheap Thrills,David Allan Coe - 16 Biggest Hits,David Allan Coe,164.0ø
You're Getting to Be a Habit With Me,Smooth Jazz,Mel Torme,184.1ø
Vuelta interminable,Rueda de los Tiempos,La Barranca,103.6ø
Torname,Rueda de los Tiempos,La Barranca,183.4ø
Tambor,Rueda de los Tiempos,La Barranca,158.2ø
Prisma,Rueda de los Tiempos,La Barranca,203.9ø
Paraiso elemental,Rueda de los Tiempos,La Barranca,301.2ø
Marte,Rueda de los Tiempos,La Barranca,244.1ø
Llueve,Rueda de los Tiempos,La Barranca,200.9ø
La vision 1 (Bonus Track),Rueda de los Tiempos,La Barranca,149.3ø
La fuga de Ruben,Rueda de los Tiempos,La Barranca,207.5ø
Jardin de tiempo,Rueda de los Tiempos,La Barranca,162.0ø
Don Julio,El Fuego de la Noche,La Barranca,126.2ø
Dentro de un siglo,Rueda de los Tiempos,La Barranca,249.0ø
Deja vu,Rueda de los Tiempos,La Barranca,109.8ø
Caravana,Rueda de los Tiempos,La Barranca,175.8ø
Bagdad (Bonus Track),Rueda de los Tiempos,La Barranca,181.8ø
What Do You Think Of It So Far?,15 MINUTES,Nik Kershaw,235.8ø
Stick Around,15 MINUTES,Nik Kershaw,226.8ø
Shine On,15 MINUTES,Nik Kershaw,294.3ø
Made In Heaven,15 MINUTES,Nik Kershaw,356.3ø
Have A Nice Life,15 MINUTES,Nik Kershaw,240.0ø
Find Me An Angel,15 MINUTES,Nik Kershaw,355.1ø
Fiction,15 MINUTES,Nik Kershaw,258.7ø
15 Minutes,15 MINUTES,Nik Kershaw,280.0ø
You Lie,Hamburger,The Muffs,133.3ø
You Can Cry If You Want,Hamburger,The Muffs,136.8ø
Silly People,Hamburger,The Muffs,231.3ø
Sick Of You,Hamburger,The Muffs,152.8ø
Right In The Eye,Hamburger,The Muffs,143.1ø
Nothing For Me,Hamburger,The Muffs,107.0ø
My Minds Eye,Hamburger,The Muffs,118.3ø
I Don't Like You,Alright_ This Time_ Just The Girls,The Muffs,119.2ø
Happening,Hamburger,The Muffs,57.2ø
Get Me Out Of Here,Hamburger,The Muffs,212.1ø
Do The Robot,Hamburger,The Muffs,288.0ø
Brand New Chevy,Hamburger,The Muffs,166.1ø
Beat Your Heart Out,Hamburger,The Muffs,150.8ø
I Got A Hole In My Pirogue,Johnny Horton - 16 Biggest Hits,Johnny Horton,142.6ø
Quiet Nights Of Quiet Stars,The Days Of Wine And Roses,Henry Mancini & His Orchestra,145.1ø
Pie-In-The-Face Polka,Midnight_ Moonlight & Magic: The Very Best of Henry Mancini,Henry Mancini & His Orchestra,145.7ø
Mystery Movie Theme,Midnight_ Moonlight & Magic: The Very Best of Henry Mancini,Henry Mancini & His Orchestra,120.4ø
In The Arms Of Love,Midnight_ Moonlight & Magic: The Very Best of Henry Mancini,Henry Mancini & His Orchestra,158.6ø
Rocks and Trees,Semi-Conducted,Arrogant Worms,284.5ø
Johnny Came Home Headless,Dirt!,Arrogant Worms,175.9ø
Celine Dion,Semi-Conducted,Arrogant Worms,221.3ø
Kill The Business,15 Minutes Of Fame_ 15 Yearsof Infamy,Antiseen,215.2ø
Heavy Mud,One Live Sonofabitch... And A Hell Of A Lot More,Antiseen,147.5ø
Fuck All Ya'll,Here To Ruin Your Groove,Antiseen,146.1ø
Fornication,Screamin' Bloody Live,Antiseen,357.6ø
Date Rape,15 Minutes Of Fame_ 15 Yearsof Infamy,Antiseen,160.1ø
1969,15 Minutes Of Fame_ 15 Yearsof Infamy,Antiseen,185.9ø
Walkin' The Dog,Teenage Head,Flamin' Groovies,221.0ø
That'll Be The Day,Teenage Head,Flamin' Groovies,141.8ø
Louie Louie,Teenage Head,Flamin' Groovies,407.4ø
Have You Seen My Baby?,Teenage Head,Flamin' Groovies,171.9ø
Going Out Theme,Teenage Head,Flamin' Groovies,184.7ø
Carol,Flamin' Groovies,Flamin' Groovies,196.5ø
Terror,Speak & Destroy,My Ruin,325.2ø
Tainted Love,Speak & Destroy,My Ruin,225.4ø
Horrible Pain (Within My Heart),Speak & Destroy,My Ruin,246.9ø
Cosmetic,Speak & Destroy,My Ruin,245.2ø
Gotta Find A Way,Love Stories,Frank McComb,308.7ø
Happiness,Boys and Girls Soundtrack,Regurgitator,236.7ø
Spring_ Summer_ Autumn,In Concert,The Style Council,172.7ø
One Nation Under A Groove,In Concert,The Style Council,298.1ø
Move On Up,In Concert,The Style Council,169.9ø
Meeting (Over) Up Yonder,In Concert,The Style Council,194.6ø
Le Depart,In Concert,The Style Council,156.5ø
It Just Came To Pieces In My Hands,The Sound Of The Style Council,The Style Council,152.3ø
Hanging On To A Memory,In Concert,The Style Council,316.5ø
Trip The Light,Light Fantastic,Steve Roach,513.5ø
Touch The Pearl,Light Fantastic,Steve Roach,563.9ø
Realm Of Refraction,Slow Music For Fast Times (Disc 1),Steve Roach,327.7ø
Quiet Canon,ROACH: Quiet Music,Steve Roach,486.7ø
What Lurks,Command & Conquer: Tiberian Sun,Frank Klepacki,315.3ø
Valves,Command & Conquer: Tiberian Sun,Frank Klepacki,260.3ø
Score,Command & Conquer: Tiberian Sun,Frank Klepacki,109.0ø
Infrared,Command & Conquer: Tiberian Sun,Frank Klepacki,268.9ø
Approach,Command & Conquer: Tiberian Sun,Frank Klepacki,281.2ø
Hummingbird,Angels And Electricity,Eddi Reader,274.7ø
Nocturne (Take 7),Notturno,Goblin,101.1ø
Nocturne (Take 5),Notturno,Goblin,113.2ø
Nocturne (Take 4),Notturno,Goblin,81.3ø
Nocturne (Take 3),Notturno,Goblin,246.3ø
The Tribal Session,Blue Planet,Electric Universe,331.8ø
Renania,Blue Planet,Electric Universe,331.2ø
Meteor,Burning,Electric Universe feat. Chico,427.3ø
Magnetic Field,Blue Planet,Electric Universe,510.6ø
Lovescience,Blue Planet,Electric Universe,552.8ø
Compressor,Blue Planet,Electric Universe,446.2ø
Dos Locos Y Un Destino(Ano 2000),2000 Y Pico,Duo Kie,237.9ø
Abrochense Los Cinturones(Con T.O.N.E),2000 Y Pico,Duo Kie,260.3ø
2000 Y Pico,2000 Y Pico,Duo Kie,312.5ø
Si Los Hombres Han Llegado a La Luna,Expresion,Gilberto Santa Rosa,295.3ø
No La He Vuelto A Ver,Expresion,Gilberto Santa Rosa,259.7ø
A La Distancia De Un Te Quiero,Romantico,Gilberto Santa Rosa,265.6ø
The Outlaw's Prayer,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,305.2ø
Loving You Beats All I Ever Seen,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,128.6ø
A Heart Don't Need Eyes,Johnny Paycheck - 16 Biggest Hits,Johnny Paycheck,163.6ø
Uno Dei Tanti,Miss Mondo,Ligabue,264.1ø
Qualcuno Ha Visto_ Per Caso_ Il Mio Cane Blu Elettrico Monofase?,Miss Mondo,Ligabue,32.7ø
La Porta Dei Sogni,Miss Mondo [Remastered Version],Ligabue,206.7ø
Da Adesso In Poi,Miss Mondo,Ligabue,198.0ø
Sunshine,Invincible,Five,204.2ø
Mr. Z,Invincible,Five,170.6ø
Invincible,Invincible,Five,251.2ø
If Ya Getting Down,Ultimate 90s,Five,180.9ø
If Ya Gettin' Down,Invincible,Five,191.4ø
Don't Wanna Let You Go,Invincible,Five,174.2ø
Battlestar,Invincible,Five,247.6ø
What's Up (Album Version),Joy Ride,Bob James,254.2ø
Trade Winds (Album Version),Joy Ride,Bob James,324.6ø
Take Me There (Album Version),Joy Ride,Bob James,344.8ø
Swingset (Album Version),Joy Ride,Bob James,358.7ø
Sweet Talk Me Now (Album Version),Joy Ride,Bob James,228.7ø
Strollin' (Album Version),Joy Ride,Bob James,312.4ø
Raise The Roof (Album Version),Joy Ride,Bob James,293.3ø
Fly By (Album Version),Joy Ride,Bob James,298.6ø
Bisso Baba (Album Version),Joy Ride,Bob James,291.5ø
Angela (Theme From Taxi),The Very Best Of Bob James,Bob James,344.5ø
I Drink,Mercy Now,Mary Gauthier,271.9ø
Age Of Mastery,The Age Of Mastery,Jag Panzer,270.3ø
Plaisir d'amour,Charlotte Church (US version),Charlotte Church,208.1ø
When You're Gone,Forever New,The Delfonics,299.4ø
Think It Over,La-La Means I Love You,The Delfonics,279.4ø
Somewhere In My Life,Forever New,The Delfonics,298.9ø
She's The Kinda Girl,Forever New,The Delfonics,253.8ø
Rules Of The Game,Forever New,The Delfonics,299.5ø
One And One Is Five,Forever New,The Delfonics,223.6ø
No One Knows,Forever New,The Delfonics,349.9ø
My World Revolves Around You,Forever New,The Delfonics,278.6ø
Lying To Myself,La-La Means I Love You,The Delfonics,241.9ø
Loving Him,La-La Means I Love You,The Delfonics,124.2ø
Just Come To Me,Forever New,The Delfonics,274.1ø
I Told You So,La-La Means I Love You,The Delfonics,190.8ø
Forever New,Forever New,The Delfonics,223.7ø
Shady Grove,Blue Grass Originals,Bill Monroe and His Bluegrass Boys,137.7ø
Rawhide,Bill Monroe: Live From Mountain Stage,Bill Monroe,190.6ø
My Sweet Blue-Eyed Darlin',An Introduction to Bill Monroe & the Bluegrass Boys,Bill Monroe | Ricky Skaggs,173.7ø
Mule Skinner Blues,RCA Country Legends,Bill Monroe & His Blue Grass Boys,162.6ø
Little Joe,All The Classic Releases 1937 - 1949,Bill Monroe and His Bluegrass Boys,188.7ø
Linda Lou,Anthology,Bill Monroe & The Bluegrass Boys,130.9ø
We Are The Ones,Five Deadly Venoms,Merauder,229.7ø
Unify,Master Killers: A Complete Anthology (re-issue),Merauder,321.9ø
Scarred,Five Deadly Venoms,Merauder,201.0ø
Save My Soul,Five Deadly Venoms,Merauder,188.0ø
Life Of My Own,Five Deadly Venoms,Merauder,175.4ø
Five Deadly Venoms,Five Deadly Venoms,Merauder,215.0ø
Find My Way,Five Deadly Venoms,Merauder,198.4ø
Final War,Five Deadly Venoms,Merauder,197.0ø
Turn The Point (U.S. Version) (Album Version),Moving Cities,Faze Action,492.5ø
To Love Is To Grow (Album Version),Moving Cities,Faze Action,317.8ø
Space Disco (Album Version),Moving Cities,Faze Action,405.3ø
Samba (Album Version),Moving Cities,Faze Action,358.0ø
Samba,Complete Chillout,Faze Action,379.2ø
