This Time,"The Songs Of Dwight Yoakam ""Will Sing For Food",David Ball,224.2ø
Det Var En Gong En Halling,Herrelaus,YGGDRASIL,212.1ø
Balkanspringar,Herrelaus,YGGDRASIL,290.7ø
Alexandersenpolsen,Herrelaus,YGGDRASIL,231.8ø
When I'm Gone,Outlaws & Dreamers,Dick Gaughan,221.5ø
What You Do With What You've Got,Gaughan Live! At the Trades Club,Dick Gaughan,250.6ø
Thomas Muir of Huntershill,Gaughan Live! At the Trades Club,Dick Gaughan,235.7ø
There Must Be Something...,Feng Shui,Q-Burns Abstract Message,332.6ø
Talking Box,Feng Shui,Q-Burns Abstract Message,574.0ø
Vile Extremes,Result of a New Culture,Negative Format,216.8ø
Synthetic Relay,Result of a New Culture,Negative Format,328.4ø
Sector9,Result of a New Culture,Negative Format,550.1ø
Proximity Reconstruction,Result of a New Culture,Negative Format,378.7ø
Liquid Transmission (Aghast View Psycho Mix),Result of a New Culture,Negative Format,293.3ø
Liquid Transmission,Result of a New Culture,Negative Format,256.4ø
Frozen,Result of a New Culture,Negative Format,308.7ø
Embracing Subversion,Result of a New Culture,Negative Format,363.8ø
Deadlock (NCC Remix),Result of a New Culture,Negative Format,283.0ø
Deadlock,Result of a New Culture,Negative Format,305.9ø
Yuh & Yuh Man,Finally,Frisco Kid,166.5ø
Wackie News,Finally,Frisco Kid,175.9ø
The Right Man,Finally,Frisco Kid,163.3ø
Sergeant Wallace,Finally,Frisco Kid,153.8ø
Rubbers,Joy Ride,Frisco Kid,213.4ø
Living In Style,Finally,Frisco Kid,157.0ø
Little & Cute,Finally,Frisco Kid,170.3ø
Gal Pon Di Side (Hot Ice Remix),Finally,Frisco Kid,242.9ø
Gal Pon De Side,Reggae Gold 1998,Frisco Kid,155.9ø
Forgotten,Finally,Frisco Kid,151.0ø
Calico,Two Bad Riddims '99: Backyard Riddim / Bruk Out,Frisco Kid,181.7ø
Big Speech,Pepperseed,Frisco Kid,223.7ø
Tee Say Malee,The Absolute Voutest! - '46,Slim Gaillard,288.6ø
Scotchin' With Soda,Vout For Voutoreenees,Slim Gaillard,170.2ø
The Inspector Returns,The Flying Ballerina,Drums & Tuba,402.8ø
The Flying Ballerina,The Flying Ballerina,Drums & Tuba,173.2ø
Scottie Pippen,The Flying Ballerina,Drums & Tuba,255.9ø
Pig Ears For Lily,The Flying Ballerina,Drums & Tuba,528.8ø
Neal Hamburger,The Flying Ballerina,Drums & Tuba,62.5ø
Lots Of Luc,The Flying Ballerina,Drums & Tuba,230.2ø
Kermit,The Flying Ballerina,Drums & Tuba,197.6ø
God Bows To Math,The Flying Ballerina,Drums & Tuba,152.7ø
Fists Of Spaghetti,The Flying Ballerina,Drums & Tuba,174.2ø
Boogie Stop Shuffle,The Flying Ballerina,Drums & Tuba,86.1ø
Blazevitch,The Flying Ballerina,Drums & Tuba,415.9ø
You Don't Know,...Are Coming,The Chinkees,159.5ø
Those Years,...Are Coming,The Chinkees,122.1ø
She's My Friend,...Are Coming,The Chinkees,111.6ø
Our Country,...Are Coming,The Chinkees,97.0ø
Not Your Pet,...Are Coming,The Chinkees,80.7ø
Norehapshida,...Are Coming,The Chinkees,113.8ø
Human Race,...Are Coming,The Chinkees,240.0ø
Edumoya,...Are Coming,The Chinkees,76.9ø
Days 'r' Falling Around,...Are Coming,The Chinkees,124.8ø
Asian Prodigy,...Are Coming,The Chinkees,180.8ø
Beloved,Narada Guitar,John Doan,281.1ø
The Hammer Falls,Arrive Alive,Pallas,318.2ø
Paris Is Burning,Arrive Alive,Pallas,311.6ø
Todo Lo Que Puedo Decir,David Summers,David Summers,231.5ø
Si Me Dejas,David Summers,David Summers,377.4ø
Quiero Que Tu Seas Para Mi,David Summers,David Summers,255.0ø
Mi Amor,David Summers,David Summers,241.5ø
El Mundo Grita,David Summers,David Summers,245.5ø
El Beso Y El Perfume,David Summers,David Summers,358.8ø
De Vuelta A Casa,David Summers,David Summers,284.8ø
2.000 Kilometros,David Summers,David Summers,247.8ø
Too Much Too Young (Live),The Singles,The Special AKA,125.7ø
Untold Story,Ancient Evening,Sibongile Khumalo,383.8ø
Deranged (Interfaith Section 8 Mix),Deranged in Space,Kraftwelt,319.9ø
Young Man's Dream,At The End Of The Day,galactic cowboys,280.3ø
Through,At The End Of The Day,galactic cowboys,437.6ø
Nothing To Say,At The End Of The Day,galactic cowboys,275.5ø
Just Like Me,At The End Of The Day,galactic cowboys,268.1ø
It's Not Over,At The End Of The Day,galactic cowboys,288.8ø
g. How Does It Feel?,At The End Of The Day,galactic cowboys,209.9ø
e. Never Understand,At The End Of The Day,galactic cowboys,257.8ø
d. Mr. Magnet,At The End Of The Day,galactic cowboys,179.2ø
c. Puppet Show,At The End Of The Day,galactic cowboys,311.7ø
At The End Of The Day,At The End Of The Day,galactic cowboys,188.9ø
Hosa Dyna,Brave Combo Live at Cat's Cradle 03/13/2005,Brave Combo,225.8ø
Flying Saucer,Brave Combo Live at Cat's Cradle 03/13/2005,Brave Combo,290.6ø
Oddi Lobbe,Antiguo,Gonzalo Rubalcaba,419.7ø
Intermitencia,Antiguo,Gonzalo Rubalcaba,486.9ø
Homenaje,Antiguo,Gonzalo Rubalcaba,266.4ø
"Eshun Agwe (Yoruba Word for ""Party"")",Antiguo,Gonzalo Rubalcaba,463.9ø
Desierto,Antiguo,Gonzalo Rubalcaba,401.8ø
Coral Negro,Antiguo,Gonzalo Rubalcaba,597.4ø
Circuito IV,Antiguo,Gonzalo Rubalcaba,534.2ø
Circuito III,Antiguo,Gonzalo Rubalcaba,525.5ø
Party,Ain't I'm A Dog: 25 More Rockabilly Rave-Ups,The Collins Kids,95.6ø
Yellow Bird,Greatest Hits,The Brothers Four,151.0ø
My Foolish Heart,Backline Volume 58,Margaret Whiting,184.6ø
O falso cego,Novas Vos Trago,Gaiteiros de Lisboa,219.4ø
Floresvento,Novas Vos Trago,Gaiteiros de Lisboa,237.8ø
Watermelon Man,The Greatest Jazz Hits (Jazz Club),Les McCann,219.2ø
Sunny,Talkin' Verve,Les McCann,441.9ø
McCanna,Blue Note Trip 8: Swing Low/Fly High,Les McCann,246.9ø
Little Freak,Talkin' Verve,Les McCann,167.9ø
La Brea,Talkin' Verve,Les McCann,233.0ø
Guantanamera,Talkin' Verve,Les McCann,175.3ø
Goin' Out Of My Head,Talkin' Verve,Les McCann,179.4ø
YTV,Headfirst Into Everything,Mystery Machine,150.0ø
What I Want,Headfirst Into Everything,Mystery Machine,152.2ø
Wake Up Pill,Headfirst Into Everything,Mystery Machine,157.2ø
Teenage Drag,Headfirst Into Everything,Mystery Machine,145.8ø
Mad,Headfirst Into Everything,Mystery Machine,184.5ø
I'm Not Anything,Headfirst Into Everything,Mystery Machine,193.4ø
Gleam,Headfirst Into Everything,Mystery Machine,221.5ø
Fool,Headfirst Into Everything,Mystery Machine,154.0ø
Doubter,Headfirst Into Everything,Mystery Machine,162.5ø
Doubt Is All You Know,Headfirst Into Everything,Mystery Machine,169.0ø
Ditch,Headfirst Into Everything,Mystery Machine,183.1ø
Bring You Down,Headfirst Into Everything,Mystery Machine,334.1ø
This Here,The Best Of The Pacific Jazz Years,"Richard ""Groove"" Holmes",249.7ø
Stella By Starlight,Groove's Groove (Live) (Live),"Richard ""Groove"" Holmes",329.6ø
My One and Only Love,Groove's Groove (Live) (Live),"Richard ""Groove"" Holmes",288.1ø
Do Nothin' Till You Hear From Me,Jazz Express - Jazz For Summer Days,"Richard ""Groove"" Holmes",532.7ø
What Scene?,Because The World Has Failed Us Both,Falling Sickness,87.7ø
Sleep It Off,Because The World Has Failed Us Both,Falling Sickness,152.5ø
Simple Needs,Because The World Has Failed Us Both,Falling Sickness,134.7ø
Seein Stars,Because The World Has Failed Us Both,Falling Sickness,78.2ø
Right On Time For Nothing,Because The World Has Failed Us Both,Falling Sickness,226.2ø
No Es Mi Pais,Because The World Has Failed Us Both,Falling Sickness,138.4ø
Missoula's Gonna Get You,Because The World Has Failed Us Both,Falling Sickness,137.9ø
Man Of The Moment,Because The World Has Failed Us Both,Falling Sickness,104.0ø
Life Of The Party,Because The World Has Failed Us Both,Falling Sickness,250.9ø
Gonna Try,Because The World Has Failed Us Both,Falling Sickness,153.0ø
Floorspace,Because The World Has Failed Us Both,Falling Sickness,134.8ø
Cut To Fit,Because The World Has Failed Us Both,Falling Sickness,112.4ø
All That You Paid For,Because The World Has Failed Us Both,Falling Sickness,182.9ø
When It's Springtime In The Rockies,Cowboy Songs,Moe Bandy,163.4ø
Tumbling Tumbleweeds,Cowboy Songs,Moe Bandy,120.4ø
The Strawberry Roan,Cowboy Songs,Moe Bandy,207.5ø
The Old Chisholm Trail,Cowboy Songs,Moe Bandy,115.0ø
Take Me Back To Tulsa,Cowboy Songs,Moe Bandy,176.6ø
Streets Of Laredo,Cowboy Songs,Moe Bandy,160.4ø
Sioux City Sue,Cowboy Songs,Moe Bandy,137.9ø
San Antonio Rose,Cowboy Songs,Moe Bandy,160.6ø
Red river valley,Cowboy Songs,Moe Bandy,188.3ø
Oklahoma Hills,Cowboy Songs,Moe Bandy,151.9ø
Home On The Range,Cowboy Songs,Moe Bandy,165.2ø
High Noon (Do Not Forsake Me),Cowboy Songs,Moe Bandy,156.4ø
Good Old Paint,Cowboy Songs,Moe Bandy,148.0ø
Don't fence me in,Cowboy Songs,Moe Bandy,138.7ø
Deep In The Heart Of Texas,Cowboy Songs,Moe Bandy,122.0ø
Cool Water,Cowboy Songs,Moe Bandy,214.4ø
Bury Me Not On The Lone Prairie,Cowboy Songs,Moe Bandy,181.7ø
Back In The Saddle Again,Cowboy Songs,Moe Bandy,148.4ø
To Ulrike M (Original Mix),To Ulrike M,Doris Days,244.5ø
Mighty Ruler,129 Beat Street Ja-Man Special 1975-1978,Bim Sherman,376.8ø
Suzy Q,Sugar's Boogaloo,Sugarman 3,257.4ø
Sunshine Superman,Sugar's Boogaloo,Sugarman 3,223.6ø
Sugar's Boogaloo,Sugar's Boogaloo,Sugarman 3,188.0ø
Sock Monkey,Sugar's Boogaloo,Sugarman 3,246.0ø
Skunk Walk,Sugar's Boogaloo,Sugarman 3,211.6ø
Red Wine,Sugar's Boogaloo,Sugarman 3,256.4ø
Papa's Got a Brand New Bag,Sugar's Boogaloo,Sugarman 3,178.2ø
Hot Sauce,Sugar's Boogaloo,Sugarman 3,177.5ø
Da Pumped Up Phunk (In Da Sol Mix),Da Pumped Up Funk - Single,Damage Control,488.3ø
Save Me,Pop Dancing,Silent Circle,226.4ø
Upon A Veil Of Midnight Blue,Love for Sale,Mary Coughlan,170.1ø
Delta Hurricane,Delta Hurricane,Larry McCray,267.0ø
Swing Out,From Alabama to Harlem (1938-1940),ERSKINE HAWKINS,203.8ø
Heaven in a Wild Flower,Hearts of Space: Universe 4 Collection,Bill Douglas,275.8ø
Twelve After Midnight,The Energy Of Sound,Trance Atlantic Air Waves,306.7ø
Pulstar,The Energy Of Sound,Trance Atlantic Air Waves,369.2ø
Magic Fly (Wonderland Mix),The Energy Of Sound,Trance Atlantic Air Waves,380.7ø
Lucifer,The Energy Of Sound,Trance Atlantic Air Waves,236.1ø
L-42,The Energy Of Sound,Trance Atlantic Air Waves,274.9ø
Dance With The Devil,The Energy Of Sound,Trance Atlantic Air Waves,236.5ø
Crockett's Theme,The Energy Of Sound,Trance Atlantic Air Waves,227.7ø
Chase,The Energy Of Sound,Trance Atlantic Air Waves,222.5ø
Axel F.,The Energy Of Sound,Trance Atlantic Air Waves,235.4ø
Addiction Day,The Energy Of Sound,Trance Atlantic Air Waves,299.2ø
Smoke,All Disco Dance Must End In Broken Bones,Whale,325.5ø
Roadkill,All Disco Dance Must End In Broken Bones,Whale,257.3ø
Puma Gym,All Disco Dance Must End In Broken Bones,Whale,171.6ø
No Better,All Disco Dance Must End In Broken Bones,Whale,260.0ø
Losing CTRL,All Disco Dance Must End In Broken Bones,Whale,252.2ø
Into The Strobe,All Disco Dance Must End In Broken Bones,Whale,369.5ø
Go Where You're Feeling Free,All Disco Dance Must End In Broken Bones,Whale,309.1ø
Four Big Speakers,All Disco Dance Must End In Broken Bones,Whale,232.3ø
Deliver The Juice,All Disco Dance Must End In Broken Bones,Whale,311.5ø
Crying At Airports,All Disco Dance Must End In Broken Bones,Whale,322.5ø
"2 Cord Song (+ Hidden Track ""Sub Cultures In The USA"")",All Disco Dance Must End In Broken Bones,Whale,439.6ø
Time Work Your Magic,Round Every Corner,Debbie Davies,289.9ø
Such A Fine Man,Round Every Corner,Debbie Davies,259.0ø
Sittin' & Cryin',Round Every Corner,Debbie Davies,255.6ø
Scratches,Round Every Corner,Debbie Davies,306.2ø
Room With A View,Round Every Corner,Debbie Davies,275.4ø
Little Sister,Round Every Corner,Debbie Davies,225.7ø
Blue & Lonesome,Round Every Corner,Debbie Davies,306.5ø
Backseat Driver,Round Every Corner,Debbie Davies,243.3ø
A.C. Strut,Round Every Corner,Debbie Davies,164.0ø
'Round Every Corner,Round Every Corner,Debbie Davies,261.8ø
x-wave,Nasha,California Sunshine,531.4ø
red lune,Nasha,California Sunshine,447.1ø
never stop,Nasha,California Sunshine,489.7ø
last feeling,Conception,California Sunshine,517.8ø
jajo,Nasha,California Sunshine,433.4ø
Neon,Welcome To the Neon Lounge,James Hardway,468.8ø
Going Downtown,Welcome To the Neon Lounge,James Hardway,412.4ø
Bass Zone,Bass Lo + Slo 2,Bass Mekanik,267.6ø
Ye Zameen,Outcaste New Breed UK,Niraj Chag,267.3ø
Walk Alone,Outcaste New Breed UK,Niraj Chag,288.2ø
Sanatan,Outcaste New Breed UK,Niraj Chag,384.8ø
Bruck Out,Strictly The Best Vol. 21,Buccaneer,217.9ø
Sonar,Digital & Rare Vol. 2,Natural High Productions,350.6ø
Broadway Melody Of 1974,TRIBUTE TO GENESIS - THE FOX LIES DOWN,Controlled Bleeding,360.9ø
War Orphans,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,377.6ø
Sediment,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,322.2ø
Oleo de mujer con sombrero,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,512.3ø
Natt,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,489.2ø
Eleventh Of January,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,356.9ø
Bengali Blue,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,498.6ø
All My Life,War Orphans,Bobo Stenson_ Anders Jormin_ Jon Christensen,386.0ø
Paralyse,Revolt,3 Colours Red,201.2ø
Be Myself,Revolt,3 Colours Red,171.2ø
Moments Like This,Elvis Never Meant Shit to me,The Amalgamation Of Soundz,321.3ø
Keyvan's Paper (Document 3),Elvis Never Meant Shit to me,The Amalgamation Of Soundz,203.4ø
Sir Patrick Spens,Signs Of Life,Martin Carthy with Dave Swarbrick,338.9ø
Two Faced (Check Your Head Up),8 Miles High,Superheist,210.4ø
Silver Sky,Two Faced (Check Your Head Up),Superheist,183.0ø
Fluid,Two Faced (Check Your Head Up),Superheist,210.9ø
You Can't Get A Man With A Gun,Annie Get Your Gun,Ethel Merman,193.0ø
Moonshine Lullaby,Annie Get Your Gun (Original Broadway Cast),Ethel Merman,191.2ø
Doin' What Comes Naturally,You're Just In Love - The Stars Sing Irving Berlin,Ethel Merman,203.0ø
Petroleum,Six Pack To Go,Puffball,156.6ø
Walkin' Blues,I Got To Find Me A Woman,Robert Lockwood_ Jr.,160.5ø
She's Little And She's Low,I Got To Find Me A Woman,Robert Lockwood_ Jr.,340.9ø
My Daily Wish,I Got To Find Me A Woman,Robert Lockwood_ Jr.,534.0ø
Little Boy Blue,I Got To Find Me A Woman,Robert Lockwood_ Jr.,207.7ø
Kindhearted Woman Blues,I Got To Find Me A Woman,Robert Lockwood_ Jr.,162.5ø
I Got To Find Me A Woman,I Got To Find Me A Woman,Robert Lockwood_ Jr.,368.8ø
How Long,I Got To Find Me A Woman,Robert Lockwood_ Jr.,182.8ø
For You My Love,I Got To Find Me A Woman,Robert Lockwood_ Jr.,191.0ø
Feel Like Blowing My Horn,I Got To Find Me A Woman,Robert Lockwood_ Jr.,274.7ø
Everyday I Have The Blues,I Got To Find Me A Woman,Robert Lockwood_ Jr.,263.9ø
Bob And B.,I Got To Find Me A Woman,Robert Lockwood_ Jr.,313.6ø
Big Legged Woman,I Got To Find Me A Woman,Robert Lockwood_ Jr.,278.4ø
Wun'erful_ Wun'erful! (Side Uh-Two) (Medley),The Very Best Of Stan Freberg,Stan Freberg,206.3ø
St. George & The Dragonet,The Very Best Of Stan Freberg,Stan Freberg,203.5ø
St George And The Dragonet,66 US Number One Hits,Stan Freberg,221.5ø
You're Gonna Need Me,Trojan Rocksteady Collection,Errol Dunkley,132.6ø
I'm Going Home,Cool_ Cool Rocksteady,Errol Dunkley,159.5ø
Created By The Father,Reggae Anthology: Randy's 50th Anniversary,Errol Dunkley,169.1ø
Billy Sunshine,Tell Him - The Decca Years,Billie Davis,200.6ø
The Patty Cake Man,House of Blue Lights,Ella Mae Morse,176.7ø
Oakie Boogie,The Fabulous Fifties,Ella Mae Morse,120.0ø
I Love You Yes I Do,Rememberin' The 50's,Ella Mae Morse,161.8ø
Ac-cent-tchu-ate the Positive,The Morse Code,Ella Mae Morse,193.5ø
40 Cups Of Coffee,Capitol Collectors Series,Ella Mae Morse,173.2ø
Coleman,White Sky,Archer Prewitt,255.2ø
Running Back To You,License To Dream,Kleeer,444.5ø
Keeep Your Body Workin',I Love to Dance,Kleeer,319.8ø
Get Tough,License To Dream,Kleeer,500.6ø
Why,Got Another Answer?,Looking Up,178.3ø
The Stranger,Got Another Answer?,Looking Up,145.6ø
Sunshiny Day (Album version),Got Another Answer?,Looking Up,206.4ø
Ska Battle,Got Another Answer?,Looking Up,158.1ø
Open Up Your Mind,Got Another Answer?,Looking Up,174.6ø
Minorities,Got Another Answer?,Looking Up,164.4ø
Just Wreck My Ankle,Got Another Answer?,Looking Up,49.0ø
Hypocrisy,Got Another Answer?,Looking Up,124.2ø
Going Through My Mind (Album version),Got Another Answer?,Looking Up,138.3ø
Going Through My Mind,Got Another Answer?,Looking Up,136.3ø
Friendship,Got Another Answer?,Looking Up,93.4ø
Energy,Got Another Answer?,Looking Up,129.5ø
Badaboum,Got Another Answer?,Looking Up,146.7ø
As One,Got Another Answer?,Looking Up,134.1ø
3 Times 75,Got Another Answer?,Looking Up,180.3ø
Voyeur  (LP Version),100 Year Thing,Chris Stills,195.6ø
Trouble  (LP Version),100 Year Thing,Chris Stills,226.4ø
Tears Of Envy  (LP Version),100 Year Thing,Chris Stills,308.3ø
Razorblades (LP Version),100 Year Thing,Chris Stills,219.9ø
Rattlesnakes  (LP Version),100 Year Thing,Chris Stills,165.6ø
Lucifer & Jane  (LP Version),100 Year Thing,Chris Stills,246.0ø
Last Stop  (LP Version),100 Year Thing,Chris Stills,254.2ø
If I Were A Mountain  (LP Version),100 Year Thing,Chris Stills,225.7ø
Doors To The World  (LP Version),100 Year Thing,Chris Stills,276.6ø
Desert Sands  (LP Version),100 Year Thing,Chris Stills,250.8ø
Countryside  (LP Version),100 Year Thing,Chris Stills,136.8ø
100 Year Thing (LP Version),100 Year Thing,Chris Stills,212.4ø
Roll With Me,I Can't Lose,Deborah Coleman,254.8ø
Nobody To Blame,Where Blue Begins,Deborah Coleman,230.6ø
Don't Hurt Me,Feelgood House Music_ Vol.2,Cache,340.7ø
Nightbird,Six Pack,The Men They Couldn't Hang,177.5ø
Denis Law And Ali Macgraw,Never Born to Follow,The Men They Couldn't Hang,294.6ø
Hard To Handle,The Upsetter,Carl Dawkins,159.8ø
Wrap My Arms Around Your Name  (),Carry Us Through,Sarah Masen,277.2ø
Fragrance Of Pink  (),Carry Us Through,Sarah Masen,236.8ø
Carry Us Through  (),Carry Us Through,Sarah Masen,274.3ø
Beautiful Dream Visions  (),Carry Us Through,Sarah Masen,259.9ø
Trouble In The World (LP Version),In Carterian Fashion,James Carter,407.1ø
Skull Grabbin' (LP Version),In Carterian Fashion,James Carter,396.8ø
Odyssey (LP Version),In Carterian Fashion,James Carter,479.4ø
Lianmo (LP Version),In Carterian Fashion,James Carter,294.6ø
In Carterian Fashion (LP Version),In Carterian Fashion,James Carter,388.8ø
Frisco Follies (LP Version),In Carterian Fashion,James Carter,404.4ø
Escape From Bizarro World (LP Version),In Carterian Fashion,James Carter,363.7ø
Down To The River (LP Version),In Carterian Fashion,James Carter,243.0ø
Don's Idea (LP Version),In Carterian Fashion,James Carter,311.7ø
Rain Into Snow,The Road Home,William Coulter,261.6ø
Sound in Motion,RAM 15x15,Origin Unknown,349.2ø
I Hate Your Guts,Generation XXX,Nobodys,77.1ø
Wormwood,Trading With The Enemy,Tuatara,334.2ø
The Streets Of New Delhi,Trading With The Enemy,Tuatara,305.7ø
The Bender,Trading With The Enemy,Tuatara,310.4ø
P.C.H.,Trading With The Enemy,Tuatara,205.2ø
Night In The Emerald City,Trading With The Enemy,Tuatara,453.5ø
Negotiation,Trading With The Enemy,Tuatara,202.5ø
L'Espionnage Pomme De Terre,Trading With The Enemy,Tuatara,386.2ø
Koto Song (The Old Shinjuku Trail),Trading With The Enemy,Tuatara,395.1ø
Fela The Conqueror,Trading With The Enemy,Tuatara,372.0ø
Love Shy,Wigan Pier Presents Bounce,Kristine Blond,328.9ø
Weapons Of Fiji,Fanning The Flames Of Fire,7000 Dying Rats,49.7ø
Unyielding Glare,Fanning The Flames Of Fire,7000 Dying Rats,165.1ø
