777,Danzig II-Lucifuge,Danzig,339.0ø
Master Of No Mercy,Controlled By Hatred/Feel Like Shit...  Deja-Vu,Suicidal Tendencies,159.1ø
Just Another Love Song,Controlled By Hatred/Feel Like Shit...  Deja-Vu,Suicidal Tendencies,196.2ø
It's Not Easy,Controlled By Hatred/Feel Like Shit...  Deja-Vu,Suicidal Tendencies,238.2ø
Controlled By Hatred,Controlled By Hatred/Feel Like Shit...  Deja-Vu,Suicidal Tendencies,338.5ø
Word Salad (98 Reissue) (Album Version),Alice In Hell,Annihilator,349.2ø
Schizos (Are Never Alone) - Parts I & II (Demo) (Album Version),Alice In Hell,Annihilator,258.4ø
Schizos (Are Never Alone) - Parts I & II (98 Reissue) (Album Version),Alice In Hell,Annihilator,272.5ø
Powerdrain (Demo) (Album Version),Alice In Hell,Annihilator,169.4ø
Ligeia (Demo) (Album Version),Alice In Hell,Annihilator,298.1ø
Ligeia (98 Reissue) (Album Version),Alice In Hell,Annihilator,287.3ø
Human Insecticide (98 Reissue) (Album Version),Alice In Hell,Annihilator,290.9ø
Crystal Ann (98 Reissue) (Album Version),Alice In Hell,Annihilator,101.0ø
Burns Like A Buzzsaw Blade (98 Reissue) (Album Version),Alice In Hell,Annihilator,213.6ø
Alison Hell (98 Reissue) (Album Version),Alice In Hell,Annihilator,300.6ø
Victims,Last Exit To Brooklyn,Mark Knopfler,213.5ø
A Love Idea,Last Exit To Brooklyn,Mark Knopfler,187.6ø
You Know Who (Is Doing You Know What),Foreign Affair,Tina Turner,226.4ø
Undercover Agent For The Blues,Foreign Affair,Tina Turner,319.8ø
Foreign Affair,Foreign Affair,Tina Turner,267.5ø
Love Shack,Original Hits - Rock,The B-52's,321.5ø
The Borderline,Southern Star,Alabama,276.0ø
Song Of The South,Livin' Lovin' Rockin' Rollin': The 25th Anniversary Collection,Alabama,190.8ø
Pete's Music City,Southern Star,Alabama,215.4ø
Barefootin',Southern Star,Alabama,167.8ø
Always In The Past,The Silver Collection,Tears For Fears,277.6ø
Advice For The Young At Heart,Tears For Fears - The Universal Masters Collection,Tears For Fears,287.9ø
World We're Living In,3,Violent Femmes,316.1ø
Telephone Book,3,Violent Femmes,102.0ø
See My Ships,3,Violent Femmes,197.8ø
Outside The Palace,3,Violent Femmes,158.2ø
Nothing Worth Living For,3,Violent Femmes,261.7ø
Nightmares,3,Violent Femmes,211.1ø
Lies,3,Violent Femmes,91.4ø
Just Like My Father,3,Violent Femmes,102.1ø
Fool In The Full Moon,3,Violent Femmes,265.7ø
Fat,3,Violent Femmes,109.3ø
Dating Days,3,Violent Femmes,194.7ø
The Glow Of Love,Collections,Luther Vandross,372.7ø
Here And Now,Live Radio City Music Hall 2003,Luther Vandross,461.0ø
Working In A Coal Mine,Hot Potatoes: The Best Of Devo,Devo,170.0ø
Run,Technique,New Order,271.3ø
Mr. Disco,Technique,New Order,261.3ø
Guilty Partner,Technique [Collector's Edition],New Order,288.0ø
Fine Time [Silk Mix] (Remastered),Technique,New Order,377.8ø
"Fine Line [12"" Remastered Version]",Technique,New Order,284.0ø
"Best & Marsh [12"" Remastered Version]",Technique,New Order,270.8ø
The Four Seasons - Winter - Allegro Non Molto,Pastoral And Nature,Antonio Vivaldi,212.8ø
The Four Seasons - Spring - Allegro,Pastoral And Nature,Antonio Vivaldi,213.9ø
She,2300 Jackson Street,The Jacksons,301.0ø
Private Affair,Can You Feel It: The Jacksons Collection,The Jacksons,250.2ø
Play It Up,2300 Jackson Street,The Jacksons,292.7ø
Midnight Rendezvous,2300 Jackson Street,The Jacksons,264.2ø
Maria,2300 Jackson Street,The Jacksons,348.5ø
If You'd Only Believe,2300 Jackson Street,The Jacksons,373.8ø
Harley,2300 Jackson Street,The Jacksons,264.0ø
Art Of Madness,2300 Jackson Street,The Jacksons,306.6ø
Alright With Me,2300 Jackson Street,The Jacksons,205.1ø
2300 Jackson Street,Playlist: The Very Best Of The Jacksons,The Jacksons,305.9ø
Fool At The Wheel,Rip It Up! - The Hits And More,Little Richard,159.2ø
Something Like That (Edited) (2000 Digital Remaster),Straight Outta Compton,N.W.A.,213.3ø
Quiet On Tha Set (Edited) (2000 Digital Remaster),Straight Outta Compton,N.W.A.,237.7ø
Parental Discretion Iz Advised (Edited) (2000 Digital Remaster),Straight Outta Compton,N.W.A.,312.5ø
Fuck Tha Police,Straight Outta Compton (2002 Digital Remaster) (Explicit),N.W.A.,345.8ø
Dope Man (Edited) (2002 Digital Remaster),Straight Outta Compton,N.W.A.,349.9ø
A B***** Is A B***** (Edited),Straight Outta Compton,N.W.A.,168.8ø
Maybe For Sure,Most Of All - The Best Of Deborah Harry,Deborah Harry,268.3ø
Kiss It Better,Def Dumb And Blonde,Deborah Harry,257.4ø
I'll Never Fall In Love,French Kissin': The Collection,Deborah Harry,195.4ø
Forced To Live,Def Dumb And Blonde,Deborah Harry,120.8ø
End Of The Run,Def Dumb And Blonde,Deborah Harry,423.4ø
Comic Books,Def Dumb And Blonde,Deborah Harry,153.8ø
Bugeye,Def Dumb And Blonde,Deborah Harry,244.8ø
Under The Gun,Force Majeure,Doro,233.4ø
Mission Of Mercy,Force Majeure,Doro,241.3ø
Hellraiser,Force Majeure,Doro,294.6ø
Hard Times,Force Majeure,Doro,218.4ø
Jasper,Estrangeiro,Caetano Veloso,299.2ø
Etc,Estrangeiro,Caetano Veloso,126.9ø
Este Amor,Estrangeiro,Caetano Veloso,208.2ø
Stop Rewind,Boulevard of Broken Dreams,Smokie,208.1ø
Angelina,Boulevard of Broken Dreams,Smokie,226.4ø
If You Asked Me To,Licence To Kill,Patti LaBelle,238.1ø
Jardim D'Ala/ Walkin',Valsa Dos Detectives,GNR,501.8ø
Dama Ou Tigre,Valsa Dos Detectives,GNR,318.4ø
Brainstorm,Superjudge,Monster Magnet,484.4ø
To Live,Big Daddy,John Mellencamp,199.9ø
Sometimes A Great Notion,Big Daddy,John Mellencamp,214.4ø
Pop Singer,Big Daddy,John Mellencamp,168.7ø
Martha Say,Big Daddy,John Mellencamp,224.5ø
Let It All Hang Out,Big Daddy,John Mellencamp,191.0ø
J.M.'s Question,Big Daddy,John Mellencamp,236.5ø
Big Daddy Of Them All,Big Daddy,John Mellencamp,211.7ø
Garden Of Earthly Delights (2001 Digital Remaster),Oranges & Lemons,XTC,303.7ø
Cynical Days (2001 Digital Remaster),Oranges & Lemons,XTC,197.7ø
Getting So Excited,Faster Than The Speed Of Night,Bonnie Tyler,210.3ø
Tomorrow (A Better You_ Better Me),Back On The Block,Quincy Jones | Tevin Campbell,286.9ø
Yesterdaze Gone,The Great Radio Controversy,Tesla,223.0ø
The Way It Is,Alive In Europe!,Tesla,428.8ø
Party's Over,The Great Radio Controversy,Tesla,260.8ø
Paradise,Gold,Tesla,308.8ø
Love Song,Alive In Europe!,Tesla,435.7ø
Lady Luck,The Great Radio Controversy,Tesla,225.4ø
Heaven's Trail (No Way Out),Five Man Acoustical Jam,Tesla,281.1ø
Hang Tough,Alive In Europe!,Tesla,275.4ø
Flight To Nowhere,The Great Radio Controversy,Tesla,285.3ø
Be A Man,The Great Radio Controversy,Tesla,269.4ø
Wrap Your Troubles In Dreams,Newport Rebels,Jazz Artists Guild - Roy Eldridge_ Tommy Flannagan_ Charles Mingus_ Jo Jones,232.7ø
Mysterious Blues,Mysterious Blues,Charles Mingus,525.0ø
Me and You,Newport Rebels,Jazz Artists Guild - Roy Eldridge_ Tommy Flannagan_ Charles Mingus_ Jo Jones,594.0ø
Two Of A Kind,Original John Peel Session: 24th February 1970,Syd Barrett,153.3ø
Cool Hand Flute,Six Wheels On My Wagon,Fluke,236.7ø
Sowing The Seeds Of Love,Gold,Tears For Fears,377.0ø
Was It 26,Simple Man,The Charlie Daniels Band,231.1ø
Saturday Night Down South,Simple Man,The Charlie Daniels Band,184.4ø
Old Rock 'N Roller,Simple Man,The Charlie Daniels Band,178.6ø
Oh Atlanta,Simple Man,The Charlie Daniels Band,199.6ø
Mister DJ,Simple Man,The Charlie Daniels Band,232.9ø
Midnight Wind,Simple Man,The Charlie Daniels Band,199.7ø
(What This World Needs Is) A Few More Rednecks,The Ultimate Charlie Daniels Band,The Charlie Daniels Band,223.7ø
The New Jazz (One) (LP Version),Sex Packets,Digital Underground,37.5ø
The Danger Zone (LP Version),Sex Packets,Digital Underground,331.4ø
Street Scene (LP Version),Sex Packets,Digital Underground,32.7ø
Rhymin' On The Funk (LP Version),Sex Packets,Digital Underground,376.8ø
Packet Reprise (LP Version),Sex Packets,Digital Underground,89.9ø
Packet Prelude (LP Version),Sex Packets,Digital Underground,57.0ø
Gutfest '89 (Edit) (LP Version),Sex Packets,Digital Underground,350.9ø
Doowutchyalike (LP Version),Sex Packets,Digital Underground,531.6ø
Don't Let The Stars Get In Your Eyes,The Best Of,Perry Como,159.5ø
The Right Stuff,The Best Of Vanessa Williams 20th Century Masters The Millennium Collection,Vanessa Williams,252.7ø
Test (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,364.3ø
So What (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,493.8ø
Faith Collapsing (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,241.0ø
Dream Song (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,288.4ø
Cannibal Song (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,370.3ø
Burning Inside (Album Version),The Mind Is A Terrible Thing To Taste,Ministry,320.2ø
Who Tends The Fire  (LP Version),The Years Of Decay,Overkill,491.8ø
Time To Kill (LP Version),The Years Of Decay,Overkill,375.8ø
The Years Of Decay  (LP Version),The Years Of Decay,Overkill,480.3ø
Nothing To Die For  (LP Version),The Years Of Decay,Overkill,262.6ø
I Hate (LP Version),The Years Of Decay,Overkill,226.8ø
Evil Never Dies (LP Version),The Years Of Decay,Overkill,349.6ø
Elimination (LP Version),The Years Of Decay,Overkill,275.4ø
Birth Of Tension  (LP Version),The Years Of Decay,Overkill,304.5ø
My Old Man,Tribute to Steve Goodman,John Prine,347.7ø
The Son of Mary,Harry Belafonte at Christmas,Harry Belafonte,198.5ø
Windy Town,Heart Like A Sky,Spandau Ballet,262.4ø
Raw,Heart Like A Sky,Spandau Ballet,227.7ø
Empty Spaces,Heart Like A Sky,Spandau Ballet,236.3ø
Crashed Into Love,Heart Like A Sky,Spandau Ballet,283.0ø
Big Feeling,Heart Like A Sky,Spandau Ballet,227.2ø
Be Free With Your Love,Heart Like A Sky,Spandau Ballet,283.0ø
A Matter Of Time,Heart Like A Sky,Spandau Ballet,317.3ø
A Handful Of Dust,Heart Like A Sky,Spandau Ballet,294.7ø
Miss You Like Crazy,Love Songs,Natalie Cole,233.4ø
Real Man,Nick Of Time,Bonnie Raitt,267.2ø
Nobody's Girl,The Best Of Bonnie Raitt On Capitol 1989-2003,Bonnie Raitt,192.4ø
Nick Of Time,The Best Of Bonnie Raitt On Capitol 1989-2003,Bonnie Raitt,243.6ø
Love Letter,The Best Of Bonnie Raitt On Capitol 1989-2003,Bonnie Raitt,246.0ø
Have A Heart,Nick Of Time,Bonnie Raitt,290.1ø
When Spirits Rise (2002 Digital Remaster),Street Fighting Years,Simple Minds,120.6ø
Soul Crying Out (2002 Digital Remaster),Street Fighting Years,Simple Minds,367.6ø
Let It All Come Down,Themes - Volume 4,Simple Minds,294.2ø
When I'm Back On My Feet Again,Soul Provider,Michael Bolton,228.3ø
Soul Provider,Michael Bolton The Very Best,Michael Bolton,267.9ø
How Am I Supposed To Live Without You,Soul Provider,Michael Bolton,255.7ø
Georgia On My Mind,Greatest Hits 1985 - 1995,Michael Bolton,297.3ø
Soy Un Perdedor,Busca Una Mujer,Luis Miguel,251.7ø
El Primero,Busca Una Mujer,Luis Miguel,194.2ø
Wurensh,Are You Sitting Comfortably?,IQ,579.7ø
War Heroes,Are You Sitting Comfortably?,IQ,388.0ø
Nothing At All,Are You Sitting Comfortably?,IQ,282.7ø
Makin' Magic,The Great Radio Controversy,Tesla,306.6ø
Lazy Days_ Crazy Nights,The Great Radio Controversy,Tesla,267.2ø
Did It For The Money,The Great Radio Controversy,Tesla,267.9ø
That's Her_ She's Mine (LP Version),Representing The Mambo,Little Feat,250.0ø
Someone To Love (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,289.9ø
Seduction Surrender (2004 Digital Remaster),Bulletproof Heart,Grace Jones,299.1ø
Paper Plan (2004 Digital Remaster),Bulletproof Heart,Grace Jones,236.2ø
On My Way (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,265.4ø
Love On Top Of Love-Killer Kiss (The Cole & Clivilles Garage House Mix) (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,429.5ø
Love On Top Of Love (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,373.9ø
Kicked Around (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,337.6ø
Driving Satisfaction (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,355.9ø
Dream (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,205.7ø
Don't Cry Freedom (Duet With Chris Stanley) (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,253.9ø
Crack Attack (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,321.6ø
Bulletproof Heart (2004 Digital Remaster),Bulletproof Heart,Grace Jones,250.3ø
Amado Mio (The Brazilian Mix) (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,384.8ø
Amado Mio (Digitally Remastered 2004),Bulletproof Heart,Grace Jones,320.2ø
Year Of The Dragon,Themes - Volume 4,Simple Minds,185.4ø
Wall Of Love (2002 Digital Remaster),Street Fighting Years,Simple Minds,319.6ø
This Is Your Land (2002 Digital Remaster),Street Fighting Years,Simple Minds,381.2ø
Take A Step Back (2002 Digital Remaster),Street Fighting Years,Simple Minds,260.8ø
Street Fighting Years (2002 Digital Remaster),Street Fighting Years,Simple Minds,385.5ø
Mandela Day,Themes - Volume 4,Simple Minds,344.5ø
Let It All Come Down (2002 Digital Remaster),Street Fighting Years,Simple Minds,295.4ø
Biko (2002 Digital Remaster),Street Fighting Years,Simple Minds,453.4ø
Come Home For Christmas,20th Century Masters - The Christmas Collection,The Platters,143.6ø
The Horses,Flying Cowboys,Rickie Lee Jones,289.1ø
Satellites,Live at Red Rocks,Rickie Lee Jones,353.5ø
Rodeo Girl,Flying Cowboys,Rickie Lee Jones,292.2ø
Love Is Gonna Bring Us Back Alive,Live at Red Rocks,Rickie Lee Jones,521.9ø
Just My Baby,Flying Cowboys,Rickie Lee Jones,285.8ø
Ghost Train,Flying Cowboys,Rickie Lee Jones,256.8ø
Ghetto Of My Mind,Flying Cowboys,Rickie Lee Jones,371.1ø
Flying Cowboys,Live at Red Rocks,Rickie Lee Jones,300.1ø
Don't Let The Sun Catch You Crying,Flying Cowboys,Rickie Lee Jones,257.4ø
Away From The Sky,Flying Cowboys,Rickie Lee Jones,331.4ø
Atlas' Marker,Flying Cowboys,Rickie Lee Jones,357.6ø
Where In The World,Kaleidoscope World,Swing Out Sister,335.4ø
Precious Words,Kaleidoscope World,Swing Out Sister,253.0ø
World Eater,Realm Of Chaos,Bolt Thrower,294.6ø
Realm Of Chaos,Realm Of Chaos,Bolt Thrower,169.8ø
Plague Bearer,Realm Of Chaos,Bolt Thrower,174.2ø
Outro,Realm Of Chaos,Bolt Thrower,59.5ø
Lost Souls Domain,Grind Madness at the BBC,Bolt Thrower,242.2ø
Eternal War,Grind Madness at the BBC,Bolt Thrower,149.0ø
Drowned In Torment,Realm Of Chaos,Bolt Thrower,184.5ø
The Mysteries Of Love,The Breathtaking Blue,Alphaville,213.9ø
She Fades Away,The Breathtaking Blue,Alphaville,297.1ø
Romeos - Long Version,The Breathtaking Blue,Alphaville,327.3ø
Patricia's Park,The Breathtaking Blue,Alphaville,252.5ø
Heaven Or Hell,The Breathtaking Blue,Alphaville,207.0ø
For A Million,The Breathtaking Blue,Alphaville,370.1ø
Ariana,The Breathtaking Blue,Alphaville,222.7ø
Twelve Thirty (Young Girls Are Coming To The Canyon),California Dreamin' - The Best of The Mamas & The Papas,The Mamas & The Papas,203.2ø
Introduction (Live) (2002 Digital Remaster),Live Album,Grand Funk Railroad,147.0ø
Heartbreaker (Live in Jacksonville) (2002 Digital Remaster),Live Album,Grand Funk Railroad,430.5ø
Flight Of The Fire Weasel (pt. 1) (Album Version),Monsters,Meat Puppets,265.1ø
Flight Of The Fire Weasel (Album Version),Monsters,Meat Puppets,198.9ø
Touchdown King (Album Version),Monsters,Meat Puppets,369.5ø
Strings On Your Heart (Album Version),Monsters,Meat Puppets,311.9ø
Party Till The World Obeys (Album Version),Monsters,Meat Puppets,262.5ø
Meltdown (Album Version),Monsters,Meat Puppets,189.0ø
Light (Album Version),Monsters,Meat Puppets,258.2ø
Turn It Up,A New Flame,Simply Red,275.2ø
Love Lays Its Tune,A New Flame,Simply Red,245.7ø
It's Only Love,A New Flame,Simply Red,299.5ø
Enough,A New Flame,Simply Red,347.6ø
A New Flame,The Greatest Hits 25,Simply Red,237.9ø
Somnolent,Archives Vol. 1,Delerium,272.2ø
Monuments of Deceit,Archives Vol. 1,Delerium,256.1ø
Fragments Of Fear,Archives Vol. 1,Delerium,234.1ø
Faith,Archives Vol. 1,Delerium,281.8ø
Into The Pentagram,Aeonics - An Anthology,Samael,404.3ø
Bike Boy,French Kissin': The Collection,Deborah Harry,168.0ø
The Call Of The Wild ( LP Version ),Rei Momo,David Byrne,293.5ø
Make Believe Mambo ( LP Version ),Rei Momo,David Byrne,323.3ø
Lie To Me ( LP Version ),Rei Momo,David Byrne,217.4ø
Piano Song (Instrumental),Wild!,Erasure,69.6ø
La Gloria,Wild!,Erasure,190.6ø
Blue Savannah,Hits The Very Best Of Erasure,Erasure,259.4ø
Wall Street,East,Tangerine Dream,197.7ø
They Killed Him,Singer/Songwriter,Kris Kristofferson,202.4ø
Learn To Listen,The Chrysalis Years Anthology,The Ramones,110.5ø
Shorties,Reggae Anthology-Look How Me Sexy,Yellowman,275.9ø
Operation Eradication,One In A Million,Yellowman,212.7ø
Lover's Corner,One In A Million,Yellowman,150.9ø
Brother And Sister,Wild!,Erasure,204.5ø
Let The River Run,Never Been Gone,Carly Simon,196.7ø
Please Have Mercy On Me,Ultimate Hits,Little Richard,153.5ø
Ohh My Soul,Rock & Roll Legenden (Jerry Lee Lewis vs. Little Richard),Little Richard,132.8ø
Box Elder,Westing (By Musket and Sextant),Pavement,146.9ø
Too Long In The Wasteland,Too Long In The Wasteland,James McMurtry,244.6ø
Terry,Too Long In The Wasteland,James McMurtry,213.3ø
Talkin At The Texaco,Too Long In The Wasteland,James McMurtry,253.6ø
Song For A Deck Hands Daughter,Too Long In The Wasteland,James McMurtry,215.5ø
Shining Eyes,Too Long In The Wasteland,James McMurtry,251.6ø
Poor Lost Soul,Too Long In The Wasteland,James McMurtry,207.8ø
Painting By Numbers,Too Long In The Wasteland,James McMurtry,289.9ø
Outskirts,Too Long In The Wasteland,James McMurtry,251.9ø
I'm Not From Here,Too Long In The Wasteland,James McMurtry,253.9ø
Crazy Wind,Too Long In The Wasteland,James McMurtry,253.3ø
Angeline,Too Long In The Wasteland,James McMurtry,251.8ø
Every Hour,Tutti Frutti,Little Richard,171.6ø
Always,Rip It Up! - The Hits And More,Little Richard,161.3ø
Dr. Death,The Thin Blue Line - Original Soundtrack,Philip Glass,281.6ø
Whiskey Heaven,Blueberry Hill (Live),Fats Domino,144.1ø
The Mission (Live) (2001 Digital Remaster),Operation: LIVEcrime,Queensryche,346.8ø
Revolution Calling (Live) (Digitally Remastered 01),Operation: LIVEcrime,Queensryche,298.3ø
Operation: Mindcrime (Live) (Digitally Remastered 01),Operation: LIVEcrime,Queensryche,266.9ø
You Happy Puppet (LP Version),Blind Man's Zoo,10_000 Maniacs,217.8ø
Trouble Me (LP Version),Blind Man's Zoo,10_000 Maniacs,193.5ø
The Lion's Share (LP Version),Blind Man's Zoo,10_000 Maniacs,183.7ø
The Big Parade (LP Version),Blind Man's Zoo,10_000 Maniacs,240.9ø
Poison In The Well (LP Version),Blind Man's Zoo,10_000 Maniacs,189.2ø
Please Forgive Us (LP Version),Blind Man's Zoo,10_000 Maniacs,204.2ø
Jubilee (LP Version),Blind Man's Zoo,10_000 Maniacs,367.7ø
Headstrong (LP Version),Blind Man's Zoo,10_000 Maniacs,256.5ø
Hateful Hate (LP Version),Blind Man's Zoo,10_000 Maniacs,271.3ø
Eat For Two (LP Version),Blind Man's Zoo,10_000 Maniacs,211.1ø
Dust Bowl (LP Version),Blind Man's Zoo,10_000 Maniacs,252.4ø
Revelation,God_ Time And Causality,John Fahey,226.6ø
Rhythm Of Life,GU Mixed 4,A Guy Called Gerald,280.3ø
Running Time,Niki Nana,Yanni,359.2ø
Niki Nana (We're One),Niki Nana,Yanni,321.8ø
Quiet Man,Niki Nana,Yanni,274.3ø
Give It Back That Love Is Mine,Nude,Dead Or Alive,208.5ø
Money Song (Monty Python Sings),Monty Python Sings,Monty Python,55.8ø
Boulevard Of Broken Dreams,Eclipse Acoustic,Smokie,240.6ø
Let's Start A War,Live And Loud,Exploited,149.2ø
Don't Worry Be Happy,The Best of Bobby McFerrin,Bobby McFerrin,291.6ø
Sedation (Album Version),Gashed Senses & Crossfire,Front Line Assembly,238.3ø
Antisocial (Album Version),Gashed Senses & Crossfire,Front Line Assembly,273.0ø
What Is Soul?,33-45-78,Stereo MC's,289.2ø
Part 2,33-45-78,Stereo MC's,267.8ø
Out Of Touch,33-45-78,Stereo MC's,256.7ø
My Telephone,People Hold On - The Best Of Coldcut,Coldcut,230.7ø
On A Wedding Anniversary (Album Version),Words For The Dying,John Cale,303.9ø
Introduction (Album Version),Words For The Dying,John Cale,104.9ø
Psychodrama City,Fifth Dimension,The Byrds,203.1ø
III. Allegro vivace,Piano Concerto No.2.,Frederic Chopin,493.5ø
Rough Justice,Raging Silence,Uriah Heep,259.4ø
Blood Red Roses,Easy Livin' - The Singles A's & B's,Uriah Heep,219.8ø
Bad bad Man,Spellbinder,Uriah Heep,238.9ø
Woman In Love (LP Version),Representing The Mambo,Little Feat,230.1ø
Those Feat'll Steer Ya Wrong Sometimes  (LP Version),Representing The Mambo,Little Feat,301.6ø
The Ingenue (LP Version),Representing The Mambo,Little Feat,264.0ø
Texas Twister (LP Version),Representing The Mambo,Little Feat,287.7ø
