Tired of Toein' the Line,Tired of Toein' the Line,Rocky Burnette,191.1ø
On The Rocks ,Double Trouble,Gillan,392.0ø
On The Rocks,Glory Road,Gillan,401.3ø
Nervous,Glory Road,Gillan,226.6ø
If You Believe Me ,Double Trouble,Gillan,506.9ø
Dragon's Tongue,Glory Road,Gillan,351.0ø
Come Tomorrow,Glory Road,Gillan,191.7ø
Abbey Of Thelema,Glory Road,Gillan,367.7ø
Rough and Tough,Classic Hits from Treasure Isle,Stranger Cole,177.3ø
Rough & Tough,This Is Reggae Music,Stranger Cole,179.7ø
To Know Her Is To Love Her,My Own House / You Should See The Rest Of The Band,David Bromberg,183.4ø
Spanish Johnny,My Own House / You Should See The Rest Of The Band,David Bromberg,271.4ø
Sheebeg And Sheemore,My Own House / You Should See The Rest Of The Band,David Bromberg,146.4ø
Lower Left Hand Corner Of The Night,My Own House / You Should See The Rest Of The Band,David Bromberg,186.4ø
Kitchen Girl,My Own House / You Should See The Rest Of The Band,David Bromberg,135.3ø
Georgia On My Mind,My Own House / You Should See The Rest Of The Band,David Bromberg,191.8ø
Early This Morning,My Own House / You Should See The Rest Of The Band,David Bromberg,159.2ø
Cocaine Blues,My Own House / You Should See The Rest Of The Band,David Bromberg,170.5ø
Chump Man Blues,My Own House / You Should See The Rest Of The Band,David Bromberg,194.8ø
Black And Tan,My Own House / You Should See The Rest Of The Band,David Bromberg,212.5ø
Wah-Go-A-Africa,Lots of Loving,Ranking Dread,176.5ø
Super Star,Lots of Loving,Ranking Dread,178.8ø
Nuh Trouble Natty Dread,Lots of Loving,Ranking Dread,180.6ø
Loving Devotion,Lots of Loving,Ranking Dread,221.8ø
Lots Of Loving,Lots of Loving,Ranking Dread,245.3ø
Humble Lion Prayer,Lots of Loving,Ranking Dread,325.2ø
Come Sister Come,Lots of Loving,Ranking Dread,204.1ø
A Which One A We Yu Love,Lots of Loving,Ranking Dread,217.1ø
The Crying Game,The Very Best Of Chris Spedding,Chris Spedding,160.6ø
I'm Not Like Everybody Else,The Very Best Of Chris Spedding,Chris Spedding,222.8ø
Counterfeit,Enemy Within,Chris Spedding,178.0ø
Queixo De Cobra,2 Em 1,Sivuca,182.4ø
Frevo Sanfonado,2 Em 1,Sivuca,162.0ø
Asa Branca,2 Em 1,Sivuca,351.5ø
Rock & Roll Don't Come From New York,Rock & Roll Don't Come From New York,The Gizmos,108.1ø
Pay,Rock & Roll Don't Come From New York,The Gizmos,113.1ø
Rockin' Bones,1950s Punk & Rockabilly Rebels (Amazon Edition),Ronnie Dawson,120.0ø
This Is A Lover's Corner,"12"" Of Pleasure",General Echo,287.0ø
This Are The Cockie Tribulation,"12"" Of Pleasure",General Echo,216.3ø
That's How You Get Your Love Bump,"12"" Of Pleasure",General Echo,156.5ø
She Have A Pair Of Headlamp Breasts,"12"" Of Pleasure",General Echo,168.4ø
Pld Man Love Young Girl Vegie,"12"" Of Pleasure",General Echo,145.0ø
Me Know Everything About She Pum Pum,"12"" Of Pleasure",General Echo,212.0ø
Love Me Waist Don't Bother Love Me Face,"12"" Of Pleasure",General Echo,193.1ø
Lorna She Love Young Boy Banana,"12"" Of Pleasure",General Echo,223.0ø
It's My Desire To Set Your Crutches On Fire,"12"" Of Pleasure",General Echo,187.2ø
Hotel Fee (Disco Mix),"12"" Of Pleasure",General Echo,463.0ø
Bathroom Sex,"12"" Of Pleasure",General Echo,247.5ø
Union Games,1965-1980/Basement 5 In Dub,Basement 5,238.0ø
Too Soon,1965-1980/Basement 5 In Dub,Basement 5,208.8ø
Riot,1965-1980/Basement 5 In Dub,Basement 5,192.4ø
Omega Man,1965-1980/Basement 5 In Dub,Basement 5,446.8ø
No Ball Games,1965-1980/Basement 5 In Dub,Basement 5,289.4ø
Last White Christmas,1965-1980/Basement 5 In Dub,Basement 5,283.7ø
Immigration,1965-1980/Basement 5 In Dub,Basement 5,396.4ø
Heavy Traffic,1965-1980/Basement 5 In Dub,Basement 5,183.6ø
Up a Lazy River,Not Nervous!,The Polecats,125.0ø
Travelin' Blues,Not Nervous!,The Polecats,159.1ø
Stranger Than Fiction,Not Nervous!,The Polecats,112.6ø
Spin the Bottle,Not Nervous!,The Polecats,146.2ø
Slippin' In,Not Nervous!,The Polecats,141.7ø
Right String Baby,Not Nervous!,The Polecats,152.5ø
Johnny Carroll Rock,Not Nervous!,The Polecats,116.4ø
Crawdad Hole,Not Nervous!,The Polecats,149.5ø
Baby Let's Play House,Not Nervous!,The Polecats,167.0ø
Can't Fake the Feeling,Soultry_ Jazzy_ & Sexy,Geraldine Hunt feat. Freddie James & Rosalind aka Cheri,322.4ø
Volume Control,Zonophone: The Punk Singles Collection,The Stiffs,174.2ø
The Gentle Rain,Byrd & Brazil,Charlie Byrd,223.9ø
Meninas Brincando (Little Girls At Play),Byrd & Brazil,Charlie Byrd,330.9ø
I Just Cant Make It,Dark Spaces,Richard Clapton,164.0ø
High Society,Dark Spaces,Richard Clapton,293.9ø
Get Back To The Shelter,The Best Years Of Our Lives,Richard Clapton,362.1ø
Dark Spaces,Dark Spaces,Richard Clapton,417.0ø
Sympathetic Anaesthetic,Hungry Beat,Fire Engines,193.2ø
Plastic Gift,Codex Teenage Premonition,Fire Engines,157.5ø
New Thing In Cartons,Codex Teenage Premonition,Fire Engines,161.6ø
Hungry Beat,Hungry Beat,Fire Engines,270.3ø
Discord,Codex Teenage Premonition,Fire Engines,227.5ø
Bangkok,Lost decade,Alex Chilton,121.9ø
