Disco Man,Molten Lager,The Damned,166.6ø
Electro-Cuties,The Original Cosmic Funk Crew,Funkadelic,372.7ø
Stage Fright (LP Version),Take It Off,Chic,237.4ø
Monasterio De Sal,Castro Marin,Paco De Lucia,284.4ø
Under The House,Flowers Of Romance,Public Image Ltd,272.9ø
Track 8,Flowers Of Romance,Public Image Ltd,194.7ø
Hymie's Him,Flowers Of Romance,Public Image Ltd,198.4ø
Home Is Where The Heart Is,Flowers Of Romance,Public Image Ltd,453.8ø
Go Back,Flowers Of Romance,Public Image Ltd,226.6ø
Francis Massacre,Flowers Of Romance,Public Image Ltd,212.3ø
Four Enclosed Walls,Flowers Of Romance,Public Image Ltd,285.3ø
Flowers Of Romance,Flowers Of Romance,Public Image Ltd,171.2ø
Que Nadie Sepa Mi Sufrir,My Life: The Greatest Hits,Julio Iglesias,201.9ø
Royalty,Punk's Not Dead,Exploited,128.9ø
Ripper,Punk's Not Dead,Exploited,125.7ø
Mucky Pup,Punk's Not Dead,Exploited,105.3ø
I Believe In Anarchy,Punk's Not Dead,Exploited,121.2ø
Hitler's In The Charts Again,Live And Loud,Exploited,171.9ø
Free Flight,Punk's Not Dead,Exploited,216.6ø
Exploited Barmy Army,Punk's Not Dead,Exploited,150.1ø
Dogs of War,Sexual Favours - Live!,The Exploited,90.5ø
Blown To Bits,Live And Loud,Exploited,116.8ø
Prince Of Darkness,The Best Of Bow Wow Wow,Bow Wow Wow,141.6ø
Golly! Golly! Go Buddy!,The Best Of Bow Wow Wow,Bow Wow Wow,155.8ø
Go Wild In The Country,The Pop Years 1982-1983,Bow Wow Wow,163.3ø
Elimination Dancing,Aphrodisiac - Best Of,Bow Wow Wow,184.0ø
Chihuahua,Electric 80s,Bow Wow Wow,231.1ø
Wanna Rock,Nature Of The Beast,April Wine,125.5ø
Tellin' Me Lies,Nature Of The Beast,April Wine,181.5ø
Sign Of The Gypsy Queen,Nature Of The Beast,April Wine,257.3ø
One More Time,Nature Of The Beast,April Wine,235.1ø
Just Between You And Me,Nature Of The Beast,April Wine,235.3ø
Future Tense,Nature Of The Beast,April Wine,249.5ø
Caught In The Crossfire,Nature Of The Beast,April Wine,214.4ø
Big City Girls,Nature Of The Beast,April Wine,220.9ø
Bad Boys,Nature Of The Beast,April Wine,190.2ø
All Over Town,Nature Of The Beast,April Wine,179.7ø
So Easy To Begin,Scissors Cut,Art Garfunkel,176.0ø
In Cars,Scissors Cut,Art Garfunkel,227.8ø
Hang On In,Scissors Cut,Art Garfunkel,226.5ø
Can't Turn My Heart Away,Scissors Cut,Art Garfunkel,262.4ø
Respect Me In The Morning,The Essential Molly Hatchet,Molly Hatchet,201.2ø
Long Tall Sally,Take No Prisoners,Molly Hatchet,174.0ø
Don't Leave Me Lonely,Take No Prisoners,Molly Hatchet,238.4ø
All Mine,Take No Prisoners,Molly Hatchet,239.5ø
Alle Prese Con Una Verde Milonga,Wonderful,Paolo Conte,308.9ø
This Is Not A Photograph,Peking Spring,Mission Of Burma,119.6ø
Red,Signals_ Calls and Marches [Remastered],Mission Of Burma,218.2ø
Outlaw,Signals_ Calls and Marches [Remastered],Mission Of Burma,154.7ø
Fame And Fortune,Signals_ Calls and Marches [Remastered],Mission Of Burma,215.2ø
All World Cowboy Romance,Signals_ Calls and Marches [Remastered],Mission Of Burma,312.0ø
Never Say Never,Glorious Fool,John Martyn,292.5ø
Glorious Fool,Glorious Fool,John Martyn,300.0ø
Don't You Go,Glorious Fool,John Martyn,280.3ø
Amsterdam,Ain't No Saint,John Martyn,327.5ø
Walking In The Sunshine,Smash Hits 1981,Bad Manners,210.7ø
Casablanca (Rags And Riches),Special Brew - The Platinum Collection,Bad Manners,290.8ø
Can Can,Bad Manners,Bad Manners,169.7ø
Buona Sera,Special Brew - The Platinum Collection,Bad Manners,173.0ø
The Sky's Ablaze,Out Come The Freaks,Was (Not Was),135.5ø
Tell Me That I'm Dreaming,ZEVolution: ZE Records Re-Edited,Was (Not Was),393.8ø
Out Come The Freaks,Island Records Post Punk Box Set - Out Come The Freaks,Was (Not Was),427.0ø
You Can't Walk In Your Sleep (If You Can't Sleep),Beauty And The Beat,Go-Go's,174.2ø
We Got The Beat,Beauty And The Beat,Go-Go's,152.9ø
Skidmarks On My Heart,Beauty And The Beat,Go-Go's,186.1ø
Lust To Love,Beauty And The Beat,Go-Go's,244.2ø
How Much More,Beauty And The Beat,Go-Go's,186.0ø
Fading Fast,Beauty And The Beat,Go-Go's,221.0ø
Can't Stop The World,Beauty And The Beat,Go-Go's,200.1ø
Automatic,Beauty And The Beat,Go-Go's,187.2ø
Vengeance,Fire Of Unknown Origin,Blue Oyster Cult,281.7ø
Sole Survivor,Fire Of Unknown Origin,Blue Oyster Cult,245.7ø
Fire Of Unknown Origin,Fire Of Unknown Origin,Blue Oyster Cult,250.3ø
Burnin' For You,The Best Of,Blue Oyster Cult,272.1ø
Rage In The Cage,Freeze Frame,J. Geils Band,296.6ø
Freeze-Frame,Masters Of Rock,J. Geils Band,238.7ø
Flamethrower,Masters Of Rock,J. Geils Band,300.5ø
Do You Remember When,Freeze Frame,J. Geils Band,285.9ø
Centerfold,Freeze Frame,J. Geils Band,216.1ø
Angel In Blue,Masters Of Rock,J. Geils Band,292.2ø
Here We Go,Love Lives Forever,Minnie Riperton,419.9ø
Cotton-Eyed Joe,The Essential Chieftains,The Chieftains;Ricky Skaggs,161.5ø
When I Scream,Snakes and Ladders - Almost Complete: 1980-82,TV21,241.1ø
What's Going on?,Snakes and Ladders - Almost Complete: 1980-82,TV21,205.9ø
Waiting for the Drop,Snakes and Ladders - Almost Complete: 1980-82,TV21,151.2ø
Ticking Away,Snakes and Ladders - Almost Complete: 1980-82,TV21,256.3ø
This Is Zero,Snakes and Ladders - Almost Complete: 1980-82,TV21,201.0ø
Something's Wrong,Snakes and Ladders - Almost Complete: 1980-82,TV21,245.2ø
Snakes and Ladders,Snakes and Ladders - Almost Complete: 1980-82,TV21,196.3ø
Playing With Fire,Snakes and Ladders - Almost Complete: 1980-82,TV21,185.1ø
It Feels Like It's Starting to Rain,Snakes and Ladders - Almost Complete: 1980-82,TV21,198.9ø
Ideal Way of Life,Snakes and Ladders - Almost Complete: 1980-82,TV21,239.3ø
End Of A Dream,Demon - The Singles Collection,TV 21,194.6ø
Attention Span,Snakes and Ladders - Almost Complete: 1980-82,TV21,245.9ø
Ambition,Snakes and Ladders - Almost Complete: 1980-82,TV21,238.7ø
