Marina Del Rey,The Very Best Of George Strait_ 1981-87,George Strait,185.1ø
Running Free (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,522.5ø
Revelations (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,371.3ø
Powerslave (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,433.0ø
Phantom Of The Opera (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,441.1ø
Iron Maiden (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,260.9ø
Intro (Churchill's Speech) (1998 Digital Remaster),Live After Death,Iron Maiden,49.4ø
Flight Of Icarus (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,208.0ø
Die With Your Boots On (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,312.3ø
22 Acacia Avenue (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,378.3ø
2 Minutes To Midnight (Live) (1998 Digital Remaster),Live After Death,Iron Maiden,363.3ø
Three Sisters,Listen Like Thieves,INXS,148.7ø
Same Direction,Listen Like Thieves,INXS,298.4ø
Red Red Sun,Listen Like Thieves,INXS,214.3ø
Good And Bad Times,Listen Like Thieves,INXS,163.2ø
Biting Bullets,Listen Like Thieves,INXS,170.3ø
Evil Gal Blues,The Early Years,Aretha Franklin,160.6ø
Sinking,The Head On The Door,The Cure,297.5ø
Screw,The Head On The Door,The Cure,158.0ø
Lime Time,The Head On The Door,The Cure,175.2ø
Lalala,The Head On The Door,The Cure,245.0ø
In Between Days,The Cure - Greatest Hits (Deluxe Sound & Vision) PAL,The Cure,181.0ø
A Man Inside My Mouth,The Head On The Door,The Cure,176.5ø
A Few Hours After This ...,The Head On The Door,The Cure,275.1ø
George Of The Jungle,Dare To Be Stupid,Weird Al Yankovic,64.6ø
Cable TV,The TV Album,Weird Al Yankovic,218.2ø
Yertle The Turtle (2003 Digitally Remastered),Freaky Styley,Red Hot Chili Peppers,226.6ø
Millionaires Against Hunger (2002 Digital Remastser) (Explicit),Freaky Styley,Red Hot Chili Peppers,208.5ø
Lovin' And Touchin' (2003 Digitally Remastered),Freaky Styley,Red Hot Chili Peppers,36.9ø
Hollywood (Africa) (2003 Digitally Remastered),Freaky Styley,Red Hot Chili Peppers,303.6ø
Freaky Styley (2003 Digitally Remastered),Freaky Styley,Red Hot Chili Peppers,219.7ø
Blackeyed Blonde (2003 Digitally Remastered),Freaky Styley,Red Hot Chili Peppers,160.9ø
American Ghost Dance (2003 Digital Remastered),Freaky Styley,Red Hot Chili Peppers,231.2ø
Jungle Man,What Hits?,Red Hot Chili Peppers,247.4ø
Spike,Tom Petty And The Heartbreakers Live Anthology,Tom Petty And The Heartbreakers,460.4ø
Don't Come Around Here No More,Southern Accents,Tom Petty And The Heartbreakers,307.4ø
Undertow,Suzanne Vega,Suzanne Vega,207.1ø
The Queen And The Soldier,Suzanne Vega,Suzanne Vega,290.7ø
Straight Lines,Suzanne Vega,Suzanne Vega,229.3ø
Some Journey,Suzanne Vega,Suzanne Vega,220.3ø
Neighborhood Girls,Suzanne Vega,Suzanne Vega,202.2ø
Marlene On The Wall,Lifestyle2 - Acoustic Vol 1,Suzanne Vega,219.6ø
Freeze Tag,Suzanne Vega,Suzanne Vega,156.4ø
Cracking,Suzanne Vega,Suzanne Vega,171.8ø
Tonight It's You,THE GREATEST HITS,Cheap Trick,285.5ø
It's Only Love,Live! Live! Live!,Bryan Adams,231.1ø
Christmas Time,The Greatest Christmas Songs,Bryan Adams,215.9ø
This Bitter Earth,Aretha Sings The Blues,Aretha Franklin,276.0ø
Only The Lonely,Sunday Morning Classics,Aretha Franklin,292.7ø
Ego Tripping Out,I Heard It Through The Grapevine,Marvin Gaye,301.2ø
Shoot Down The Moon,Ice On Fire,Elton John,310.5ø
Velcro Fly,Afterburner,ZZ Top,209.1ø
Stages,Afterburner,ZZ Top,33.9ø
Rough Boy,Afterburner,ZZ Top,85.8ø
Dipping low [In The Lap of Luxury],Afterburner,ZZ Top,190.6ø
Two In A One Mk 1,Baggariddim,UB40,198.9ø
The Buzz Feeling,Baggariddim,UB40,221.2ø
Style Mk 4,Baggariddim,UB40,242.6ø
Hip Hop Lyrical Robot,Baggariddim,UB40,262.9ø
Sub-Culture,Substance,New Order,298.1ø
Modern Woman,The Bridge,Billy Joel,232.3ø
The Dream Of The Blue Turtles,The Dream Of The Blue Turtles,Sting,78.0ø
Moon Over Bourbon Street,Send Your Love,Sting,214.4ø
If You Love Somebody Set Them Free,The Dream Of The Blue Turtles,Sting,256.3ø
Fortress Around Your Heart,The Dream Of The Blue Turtles,Sting,279.3ø
Consider Me Gone,Bring On The Night,Sting,293.0ø
Children's Crusade,Bring On The Night,Sting,323.0ø
Another Day,Another Day,Sting,281.8ø
The Train Kept A Rollin',Motorhead,Motorhead,195.1ø
Trouble In Mind,The Early Years,Aretha Franklin,174.1ø
Beyond Belief,The Best Of The First 10 Years,Elvis Costello & The Attractions,155.0ø
What Is a Young Girl Made of,Intro: The Beach Boys - EP,The Beach Boys,120.8ø
Rain Dogs,Big Time,Tom Waits,216.5ø
Gun Street Girl,Big Time,Tom Waits,241.6ø
Clap Hands,Big Time,Tom Waits,296.8ø
Cemetery Polka,Rain Dogs,Tom Waits,106.7ø
The Leper,Dinosaur,Dinosaur Jr.,244.7ø
Severed Lips,Dinosaur,Dinosaur Jr.,242.5ø
Quest,Dinosaur,Dinosaur Jr.,267.9ø
Pointless,Dinosaur,Dinosaur Jr.,167.0ø
Mountain Man,Dinosaur,Dinosaur Jr.,208.9ø
Gargoyle,Dinosaur,Dinosaur Jr.,131.4ø
Forget The Swan,Dinosaur,Dinosaur Jr.,309.2ø
Does It Float,Dinosaur,Dinosaur Jr.,198.5ø
Cats In a Bowl,Dinosaur,Dinosaur Jr.,215.7ø
Bulbs of Passion,Dinosaur,Dinosaur Jr.,256.3ø
Virgin Island,Gravity,Kenny G,194.5ø
Sax Attack,Gravity,Kenny G,302.3ø
One Man's Poison (Another Man's Sweetness),Gravity,Kenny G,246.3ø
Gravity,Gravity,Kenny G,263.2ø
