My Way,Submission,Sex Pistols,261.0ø
Forever Young (Album Version),Reunion,Peter_ Paul and Mary,384.3ø
You Belong To Me,Clouds In My Coffee 1965-1995,Carly Simon,230.8ø
One Man Woman (LP Version),Boys In The Trees,Carly Simon,221.3ø
In A Small Moment (LP Version),Boys In The Trees,Carly Simon,190.1ø
For Old Times Sake (LP Version),Boys In The Trees,Carly Simon,221.8ø
De Bat (Fly In Me Face)  (LP Version),Boys In The Trees,Carly Simon,150.0ø
Boys In The Trees (LP Version),Boys In The Trees,Carly Simon,195.4ø
Back Down To Earth (LP Version),Boys In The Trees,Carly Simon,189.1ø
Wayward Child,Top Priority,Rory Gallagher,208.7ø
Philby,LIVE AT MONTREUX,Rory Gallagher,496.1ø
Off The Handle,LIVE AT MONTREUX,Rory Gallagher,506.9ø
Cloak & Dagger,Photo Finish,Rory Gallagher,319.7ø
Brute Force & Ignorance,Photo Finish,Rory Gallagher,255.6ø
At The Depot,Top Priority,Rory Gallagher,174.2ø
August Day,Do What You Want_ Be What You Are: The Music of Daryl Hall & John Oates,Daryl Hall & John Oates,184.6ø
Take Me Back,The Very Best Of The A&M Years (1977-1988),38 Special,319.6ø
Devoted To You,Clouds In My Coffee 1965-1995,Carly Simon;James Taylor,149.8ø
Soul Man (Live Version),Briefcase Full Of Blues,The Blues Brothers,185.0ø
Shot Gun Blues (Live Version),Briefcase Full Of Blues,The Blues Brothers,322.3ø
Rubber Biscuit (Live Version),Briefcase Full Of Blues,The Blues Brothers,171.1ø
Rubber Biscuit,Let's Go To Prison (OST),The Blues Brothers,179.9ø
Opening: I Can't Turn You Loose (Live Version),Briefcase Full Of Blues,The Blues Brothers,112.0ø
Messin' With The Kid (Live Version),Briefcase Full Of Blues,The Blues Brothers,175.8ø
I Don't Know (Live Version),Briefcase Full Of Blues,The Blues Brothers,251.5ø
Hey Bartender (Live Version),Briefcase Full Of Blues,The Blues Brothers,177.5ø
Groove Me (Live Version),Briefcase Full Of Blues,The Blues Brothers,222.4ø
Flip_ Flop & Fly (Live Version),Briefcase Full Of Blues,The Blues Brothers,205.2ø
Closing: I Can't Turn You Loose (Live Version),Briefcase Full Of Blues,The Blues Brothers,50.1ø
"B"" Movie Box Car Blues (Live Version)",Briefcase Full Of Blues,The Blues Brothers,244.4ø
(I Got Everything I Need) Almost (Live Version),Briefcase Full Of Blues,The Blues Brothers,162.3ø
Wonder Woman (LP Version),Let Me Live In Your Life,Ben E. King,203.3ø
Fly Away To My Wonderland (LP Version),Let Me Live In Your Life,Ben E. King,246.8ø
Dark Storm On The Horizon (LP Version),Let Me Live In Your Life,Ben E. King,267.9ø
This Love Affair,Gloria Gaynor/ Gladys Knight & The Pips/ Diana Ross & The Supremes,Gloria Gaynor,161.5ø
Substitute,The Collection,Gloria Gaynor,192.4ø
Power Of Love,The Montreux Album,Smokie,118.0ø
Warmer Communications ,Warmer Communications   ,Average White Band,252.2ø
Big City Lights ,Warmer Communications   ,Average White Band,295.8ø
Ups and Downs,YMCA,Village People,384.4ø
The Women,YMCA,Village People,357.1ø
My Roomate,YMCA,Village People,324.6ø
Macho Man,San Francisco Macho Man,Village People,319.9ø
Key West,San Francisco Macho Man,Village People,343.1ø
I'm a Cruiser,YMCA,Village People,420.8ø
Hot Cop,YMCA,Village People,381.6ø
There Are Worse Things I Could Do,Grease,Stockard Channing,141.9ø
Que bueno baila usted,Salsa Legende - Best of Tito Puente_ vol.2,Tito Puente,253.9ø
You Drive Me Ape (You Big Gorilla),Punk Singles Collection,The Dickies,112.0ø
Paranoid,Banana Splits (The Tra La La Song),The Dickies,122.8ø
Hideous,Punk Singles Collection,The Dickies,73.1ø
Give It Back,Punk Singles Collection,The Dickies,101.9ø
Eve Of Destruction,Punk Singles Collection,The Dickies,117.1ø
Whad'ya Say,Fallen Angel,Uriah Heep,219.0ø
Street Lady,Fallen Angel,Uriah Heep,220.0ø
Save It,Fallen Angel,Uriah Heep,212.4ø
One More Night,Live In Europe,Uriah Heep,295.7ø
I'm Alive,Live In Europe,Uriah Heep,247.4ø
Falling In Love,Fallen Angel,Uriah Heep,188.2ø
Feats Don't Fail Me Now,Feats Don't Fail Me Now,Little Feat,147.7ø
Tippin' (LP Version),Let Me Live In Your Life,Ben E. King,240.6ø
Sweet Rhapsody (LP Version),Let Me Live In Your Life,Ben E. King,237.6ø
Spoiled (LP Version),Let Me Live In Your Life,Ben E. King,219.8ø
Let Me Live In Your Life (LP Version),Let Me Live In Your Life,Ben E. King,303.9ø
I See The Light (LP Version),Let Me Live In Your Life,Ben E. King,210.5ø
Fifty Years (LP Version),Let Me Live In Your Life,Ben E. King,272.8ø
Family Jewels (LP Version),Let Me Live In Your Life,Ben E. King,218.4ø
Stand And Deliver,No Smoke Without Fire,Wishbone Ash,439.3ø
Like A Child,No Smoke Without Fire,Wishbone Ash,299.6ø
Bad Weather Blues,No Smoke Without Fire,Wishbone Ash,518.2ø
Baby The Angels Are Here,No Smoke Without Fire,Wishbone Ash,289.5ø
Anger In Harmony,No Smoke Without Fire,Wishbone Ash,309.0ø
Tokyo,Good News - An Introduction To 10CC,10cc,275.3ø
For You And I,Good News - An Introduction To 10CC,10cc,324.9ø
Dreadlock Holiday,Essential Reggae,10cc,268.0ø
New Cut Road (Remastered Live Version),Quarter Moon In A Ten Cent Town,Emmylou Harris,250.7ø
Leaving Louisiana In The Broad Daylight (Remastered LP Version),Quarter Moon In A Ten Cent Town,Emmylou Harris,259.6ø
I Ain't Living Long Like This (Remastered LP Version),Quarter Moon In A Ten Cent Town,Emmylou Harris,244.8ø
Light Up My Life,Best Of The Rock Songs And Ballads,Smokie,264.2ø
Sing For The Day,The Best Of Times - The Best Of Styx,Styx,297.7ø
Blue Collar Man (Long Nights),20th Century Masters: The Millennium Collection: Best Of Styx,Styx,247.6ø
Night in Tunisia,Dizzy In South America Volume 3,Dizzy Gillespie,531.3ø
Guarachi Guaro,Dizzy Gillespie,Dizzy Gillespie,192.1ø
Toiler On The Sea,All Live And All Of The Night,The Stranglers,386.1ø
Rok It To The Moon,IV,The Stranglers,165.0ø
Nice N' Sleazy,Singles (The UA Years),The Stranglers,194.6ø
5 minutes,5 live 01,The Stranglers,222.5ø
Who Do Ya Love,Greatest Hits,KC & The Sunshine Band,222.5ø
It's The Same Old Song,The Very Best Of KC And The Sunshine Band,KC And The Sunshine Band,262.1ø
I Will Love You Tomorrow,The TK Years,KC And The Sunshine Band,224.3ø
Do You Feel All Right,The TK Years,KC And The Sunshine Band,309.5ø
Come To My Island,Who Do Ya Love,KC & The Sunshine Band,254.7ø
Werewolves Of London (2007 Remastered LP Version),Excitable Boy,Warren Zevon,209.5ø
Veracruz (2007 Remastered LP Version),Excitable Boy,Warren Zevon,211.5ø
Tule's Blues (Previously Unissued Solo Piano Version),Excitable Boy,Warren Zevon,189.9ø
Tenderness On The Block (2007 Remastered LP Version),Excitable Boy,Warren Zevon,238.2ø
Night Time In The Switching Yard (2007 Remastered LP Version),Excitable Boy,Warren Zevon,259.3ø
Lawyers_ Guns And Money (2007 Remastered LP Version),Excitable Boy,Warren Zevon,210.5ø
I Need A Truck (Previously Unissued Outtake),Excitable Boy,Warren Zevon,48.4ø
Frozen Notes (Previously Unissued Strings Version),Excitable Boy,Warren Zevon,119.7ø
The Man Who Dies Every Day,Ha! Ha! Ha!,Ultravox!,258.6ø
Slow Motion,Systems Of Romance,Ultravox!,211.8ø
Quiet Men,Systems Of Romance,Ultravox!,250.9ø
Just For A Moment,Systems Of Romance,Ultravox!,192.0ø
Cross Fade,Ultravox!/ Visage/ Soft Cell,Ultravox!,172.6ø
Hamp's Boogie Woogie,Boogie Woogie Masters,Lionel Hampton,196.0ø
When You Walk Through Me,Systems Of Romance,Ultravox!,257.3ø
Helter Skelter,Nocturne,Siouxsie And The Banshees,221.3ø
Stand Firm (2002 Digital Remaster),Bush Doctor,Peter Tosh,371.1ø
Soon Come (Long Version) (2002 Digital Remaster),Bush Doctor,Peter Tosh,317.9ø
Soon Come (2002 Digital Remaster),Bush Doctor,Peter Tosh,238.2ø
Soon Come,Black Dignity,Peter Tosh | The Wailers,142.6ø
Moses - The Prophet (2002 Digital Remaster),Bush Doctor,Peter Tosh,217.6ø
Lesson In My Life (Outtake),Bush Doctor,Peter Tosh,334.9ø
I'm The Toughest (Long Version) (2002 Digital Remaster),Bush Doctor,Peter Tosh,310.4ø
Dem Ha Fe Get A Beatin (2002 Digital Remaster),Bush Doctor,Peter Tosh,254.5ø
Creation (2002 Digital Remaster),Bush Doctor,Peter Tosh,394.6ø
Creation,Honorary Citizen,Peter Tosh,400.1ø
Bush Doctor (2002 Digital Remaster),Bush Doctor,Peter Tosh,246.5ø
Bush Doctor,The Gold Collection,Peter Tosh,241.9ø
(You Gotta Walk) Don't Look Back (Long Version) (2002 Digital Remaster),Bush Doctor,Peter Tosh,300.4ø
Lift Up Your Conscience,The Same Song,Israel Vibration,240.2ø
This Is Pop? (2001 Digital Remaster),White Music,XTC,161.4ø
Statue Of Liberty (2001 Digital Remaster),White Music,XTC,175.6ø
She's So Square (2001 Digital Remaster),White Music,XTC,187.0ø
Science Friction (2001 Digital Remaster),White Music,XTC,193.5ø
New Town Animal In A Furnished Cage (2001 Digital Remaster),White Music,XTC,113.5ø
Neon Shuffle (2001 Digital Remaster),White Music,XTC,277.6ø
Meccanik Dancing (Oh We Go!) (2001 Digital Remaster),Go 2,XTC,155.7ø
Into The Atom Age (2001 Digital Remaster),White Music,XTC,152.9ø
I'll Set Myself On Fire (2001 Digital Remaster),White Music,XTC,184.8ø
I Am The Audience (2001 Digital Remaster),Go 2,XTC,228.0ø
Heatwave (2001 Digital Remaster),White Music,XTC,132.1ø
Do What You Do (2001 Digital Remaster),White Music,XTC,76.6ø
Dance Band (2001 Digital Remaster),White Music,XTC,161.4ø
Buzzcity Talking (2001 Digital Remaster),Go 2,XTC,161.1ø
Beatown (2001 Digital Remaster),Go 2,XTC,276.7ø
Battery Brides (Andy Paints Brian) (2001 Digital Remaster),Go 2,XTC,277.0ø
Are You Receiving Me?,The Compact XTC,XTC,183.7ø
All Along The Watchtower (2001 Digital Remaster),White Music,XTC,343.1ø
Surfing With A Spoon,Midnight Oil,Midnight Oil,321.1ø
Run By Night,Flat Chat,Midnight Oil,235.2ø
Head Over Heels,Midnight Oil,Midnight Oil,243.5ø
Strong In Reason,Argy Bargy Deluxe Edition,Squeeze,246.9ø
Model,The Complete BBC Sessions,Squeeze,313.2ø
First Thing Wrong,Up The Junction,Squeeze,222.5ø
Threatened,Black And White,The Stranglers,213.6ø
Nice 'N' Sleazy,Box Set,The Stranglers,265.4ø
Enough Time,Black And White,The Stranglers,257.5ø
Death And Night And Blood (Yukio),Black And White,The Stranglers,169.0ø
Pick Myself Up,3 CD Set,Peter Tosh,443.6ø
Hopelessly Devoted To You,Grease,Olivia Newton-John,185.4ø
I'm In Love,Classic Bachman Turner Overdrive - The Universal Masters Collection,Bachman-Turner Overdrive,234.0ø
Down The Road,Best Of Bachman-Turner Overdrive,Bachman-Turner Overdrive,247.6ø
Tomorrow,But Seriously_ Folks...,Joe Walsh,219.2ø
Theme From Boat Weirdos,But Seriously_ Folks...,Joe Walsh,281.9ø
Second Hand Store,But Seriously_ Folks...,Joe Walsh,215.3ø
Over And Over,But Seriously_ Folks...,Joe Walsh,292.6ø
Life's Been Good,Best Rock Anthems.....Ever!,Joe Walsh,278.2ø
Inner Tube,But Seriously_ Folks...,Joe Walsh,84.6ø
Indian Summer,But Seriously_ Folks...,Joe Walsh,183.2ø
I'll Tell The World About You,Barnstorm,Joe Walsh,235.6ø
Days Gone By,The Smoker You Drink_ The Player You Get,Joe Walsh,358.7ø
County Fair,So What,Joe Walsh,410.7ø
At The Station,But Seriously_ Folks...,Joe Walsh,308.3ø
Sex Master,The Complete BBC Sessions,Squeeze,158.2ø
Bang Bang,The Complete BBC Sessions,Squeeze,120.9ø
Ye Mariners All,Tipplers Tales,Fairport Convention,267.2ø
Three Drunken Maidens,Tipplers Tales,Fairport Convention,161.2ø
The Hair Of The Dogma,Tipplers Tales,Fairport Convention,107.9ø
Reynard The Fox,Tipplers Tales,Fairport Convention,179.4ø
Lady Of Pleasure,Tipplers Tales,Fairport Convention,150.9ø
Bankruptured,Tipplers Tales,Fairport Convention,111.8ø
Love Like Anthrax,A Brief History Of The 20th Century,Gang Of Four,260.9ø
Damaged Goods,Entertainment,Gang Of Four,206.5ø
Who Needs A Heart,Bad Boy,Ringo Starr,229.7ø
Where Did Our Love Go,Bad Boy,Ringo Starr,197.6ø
Monkey See-Monkey Do,Bad Boy,Ringo Starr,217.5ø
Lipstick Traces,Bad Boy,Ringo Starr,183.4ø
Heart On My Sleeve,Bad Boy,Ringo Starr,202.1ø
Hard Times,Bad Boy,Ringo Starr,213.6ø
Bad Boy,Bad Boy,Ringo Starr,196.5ø
A Man Like Me,Bad Boy,Ringo Starr,190.4ø
What Goes Up...,The Very Best Of The Alan Parsons Project,The Alan Parsons Project,186.5ø
One More River,Pyramid,The Alan Parsons Project,256.8ø
Being Boiled,The Greatest Hits,The Human League,219.4ø
The Greeting,The Greeting,McCoy Tyner,535.4ø
One Of Another Kind,Milestone Profiles,McCoy Tyner,427.9ø
Party In The Slum (2000 Digital Remaster),Cool Ruler,Gregory Isaacs,206.3ø
The Fire (Remastered LP Version),Adventure,Television,355.9ø
The Dream's Dream (Remastered LP Version),Adventure,Television,396.8ø
Glory (Remastered LP Version),Adventure,Television,191.5ø
Glory (Early Version) (Previously Unissued),Adventure,Television,217.0ø
Foxhole  (Remastered LP Version),Adventure,Television,288.9ø
Days (Remastered LP Version),Adventure,Television,194.3ø
Carried Away  (Remastered LP Version),Adventure,Television,312.2ø
Careful (Remastered LP Version),Adventure,Television,197.6ø
Ain't That Nothin' (Run-Through) (Hidden Track),Adventure,Television,587.7ø
Ain't That Nothin' (Remastered Single Version),Adventure,Television,232.5ø
Ain't That Nothin' (Remastered LP Version),Adventure,Television,292.8ø
We Give our Love,Don't Let Go,George Duke,273.3ø
The Way I Feel,Don't Let Go,George Duke,285.1ø
Starting Again,Don't Let Go,George Duke,269.1ø
Dukey Stick,The Essential George Duke,George Duke,484.7ø
Sometimes You Win  (LP Version),C'est Chic,Chic,269.0ø
