Spring Is Here,Nina Simone,Nina Simone,265.3ø
The Fat Angel (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,253.8ø
Sunshine Superman (2005 Digital Remaster) (Stereo),Sunshine Superman,Donovan,283.6ø
Sunshine Superman,The Essential Donovan,Donovan,281.1ø
Sidewalk (The Observation) (Demo) (Mono),Mellow Yellow,Donovan,149.1ø
Season Of The Witch (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,298.2ø
Season Of The Witch,Greatest Hits...And More,Donovan,294.3ø
Museum (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,177.7ø
Mellow Yellow (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,223.5ø
House Of Jansch (Demo) (Mono),Sunshine Superman,Donovan,227.4ø
House Of Jansch (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,166.2ø
Celeste (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,251.4ø
Breezes Of Patchulie (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,275.9ø
Bert's Blues (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,240.4ø
The Music That Makes Me Dance,The Global Masters,Johnny Mathis,216.3ø
What's Happening?,Fifth Dimension,The Byrds,155.4ø
2-4-2 Fox Trot (The Lear Jet Song),Fifth Dimension,The Byrds,132.0ø
El Gaucho,Adam's Apple,Wayne Shorter,392.4ø
502 Blues (Drinkin' And Drivin'),Adam's Apple,Wayne Shorter,396.7ø
What Do You Want,Roger The Engineer / Over Under Sideways Down,The Yardbirds,203.3ø
Turn Into Earth,Roger The Engineer / Over Under Sideways Down,The Yardbirds,186.2ø
The Nazz Are Blue,Live At BB King Blues Club,The Yardbirds,252.0ø
Shapes Of Things,The Best,The Yardbirds,159.9ø
Rack My Mind,Live At BB King Blues Club,The Yardbirds,351.2ø
Psycho Daisies,Beckology,The Yardbirds,108.6ø
Over Under Sideways Down,Live At BB King Blues Club,The Yardbirds,188.8ø
Jeff's Boogie,Beckology,The Yardbirds,143.5ø
Happenings Ten Years Time Ago,Beckology,The Yardbirds,175.8ø
Ever Since The World Began,Roger The Engineer / Over Under Sideways Down,The Yardbirds,125.2ø
Writer In The Sun (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,271.2ø
Remember The Alamo,Summer Day Reflection Songs,Donovan,182.7ø
Preachin' Love (2005 Digital Remaster) (Mono),Mellow Yellow,Donovan,160.5ø
Ferris Wheel (2005 Digital Remaster) (Mono),Sunshine Superman,Donovan,254.4ø
Epistle To Dippy (Alternative Arr) (Stereo),Mellow Yellow,Donovan,192.7ø
I Love Paris,The Best Of Lena Horne,Lena Horne,211.8ø
Stand By,Gold,Righteous Brothers,163.6ø
Stagger Lee,The Collection,Righteous Brothers,151.1ø
Something You Got,Gold,Righteous Brothers,147.2ø
Save The Last Dance For Me,For Sentimental Reasons : The Love Songs,Righteous Brothers,161.3ø
Let It Be Me,For Sentimental Reasons : The Love Songs,Righteous Brothers,164.1ø
Island In The Sun,Universal Masters Collection,Righteous Brothers,155.4ø
In The Midnight Hour,Colour Collection,Righteous Brothers,135.2ø
I'm Leaving It Up To You,You've Lost That Lovin' Feelin',Righteous Brothers,136.6ø
I Believe,Universal Masters Collection,Righteous Brothers,211.8ø
Hung On You,For Sentimental Reasons : The Love Songs,Righteous Brothers,199.1ø
He,Universal Masters Collection,Righteous Brothers,180.6ø
Ebb Tide,The Very Best Of The Righteous Brothers - Unchained Melody,Righteous Brothers,168.8ø
Drown In My Own Tears,You've Lost That Lovin' Feelin',Righteous Brothers,259.0ø
You Don't Know Like I Know,The Best of Sam & Dave,Sam & Dave,163.1ø
That's The Way It's Gotta Be,Sweat 'N' Soul: An Anthology [1965-1971],Sam & Dave,160.1ø
Soothe Me,I Thank You,Sam & Dave,157.5ø
Sleep Good Tonight (2006 Remastered LP Version),Double Dynamite,Sam & Dave,162.5ø
Said I Wasn't Gonna Tell Nobody,Best Of Sam & Dave,Sam & Dave,171.2ø
I'm Your Puppet (2006 Remastered LP Version),Double Dynamite,Sam & Dave,185.3ø
I Take What I Want,Spotlight On Sam And Dave,Sam and Dave,151.7ø
I Got Everything I Need,Rhino Hi-Five:  Sam & Dave [Vol. 2],Sam & Dave,174.9ø
Home At Last (2006 Remastered LP Version),Double Dynamite,Sam & Dave,186.0ø
Don't Make It So Hard On Me,Hold On_ I'm Comin',Sam & Dave,171.2ø
Leave My Girl Alone,In Our Image,The Everly Brothers,141.1ø
I'll Never Get Over You,In Our Image,The Everly Brothers,127.5ø
[You Got] The Power Of Love,In Our Image,The Everly Brothers,157.9ø
With a Girl Like You,Am Radio Gold: The Troggs (Remastered),The Troggs,134.6ø
Wild Thing,All The Hits Plus More By The Troggs,The Troggs,162.5ø
From Home,Love Is All Around,The Troggs,137.8ø
Out Of Nowhere,The Classic Years,Coleman Hawkins,199.3ø
Indian Summer,Bean Soup,Coleman Hawkins,193.1ø
What Child Is This,Noel,Joan Baez,149.9ø
Mary's Wandering,Noel,Joan Baez,197.9ø
I Wonder As I Wander,Noel,Joan Baez,234.9ø
Away In A Manger,Noel,Joan Baez,118.2ø
Warm Baby,Playlist: The Very Best Of The Lovin' Spoonful,The Lovin' Spoonful,120.5ø
Voodoo In My Basement,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,147.1ø
Unconscious Minuet,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,124.0ø
There She Is,Daydream,The Lovin' Spoonful,115.1ø
Summer In The City,Fabulous 60s,The Lovin' Spoonful,159.5ø
Speakin' Of Spoken,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,160.7ø
Respoken,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,106.9ø
Rain On The Roof,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,134.9ø
Pow Revisited,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,145.3ø
Pow,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,145.0ø
Phil's Love Theme,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,142.6ø
Nashville Cats,Playlist: The Very Best Of The Lovin' Spoonful,The Lovin' Spoonful,154.1ø
Lookin' To Spy,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,147.8ø
Jug Band Music,Daydream,The Lovin' Spoonful,171.8ø
It's Not Time Now,Daydream,The Lovin' Spoonful,166.5ø
Henry Thomas,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,102.9ø
Gray Prison Blues,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,123.4ø
Full Measure,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,161.2ø
End Title,What's Up Tiger Lily/You're A Big Boy Now,The Lovin' Spoonful,245.3ø
Didn't Want To Have To Do It,Daydream,The Lovin' Spoonful,167.1ø
Daydream,Daydream,The Lovin' Spoonful,198.1ø
Day Blues,Daydream,The Lovin' Spoonful,192.1ø
Darlin' Companion,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,145.9ø
Coconut Grove,Playlist: The Very Best Of The Lovin' Spoonful,The Lovin' Spoonful,161.7ø
Butchie's Tune,Daydream,The Lovin' Spoonful,155.2ø
Big Noise From Speonk,Daydream,The Lovin' Spoonful,136.7ø
Bes' Friends,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,112.8ø
Bald Headed Lena,Daydream,The Lovin' Spoonful,142.0ø
4 Eyes,Hums Of The Lovin' Spoonful,The Lovin' Spoonful,171.4ø
Samba De Orfeu,The Paris Concert,Oscar Peterson,293.8ø
Tell Me To My Face,The Essential Collection,The Hollies,184.1ø
Sweet Little Sixteen (1998 Digital Remaster),Would You Believe?,The Hollies,145.9ø
Oriental Sadness (1998 Digital Remaster),Would You Believe?,The Hollies,160.1ø
I Am A Rock (Mono) (1998 Digital Remaster),Would You Believe?,The Hollies,172.5ø
Don't You Even Care (What's Gonna Happen To Me?) (1998 Digital Remaster),Would You Believe?,The Hollies,149.8ø
Shot Down,Greenberg Original Motion Picture Soundtrack,The Sonics,133.2ø
Louie Louie,The Sonics Meet Charlie & The Tunas,The Sonics_ Charlie & The Tunas,182.2ø
Hitch Hike,Busy Body!!! Live In Tacoma 1964,The Sonics,161.7ø
