Macchine E Dollari,Ora E Per Sempre,Timoria,233.2ø
Revolution Baby,Baby I Don't Care - The Collection,Transvision Vamp,360.8ø
I Want Your Love,Girls And Guitars,Transvision Vamp,211.4ø
Sorgenfri,Blodig Alvor Na Na Na Na Na,Dumdum Boys,258.4ø
Sherwoodskogen,Blodig Alvor Na Na Na Na Na,Dumdum Boys,207.5ø
Papirsang,Blodig Alvor Na Na Na Na Na,Dumdum Boys,192.1ø
Idyll,Blodig Alvor Na Na Na Na Na,Dumdum Boys,216.5ø
Fant Frimann,Blodig Alvor Na Na Na Na Na,Dumdum Boys,192.9ø
En vill en,Blodig Alvor Na Na Na Na Na,Dumdum Boys,241.0ø
Arme Riddere,Blodig Alvor Na Na Na Na Na,Dumdum Boys,156.3ø
Who The Cap Fits (LP Version),Unity,Shinehead,241.0ø
Unity (LP Version),Unity,Shinehead,257.9ø
The Truth (LP Version),Unity,Shinehead,256.9ø
Raggamuffin (LP Version),Unity,Shinehead,237.6ø
Know How Fe Chat (LP Version),Unity,Shinehead,288.6ø
Hello Ya'll (LP Version),Unity,Shinehead,275.3ø
Golden Touch (LP Version),Unity,Shinehead,242.7ø
Gimme No Crack (LP Version),Unity,Shinehead,307.6ø
Do It With Ease (LP Version),Unity,Shinehead,245.8ø
Chain Gang Rap (LP Version),Unity,Shinehead,250.9ø
You're The Reason,Superstars Of The Sixties,Johnny Tillotson,146.4ø
Why Do I Love You So,The Very Best Of Johnny Tillotson,Johnny Tillotson,125.5ø
Talk Back Trembling Lips,His Very Best,Johnny Tillotson,156.6ø
Send Me The Pillow That You Dream On,The Very Best Of Johnny Tillotson,Johnny Tillotson,174.8ø
Dreamy Eyes,Johnny Tillotsons' Best,Johnny Tillotson,141.5ø
Roskaa,Laukauksia viulukotelossa,Miljoonasade,173.3ø
Ostarin helmi,Laukauksia viulukotelossa,Miljoonasade,229.7ø
Olkinainen,Veitsen valossa,Miljoonasade,278.0ø
Kaupunki,Kasvukipuja 20 vuotta,Miljoonasade,192.2ø
Annaliisa,20 Suosikkia / Tulkoon rakkaus,Miljoonasade,181.5ø
What Do You Want Me To Do?,Blind,The Icicle Works,192.8ø
Walk A While With Me,Blind,The Icicle Works,261.1ø
Two Two Three,Blind,The Icicle Works,143.7ø
The Kiss Off,Blind,The Icicle Works,264.3ø
Stood Before Saint Peter,Blind,The Icicle Works,326.4ø
Starry Blue Eyed Wonder,Blind,The Icicle Works,252.6ø
Shit Creek,Blind,The Icicle Works,241.4ø
One True Love,Blind,The Icicle Works,111.3ø
Little Girl Lost,Blind,The Icicle Works,285.4ø
Intro,Blind,The Icicle Works,30.6ø
High Time,Blind,The Icicle Works,214.5ø
Here Comes Trouble,Blind,The Icicle Works,244.2ø
White On White,Collection,Danny Williams,138.2ø
Look Around,The Best Of Danny Williams,Danny Williams,179.6ø
Last Chance,The Best Of Danny Williams,Danny Williams,177.7ø
Jeannie,The Best Of Danny Williams,Danny Williams,165.2ø
I'd Rather Stay In Bed,The Best Of Danny Williams,Danny Williams,200.1ø
I,The Best Of Danny Williams,Danny Williams,229.9ø
All For You,The Best Of Danny Williams,Danny Williams,195.5ø
Siesta De Alcohol,The Platinum Collection: Los Ronaldos,Los Ronaldos,224.8ø
Saca La Lengua Para Bailar,Saca La Lengua,Los Ronaldos,277.7ø
Que Vamos A Hacer,Saca La Lengua,Los Ronaldos,211.3ø
Por las noches,La bola extra,Los Ronaldos,266.1ø
No Me Digas La Verdad,The Platinum Collection: Los Ronaldos,Los Ronaldos,178.7ø
Lagarto,Saca La Lengua,Los Ronaldos,195.2ø
Guardalo,La bola extra,Los Ronaldos,253.2ø
El guru,La bola extra,Los Ronaldos,247.2ø
Adios papa,La bola extra,Los Ronaldos,288.2ø
Wer Liebt Hat Keine Wahl,Gold-Edition,Christian Anders,330.1ø
Tu's Nicht Jenny,Seine Grossen Erfolge,Christian Anders,252.8ø
Denn Ich Liebe Dich So Sehr,Seine Grossen Erfolge,Christian Anders,234.1ø
Who's Fooling Who,Payday,Working Week,304.5ø
Storm Of Light,Payday,Working Week,396.4ø
Friend (Touche Pas A Mon Pote),Payday,Working Week,281.2ø
Winter Wonderland,Now The Truth Can Be Told,STEVE TAYLOR,121.3ø
Under The Blood,Now The Truth Can Be Told,STEVE TAYLOR,219.7ø
Meltdown (At Madame Tussaud's),Meltdown,STEVE TAYLOR,385.4ø
Bouquet,Now The Truth Can Be Told,STEVE TAYLOR,230.9ø
Rudolph The Red Nosed Reindeer,Heartbeat Christmas,The Cadillacs,137.2ø
Shimmer,The Indie Vigils,The Flatmates,217.4ø
The Picture,Loving Proof,Ricky Van Shelton,176.4ø
Somebody's Back In Town,Loving Proof,Ricky Van Shelton,153.7ø
Living Proof,Ricky Van Shelton - 16 Biggest Hits,Ricky Van Shelton,201.4ø
Let Me Live With Love (And Die With You),Loving Proof,Ricky Van Shelton,177.5ø
I'll Leave This World Loving You,Loving Proof,Ricky Van Shelton,186.6ø
He's Got You,Loving Proof,Ricky Van Shelton,196.1ø
From A Jack To A King,Greatest Hits Plus,Ricky Van Shelton,141.5ø
Don't Send Me No Angels,Loving Proof,Ricky Van Shelton,181.7ø
Spoiled,I Only Have Eyes For You / Shame On The World,The Main Ingredient,232.8ø
The Man I Love,The Complete Gershwin Songbooks,Betty Carter,458.8ø
View Of The Weird,Fear And Desire,Siglo Xx,303.8ø
The Pain Came,Fear And Desire,Siglo Xx,432.1ø
Sorrow And Pain,Fear And Desire,Siglo Xx,298.7ø
Silent Crowd,Fear And Desire,Siglo Xx,327.3ø
On The Third Day,Fear And Desire,Siglo Xx,205.7ø
My Sister Called Silence,Fear And Desire,Siglo Xx,188.0ø
Lost In Violence,Fear And Desire,Siglo Xx,167.8ø
Fear And Desire,Fear And Desire,Siglo Xx,215.3ø
Everything Is On Fire,Fear And Desire,Siglo Xx,357.7ø
35 Poems,Fear And Desire,Siglo Xx,235.1ø
Dindi,Pure Bossa Nova,Sylvia Telles,161.8ø
We're The Band (LP Version),In Full Gear,Stetsasonic,164.9ø
This Is It_ Y'All (Go Stetsa II) (LP Version),In Full Gear,Stetsasonic,316.6ø
The Odad (LP Version),In Full Gear,Stetsasonic,200.1ø
Talkin' All That Jazz (Dominoes Vocal Remix By Daddy-O),In Full Gear,Stetsasonic,229.9ø
Talkin' All That Jazz (Dominoes Instrumental Remix By Daddy-O),In Full Gear,Stetsasonic,270.9ø
Talkin' All That Jazz (Dim's Radio Edit.  Remixed By Dimitri From Paris),In Full Gear,Stetsasonic,264.7ø
Talkin' All That Jazz (Album Version),In Full Gear,Stetsasonic,288.1ø
Stet Troop '88! (LP Version),In Full Gear,Stetsasonic,290.3ø
Showtime (Explicit LP Version),In Full Gear,Stetsasonic,310.0ø
Sally (LP Version),In Full Gear,Stetsasonic,273.1ø
Rollin' Wit Rush (LP Version),In Full Gear,Stetsasonic,98.4ø
Pen And Paper (LP Version),In Full Gear,Stetsasonic,235.0ø
Music For The Stetfully Insane (LP Version),In Full Gear,Stetsasonic,109.0ø
Miami Bass (LP Version),In Full Gear,Stetsasonic,281.2ø
It's In My Song (LP Version),In Full Gear,Stetsasonic,258.2ø
In Full Gear (LP Version),In Full Gear,Stetsasonic,211.7ø
Freedom Or Death (LP Version),In Full Gear,Stetsasonic,100.6ø
Float On (Featuring Force M.D.'s) (LP Version),In Full Gear,Stetsasonic (Featuring Force M.D.'s),447.4ø
DBC Let The Music Play (LP Version),In Full Gear,Stetsasonic,257.6ø
Rockfort Rock,Studio One Classics,Sound Dimension,145.8ø
Real Rock,Studio One Rockers,Sound Dimension,151.1ø
Heavy Rock,Studio One Scorcher,Sound Dimension,176.1ø
Baby Face,Sound Dimension Jamaica Soul Shake Volume One,Sound Dimension,175.3ø
Engel 07,Rosemarie,Hubert Kah,245.3ø
Vacate My Space,This Is Our Art,The Soup Dragons,219.9ø
Turning Stone,This Is Our Art,The Soup Dragons,168.0ø
The Majestic Head?,This Is Our Art,The Soup Dragons,214.9ø
Passion Protein,This Is Our Art,The Soup Dragons,322.7ø
On Overhead Walkways,This Is Our Art,The Soup Dragons,145.6ø
Kingdom Chairs,This Is Our Art,The Soup Dragons,320.4ø
King Of The Castle,This Is Our Art,The Soup Dragons,166.8ø
Great Empty Space,This Is Our Art,The Soup Dragons,181.0ø
Family Ways,This Is Our Art,The Soup Dragons,278.2ø
Another Dreamticket,This Is Our Art,The Soup Dragons,177.7ø
151,151,Armando,430.5ø
No Lies,Greatest Hits,Noiseworks,233.3ø
Say It's Not Too Late,The Best Of Matt Bianco,Matt Bianco,298.8ø
Nervous,The Best Of Matt Bianco,Matt Bianco,270.8ø
Good Times,The Best Of Matt Bianco,Matt Bianco,255.7ø
Don't Blame It On That Girl,The Best Of Matt Bianco,Matt Bianco,228.6ø
Some Velvet Morning,The One That Got Away,Thin White Rope,301.4ø
It's Ok,In The Spanish Cave,Thin White Rope,319.1ø
One For Jah,Roots & Culture,Macka B,249.4ø
Apartheid,We've Had Enough!,Macka B,104.5ø
Detour,The Very Best Of,Patti Page,158.3ø
Smoke Some Kill,Best Of Schoolly D,Schoolly D,208.9ø
Fat Gold Chain,Best Of Schoolly D,Schoolly D,182.9ø
Coqui 900,Best Of Schoolly D,Schoolly D,220.3ø
Dead Eyes Opened,Bulkhead Plus (Singles 1983-2004),Severed Heads,390.1ø
Your Master is calling,Meta,Pink Turns Blue,463.6ø
Touch the Skies,Meta,Pink Turns Blue,209.9ø
The First,Meta,Pink Turns Blue,351.3ø
The Curse,Meta,Pink Turns Blue,307.7ø
The Church of Choice,Meta,Pink Turns Blue,283.4ø
Marcella,Meta,Pink Turns Blue,276.7ø
Darkness,Meta,Pink Turns Blue,333.6ø
Cult of the Beautiful,Meta,Pink Turns Blue,321.6ø
Celebration's Day,Meta,Pink Turns Blue,293.3ø
Who You Gonna Blame It On This Time,Chiseled In Stone,Vern Gosdin,169.7ø
Tight As Twin Fiddles,Chiseled In Stone,Vern Gosdin,122.3ø
There Ain't Nothing Wrong (Just Ain't   Nothing Right),Chiseled In Stone,Vern Gosdin,269.7ø
Nobody Calls From Vegas Just To Say Hello,Chiseled In Stone,Vern Gosdin,146.9ø
It's Not Over_ Yet,Chiseled In Stone,Vern Gosdin,236.4ø
Is It Raining At Your House,Super Hits,Vern Gosdin,180.7ø
I Guess I Had Your Leavin' Coming,Chiseled In Stone,Vern Gosdin,195.2ø
Do You Believe Me Now,Chiseled In Stone,Vern Gosdin,215.4ø
Chiseled In Stone,Chiseled In Stone,Vern Gosdin,230.0ø
The Reaper,Aqaba,June Tabor,105.1ø
The Old Man's Song - Don Quixote,Aqaba,June Tabor,235.0ø
The King of Rome,Aqaba,June Tabor,230.3ø
The Grazier's Daughter,Aqaba,June Tabor,274.3ø
Mayn Rue Platz,Aqaba,June Tabor,171.9ø
Bogies Bonnie Belle,Aqaba,June Tabor,200.9ø
Trash City,The Future Is Unwritten,Joe Strummer & The Latino Rockabilly War,251.6ø
Nothin' 'Bout Nothin',Permanent Record / Music From The Motion Picture Soundtrack,Joe Strummer;The Latino Rockabilly War,151.1ø
Nefertiti Rock,Permanent Record / Music From The Motion Picture Soundtrack,Joe Strummer;The Latino Rockabilly War,131.7ø
Baby The Trans,Permanent Record / Music From The Motion Picture Soundtrack,Joe Strummer;The Latino Rockabilly War,139.7ø
Within (Choir Of The Ascensing Spirit),Encounter,Michael Stearns,233.9ø
The Beacon (Those Who Have Gone Before),Encounter,Michael Stearns,421.1ø
Star Dreams (Peace Eternal),Encounter,Michael Stearns,246.4ø
Procession (Sacred Ceremony),Encounter,Michael Stearns,535.5ø
On The Way (Space Caravan),Encounter,Michael Stearns,228.2ø
Encounter (Awaiting The Other),Encounter,Michael Stearns,209.3ø
Distant Thunder / (Solitary Witness),Encounter,Michael Stearns,340.0ø
Dimensional Shift (Across The Threshold),Encounter,Michael Stearns,329.6ø
Craft (Dimensional Release),Encounter,Michael Stearns,389.9ø
Alien Shore (Starlight Bay),Encounter,Michael Stearns,226.3ø
Fast Lanes and Country Roads,The Best Of,Barbara Mandrell,216.5ø
In dieser Stadt,Live in der Hamburger Musikhalle (28.Januar 1986),Hildegard Knef,217.5ø
Size Of A Quarter,Something Vicious For Tomorrow,Treepeople,209.4ø
Come Get Me,Air Balloon Road,14 Iced Bears,138.1ø
Small Axe,The Best Of,The Christians,313.9ø
Trust Me,The Best Of Voice Of The Beehive,Voice Of The Beehive,200.0ø
This Weak,Let It Bee,Voice Of The Beehive,197.0ø
There's a Barbarian in the Back of My Car,Let It Bee,Voice Of The Beehive,169.8ø
Sorrow Floats,The Best Of Voice Of The Beehive,Voice Of The Beehive,259.3ø
Oh Love,Let It Bee,Voice Of The Beehive,180.7ø
Man In The Moon,The Best Of Voice Of The Beehive,Voice Of The Beehive,193.4ø
Just a City,Let It Bee,Voice Of The Beehive,265.0ø
Jesus,Let It Bee,Voice Of The Beehive,205.1ø
I Walk The Earth,The Best Of Voice Of The Beehive,Voice Of The Beehive,222.6ø
Don't Call Me Baby,The Best Of Voice Of The Beehive,Voice Of The Beehive,187.4ø
Beat Of Love,The Best Of Voice Of The Beehive,Voice Of The Beehive,245.7ø
No Eres Nadie,Sangre Azul - Grandes Exitos,Sangre Azul,271.7ø
Nacido Para Ganar,The Platinum Collection,Sangre Azul,229.7ø
Mil Y Una Noches,Sangre Azul - Grandes Exitos,Sangre Azul,237.9ø
Cuerpo A Cuerpo,The Platinum Collection,Sangre Azul,241.9ø
Are You Ready?,The Best Year Of My Life: 1970,Pacific Gas & Electric,346.6ø
Grader Spader,Bailter Space,Bailter Space,222.0ø
Greensleeves,A Mantovani Christmas,Mantovani And His Orchestra,185.8ø
Where Will The Dimple Be?,Little Things Mean A Lot,Alma Cogan,142.9ø
Twenty Tiny Fingers,Little Things Mean A Lot,Alma Cogan,156.6ø
I'm On Fire,Made In Jamtland,220 Volt,319.7ø
Please Rain Fall,Stardust,The Sea Urchins,213.6ø
Shine,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,214.6ø
Inside Out,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,202.8ø
In Everything You Do,Rollercoaster - The Best Of 1986-1989,The Mighty Lemon Drops,309.0ø
Sweet Return,Beyond the Horizon,Hilary Stagg,206.7ø
Sunlight in the Rain,Beyond the Horizon,Hilary Stagg,368.2ø
Simply Beautiful,Beyond the Horizon,Hilary Stagg,255.9ø
Pachelbel Canon in D - A variation in C,Beyond the Horizon,Hilary Stagg,170.4ø
Forever and a Day,Beyond the Horizon,Hilary Stagg,187.1ø
Easy to Be,Beyond the Horizon,Hilary Stagg,229.6ø
Changing the Way,Beyond the Horizon,Hilary Stagg,508.5ø
Beyond the Horizon,Beyond the Horizon,Hilary Stagg,211.4ø
Les Fourmis Rouges,La Nouvelle Vie,Michel Jonasz,194.9ø
Piano In The Dark,Greatest Hits,Brenda Russell,320.5ø
Gravity,Get Here,Brenda Russell,210.4ø
Backstrokin',21 Karat Fatback : Best Of,THE FATBACK BAND,224.7ø
Struggle Town,Big Bad Noise,Choirboys,230.7ø
Struck By Lightning,Big Bad Noise,Choirboys,215.6ø
Run To Paradise,Big Bad Noise,Choirboys,251.6ø
One Hot Day,Big Bad Noise,Choirboys,208.7ø
Like Fire,Big Bad Noise,Choirboys,245.8ø
Last Night Of My Life,Big Bad Noise,Choirboys,229.1ø
James Dale,Big Bad Noise,Choirboys,280.7ø
Guilty,Big Bad Noise,Choirboys,210.7ø
Gasoline,Big Bad Noise,Choirboys,237.0ø
Boys Will Be Boys,Big Bad Noise,Choirboys,208.5ø
"Ya Know"" - I'm Pretty Shot (2003 Digital Remaster)",All Systems Go,Vinnie Vincent Invasion,246.8ø
The Meltdown (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,121.0ø
That Time Of Year (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,283.4ø
Naughty Naughty (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,211.7ø
Love Kills (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,277.7ø
Let Freedom Rock/Star Spangled Banner/ (Medley) (Intro) (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,330.3ø
Heavy Pettin' (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,250.8ø
Ecstasy (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,278.1ø
Dirty Rhythm (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,218.8ø
Deeper And Deeper (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,235.4ø
Burn (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,278.2ø
Breakout (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,241.2ø
Ashes To Ashes (2003 Digital Remaster),All Systems Go,Vinnie Vincent Invasion,303.1ø
Sugar Train,The Essential,Daryl Braithwaite,223.2ø
One Summer,The Essential,Daryl Braithwaite,223.8ø
Let Me Be,The Essential,Daryl Braithwaite,336.5ø
As The Days Go By,The Essential,Daryl Braithwaite,306.1ø
All I Do,The Essential,Daryl Braithwaite,245.8ø
Plus D'Un Milliard De Filles,Bopper En Larmes,Laurent Voulzy,79.4ø
Down To My Last Broken Heart,Janie Fricke,Janie Fricke,148.3ø
Venus In Blue Jeans,White Boys Can't Jump But They Can Sing The Hell Out Of Rock & Roll And Soul,Jimmy Clanton,145.1ø
What Am I Doin' Hangin' Round? (LP Version),River Of Time,Michael Martin Murphey,197.0ø
The Running Blood (LP Version),River Of Time,Michael Martin Murphey,271.5ø
Still Got The Fire (LP Version),River Of Time,Michael Martin Murphey,237.9ø
River Of Time (LP Version),River Of Time,Michael Martin Murphey,294.7ø
Pilgrims On The Way (Matthew's Song) (LP Version),River Of Time,Michael Martin Murphey,247.0ø
From The Word Go (LP Version),River Of Time,Michael Martin Murphey,195.6ø
Children of the Wild World (LP Version),River Of Time,Michael Martin Murphey,291.0ø
Sincerely,Cuddle Up A Little Closer,McGuire Sisters,177.1ø
Halloween Spooks,The Hottest New Group In Jazz,Lambert_ Hendricks & Ross,139.0ø
Fear,Cosmopolis,Laika & The Cosmonauts,159.3ø
Smokey Places,Soulful Sounds of the 60's,Corsairs,178.2ø
Naked Truth,The Final Ascension,Every New Dead Ghost,165.0ø
Miranda,The Final Ascension,Every New Dead Ghost,186.5ø
This Is How The Work Gets Done,West Coast Diaries Vol.1-cass.,Charlie Peacock,229.4ø
The Way of Love,Charlie Peacock Acoustic Trio Live in the Neatherlands,Charlie Peacock,251.4ø
The Last Hurrah,West Coast Diaries Vol.1-cass.,Charlie Peacock,221.5ø
Tears Falling Down,West Coast Diaries Vol.1-cass.,Charlie Peacock,180.1ø
Only Love Will Hold Fast,West Coast Diaries Vol.1-cass.,Charlie Peacock,295.3ø
Nobody's Gonna Bring Me Down,Charlie Peacock Acoustic Trio Live in the Neatherlands,Charlie Peacock,284.4ø
No Place Closer To Heaven,In The Light - The Very Best Of...,Charlie Peacock,178.5ø
My Mind Played a Trick on Me,Charlie Peacock Acoustic Trio Live in the Neatherlands,Charlie Peacock,284.6ø
I Will Listen,West Coast Diaries Vol.1-cass.,Charlie Peacock,183.3ø
Hot Night Downtown,West Coast Diaries Vol.1-cass.,Charlie Peacock,202.3ø
Hiring A Worker,West Coast Diaries Vol.1-cass.,Charlie Peacock,229.2ø
Don't Have The Power,West Coast Diaries Vol.2-cass.,Charlie Peacock,208.2ø
Big Man's Hat,Charlie Peacock Acoustic Trio Live in the Neatherlands,Charlie Peacock,315.1ø
Satan's Choir,A Change of Scenery,The Seldom Scene,234.8ø
I'll Be No Stranger There,A Change of Scenery,The Seldom Scene,132.5ø
Ya No Me Peino Pa'ti (Tientos),Cantaora,Carmen Linares,304.1ø
Santa Ana Repica (Seguiriyas),Cantaora,Carmen Linares,391.2ø
La Gabriela (Tientos),Cantaora,Carmen Linares,270.7ø
Cintas De Color Grana (Tangos),Cantaora,Carmen Linares,299.0ø
Bordando Un Capote (Bulerias),Cantaora,Carmen Linares,227.2ø
Tutti Lo Sanno,Lazy Ways/Beach Party,Marine Girls,142.3ø
Tonight?,Lazy Ways/Beach Party,Marine Girls,79.5ø
Times We Used To Spend,Lazy Ways/Beach Party,Marine Girls,104.4ø
Silent Red,Lazy Ways/Beach Party,Marine Girls,93.4ø
Promises,Lazy Ways/Beach Party,Marine Girls,90.0ø
Marine Girls,Lazy Ways/Beach Party,Marine Girls,91.2ø
In Love,Lazy Ways/Beach Party,Marine Girls,116.8ø
Honey,Lazy Ways/Beach Party,Marine Girls,120.9ø
Holiday Song,Lazy Ways/Beach Party,Marine Girls,134.3ø
He Got The Girl,Lazy Ways/Beach Party,Marine Girls,84.8ø
Fridays,Lazy Ways/Beach Party,Marine Girls,123.4ø
Flying Over Russia,Lazy Ways/Beach Party,Marine Girls,124.7ø
Dishonesty,Lazy Ways/Beach Party,Marine Girls,135.4ø
Day/Night Dreams,Lazy Ways/Beach Party,Marine Girls,70.3ø
All Dressed Up,Lazy Ways/Beach Party,Marine Girls,106.1ø
It's Beginning To Look Like Christmas,K. Smith X-Mas Album,Kate Smith,118.2ø
God Bless America,God Bless America:  A Star-Spangled Spectacular,Kate Smith with Mixed Chorus and Orchestra,166.3ø
