Don't Fall In Love With A Dreamer,Duets,Kenny Rogers & Kim Carnes,220.3ø
Lev Som Du Lar,Mean,Filthy Christians,130.0ø
Just Another Metal Band,Mean,Filthy Christians,71.5ø
If Youre Hardcore Im Not,Mean,Filthy Christians,150.1ø
Herring Attack,Mean,Filthy Christians,127.3ø
Go Your Own Way,Mean,Filthy Christians,117.0ø
Extremely Bad Breath,Mean,Filthy Christians,171.8ø
Drunk Driver,Mean,Filthy Christians,105.3ø
Dom Ljuger,Mean,Filthy Christians,52.6ø
Burn (Let Those Bastards),Mean,Filthy Christians,147.4ø
A Case Fot Teddy,Mean,Filthy Christians,72.7ø
Nosey Joe,The Very Best Of,Bull Moose Jackson,160.2ø
Bass On Top,Blues Masters Vol. 18 (Meade Lux Lewis),Meade Lux Lewis,223.5ø
She's Wild,Kill The King,God Bullies,247.4ø
Swinging On A Star,Christmas With The Stars,Big Dee Irwin,156.0ø
Kulkuri,(MM) 36 Kuuta & Saturnuksen renkaat,Ressu Redford,236.6ø
Kuka on se oikea,20 Suosikkia / Kuka on se oikea,Ressu Redford,201.1ø
Avain,20 Suosikkia / Kuka on se oikea,Ressu Redford,212.3ø
Life Is But A Dream,Ultimate Doo Wop,The Harptones,164.7ø
A Sunday Kind Of Love,75 Chartbreaker Hits (MP3 Compilation),The Harptones,176.2ø
Le chant du monde,ProgLive Corbigny 1997,Minimum Vital,361.7ø
Thunder Chord,In Beauty I Walk: The Best of Coyote Oldman,Coyote Oldman,332.1ø
For Once In My Life,Gold,Four Tops,167.7ø
Captain Of Your Ship,Ultimate 60s,Reparata And The Delrons,149.2ø
Til Stjernerne,1990,Love Shop,251.4ø
Radio Kalundborg,1990,Love Shop,182.6ø
I Den Ny By,1990,Love Shop,199.1ø
En Nat Bliver Det Sommer,1990,Love Shop,308.2ø
Alt Jeg Ser er Hendes Ryg,1990,Love Shop,131.8ø
TALK DIRTY TO ME,A Slice Of Heaven,Skagarack,201.7ø
ROCK THIS CITY,A Slice Of Heaven,Skagarack,296.8ø
OPEN YOUR EYES,A Slice Of Heaven,Skagarack,294.7ø
MY WAY TO THE HIGHWAY,A Slice Of Heaven,Skagarack,196.9ø
LIKE A PRISONER,A Slice Of Heaven,Skagarack,210.4ø
BELIEVE ME,A Slice Of Heaven,Skagarack,334.0ø
ANYTIME_ ANYWHERE,A Slice Of Heaven,Skagarack,234.4ø
ANSWER TO YOUR PRAYER,A Slice Of Heaven,Skagarack,286.7ø
ANGEL EYES,A Slice Of Heaven,Skagarack,296.6ø
A SLICE OF HEAVEN,A Slice Of Heaven,Skagarack,256.4ø
Blind Love,Out And About With...,The Gone Jackals,191.1ø
Don't Take Everybody To Be Your Friend,Good Morning Mr. Walker,Joseph Spence,181.1ø
The Twist,Be Bop A Lula,Hank Ballard & The Midnighters,155.6ø
Lock It,Decadence: 10 Years of Nettwerk 1991-1993,Falling Joys,342.6ø
The Lord Knows I'm Drinking,The Lord Knows I'm Drinking,Cal Smith,212.2ø
