Aria,Chloe',Fausto Papetti,168.2ø
Traces,Best Of,The Classics IV,167.6ø
Sunny,Best Of,The Classics IV,164.9ø
Stormy,The magnificent,Dennis Yost,177.7ø
Soul Train,Best Of,The Classics IV,165.0ø
Something I'll Remember,Best Of,The Classics IV,154.1ø
24 Hours Of Loneliness,Best Of,The Classics IV,127.7ø
It's Better To Have (And Don't Need),True Soul 3 CD Set,Don Covay,187.0ø
Save Me,Sweet Summer Soul,The Silver Convention,268.9ø
Poontang,Smiling Faces: The Best Of,The Undisputed Truth,217.8ø
Higher Than High,Smiling Faces: The Best Of,The Undisputed Truth,197.3ø
Help Yourself,Essential Collection - The Undisputed Truth,The Undisputed Truth,199.4ø
Boogie Bump Boogie,Essential Collection - The Undisputed Truth,The Undisputed Truth,309.5ø
The Grind,Live At Ebbets Field: May 13_ 1976 [Original Recording Remastered],Tommy Bolin,201.5ø
Savannah Woman,Snapshot,Tommy Bolin,228.6ø
Lotus,Live At Ebbets Field: May 13_ 1976 [Original Recording Remastered],Tommy Bolin,426.8ø
Homeward Strut,First Time Live: Set Two [Original Recording Remastered],Tommy Bolin,470.5ø
Dreamer,Whips and Roses 1,Tommy Bolin,323.0ø
Steh auf_ zieh mich Dir nach,Das Hohelied Salomos,Popol Vuh,284.7ø
Du Sohn Davids I,Das Hohelied Salomos,Popol Vuh,179.3ø
Der Winter ist vorbei,Das Hohelied Salomos,Popol Vuh,222.6ø
Forever In Love,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,245.7ø
Bring It On Up,The Best Of Love Unlimited Orchestra,The Love Unlimited Orchestra,262.4ø
Yum Yum (Gimme Some),Yum Yum,THE FATBACK BAND,197.6ø
When You Wanna Boogie,Yum Yum,THE FATBACK BAND,284.7ø
Trompin',Yum Yum,THE FATBACK BAND,235.3ø
Spanish Hustle,21 Karat Fatback : Best Of,THE FATBACK BAND,206.2ø
Put Your Love (In My Tender Care),Raising Hell,THE FATBACK BAND,232.4ø
Put The Funk On You,Yum Yum,THE FATBACK BAND,190.2ø
Party Time,Raising Hell,THE FATBACK BAND,398.4ø
Let The Drums Speak,Yum Yum,THE FATBACK BAND,223.8ø
If You Could Turn Into Me,Yum Yum,THE FATBACK BAND,249.7ø
I Can't Help Myself,Raising Hell,THE FATBACK BAND,315.8ø
Groovy Kind Of Day,Raising Hell,THE FATBACK BAND,306.6ø
Got To Learn How To Dance,Yum Yum,THE FATBACK BAND,223.7ø
Feed Me Your Love,Yum Yum,THE FATBACK BAND,228.4ø
All Day,Raising Hell,THE FATBACK BAND,269.7ø
(Hey) I Feel Real Good,Yum Yum,THE FATBACK BAND,362.5ø
(Are You Ready) Do The Bus Stop,21 Karat Fatback : Best Of,THE FATBACK BAND,194.4ø
Roll Your Own (LP Version),Tales From The Ozone,Commander Cody And His Lost Planet Airmen,202.0ø
I Been To Georgia On A Fast Train (LP Version),Tales From The Ozone,Commander Cody And His Lost Planet Airmen,167.4ø
Four Or Five Times,Live In The Ozone - 1973 U.S. Tour,Commander Cody & His Lost Planet Airmen,205.3ø
Cajun Baby (LP Version),Tales From The Ozone,Commander Cody And His Lost Planet Airmen,161.9ø
Stage Whispers,Futurama,Be Bop Deluxe,184.5ø
Sound Track,Futurama,Be Bop Deluxe,375.1ø
Sister Seagull,Futurama,Be Bop Deluxe,216.0ø
Music In Dreamland,Air Age Anthology,Be Bop Deluxe,285.2ø
Love With The Madman,Futurama,Be Bop Deluxe,190.9ø
Jean Cocteau,Air Age Anthology,Be Bop Deluxe,169.6ø
Between The Worlds,Raiding The Divine Archive: The Best Of Be Bop Deluxe,Be Bop Deluxe,205.3ø
Poor Butterfly,Oscar's Boogie,Oscar Peterson,168.1ø
Wildfire,Heartland Cowboy - Cowboy Songs Vol. 5,Michael Martin Murphey,301.7ø
Secret Mountain Hideout,Blue Sky-Night Thunder,Michael Murphey,241.2ø
Rings Of Life,Blue Sky-Night Thunder,Michael Murphey,201.3ø
Medicine Man,Buckaroo Blue Grass II - Riding Song,Michael Martin Murphey,235.0ø
Desert Rat,Buckaroo Blue Grass II - Riding Song,Michael Martin Murphey,221.2ø
Carolina In The Pines,The Best Of Michael Martin Murphey,Michael Martin Murphey,250.6ø
Blue Sky Riding Song,Buckaroo Blue Grass II - Riding Song,Michael Martin Murphey,282.4ø
Take A Letter Maria,Live On Stage,New Riders of The Purple Sage,315.8ø
Mighty Time,Oh_ What A Mighty Time,New Riders of The Purple Sage,311.2ø
Farewell Angelina,Oh_ What A Mighty Time,New Riders of The Purple Sage,162.2ø
Voces Doy Al Viento,Se Hace Camino Al Andar,Enrique Morente,288.0ø
Trabajar Y Madrugar,Se Hace Camino Al Andar,Enrique Morente,189.0ø
Sale El Sol,Se Hace Camino Al Andar,Enrique Morente,220.2ø
Granada_ Calle De Elvira,Se Hace Camino Al Andar,Enrique Morente,196.1ø
A La Hora De La Muerte,Se Hace Camino Al Andar,Enrique Morente,296.4ø
Heavy Heavy Load (Extended Mix),I Admire You In Dub,Larry Marshall,274.6ø
Can't You Understand,Black & White Vol. 2: Reggae Classics,Larry Marshall & Carlton Patterson,172.8ø
Take Me (Make Me Lose Control),Satin And Smoke,Carol Douglas,219.2ø
I Fell In Love With Love,Doctor's Orders,Carol Douglas,172.6ø
Doctor's Orders,Dancing Queen,Carol Douglas,184.1ø
Baby Don't Let This Good Love Die,Doctor's Orders,Carol Douglas,167.2ø
All Night Long,Doctor's Orders,Carol Douglas,181.0ø
A Hurricane Is Coming Tonight,Disco Diva Vol. 1,Carol Douglas,241.8ø
A Friend In Need,Doctor's Orders,Carol Douglas,147.4ø
Gypsy Fiddle (LP Version),Tales From The Ozone,Commander Cody And His Lost Planet Airmen,181.9ø
Connie (LP Version),Tales From The Ozone,Commander Cody And His Lost Planet Airmen,172.9ø
We Gettin' Down,The Masters Series: Funk Vol 1,Weldon Irvine,347.1ø
Trial Trip,Live In Lachendorf,Birth Control,564.0ø
This SOng Is Just For You,Plastic People,Birth Control,445.4ø
Plastic People,Plastic People,Birth Control,563.0ø
My Mind,Plastic People,Birth Control,406.4ø
Las Obreras,20 Grandes Exitos (Album),Quilapayun,193.0ø
Fallin' in love,The Greatest Valentine's Day Love Songs of the 70's & 80's,Hamilton_ Joe Frank & Reynolds,189.3ø
This Hotel Room,Live Wire,Steve Goodman,259.7ø
Mama Don't Allow It,Jessie's Jig and Other Favorites,Steve Goodman,275.5ø
Lookin' For Trouble,Jessie's Jig and Other Favorites,Steve Goodman,278.9ø
It's a Sin To Tell a Lie,Jessie's Jig and Other Favorites,Steve Goodman,128.1ø
I Can't Sleep,The Easter Tapes,Steve Goodman,272.0ø
Gonna Love You More,Feelings - Greatest Hits,Morris Albert,232.6ø
Christine,Feelings,Morris Albert,165.0ø
Fly Away,On The Corner,Ronnie Foster,374.9ø
Cheshire Cat,On The Corner,Ronnie Foster,488.5ø
Ego Is Not A Dirty Word,The Collection,Skyhooks,179.9ø
All My Friends Are Getting Married,The Collection,Skyhooks,288.2ø
Mi Debilidad,A Band And Their Music,Ismael Quintana,338.2ø
Why Do You Hurt Me (LP Version),That Is Why You're Overweight,Eddie Harris,259.1ø
That's It  (LP Version),I Need Some Money,Eddie Harris,334.4ø
Live Again (LP Version),That Is Why You're Overweight,Eddie Harris,258.2ø
It's All Right Now (LP Version),That Is Why You're Overweight,Eddie Harris,236.5ø
Get On Down  (LP Version),I Need Some Money,Eddie Harris,588.1ø
Flowers (LP Version),That Is Why You're Overweight,Eddie Harris,299.8ø
Exempt (LP Version),That Is Why You're Overweight,Eddie Harris,457.3ø
Sweet Loving Man,Feelings,Morris Albert,220.7ø
Feelings,Feelings - Greatest Hits,Morris Albert,299.2ø
Falling Tears,Feelings,Morris Albert,262.3ø
Sjagge,Gasolin' The Album Collection,Gasolin',187.7ø
Masser Af Succes,Masser Af Succes,Gasolin',229.2ø
Kvinde Min,Supermix,Kim Larsen;Gasolin',165.1ø
Good Time Charlie,Masser Af Succes,Gasolin',295.4ø
Rockin' Chair,The Best Of Gwen McCrae,Gwen McCrae,201.6ø
Move Me Baby,Rockin' Chair/Something So Right,Gwen McCrae,301.7ø
Let Them Talk,Rockin' Chair/Something So Right,Gwen McCrae,181.6ø
It's Worth The Hurt,The Best Of Gwen McCrae,Gwen McCrae,141.9ø
It Keeps On Raining,The Best Of Gwen McCrae,Gwen McCrae,196.7ø
He Don't Ever Lose His Groove,The Best Of Gwen McCrae,Gwen McCrae,168.9ø
For Your Love,The Best Of Gwen McCrae,Gwen McCrae,178.7ø
90% Of Me Is You,Gwen McCrae Sings TK,Gwen McCrae,214.3ø
Woman (2001 Digital Remaster),Feelings,Morris Albert,168.1ø
Summer In Paris (2001 Digital Remaster),Feelings,Morris Albert,270.3ø
She'S My Girl (2001 Digital Remaster),Feelings,Morris Albert,174.9ø
Mornings (2001 Digital Remaster),Feelings,Morris Albert,233.0ø
Memories (2001 Digital Remaster),Feelings,Morris Albert,236.3ø
Land Of Love,Feelings,Morris Albert,148.8ø
Feelings (2001 Digital Remaster),Feelings,Morris Albert,222.5ø
Father,Feelings,Morris Albert,213.5ø
Conversation (2001 Digital Remaster),Feelings,Morris Albert,213.0ø
Come To My Life (2004 Digital Remaster),Feelings,Morris Albert,209.2ø
You Know Better (Album Version),Motor City Connection,Brownsville Station,204.3ø
They Call Me Rock 'N' Roll (They Call Me Rock 'N' Roll_ Part 1 / God Bless Rock 'N' Roll / Can't Wait For Friday Night / Welcome / They Call Me Rock 'N' Roll_ Part 2)  (Album Version),Motor City Connection,Brownsville Station,565.6ø
Self Abuse (Album Version),Motor City Connection,Brownsville Station,173.6ø
One That Got Away (Album Version),Motor City Connection,Brownsville Station,332.6ø
Load of Love (Album Version),Motor City Connection,Brownsville Station,275.8ø
Give It to Get It (Album Version),Motor City Connection,Brownsville Station,204.1ø
Crazy Legs (Album Version),Motor City Connection,Brownsville Station,202.0ø
Combination Boogie (Album Version),Motor City Connection,Brownsville Station,148.1ø
Automatic Heartbreak (Album Version),Motor City Connection,Brownsville Station,176.1ø
Mi Bandera,A life time of Hits.. (Live At Centro De Bellas Artes_ San Juan_ Puerto Rico.),Richie Ray & Bobby Cruz,449.9ø
What You Don't Know,Afro-Indio,Mongo Santamaria,262.9ø
Midnight And You,Afro-Indio,Mongo Santamaria,252.3ø
Lady Marmalade,Afro-Indio,Mongo Santamaria,194.8ø
Funk Up,Afro-Indio,Mongo Santamaria,199.8ø
Creepin,Afro-Indio,Mongo Santamaria,252.6ø
Peace Pipe,Non-Stop + Shout!,B.T. Express,364.5ø
Discotizer,BT Express - 24 Street Funk Classics From Brooklyn's Finest,BT Express,190.0ø
Close To You,Non-Stop + Shout!,B.T. Express,317.4ø
Time Of Your Life - Original,Banana Moon,Daevid Allen,203.0ø
Stoned Innocent Frankenstein - Original,Banana Moon,Daevid Allen,201.5ø
Memories - Original,Banana Moon,Daevid Allen,217.0ø
I Am A Bowl - Original,Banana Moon,Daevid Allen,164.0ø
The Walls Of Doom,Spartacus,Triumvirat,236.9ø
The Sweetest Sound Of Liberty,Spartacus,Triumvirat,155.4ø
The Hazy Shades Of Dawn,Spartacus,Triumvirat,189.0ø
The Deadly Dream Of Freedom,Spartacus,Triumvirat,234.0ø
The Capitol Of Power (Live In Los Angeles),Spartacus,Triumvirat,195.9ø
The Capitol Of Power,Spartacus,Triumvirat,193.2ø
The Burning Sword Of Capua,Spartacus,Triumvirat,161.4ø
Die Schlesischen Weber,Witkiewicz,Katja Ebstein,180.0ø
Good Woman's Love,Live,New Grass Revival,267.8ø
Bionic Dub,Studio One Dub,Dub Specialist,201.8ø
Ma p'tite Julia,Pierrot dans la Lune_ en plein Soleil,Pierre Perret,201.1ø
Donnez-nous des jardins,Pierrot chante pour les gamins_ les marmots...,Pierre Perret,238.1ø
Who Brought Down The Curtains,Life of Contradiction,Joe Higgs,189.7ø
Wake up And Live,Life of Contradiction,Joe Higgs,162.8ø
There's A Reward,Life of Contradiction,Joe Higgs,252.0ø
Song My Enemy Sings,Life of Contradiction,Joe Higgs,252.9ø
She Was The One,Life of Contradiction,Joe Higgs,221.9ø
My Baby Still Loves me,Life of Contradiction,Joe Higgs,208.8ø
Life of Contradiction,Life of Contradiction,Joe Higgs,215.7ø
Hard Times Don't Bother me,Life of Contradiction,Joe Higgs,210.3ø
Got to Make A Way,Life of Contradiction,Joe Higgs,156.5ø
Come on Home,Life of Contradiction,Joe Higgs,182.7ø
It's Alright,Ain't No 'Bout-A-Doubt It,Graham Central Station,229.3ø
