Peacetika,Old Gold (1989-91),Cows,252.4ø
Silent Hero,Endangered Species,Des'ree,305.5ø
Why Can't It Wait Till Morning (Album Version),Elixir,Fourplay,319.3ø
Whisper In My Ear (Album Version),Elixir,Fourplay,372.7ø
Magic Carpet Ride (Album Version),Elixir,Fourplay,388.6ø
Licorice (Album Version),Elixir,Fourplay,312.8ø
In My Corner (Album Version),Elixir,Fourplay,416.3ø
Fannie Mae (Album Version),Elixir,Fourplay,331.1ø
Elixir (Album Version),Elixir,Fourplay,444.6ø
East 2 West (Album Version),Elixir,Fourplay,356.7ø
Dream Come True (Album Version),Elixir,Fourplay,316.4ø
Family Secret,The Very Best Of,Alannah Myles,316.6ø
Wink,Tumbleweeds,Blue Mountain,197.6ø
Soul Sister,Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,296.1ø
Let's Go Runnin',Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,283.9ø
Jimmy Carter,Blue Mountain: Tonight It's Now Or Never--Live At Schubas,Blue Mountain,173.6ø
Stillwaters,The Collection,Thompson Twins,217.5ø
Emperor's Clothes (Part I),The Collection,Thompson Twins,289.3ø
Your Perfect World,Satanic Surfers / Ten Foot Pole Split,Satanic Surfers | Ten Foot Pole,156.4ø
Use A Bee,Hero Of Our Time,Satanic Surfers,138.2ø
Truck Driving Punk,Satanic Surfers / Ten Foot Pole Split,Satanic Surfers | Ten Foot Pole,122.3ø
Ketty,Hero Of Our Time,Satanic Surfers,104.6ø
Hero Of Our Time,Hero Of Our Time,Satanic Surfers,178.5ø
Head Under Water,Hero Of Our Time,Satanic Surfers,145.9ø
Good Morning,Hero Of Our Time,Satanic Surfers,272.7ø
Go To Throw Up,Hero Of Our Time,Satanic Surfers,180.4ø
Evil,Hero Of Our Time,Satanic Surfers,87.7ø
Equal Rights,Satanic Surfers / Ten Foot Pole Split,Satanic Surfers | Ten Foot Pole,130.4ø
Better Off Today,Hero Of Our Time,Satanic Surfers,156.3ø
Before It's Too Late,Hero Of Our Time,Satanic Surfers,136.9ø
... And The Cheese Fell Down,Hero Of Our Time,Satanic Surfers,121.3ø
There Must Be A Better World Somewhere,The Soul Queen Of New Orleans: 50th Anniversary Celebration,Irma Thomas,252.8ø
Hold To God's Unchanging Hand,Walk Around Heaven,Irma Thomas,187.9ø
Wild man blues,The Quintessence Jelly Roll Morton : Richmond-Chicago-New York (1923-1940),Jelly Roll Morton,181.4ø
The Chant,The Complete Jelly Roll Morton: Volume 1,Jelly Roll Morton,187.7ø
Game One,Game One 2007 Remixes Part Two,Infiniti,331.8ø
Show Me The Way,Best of DJ Sneak,DJ Sneak,458.2ø
The Internal Twin,Repulsive Conception,Broken Hope,243.6ø
Swallowed Whole,Repulsive Conception,Broken Hope,51.2ø
Pitbull Grin,Repulsive Conception,Broken Hope,158.0ø
Imprimis Obscurity,Repulsive Conception,Broken Hope,52.3ø
Grind Box,Repulsive Conception,Broken Hope,56.1ø
For Only The Sick,Repulsive Conception,Broken Hope,265.0ø
Essence Of Human Pain,Repulsive Conception,Broken Hope,87.3ø
Erotic Zoophilism,Repulsive Conception,Broken Hope,264.3ø
Engorged With Impiety,Repulsive Conception,Broken Hope,257.4ø
Dilation And Extraction,Repulsive Conception,Broken Hope,277.8ø
Chewed To Stubs,Repulsive Conception,Broken Hope,184.4ø
Captain Howdy,Repulsive Conception,Broken Hope,224.7ø
Invisible Sun,Music of the Police,Royal Philharmonic Orchestra London,227.8ø
Stepback,Soma Compilation Volume 8,Slam,425.7ø
Program,Snapshots EP,Slam,307.3ø
Who's Foolin' Who,One Acoustic Night,Bonfire,286.4ø
S.D.I.,One Acoustic Night,Bonfire,389.2ø
Hard On Me,One Acoustic Night,Bonfire,248.0ø
Take This Job And Shove It Too,David Allan Coe Live..If That Ain't Country,David Allan Coe,153.5ø
Just To Prove My Love For You,For The Record- The First 10 Years,David Allan Coe,145.8ø
Hank Williams Junior-Junior,Biggest Hits,David Allan Coe,164.3ø
Face To Face,Greatest Hits,David Allan Coe,155.9ø
Divers Do It Deeper,Greatest Hits,David Allan Coe,182.4ø
There's A Time,Hiding Place,John Michael Talbot,258.4ø
Ode To The Bride,The John Michael Talbot Collection,John Michael Talbot,303.9ø
Let Us Sing To The Lord,Songs For Worship_ Vol. 1 & 2,John Michael Talbot,172.3ø
Celebration Dance,For the Bride,John Michael Talbot,188.1ø
Me Cambio Por Ella,Exitos Y Mas,Olga tanon,277.0ø
Aun Pienso En Ti,Siente El Amor,Olga tanon,258.6ø
The Other Jesus,Ejector Seat Reservation,Swervedriver,189.4ø
The Directors Cut Of Your Life,Ejector Seat Reservation,Swervedriver,275.8ø
The Birds,Ejector Seat Reservation,Swervedriver,222.4ø
Son Of Jaguar E,Ejector Seat Reservation,Swervedriver,255.2ø
Single Finger Salute,Ejector Seat Reservation,Swervedriver,121.9ø
Plan 7 Star Satellite 10,Ejector Seat Reservation,Swervedriver,65.5ø
Maelstrom,Ejector Seat Reservation,Swervedriver,280.7ø
Last Day On Earth,Ejector Seat Reservation,Swervedriver,337.4ø
I Am Superman,Ejector Seat Reservation,Swervedriver,216.7ø
How Does It Feel To Look Like Candy?,Ejector Seat Reservation,Swervedriver,220.7ø
Flaming Heart,Ejector Seat Reservation,Swervedriver,146.6ø
Ejector Seat Reservation,Ejector Seat Reservation,Swervedriver,355.4ø
Bubbling Up,Ejector Seat Reservation,Swervedriver,252.1ø
Bring Me The Head Of The Fortune Teller,Ejector Seat Reservation,Swervedriver,285.2ø
When The Circus Comes To Town,When The Circus Comes To Town,Bert Jansch,146.5ø
Living In The Shadows,When The Circus Comes To Town,Bert Jansch,240.0ø
If You Should Leave,Spiritual Beggars,Spiritual Beggars,270.7ø
Queen Of The Hop,The Best Of Dion & The Belmonts,Dion & The Belmonts,124.0ø
Vivencias Imaginadas (Zapareado),Vivencias Imaginadas,Vicente Amigo,344.2ø
Ventanas Al Alma (Minera),Vivencias Imaginadas,Vicente Amigo,335.9ø
Querido Metheny,Vivencias Imaginadas,Vicente Amigo,569.8ø
De Blanco Y Oro (Tanguillo) a Juan Serrano,Vivencias Imaginadas,Vicente Amigo,279.8ø
Love Is The Price,Just For You,DJ Bobo,232.7ø
I Didn't Know My Own Strength,Color of Roses (Live),Lorrie Morgan,194.6ø
Peter's Canticle,The Quiet,John Michael Talbot,178.0ø
Holy Is His Name,Quiet Reflections,John Michael Talbot,274.7ø
A Promessa,10.000 Destinos - Ao Vivo,Engenheiros Do Hawaii,200.3ø
What You've Done (Album Version),Blonder And Blonder,The Muffs,117.7ø
On And On (Album Version),Blonder And Blonder,The Muffs,106.6ø
Laying On A Bed Of Roses (Album Version),Blonder And Blonder,The Muffs,131.8ø
Just A Game (Album Version),Blonder And Blonder,The Muffs,119.4ø
I'm Confused,Hamburger,The Muffs,190.2ø
End It All (Album Version),Blonder And Blonder,The Muffs,109.6ø
White Christmas,Backline - Special Christmas Edition 2,Pat Boone,175.3ø
Santa Claus Is Coming To Town,Wonderful Christmas Time,Pat Boone,104.5ø
Ya No Hay Forma De Pedir Perdon (Sorry Seems To Be The Hardest Word),David Y Goliath,Pedro Aznar,240.1ø
Stand,David Y Goliath,Pedro Aznar,194.6ø
Silencio (Silence),David Y Goliath,Pedro Aznar,149.8ø
Save All Your Words,David Y Goliath,Pedro Aznar,218.7ø
Otra Vez Mas (Se Desangra),David Y Goliath,Pedro Aznar,303.3ø
Luna Llena De Agua,David Y Goliath,Pedro Aznar,261.0ø
Los Chicos De La Calle,David Y Goliath,Pedro Aznar,193.1ø
Llueve,David Y Goliath,Pedro Aznar,254.2ø
Isolation,David Y Goliath,Pedro Aznar,186.6ø
I Can't Find It,David Y Goliath,Pedro Aznar,241.8ø
Ella Se Perdio,David Y Goliath,Pedro Aznar,157.7ø
Cambio (You've Changed),David Y Goliath,Pedro Aznar,339.6ø
Amor De Juventud,Aznar-Lebon Vol.1,Pedro Aznar,360.5ø
The Real,The Burdens Of Being Upright,Tracy Bonham,196.8ø
The Mountie Song,C'est Cheese,Arrogant Worms,205.9ø
Horizon,C'est Cheese,Arrogant Worms,208.2ø
History Is Made By Stupid People,C'est Cheese,Arrogant Worms,159.0ø
Dangerous,Semi-Conducted,Arrogant Worms,164.4ø
Spaccacuore,Che Vita! Il Meglio Di Samuele Bersani,Samuele Bersani,263.2ø
La Fine Di Una Storia,Freak,Samuele Bersani,231.3ø
Il Leone E La Gallina,Freak,Samuele Bersani,222.0ø
Capo,Freak,Samuele Bersani,215.1ø
Barcarola Albanese,Samuele Bersani,Samuele Bersani,224.8ø
Newspite,Corporate Rock Wars,Godflesh,266.5ø
Coracao Vagabundo,The Brasil Project,Toots Thielemans,269.2ø
You Rub Me The Wrong Way,Booty And The Beast,Popa Chubby,257.0ø
Waitin' For The Light,Booty And The Beast,Popa Chubby,247.8ø
Sweet Goddess Of Love And Beer,Booty And The Beast,Popa Chubby,279.6ø
Sweat,Booty And The Beast,Popa Chubby,351.9ø
Stoop Down Baby,Booty And The Beast,Popa Chubby,281.9ø
Same Old Blues,Booty And The Beast,Popa Chubby,343.0ø
Palace Of The King,Booty And The Beast,Popa Chubby,222.5ø
Low Down And Dirty,Booty And The Beast,Popa Chubby,280.5ø
Lookin' Back,Booty And The Beast,Popa Chubby,242.5ø
Healing In Her Hands,Booty And The Beast,Popa Chubby,235.5ø
Angel On My Shoulder,Booty And The Beast,Popa Chubby,286.3ø
Virtual Landscape,One Love,Electric Universe,446.9ø
Solar Energy,Vinyls And Rare Pieces,Electric Universe,547.0ø
Nexus,One Love,Electric Universe,565.1ø
This House Is Not A Home,Choice Picks,The Rembrandts,200.9ø
I'll Be There For You,Choice Picks,The Rembrandts,189.5ø
Quien Lo Diria,20th Anniversary,Gilberto Santa Rosa,306.2ø
Slide Off Of Your Satin Sheets,Super Hits,Johnny Paycheck,176.4ø
Colorado Cool-Aid,The Soul & The Edge:  The Best Of Johnny Paycheck,Johnny Paycheck,215.9ø
Vivo morto o x,Buon compleanno Elvis,Ligabue,256.4ø
Un figlio di nome Elvis,Buon compleanno Elvis,Ligabue,242.0ø
Non dovete badare al cantante,Buon compleanno Elvis,Ligabue,216.1ø
Thoroughbred,The Essential Collection,Bob James,442.5ø
Reunited,The Essential Collection,Bob James,344.6ø
Kari,The Essential Collection,Bob James,387.9ø
Schein,Hier,Selig,378.2ø
Nach Hause,Hier,Selig,308.5ø
Lass mich rein,Hier,Selig,299.7ø
Kleine Schwester,Hier,Selig,333.0ø
Ist es wichtig?,Hier,Selig,228.6ø
Hinter Dem Spiegel,Hier,Selig,297.8ø
Hier,Hier,Selig,193.0ø
Halber Freund,Hier,Selig,261.8ø
Garten,Hier,Selig,233.0ø
Du kennst mich nicht,Hier,Selig,293.8ø
Diva,Hier,Selig,267.8ø
An einem Morgen,Hier,Selig,227.1ø
Hangar 84,Power of Seven,System 7,372.9ø
Civilization,Power of Seven,System 7,387.7ø
Chicago Indian,Power of Seven,System 7,316.5ø
The corridor,Invisible,La Ley,347.3ø
R & R,Invisible,La Ley,244.9ø
Hombre,Invisible,La Ley,245.6ø
Fausto,Invisible,La Ley,318.7ø
El duelo,Invisible,La Ley,194.9ø
Animal,Invisible,La Ley,362.0ø
Call The Police,Live 86 Vol 1 = Taxi Gang - Ini Kamoze,Ini Kamoze,387.0ø
You Know You're Wrong (Take 1 - Incomplete),The Complete Fire and Enjoy Recordings,Elmore James,89.2ø
Up Jumped Elmore (Black Snake Slide),The Complete Fire and Enjoy Recordings,Elmore James,165.3ø
Find My Kind Of Woman (Take 3),The Complete Fire and Enjoy Recordings,Elmore James,167.5ø
Dust My Broom (Alternate Take),The Complete Fire and Enjoy Recordings,Elmore James,163.5ø
Gotta Travel On,The Very Best Of Bill Monroe And His Blue Grass Boys,Bill Monroe & The Bluegrass Boys,154.3ø
Breaking The Rules,The Collection,Girlschool,182.6ø
Time Ends,Master Killers: A Complete Anthology (re-issue),Merauder,226.0ø
Take By Force,Master Killers: A Complete Anthology (re-issue),Merauder,265.0ø
Mirror Shows Black,Master Killer,Merauder,168.8ø
Master Killer,Master Killers: A Complete Anthology (re-issue),Merauder,203.1ø
Life Is Pain,Master Killer,Merauder,202.1ø
Downfall Of Christ,Master Killers: A Complete Anthology (re-issue),Merauder,196.1ø
Dead End Path,Master Killers: A Complete Anthology (re-issue),Merauder,194.0ø
Crossfire,Master Killers: A Complete Anthology (re-issue),Merauder,212.5ø
The Rape,Deep Dreams of Hell,Aura Noir,203.5ø
Snake,Deep Dreams of Hell,Aura Noir,104.6ø
Mirage,Deep Dreams of Hell,Aura Noir,160.1ø
Angel Ripper,Deep Dreams of Hell,Aura Noir,226.8ø
Whole Lotta Love,Whole Lotta Live 1998,The James Taylor Quartet,209.6ø
Haitian Breakdown,Whole Lotta Live 1998,The James Taylor Quartet,90.4ø
Wasted Life (Album Version),Old School To New School,Warzone,49.7ø
Parasite (Album Version),Old School To New School,Warzone,56.1ø
In The Mirror (Album Version),Old School To New School,Warzone,186.4ø
In Search Of.. (Album Version),Old School To New School,Warzone,46.9ø
Face Up To It (Album Version),Old School To New School,Warzone,137.7ø
Drug X Free X Youth (Album Version),Old School To New School,Warzone,91.2ø
Can I Get A Witness (Album Version),Old School To New School,Warzone,174.1ø
Break Down The Walls (Album Version),Old School To New School,Warzone,125.3ø
As One (Album Version),Old School To New School,Warzone,142.7ø
Wilder,Wake Up!,The Boo Radleys,416.5ø
Twinside,Wake Up!,The Boo Radleys,285.0ø
Stuck On Amber,Wake Up!,The Boo Radleys,324.4ø
Reaching Out From Here,Wake Up!,The Boo Radleys,183.0ø
Martin_ Doom! It's Seven O'Clock,Wake Up!,The Boo Radleys,381.2ø
Joel,Wake Up!,The Boo Radleys,370.9ø
It's Lulu,Best Of,The Boo Radleys,183.5ø
From The Bench At Belvidere,Best Of,The Boo Radleys,261.5ø
Find The Answer Within,Wake Up!,The Boo Radleys,274.2ø
Fairfax Scene,Wake Up!,The Boo Radleys,134.2ø
Paris sous les bombes,Live Bercy 2008,NTM,151.1ø
Witchfuck,Nifelheim,Nifelheim,184.6ø
Unholy Death,Nifelheim,Nifelheim,125.6ø
The Devastation,Nifelheim,Nifelheim,181.4ø
Storm Of Satan'S Fire,Nifelheim,Nifelheim,274.5ø
Sodomizer,Nifelheim,Nifelheim,306.8ø
Satanic Sacrifice,Nifelheim,Nifelheim,193.6ø
Possessed By Evil,Nifelheim,Nifelheim,233.2ø
Die In Fire (Bathory Cover),Nifelheim,Nifelheim,205.8ø
Black Curse,Nifelheim,Nifelheim,226.0ø
Yimtrop,Hardfloor pres. DDPNP Vol1,Hardfloor,504.2ø
The Laste Marshmellow Machine,Respect,Hardfloor,437.3ø
Phat Packer,Hardfloor pres. DDPNP Vol1,Hardfloor,355.3ø
Intro Maze,Respect,Hardfloor,143.3ø
Dubdope,Hardfloor pres. DDPNP Vol1,Hardfloor,537.7ø
Drive Thruw,Hardfloor pres. DDPNP Vol1,Hardfloor,234.7ø
Asbestos In Obsterics,Respect,Hardfloor,513.1ø
Molly (Sixteen Candles),Rotting Pinata,Sponge,215.0ø
V,Criminal Justice,D*Note,200.1ø
The Garden Of Earthly Delights (Kumo Instrumental),The Garden of Earthly Delights,D*Note,236.0ø
The Garden Of Earthly Delights (Kumo Dub),The Garden of Earthly Delights,D*Note,410.0ø
The Garden Of Earthly Delights,Criminal Justice,D*Note,551.1ø
Soloman's Blade,Criminal Justice,D*Note,413.6ø
Place In The City,Criminal Justice,D*Note,433.0ø
Perspex,Criminal Justice,D*Note,32.5ø
Iniquity Worker (Number Of The Beast Mix),Iniquity Worker,D*Note,340.5ø
Iniquity Worker (Cloven Hoof Mix),Iniquity Worker,D*Note,329.7ø
Iniquity Worker,Criminal Justice,D*Note,342.9ø
Garden Of Earthly Delights(X-Press 2 Inner London Ambience),The Garden of Earthly Delights,D*Note,241.9ø
Garden Of Earthly Delights (X-Press 2 Remix),The Garden of Earthly Delights,D*Note,227.8ø
Garden Of Earthly Delights (X-Press 2 Dope Drums),The Garden of Earthly Delights,D*Note,272.2ø
Deep Water,Coming Down: The Soundtrack,D*Note,204.6ø
Criminal Justice (The Presumed Guilty Radio Edit),Criminal Justice,D*Note,224.6ø
Criminal Justice,Criminal Justice,D*Note,330.7ø
Why God Loves You,Most Requested,P.M. Dawn,247.8ø
I Never Knew Love,Super Hits,Doug Stone,212.2ø
The Impossible Dream,On Broadway,Roger Whittaker,127.1ø
"Sit Down_ You're Rocking The Boat (from ""Guys And Dolls"")",On Broadway,Roger Whittaker,191.3ø
"Master Of The House (from ""Les Miserables"")",On Broadway,Roger Whittaker,211.4ø
Get In The Groove,Studio One Groups,The Heptones,157.3ø
Runaway Car,The Goofy Movie Original Sound Track,Carter Burwell|Don Davis,138.4ø
Hi Dad Soup,The Goofy Movie Original Sound Track,Carter Burwell|Don Davis,92.9ø
Bigfoot,The Goofy Movie Original Sound Track,Carter Burwell|Don Davis,135.9ø
Stayin' Alive,Summer Holiday Hits,N-Trance | Ricardo Force,238.5ø
Quoique,S' Laisser Aimer,Patrick Bruel,280.5ø
Pars Pas,S' Laisser Aimer,Patrick Bruel,333.0ø
Fernand,On S'Etait Dit,Patrick Bruel,279.6ø
Baby (You've Got What It Takes),Rainy Night In Georgia & Other Favorites (Digitally Remastered),Brook Benton,173.9ø
When It All Comes Down,The Best Of...Back To Back,Pretty Maids,228.6ø
Scream,Screamin' Live,Pretty Maids,276.5ø
No Messiah,Screamin' Live,Pretty Maids,227.0ø
Det Bedste Til Mig Og Mine Venner,The Best Of...Back To Back,Pretty Maids,279.9ø
Vermilion,Last of the Ghetto Astronauts,Matthew Good Band,289.6ø
Symbolistic White Walls,Last of the Ghetto Astronauts,Matthew Good Band,270.6ø
She's Got a New Disguise,Last of the Ghetto Astronauts,Matthew Good Band,377.7ø
Radio Bomb,Last of the Ghetto Astronauts,Matthew Good Band,189.2ø
Haven't Slept In Years,Last of the Ghetto Astronauts,Matthew Good Band,203.2ø
Fearless,Last of the Ghetto Astronauts,Matthew Good Band,315.7ø
Every Name Is My Name,Last of the Ghetto Astronauts,Matthew Good Band,241.0ø
Alabama Motel Room,Last of the Ghetto Astronauts,Matthew Good Band,201.1ø
Walk On,Gold Collection,The Lords,212.6ø
Poison Ivy,The Lords 1964 - 1971,The Lords,120.1ø
Late Last Sunday Evening,The Lords 1964 - 1971,The Lords,142.1ø
Four O'Clock In New York,Gold Collection,The Lords,202.9ø
Calaba,Gold Collection,The Lords,228.4ø
And At Night,Gold Collection,The Lords,162.7ø
Felicidade,The Definitive Joe Henderson,Joe Henderson,284.7ø
What Do You Want To Be,It's Five O'Clock Somewhere,Slash's Snakepit,376.7ø
Take It Away,It's Five O'Clock Somewhere,Slash's Snakepit,283.7ø
Soma City Ward,It's Five O'Clock Somewhere,Slash's Snakepit,229.7ø
Neither Can I,It's Five O'Clock Somewhere,Slash's Snakepit,402.8ø
Monkey Chow,It's Five O'Clock Somewhere,Slash's Snakepit,251.9ø
Lower,It's Five O'Clock Somewhere,Slash's Snakepit,294.6ø
Jizz Da Pit,It's Five O'Clock Somewhere,Slash's Snakepit,167.8ø
I Hate Everybody (But You),It's Five O'Clock Somewhere,Slash's Snakepit,280.7ø
Good To Be Alive,It's Five O'Clock Somewhere,Slash's Snakepit,290.7ø
Doin' Fine,It's Five O'Clock Somewhere,Slash's Snakepit,256.5ø
Dime Store Rock,It's Five O'Clock Somewhere,Slash's Snakepit,293.8ø
Beggars & Hangers-On,It's Five O'Clock Somewhere,Slash's Snakepit,374.4ø
Be The Ball,It's Five O'Clock Somewhere,Slash's Snakepit,315.8ø
Back And Forth Again,It's Five O'Clock Somewhere,Slash's Snakepit,355.4ø
You Were There,Praise Him...Live!,The Brooklyn Tabernacle Choir,349.8ø
We Sing Alleluia/Be Ye Holy,Praise Him...Live!,The Brooklyn Tabernacle Choir,389.2ø
Resurrection Power,Praise Him...Live!,The Brooklyn Tabernacle Choir,75.4ø
Praise Him,Praise Him...Live!,The Brooklyn Tabernacle Choir,248.0ø
More Than Ever Before,Praise Him...Live!,The Brooklyn Tabernacle Choir,229.4ø
Look Away,Praise Him...Live!,The Brooklyn Tabernacle Choir,334.1ø
Lead Me Lord,Praise Him...Live!,The Brooklyn Tabernacle Choir,324.4ø
It's Not In Vain,Praise Him...Live!,The Brooklyn Tabernacle Choir,286.6ø
I'm Not Afraid,Praise Him...Live!,The Brooklyn Tabernacle Choir,341.5ø
Everything I Desire,Praise Him...Live!,The Brooklyn Tabernacle Choir,226.7ø
