Son of Nothing,The Indie Vigils,Wolfhounds,193.1ø
In The Hills Of Roane County,Classic Country Remastered: Atlanta_ GA - New York City 1940-1947 (CD D),The Blue Sky Boys,203.3ø
Please Come Home For Christmas,Christmas In Soulsville,Little Johnny Taylor,174.8ø
The House of C,Greatest Hits,Confetti's,226.8ø
No,Greatest Hits,Confetti's,240.0ø
Keep Smiling,Greatest Hits,Confetti's,225.5ø
C in China,Techno Dance_ Vol. 2,The Action Steps,246.7ø
C Countdown,Greatest Hits,Confetti's,239.6ø
Basic Theme,Greatest Hits,Confetti's,189.5ø
When Irish Eyes Are Smiling,Great Irish Tenors,Dennis Day,199.4ø
Don't Blame Me,Bon Voyage,McCoy Tyner Trio,266.0ø
Ice Cream Man,Chess Blues,John Brim,170.9ø
I'm Easy,Nashville,Keith Carradine,182.4ø
Sleep Talk,"12"" 80s Grooves",Alyson Williams,323.7ø
Just Call My Name,Def Jam 25_ Vol. 20 - Ladies First,Alyson Williams,360.2ø
Cherry Pie,Cherry Pie,Marvin & Johnny,164.5ø
You'll Never Walk Alone,The Best Of Jim Nabors,Jim Nabors,132.0ø
The Lord's Prayer,16 Most Requested Songs,Jim Nabors,159.2ø
My Cup Runneth Over,16 Most Requested Songs,Jim Nabors,148.9ø
More,16 Most Requested Songs,Jim Nabors,145.4ø
Jean,16 Most Requested Songs,Jim Nabors,221.1ø
Let Me Love You For Tonight,New Years Eve Party - 60 Classic Tracks,Kariya,381.9ø
Bad News,The Open Mind Of John D. Loudermilk,John D. Loudermilk,179.2ø
Dirty Talk,Credit To The Edit 2,Klein & MBO,400.6ø
Whatever Lola Wants,Damn Yankees (Original Broadway Cast),Gwen Verdon,195.1ø
Dark Moon,Nothing But Number 1's of the 50's,Bonnie Guitar,163.1ø
Basie Power,Basie Is Back,The Count Basie Orchestra,188.1ø
Mission Bell,The Best of Donnie Brooks,Donnie Brooks,140.4ø
Let Me Go Lover,Backline Volume 14,Joan Weber,146.4ø
Rub It In,True Country,Billy Crash Craddock,147.5ø
Escamillo,Tango,Andre Verchuren,173.6ø
Your Sweetness,True Motown / Spectrum 3 CD Set,The Good Girls,243.5ø
I Yust Go Nuts At Christmas,I Want a Hippopotamus for Christmas,Yogi Yorgesson,194.1ø
Goodbye Again,Girltalk,Anthony Adverse,286.2ø
