She Acts Like a Woman Should,My Heart Belongs To Daddy,Marilyn Monroe,164.5ø
A Change Is Gonna Come,Billy Bragg Vol.1,Billy Bragg,240.7ø
That Ain't Love,The Hits,REO Speedwagon,242.5ø
One Too Many Girlfriends,The Second Decade Of Rock And Roll 1981 To 1991,REO Speedwagon,236.1ø
La Tragedia Di Un Uomo Ridicolo,La Tragedia Di Un Uomo Ridicolo - The Original Motion Picture Soundtrack,Ennio Morricone,135.6ø
La Califfa,Ennio Morricone - Film Music,Ennio Morricone,236.2ø
You Got_ I Want,Join The Army,Suicidal Tendencies,175.6ø
War Inside My Head,Still Cyco After All These Years,Suicidal Tendencies,208.0ø
Two-Sided Politics,Still Cyco After All These Years,Suicidal Tendencies,61.8ø
Two Wrongs Don't Make a Right (But They Make Me Feel A Whole Lot Better),Join The Army,Suicidal Tendencies,169.1ø
The Prisoner,Join The Army,Suicidal Tendencies,173.2ø
Suicidal Maniac,Join The Army,Suicidal Tendencies,177.2ø
Possessed To Skate,Join The Army,Suicidal Tendencies,153.9ø
No Name_ No Words,Join The Army,Suicidal Tendencies,154.8ø
Looking In Your Eyes,Join The Army,Suicidal Tendencies,167.8ø
Join The Army,Join The Army,Suicidal Tendencies,217.1ø
I Feel Your Pain,Join The Army,Suicidal Tendencies,207.4ø
Human Guinea Pig,Join The Army,Suicidal Tendencies,125.9ø
Cyco,Join The Army,Suicidal Tendencies,132.8ø
A Little Each Day,Join The Army,Suicidal Tendencies,248.2ø
Hazy Shade Of Winter,The Essential Bangles,Bangles,168.6ø
Continental Op,Meeting With The G-Man,Rory Gallagher,413.7ø
The Friends' Song,The Princess Bride,Mark Knopfler,182.3ø
The Cliffs Of Insanity,The Princess Bride,Mark Knopfler,196.4ø
I Don't Wanna Fight,What's Love Got To Do With It,Tina Turner,368.5ø
The Closer You Get,Greatest Hits Vol.2,Alabama,215.9ø
If I Had A Boat,Live In Texas,Lyle Lovett,199.6ø
True Faith,Substance,New Order,349.2ø
1963,Substance,New Order,335.6ø
Initiation,Keeper Of The Seven Keys Part I,Helloween,81.9ø
I'm Alive,Keeper Of The Seven Keys Part I,Helloween,202.9ø
Halloween,Keeper Of The Seven Keys Part I,Helloween,302.6ø
A Little Time,Singles Box Set,Helloween,210.9ø
Panic Zone,Black Gangsta Rap,N.W.A.,273.9ø
8 Ball,Dr. Dre - 2002,N.W.A. ft. Dr. Dre,269.2ø
Dance In The Midnight ,Work in Progress ,T.Rex,196.9ø
Oleanna (Album Version),Hold On,Nitty Gritty Dirt Band,281.1ø
Keepin' The Road Hot,Fishin' In The Dark / Keepin' The Road Hot [Digital 45],The Nitty Gritty Dirt Band,210.3ø
Angelyne (Album Version),Hold On,Nitty Gritty Dirt Band,252.0ø
They Suffocate At Night,Freaks,Pulp,377.5ø
There's No Emotion,Freaks,Pulp,267.6ø
Take Me Home Tonight,Can'T Hold Back,Eddie Money,212.5ø
You're A Soldier,Warehouse: Songs And Stories,Husker Du,184.2ø
You Can Live At Home,Warehouse: Songs And Stories,Husker Du,324.8ø
Visionary,Warehouse: Songs And Stories,Husker Du,152.6ø
Up In The Air,Warehouse: Songs And Stories,Husker Du,186.6ø
Turn It Around,Warehouse: Songs And Stories,Husker Du,273.8ø
Too Much Spice,Warehouse: Songs And Stories,Husker Du,176.4ø
These Important Years,Warehouse: Songs And Stories,Husker Du,231.4ø
Tell You Why Tomorrow,Warehouse: Songs And Stories,Husker Du,173.2ø
Standing In The Rain,Warehouse: Songs And Stories,Husker Du,227.7ø
She's A Woman [And Now He Is A Man],Warehouse: Songs And Stories,Husker Du,201.6ø
She Floated Away,Warehouse: Songs And Stories,Husker Du,218.7ø
No Reservations,Warehouse: Songs And Stories,Husker Du,223.7ø
It's Not Peculiar,Warehouse: Songs And Stories,Husker Du,249.7ø
Ice Cold Ice,Warehouse: Songs And Stories,Husker Du,263.0ø
Friend_ You've Got To Fall,Warehouse: Songs And Stories,Husker Du,200.6ø
Could You Be The One?,Warehouse: Songs And Stories,Husker Du,155.2ø
Charity_ Chastity_ Prudence_ And Hope,Warehouse: Songs And Stories,Husker Du,195.1ø
Bed Of Nails,Warehouse: Songs And Stories,Husker Du,288.0ø
Back From Somewhere,Warehouse: Songs And Stories,Husker Du,138.6ø
Actual Condition,Warehouse: Songs And Stories,Husker Du,112.1ø
We Are The People,The Lonesome Jubilee,John Mellencamp,256.8ø
The Real Life,The Lonesome Jubilee,John Mellencamp,236.7ø
Hard Times For An Honest Man,The Lonesome Jubilee,John Mellencamp,206.3ø
Down And Out In Paradise,The Lonesome Jubilee,John Mellencamp,216.9ø
Good Girls Go To Heaven - Bad Girls Go to Everywhere,All The Best,Modern Talking,217.4ø
Stompin' At The Savoy,Wrappin' It Up,Benny Goodman,199.0ø
Little Girl Blue,Sing Rodgers & Hart: The Complete Recordings,The Supremes,199.9ø
Johnny One Note,Sing Rodgers & Hart: The Complete Recordings,The Supremes,166.0ø
Meet Me Half Way,Back To Avalon,Kenny Loggins,219.5ø
What She Do To Me,Powder Keg,The Charlie Daniels Band,197.5ø
Trapped In The City,Powder Keg,The Charlie Daniels Band,303.3ø
Stay With Me,Powder Keg,The Charlie Daniels Band,256.4ø
Saturday Night U.S.A.,Powder Keg,The Charlie Daniels Band,210.6ø
Powder Keg,Powder Keg,The Charlie Daniels Band,272.6ø
Love Pouring Out Of Me,Powder Keg,The Charlie Daniels Band,199.6ø
Juanita,Powder Keg,The Charlie Daniels Band,229.2ø
Dance With Me,Powder Keg,The Charlie Daniels Band,340.1ø
Bottom Line,Powder Keg,The Charlie Daniels Band,266.0ø
Bogged Down In Love With You,Powder Keg,The Charlie Daniels Band,274.5ø
You're All Around Me,When A Man Loves A Woman,Percy Sledge,168.7ø
Just Out Of Reach,Soul Friends,Percy Sledge,213.1ø
It Tears Me Up,Soul In My Heart,Percy Sledge,167.0ø
(Sittin' On) The Dock Of The Bay,In The Summertime,Percy Sledge,151.3ø
The Tide Is Turning (After Live Aid),Radio K.A.O.S.,Roger Waters,343.7ø
Home,Radio K.A.O.S.,Roger Waters,360.3ø
Four Minutes,Radio K.A.O.S.,Roger Waters,240.2ø
We Kiss In A Shadow,A Garden In The Rain_ Vol 3,Perry Como,195.3ø
Till The End Of Time,Till The End Of Time,Perry Como,188.6ø
Sleepy Time Gal,We Get Letters,Perry Como,152.9ø
The World Turned Upside Down,Billy Bragg Vol.1,Billy Bragg,155.8ø
Powersurge (LP Version),Taking Over,Overkill,276.5ø
Overkill ll (The Nightmare Continues) (LP Version),Taking Over,Overkill,427.0ø
In Union We Stand (LP Version),Taking Over,Overkill,265.8ø
Fear His Name (LP Version),Taking Over,Overkill,324.5ø
Fatal If Swallowed (LP Version),Taking Over,Overkill,405.5ø
Fatal If Swallowed,Hello From The Gutter - Best of,Overkill,381.9ø
Deny The Cross (LP Version),Taking Over,Overkill,282.9ø
Break It To Me Gently,Rock N' Roll Legends,Brenda Lee,156.3ø
Ma Che Bello Questo Amore,In Certi Momenti,Eros Ramazzotti,249.8ø
That's What Love Is All About,The Hunger,Michael Bolton,237.6ø
Promises (As The Years Go By),Nomzamo,IQ,274.5ø
No Love Lost,Forever Live,IQ,351.9ø
Soul Ram,Old Regime,Steely Dan,125.5ø
Old Regime,Old Regime,Steely Dan,186.4ø
Let George Do It,Found Studio Tracks,Steely Dan,191.1ø
I Can't Function,Stone Piano,Steely Dan,240.6ø
Come Back Baby,Stone Piano,Steely Dan,243.4ø
Strength,Live At CBGB's,Agnostic Front,159.5ø
Crucified,Live At CBGB's,Agnostic Front,178.1ø
Megablast,Yo! Bum Rush The Show,Public Enemy,171.4ø
The Magic Touch,The Platters,The Platters,161.6ø
Every 1's A Winner (Groove Mix),The Best Of Hot Chocolate,Hot Chocolate,233.8ø
Twilight World,It's Better To Travel,Swing Out Sister,389.4ø
"Theme (From ""It's Better To Travel"")",It's Better To Travel,Swing Out Sister,272.6ø
Surrender,True 80's Love,Swing Out Sister,233.6ø
Fooled By A Smile,It's Better To Travel,Swing Out Sister,245.2ø
After Hours,It's Better To Travel,Swing Out Sister,291.9ø
Picnic In The Jungle,The 13th Anniversary Show Live Tokyo,The Residents,346.9ø
You Really Got A Hold On Me,Warm & Tender Soul,Percy Sledge,173.9ø
Try a little tenderness,My Special Prayer For You,Percy Sledge,234.0ø
The Mighty Zero (Album Version),Mirage,Meat Puppets,220.8ø
Medley: Baby What You Want Me To Do/I Can't Be Counted On (Album Version),Huevos,Meat Puppets,89.1ø
Look At The Rain (Album Version),Huevos,Meat Puppets,262.5ø
Bad Love (Album Version),Huevos,Meat Puppets,194.0ø
Sexy Music (Album Version),Huevos,Meat Puppets,328.7ø
Quit It (Album Version),Mirage,Meat Puppets,158.0ø
Paradise (Album Version),Huevos,Meat Puppets,246.4ø
Liquified (Album Version),Mirage,Meat Puppets,219.6ø
I Can't Be Counted On (Album Version),Huevos,Meat Puppets,241.8ø
I Am A Machine (Album Version),Mirage,Meat Puppets,246.0ø
Get On Down (Album Version),Mirage,Meat Puppets,176.7ø
Fruit (Album Version),Huevos,Meat Puppets,318.1ø
Crazy (Album Version),Huevos,Meat Puppets,284.0ø
Confusion Fog (Album Version),Mirage,Meat Puppets,233.0ø
Automatic Mojo (Album Version),Huevos,Meat Puppets,203.4ø
Never Land [A Fragment],Floodland,Sisters Of Mercy,169.4ø
Lucretia My Reflection,Floodland,Sisters Of Mercy,297.2ø
Colours,Floodland,Sisters Of Mercy,444.0ø
1959,Floodland,Sisters Of Mercy,250.4ø
Maybe Someday...,Men And Women,Simply Red,258.1ø
Infidelity [Stretch Mix],Men And Women,Simply Red,324.1ø
Ev'ry Time We Say Goodbye,Simplified,Simply Red,186.3ø
View From A Bridge (Raw Remix) (Edit),The Very Best Of Kim Wilde,Kim Wilde,264.9ø
Ev'ry Time We Say Goodbye [Live],Men And Women,Simply Red,221.7ø
I Got The Fear,Archive Things,Meat Beat Manifesto,305.6ø
Picking A Bride,The Last Emperor Original Soundtrack,David Byrne,119.9ø
The Circus,The Circus,Erasure,330.7ø
Sexuality,The Circus,Erasure,233.6ø
If I Could,The Circus,Erasure,232.5ø
Hideaway,The Circus,Erasure,228.7ø
Don't Dance,The Circus,Erasure,219.0ø
Shadow Flyer,Canyon Dreams,Tangerine Dream,343.4ø
Purple Nightfall,Canyon Dreams,Tangerine Dream,124.7ø
Any Day Now,The Collection,Scott Walker,212.3ø
Coolidge,All,Descendents,193.2ø
Dream Lover,Keep An Eye On The Sky,Big Star,213.6ø
Crushed,Cocteau Twins Singles Collection,Cocteau Twins,200.2ø
Don't Let Me In,Stone Piano,Steely Dan,250.1ø
You Have To Hurt,Coming Around Again,Carly Simon,242.5ø
Two Hot Girls (On A Hot Summer Night),Greatest Hits Live,Carly Simon,312.5ø
Give Me All Night,Clouds In My Coffee 1965-1995,Carly Simon,265.0ø
Coming Around Again,Never Been Gone,Carly Simon,292.7ø
Money Honey,A Wop Bop A Loo Bop,Little Richard,137.0ø
Groovy Little Suzy,The Best of Setco Vol. 50,Little Richard,145.4ø
(I Can't Get No) Satisfaction,The 60's: Heart and Soul,Sam & Dave,169.6ø
What's The Matter Here (LP Version),In My Tribe,10_000 Maniacs,291.2ø
Verdi Cries  (LP Version),In My Tribe,10_000 Maniacs,264.5ø
The Painted Desert  (LP Version),In My Tribe,10_000 Maniacs,219.0ø
My Sister Rose  (LP Version),In My Tribe,10_000 Maniacs,192.9ø
Like The Weather  (LP Version),In My Tribe,10_000 Maniacs,237.0ø
Hey Jack Kerouac  (LP Version),In My Tribe,10_000 Maniacs,206.2ø
Gun Shy (LP Version),In My Tribe,10_000 Maniacs,251.9ø
Don't Talk  (LP Version),In My Tribe,10_000 Maniacs,304.8ø
City Of Angels  (LP Version),In My Tribe,10_000 Maniacs,257.5ø
Cherry Tree  (LP Version),In My Tribe,10_000 Maniacs,193.6ø
A Campfire Song (LP Version),In My Tribe,10_000 Maniacs,194.9ø
Seven Days,Defender,Rory Gallagher,313.3ø
No Peace For The Wicked,Defender,Rory Gallagher,246.8ø
Loanshark Blues,Defender,Rory Gallagher,267.1ø
Failsafe Day,Defender,Rory Gallagher,262.4ø
Doing Time,Defender,Rory Gallagher,245.6ø
Same Old Feeling,Flashback,38 Special,257.8ø
Back To Paradise,Flashback,38 Special,222.4ø
Better Days,Never Gonna Give Up,Lorrich,317.0ø
Only Trust Your Heart,Astrud For Lovers,Astrud Gilberto | The New Stan Getz Quartet,255.5ø
Street Level,Port Of Mystery,Yanni,258.8ø
Point Of Origin,Out Of Silence,Yanni,356.1ø
After The Sunrise,Out Of Silence,Yanni,277.9ø
We Belong Together,La Bamba,Los Lobos,121.3ø
The Mess We're In,By The Light Of The Moon,Los Lobos,181.4ø
Set Me Free [Rosa Lee],By The Light Of The Moon,Los Lobos,215.5ø
Set Me Free (Rosa Lee),Wolf Tracks: The Best Of Los Lobos,Los Lobos,219.2ø
River of Fools,By The Light Of The Moon,Los Lobos,175.0ø
Prenda Del Alma,By The Light Of The Moon,Los Lobos,201.3ø
One Time One Night,By The Light Of The Moon,Los Lobos,288.6ø
My Baby's Gone,By The Light Of The Moon,Los Lobos,221.2ø
La Bamba,La Bamba / Charlena [Digital 45],Los Lobos,174.2ø
Is This All There Is?,By The Light Of The Moon,Los Lobos,240.2ø
Goodnight My Love,La Bamba,Los Lobos,195.2ø
Framed,La Bamba,Los Lobos,155.2ø
Charlena,La Bamba,Los Lobos,167.3ø
All I Wanted To Do Was Dance,By The Light Of The Moon,Los Lobos,237.3ø
Within Attraction,Yanni Live At The Acropolis,Yanni,466.7ø
Standing In Motion,In Celebration Of Life,Yanni,322.1ø
Your Dad Did,Hiatt Comes Alive At Budokan?,John Hiatt,335.3ø
Tip Of My Tongue,Bring The Family,John Hiatt,352.6ø
Memphis In The Meantime,Hiatt Comes Alive At Budokan?,John Hiatt,278.6ø
Lipstick Sunset,Bring The Family,John Hiatt,251.8ø
Learning How To Love You,Bring The Family,John Hiatt,246.0ø
Have A Little Faith In Me,Hiatt Comes Alive At Budokan?,John Hiatt,257.6ø
Love And Romance,Kats Karavan - The History Of John Peel On The Radio,The Slits,144.8ø
500 Miles High,Light As A Feather,Chick Corea | Return To Forever,550.9ø
Are You Embarrassed Easily?,Monty Python's Previous Record,Monty Python,145.0ø
Do The Walls Come Down,Coming Around Again,Carly Simon,228.5ø
Shopping (2001 Digital Remaster),Actually,Pet Shop Boys,217.3ø
Rent (2001 Digital Remaster),Actually,Pet Shop Boys,307.5ø
Rent,Discography - Complete Singles Collection,Pet Shop Boys,212.4ø
It's A Sin (2001 Digital Remaster),Actually,Pet Shop Boys,299.0ø
It Couldn't Happen Here (2001 Digital Remaster),Actually,Pet Shop Boys,320.5ø
I Want To Wake Up (2001 Digital Remaster),Actually,Pet Shop Boys,310.5ø
Hit Music (2001 Digital Remaster),Actually,Pet Shop Boys,283.4ø
Heart (2001 Digital Remaster),Actually,Pet Shop Boys,237.3ø
Always On My Mind,Discography - Complete Singles Collection,Pet Shop Boys,234.1ø
A New Life,Alternative,Pet Shop Boys,295.4ø
Port Of Souls,Ahmed's Wild Dream,The Gunclub,329.7ø
Lupita Screams,Ahmed's Wild Dream,The Gunclub,206.1ø
Tell Me It's Me You Want (LP Version),Make It Last Forever,Keith Sweat,289.0ø
Something Just Ain't Right,Sweat Hotel - Live,Keith Sweat,186.3ø
Right And A Wrong Way (LP Version),Make It Last Forever,Keith Sweat,317.1ø
In The Rain (LP Version),Make It Last Forever,Keith Sweat,346.3ø
I Want Her,Sweat Hotel - Live,Keith Sweat,331.7ø
How Deep Is Your Love (LP Version),Make It Last Forever,Keith Sweat,290.8ø
Dont Stop Your Love (LP Version),Make It Last Forever,Keith Sweat,374.1ø
Don't Stop Your Love,Sweat Hotel - Live,Keith Sweat,169.9ø
You're The Best Thing Yet,The Best Of Anita Baker,Anita Baker,335.1ø
No More Tears,The Best Of Anita Baker,Anita Baker,335.5ø
Blue Christmas,A Christmas Collection,Glen Campbell,152.6ø
Save the Last Dance for Me,Ben E. King - Best of,Ben E. King,151.6ø
Don't Play That Song,Soul Friends,Ben E. King,181.2ø
Sally Cinnamon,Sally Cinnamon,The Stone Roses,175.0ø
Here It Comes,Sally Cinnamon,The Stone Roses,163.3ø
All Across The Sands,Sally Cinnamon,The Stone Roses,167.0ø
Goodnight My Love (Pleasant Dreams),Live in Las Vegas,Paul Anka,149.5ø
One Heartbeat,The Ultimate Collection:  Smokey Robinson,Smokey Robinson,248.6ø
Just To See Her,20th Century Masters: The Millennium Collection: Best of  Motown '80s_ Vol. 2,Smokey Robinson,240.1ø
Aqui Con Tigo (Being With You),Motown Around The World: The Classic Singles,Smokey Robinson,235.9ø
Van,All,Descendents,207.6ø
Uranus,All,Descendents,272.2ø
Jealous Of The World,All,Descendents,219.4ø
Impressions,All,Descendents,214.3ø
Iceman,All,Descendents,221.7ø
Clean Sheets,All,Descendents,213.4ø
Cameage,All,Descendents,211.8ø
All-O-Gistics,All,Descendents,213.4ø
Shocker!,CBGB OMFUG Masters: Live_ June 28_ 2002 - The Bowery Collection,Toasters,311.9ø
Communion,It's Better To Travel,Swing Out Sister,280.3ø
You're Not Laura,The Lost Recordings II,Daniel Johnston,184.6ø
You Ruined It For Yourself,The Lost Recordings,Daniel Johnston,130.0ø
We Could Be Together Again,The Lost Recordings II,Daniel Johnston,60.1ø
The Miracle Of Love,The Lost Recordings II,Daniel Johnston,69.4ø
Take A Little Walk,The Lost Recordings,Daniel Johnston,55.0ø
Sad And Lonely,The Lost Recordings,Daniel Johnston,106.5ø
Oh What A Wonderful Feeling,The Lost Recordings,Daniel Johnston,164.3ø
No Fun,The Lost Recordings,Daniel Johnston,149.4ø
Mean To Me,The Lost Recordings II,Daniel Johnston,82.4ø
Lonely Orphan On The Run,The Lost Recordings II,Daniel Johnston,120.3ø
If I Kissed You Once,The Lost Recordings II,Daniel Johnston,91.1ø
I'm Nervous,The Lost Recordings,Daniel Johnston,87.4ø
I'm A Song,The Lost Recordings,Daniel Johnston,87.6ø
I Wish I Could Call You,The Lost Recordings,Daniel Johnston,91.5ø
I Give Up,The Lost Recordings II,Daniel Johnston,173.7ø
Fly Me To The Moon,The Lost Recordings II,Daniel Johnston,216.9ø
Burn Baby Burn,The Lost Recordings,Daniel Johnston,137.5ø
Art Piece,The Lost Recordings,Daniel Johnston,87.5ø
All Around The World,The Lost Recordings II,Daniel Johnston,96.5ø
You're Gonna Get Yours,Greatest Misses,Public Enemy,250.6ø
Yo! Bum Rush The Show,Yo! Bum Rush The Show,Public Enemy,265.5ø
Too Much Posse,Yo! Bum Rush The Show,Public Enemy,145.1ø
Sophisticated Bitch,Yo! Bum Rush The Show,Public Enemy,270.3ø
Rightstarter (Message To A Black Man),Yo! Bum Rush The Show,Public Enemy,228.9ø
M.P.E.,Yo! Bum Rush The Show,Public Enemy,224.3ø
Bring The Noise,R&B: From Doo-Wop To Hip-Hop,Public Enemy,222.7ø
Five Minutes,Singles (The UA Years),The Stranglers,198.2ø
All Day And All Of The Night,Permanent Record / Music From The Motion Picture Soundtrack,The Stranglers,150.8ø
The Collector,Adam's Apple,Wayne Shorter,416.1ø
The Factory,Personal Effects,Warren Zevon,159.6ø
Igetthepicture (Album Version),Loud Jazz,John Scofield,248.9ø
Dirty Rice (Album Version),Loud Jazz,John Scofield,396.7ø
Dance Me Home (Album Version),Loud Jazz,John Scofield,355.6ø
Blue Matter (Live),Pick Hits Live,John Scofield,454.1ø
Varvara Pavlovna,Divinidylle Tour,Vanessa Paradis,147.6ø
Marilyn & John,Live,Vanessa Paradis,249.4ø
Joe Le Taxi,Au Zenith,Vanessa Paradis,252.7ø
Coupe Coupe,M & J,Vanessa Paradis,319.1ø
Lovin' You,Significant Singles - The R&B Chart Hits & Flips 1976-87,The O'Jays,321.8ø
The Never Ending Story,Freaks,Pulp,181.2ø
Master of the Universe,Freaks,Pulp,202.6ø
Life Must Be So Wonderful,Freaks,Pulp,238.8ø
Fairground,Freaks,Pulp,307.5ø
Smoldering Fuselage,Forget,Mission Of Burma,165.2ø
Thy Kingdom Come,Blessed Are The Sick,Morbid Angel,204.6ø
Abominations,Hellspawn,Morbid Angel Vs The Berzerker,270.4ø
Persiana Americana (Live),Ruido Blanco,Soda Stereo,343.6ø
Estoy Azulado (Live),Ruido Blanco,Soda Stereo,259.3ø
Shock,Midnight To Midnight,The Psychedelic Furs,306.8ø
New Dream,Here Came The Psychedelic Furs: B-Sides & Lost Grooves,The Psychedelic Furs,296.0ø
Midnight To Midnight,Original Album Classics,The Psychedelic Furs,270.3ø
Heartbreak Beat,Here Came The Psychedelic Furs: B-Sides & Lost Grooves,The Psychedelic Furs,488.0ø
All Of The Law,Should God Forget: A Retrospective,The Psychedelic Furs,341.8ø
She's Mine,Best Of The Fittest,Burning Spear,287.6ø
Fire Man,Best Of The Fittest,Burning Spear,247.2ø
Farover,Best Of The Fittest,Burning Spear,260.2ø
Procession Towards Learning Land,Dear God,XTC,226.4ø
Mantis On Parole,Dear God,XTC,237.2ø
Egyptian Solution,Dear God,XTC,312.2ø
Rollin' And Tumblin',Spoonful & Other Favorites (Digitally Remastered),Canned Heat,135.3ø
Whoah,Diesel And Dust,Midnight Oil,230.9ø
Warakurna,The Real Thing,Midnight Oil,267.9ø
Sometimes,Scream In Blue,Midnight Oil,208.5ø
Sell My Soul,Scream In Blue,Midnight Oil,250.3ø
Dreamworld,Scream In Blue,Midnight Oil,221.9ø
Bullroarer,Diesel And Dust,Midnight Oil,299.0ø
