artist_familiarity,artist_hotttnesss,year
0.856,0.855,1994
0.856,0.855,1997
0.431,0.855,2007
0.856,0.855,2001
0.856,0.855,2008
0.856,0.855,2010
0.856,0.855,1999
0.856,0.855,2004
0.869,0.855,2004
0.856,0.855,2000
0.81,0.854,2010
0.809,0.854,2010
0.886,0.853,2004
0.886,0.853,2009
0.886,0.853,2005
0.886,0.853,2000
0.871,0.853,2002
0.886,0.853,1999
0.886,0.853,2002
0.856,0.851,2001
0.856,0.851,2004
0.856,0.851,1994
0.856,0.851,2008
0.856,0.851,1999
0.856,0.851,1997
0.82,0.85,2008
0.82,0.85,2009
0.82,0.85,2007
0.82,0.85,2006
0.82,0.85,2010
0.765,0.849,2005
0.807,0.849,2009
0.807,0.849,2005
0.807,0.849,2007
0.765,0.849,2009
0.765,0.849,2007
0.929,0.849,2009
0.84,0.849,2008
0.929,0.849,2007
0.929,0.849,2008
0.929,0.849,2005
0.905,0.843,2007
0.905,0.843,2002
0.905,0.843,2009
0.905,0.843,2003
0.709,0.841,2004
0.84,0.84,1964
0.939,0.838,2008
0.939,0.838,2009
0.851,0.838,2007
0.655,0.838,1984
0.851,0.838,1998
0.824,0.838,2002
0.851,0.838,1990
0.851,0.838,1982
0.655,0.838,1980
0.851,0.838,1987
0.824,0.838,1998
0.851,0.838,1975
0.851,0.838,1995
0.851,0.838,1980
0.851,0.838,1978
0.851,0.838,2009
0.655,0.838,1995
0.851,0.838,1999
0.851,0.838,2003
0.851,0.838,2008
0.851,0.838,1994
0.824,0.838,1978
0.655,0.838,1973
0.851,0.838,1992
0.851,0.838,2005
0.851,0.838,1981
0.655,0.838,1975
0.824,0.838,1973
0.655,0.838,1998
0.851,0.838,1993
0.824,0.838,1982
0.655,0.838,1989
0.851,0.838,2006
0.851,0.838,2002
0.851,0.838,1984
0.851,0.838,1973
0.824,0.838,1995
0.851,0.838,1996
0.655,0.838,2002
0.655,0.838,1978
0.846,0.838,2003
0.846,0.838,2008
0.846,0.838,2004
0.846,0.838,2007
0.682,0.83,2004
0.812,0.829,2007
0.812,0.829,2005
0.812,0.829,2009
0.869,0.829,2007
0.869,0.829,2009
0.869,0.829,2005
0.918,0.829,2006
0.918,0.829,2007
0.918,0.829,2003
0.918,0.829,2004
0.918,0.829,2008
1,0.827,2004
1,0.827,2008
1,0.827,2006
1,0.827,2007
1,0.827,2005
1,0.827,2009
1,0.827,2010
0.844,0.826,1987
0.844,0.826,1988
0.844,0.826,2004
0.844,0.826,1991
0.844,0.826,1980
0.844,0.826,1981
0.844,0.826,2009
0.844,0.826,2000
0.844,0.826,1983
0.844,0.826,1997
0.844,0.826,1993
0.844,0.826,1984
0.844,0.826,1982
0.841,0.824,2002
0.841,0.824,2006
0.841,0.824,2005
0.841,0.824,2010
0.939,0.823,2009
0.855,0.823,2008
0.934,0.822,2003
0.934,0.822,2005
0.934,0.822,2001
0.934,0.822,2007
0.918,0.82,2004
0.918,0.82,2006
0.918,0.82,2007
0.918,0.82,2008
0.918,0.82,2009
0.918,0.82,2003
0.831,0.816,2005
0.831,0.816,2009
0.831,0.816,2008
0.831,0.816,2002
0.831,0.816,1994
0.831,0.816,2004
0.831,0.816,2001
0.86,0.816,1998
0.86,0.816,2001
0.86,0.816,2000
0.86,0.816,2003
0.86,0.816,1999
0.86,0.816,2009
0.86,0.816,2007
0.86,0.816,1997
0.86,0.816,2006
0.849,0.815,2003
0.827,0.815,2007
0.849,0.815,2007
0.827,0.815,1999
0.849,0.815,1999
0.849,0.815,2001
0.827,0.815,2003
0.847,0.814,1999
0.847,0.814,2003
0.847,0.814,2005
0.847,0.814,2008
0.649,0.813,2009
0.649,0.813,2008
0.811,0.813,2009
0.851,0.813,2003
0.846,0.813,2007
0.851,0.813,2004
0.851,0.813,2008
0.846,0.813,2004
0.846,0.813,2008
0.86,0.812,2002
0.86,0.812,1997
0.86,0.812,1994
0.86,0.812,2004
0.86,0.812,1995
0.86,0.812,2005
0.86,0.812,2001
0.86,0.812,2009
0.86,0.812,2000
0.86,0.812,2010
0.867,0.809,1991
0.867,0.809,1992
0.867,0.809,1972
0.716,0.809,2008
0.867,0.809,2001
0.867,0.809,1982
0.824,0.808,1980
0.824,0.808,2002
0.824,0.808,1973
0.824,0.808,1978
0.824,0.808,1998
0.824,0.808,1992
0.824,0.808,1989
0.824,0.808,1987
0.824,0.808,2009
0.824,0.808,1982
0.824,0.808,2007
0.824,0.808,2006
0.824,0.808,1995
0.824,0.808,1981
0.871,0.805,2002
0.871,0.805,2005
0.871,0.805,2000
0.871,0.805,2003
0.871,0.805,2009
0.871,0.805,1999
0.871,0.805,2006
0.871,0.805,2004
0.833,0.804,2005
0.833,0.804,1995
0.833,0.804,2001
0.833,0.804,2009
0.833,0.804,1998
0.833,0.804,1997
0.833,0.804,2003
0.833,0.804,2007
0.833,0.804,2006
0.833,0.804,1999
0.812,0.8,2008
0.933,0.798,2005
0.933,0.798,2007
0.933,0.798,2006
0.933,0.798,2008
0.834,0.798,2008
0.834,0.798,2007
0.809,0.797,2009
0.809,0.797,1995
0.809,0.796,2009
0.809,0.796,2010
0.809,0.796,2008
0.86,0.796,1994
0.86,0.796,2001
0.86,0.796,2002
0.86,0.796,1997
0.86,0.796,2009
0.86,0.796,2000
0.86,0.796,2005
0.86,0.796,1995
0.86,0.796,2010
0.812,0.796,2003
0.812,0.796,2004
0.812,0.796,1998
0.812,0.796,2000
0.812,0.796,1993
0.812,0.796,2007
0.812,0.796,1995
0.812,0.796,2005
0.812,0.796,2009
0.744,0.795,2009
0.822,0.794,1992
0.822,0.794,1996
0.822,0.794,2003
0.822,0.794,2000
0.822,0.794,1999
0.827,0.794,2008
0.827,0.794,2001
0.849,0.794,2001
0.827,0.794,2003
0.827,0.794,1999
0.843,0.793,2007
0.843,0.793,2002
0.843,0.793,2006
0.843,0.793,2005
0.843,0.793,2004
0.843,0.793,2008
0.843,0.793,2009
0.851,0.793,2007
0.744,0.792,2009
0.744,0.792,2007
0.744,0.792,2008
0.744,0.792,2010
0.822,0.792,2009
0.822,0.792,2007
0.887,0.791,2002
0.887,0.791,2000
0.887,0.791,2008
0.887,0.791,2007
0.887,0.791,2003
0.887,0.791,2009
0.887,0.791,2004
0.844,0.79,1991
0.844,0.79,1994
0.844,0.79,1987
0.844,0.79,1990
0.846,0.789,2007
0.846,0.789,2004
0.846,0.789,2003
0.846,0.789,2008
0.846,0.789,2005
0.838,0.788,1976
0.912,0.788,2000
0.912,0.788,2004
0.912,0.788,2008
0.912,0.788,2007
0.912,0.788,2005
0.912,0.788,2001
0.912,0.788,2002
0.912,0.788,2003
0.85,0.787,1994
0.935,0.787,2002
0.935,0.787,1991
0.935,0.787,1990
0.935,0.787,1993
0.935,0.787,1997
0.935,0.787,1995
0.935,0.787,2005
0.935,0.787,2009
0.935,0.787,2008
0.847,0.787,1999
0.846,0.787,2005
0.935,0.787,1994
0.935,0.787,2001
0.688,0.787,1995
0.935,0.787,1998
0.935,0.787,1999
0.935,0.787,2006
0.935,0.787,2003
0.847,0.787,1990
0.809,0.786,2004
0.809,0.786,2007
0.85,0.786,2005
0.811,0.784,1993
0.811,0.784,2003
0.811,0.784,1998
0.811,0.784,2005
0.811,0.784,2001
0.811,0.784,2004
0.811,0.784,2009
0.811,0.784,1992
0.811,0.784,2007
0.811,0.784,2000
0.811,0.784,1995
0.811,0.784,1996
0.811,0.784,1997
0.839,0.784,2003
0.839,0.784,2009
0.839,0.784,2001
0.839,0.784,1996
0.272,0.784,2009
0.839,0.784,1999
0.839,0.784,2004
0.839,0.784,2006
0.839,0.784,2000
0.806,0.784,2004
0.86,0.781,1997
0.86,0.781,2003
0.86,0.781,1999
0.86,0.781,2005
0.86,0.781,2007
0.86,0.781,1998
0.86,0.781,2006
0.86,0.781,2008
0.86,0.781,2000
0.86,0.781,2002
0.86,0.781,1996
0.818,0.781,1999
0.818,0.781,2003
0.818,0.781,2006
0.818,0.781,2008
0.818,0.781,2000
0.852,0.78,1991
0.852,0.78,1986
0.852,0.78,1996
0.852,0.78,1997
0.852,0.78,1987
0.852,0.78,2003
0.236,0.78,2008
0.852,0.78,1988
0.852,0.78,1983
0.852,0.78,2008
0.852,0.78,1989
0.852,0.78,1984
0.852,0.78,1998
0.852,0.78,1982
0.852,0.78,1999
0.852,0.78,1995
0.852,0.78,2006
0.847,0.78,1999
0.847,0.78,2001
0.847,0.78,1996
0.847,0.78,2005
0.847,0.78,2003
0.847,0.78,2008
0.847,0.78,2002
0.847,0.78,2000
0.847,0.78,2006
0.817,0.78,1958
0.817,0.78,1964
0.817,0.78,1961
0.817,0.78,1973
0.817,0.78,1960
0.817,0.78,2000
0.817,0.78,1979
0.817,0.78,1959
0.817,0.78,2010
0.817,0.78,1957
0.861,0.779,2001
0.861,0.779,2003
0.861,0.779,2005
0.934,0.779,2001
0.934,0.779,2003
0.558,0.779,2007
0.934,0.779,2009
0.934,0.779,2007
0.934,0.779,2005
0.934,0.779,2008
0.934,0.779,2000
0.934,0.779,2004
0.774,0.779,2007
0.774,0.779,2008
0.774,0.779,2010
0.86,0.777,2009
0.86,0.777,2003
0.865,0.777,2004
0.865,0.777,2006
0.82,0.777,2004
0.797,0.776,2002
0.797,0.776,2008
0.797,0.776,2003
0.797,0.776,2005
0.797,0.776,1997
0.797,0.776,1995
0.797,0.776,2004
0.797,0.776,2007
0.797,0.776,1999
0.839,0.776,1986
0.592,0.776,2004
0.839,0.776,2009
0.839,0.776,2005
0.839,0.776,2004
0.839,0.776,2002
0.839,0.776,2007
0.839,0.776,1995
0.839,0.776,1984
0.839,0.776,1988
0.839,0.776,1992
0.839,0.776,2000
0.831,0.776,1996
0.831,0.776,2008
0.831,0.776,1999
0.831,0.776,2009
0.831,0.776,2005
0.831,0.776,1994
0.831,0.776,2002
0.831,0.776,1995
0.831,0.776,2001
0.831,0.776,2004
0.831,0.776,2010
0.831,0.776,1998
0.815,0.776,1994
0.815,0.776,1969
0.815,0.776,1981
0.815,0.776,1966
0.815,0.776,1972
0.815,0.776,1983
0.815,0.776,1964
0.815,0.776,1974
0.815,0.776,2005
0.815,0.776,1971
0.815,0.776,1980
0.815,0.776,1989
0.815,0.776,1975
0.815,0.776,1965
0.815,0.776,1967
0.815,0.776,1990
0.815,0.776,2010
0.815,0.776,1986
0.815,0.776,1963
0.815,0.776,1973
0.845,0.773,2007
0.845,0.773,2003
0.845,0.773,2008
0.845,0.773,2001
0.794,0.773,2010
0.794,0.773,1998
0.822,0.771,2002
0.822,0.771,2005
0.822,0.771,2004
0.912,0.771,2005
0.707,0.771,2005
0.707,0.771,1999
0.707,0.771,1997
0.707,0.771,1996
0.851,0.77,2008
0.901,0.77,2004
0.901,0.77,2007
0.901,0.77,2005
0.901,0.77,2008
0.901,0.77,2009
0.773,0.769,2008
0.773,0.769,2007
0.832,0.769,2009
0.832,0.769,2008
0.822,0.768,1994
0.867,0.767,1972
0.867,0.767,2001
0.867,0.767,1975
0.867,0.767,1979
0.867,0.767,1973
0.867,0.767,1987
0.867,0.767,1995
0.867,0.767,1986
0.867,0.767,1997
0.867,0.767,1981
0.867,0.767,2008
0.867,0.767,1984
0.865,0.766,2006
0.865,0.766,2004
0.865,0.766,2008
0.865,0.766,2002
0.865,0.766,2007
0.865,0.766,2001
0.791,0.764,2008
0.888,0.761,1984
0.888,0.761,2002
0.888,0.761,1987
0.888,0.761,2000
0.888,0.761,2004
0.888,0.761,1988
0.796,0.761,2008
0.796,0.761,2007
0.726,0.761,2010
0.782,0.761,2008
0.822,0.761,2004
0.827,0.76,1989
0.827,0.76,1980
0.827,0.76,1997
0.827,0.76,1976
0.819,0.759,2009
0.787,0.759,2009
0.648,0.759,2009
0.888,0.759,2007
0.888,0.759,2002
0.744,0.758,2007
0.887,0.758,1999
0.887,0.758,1996
0.887,0.758,2004
0.887,0.758,1997
0.887,0.758,2001
0.887,0.758,2005
0.831,0.758,2005
0.831,0.758,2004
0.887,0.758,2007
0.887,0.758,1994
0.887,0.758,1998
0.831,0.758,2007
0.887,0.758,2000
0.831,0.758,2001
0.329,0.758,2001
0.773,0.756,2010
0.775,0.756,2009
0.773,0.756,2008
0.775,0.756,2010
0.773,0.756,2009
0.839,0.756,2009
0.839,0.756,2006
0.839,0.756,2010
0.839,0.756,2008
0.839,0.756,2007
0.853,0.756,2007
0.853,0.756,2006
0.843,0.755,2002
0.843,0.755,2005
0.843,0.755,2007
0.843,0.755,2006
0.765,0.755,2001
0.765,0.755,2003
0.764,0.755,2006
0.765,0.755,2006
0.765,0.755,2008
0.765,0.755,2004
0.754,0.755,2002
0.754,0.755,2010
0.754,0.755,2006
0.768,0.754,2008
0.736,0.754,2009
0.892,0.753,2009
0.892,0.753,2008
0.774,0.753,2008
0.892,0.753,2004
0.319,0.753,2006
0.892,0.753,2006
0.774,0.753,2009
0.774,0.753,2006
0.827,0.753,2000
0.827,0.753,2007
0.827,0.753,1997
0.827,0.753,1995
0.827,0.753,2003
0.827,0.753,1998
0.827,0.753,2001
0.827,0.753,1999
0.827,0.753,2008
0.921,0.753,2006
0.921,0.753,2003
0.921,0.753,2000
0.748,0.752,2005
0.782,0.752,2003
0.583,0.752,2008
0.748,0.752,2003
0.583,0.752,2003
0.782,0.752,2008
0.782,0.752,2005
0.845,0.751,2007
0.845,0.751,2003
0.845,0.751,2001
0.789,0.751,2008
0.789,0.751,2003
0.687,0.751,1983
0.687,0.751,1984
0.775,0.751,1984
0.687,0.751,1986
0.775,0.751,1982
0.844,0.75,1981
0.844,0.75,2006
0.844,0.75,1991
0.844,0.75,1980
0.844,0.75,1997
0.844,0.75,1983
0.844,0.75,2008
0.844,0.75,1984
0.844,0.75,1985
0.844,0.75,1979
0.844,0.75,1987
0.844,0.75,1999
0.844,0.75,1993
0.844,0.75,1992
0.844,0.75,2002
0.844,0.75,2007
0.844,0.75,2009
0.844,0.75,2001
0.844,0.75,1989
0.844,0.75,2004
0.844,0.75,2000
0.844,0.75,1988
0.864,0.749,1997
0.864,0.749,1987
0.864,0.749,1988
0.864,0.749,1986
0.864,0.749,1982
0.827,0.749,1995
0.827,0.749,2001
0.827,0.749,1999
0.827,0.749,1998
0.827,0.749,2003
0.842,0.747,1974
0.842,0.747,1958
0.842,0.747,1960
0.842,0.747,1996
0.842,0.747,1965
0.842,0.747,1963
0.842,0.747,1957
0.842,0.747,1959
0.842,0.747,1969
0.842,0.747,2000
0.842,0.747,1976
0.842,0.747,1992
0.842,0.747,1961
0.842,0.747,1966
0.842,0.747,1988
0.842,0.747,1956
0.842,0.747,2002
0.842,0.747,1999
0.842,0.747,1962
0.842,0.747,1970
0.842,0.747,1994
0.773,0.747,2007
0.773,0.747,2008
0.817,0.746,1968
0.817,0.746,2006
0.817,0.746,2009
0.817,0.746,2008
0.817,0.746,1995
0.817,0.746,2002
0.817,0.746,2003
0.817,0.746,1978
0.817,0.746,2000
0.817,0.746,1991
0.817,0.746,1964
0.817,0.746,1957
0.817,0.746,1962
0.817,0.746,1972
0.839,0.746,1986
0.809,0.744,2004
0.809,0.744,2007
0.831,0.743,2005
0.835,0.742,2006
0.835,0.742,2002
0.835,0.742,2004
0.835,0.742,2010
0.835,0.742,2008
0.835,0.742,2003
0.789,0.742,2008
0.835,0.742,2005
0.789,0.742,2003
0.815,0.741,1965
0.815,0.741,1975
0.815,0.741,1974
0.815,0.741,1968
0.815,0.741,1981
0.815,0.741,1973
0.815,0.741,1964
0.815,0.741,1976
0.815,0.741,2008
0.815,0.741,1991
0.815,0.741,1999
0.77,0.74,2008
0.838,0.74,1976
0.793,0.739,2003
0.793,0.739,2007
0.844,0.738,1993
0.844,0.738,2000
0.844,0.738,1985
0.844,0.738,2002
0.844,0.738,1988
0.844,0.738,2007
0.844,0.738,1994
0.844,0.738,2004
0.844,0.738,1980
0.782,0.738,2004
0.831,0.738,1999
0.831,0.738,2006
0.831,0.738,2002
0.852,0.738,2007
0.852,0.738,2005
0.857,0.737,1995
0.857,0.737,2001
0.857,0.737,2003
0.883,0.736,1999
0.883,0.736,2005
0.603,0.736,2002
0.883,0.736,2003
0.883,0.736,2006
0.883,0.736,1992
0.883,0.736,1995
0.883,0.736,2000
0.883,0.736,2002
0.818,0.736,1999
0.883,0.736,1994
0.839,0.736,2000
0.883,0.736,1996
0.649,0.736,2002
0.815,0.736,1981
0.815,0.736,1978
0.815,0.736,1998
0.815,0.736,1972
0.815,0.736,1983
0.815,0.736,1966
0.815,0.736,1965
0.815,0.736,1967
0.815,0.736,1980
0.815,0.736,2005
0.815,0.736,1964
0.815,0.736,1969
0.815,0.736,1976
0.815,0.736,1982
0.815,0.736,1975
0.815,0.736,2010
0.815,0.736,1963
0.815,0.736,1986
0.815,0.736,1989
0.817,0.735,1971
0.817,0.735,1959
0.817,0.735,1974
0.817,0.735,1973
0.817,0.735,2006
0.817,0.735,2010
0.708,0.735,1957
0.817,0.735,1994
0.817,0.735,1970
0.817,0.735,1957
0.817,0.735,1975
0.817,0.735,2008
0.817,0.735,1963
0.817,0.735,1972
0.817,0.735,1987
0.817,0.735,1991
0.817,0.735,2003
0.817,0.735,1965
0.817,0.735,1964
0.817,0.735,2005
0.817,0.735,1961
0.817,0.735,2000
0.817,0.735,2002
0.83,0.735,2009
0.75,0.735,2009
0.875,0.734,1967
0.875,0.734,1975
0.875,0.734,1965
0.875,0.734,1994
0.875,0.734,2005
0.875,0.734,1963
0.875,0.734,1968
0.875,0.734,1966
0.875,0.734,1980
0.875,0.734,1973
0.875,0.734,1976
0.875,0.734,1981
0.875,0.734,1964
0.875,0.734,1983
0.875,0.734,1989
0.875,0.734,1972
0.875,0.734,1978
0.875,0.734,1997
0.787,0.734,2009
0.748,0.733,2001
0.748,0.733,2004
0.748,0.733,2002
0.748,0.733,2000
0.793,0.732,2009
0.826,0.731,2002
0.764,0.731,2001
0.864,0.73,2000
0.795,0.729,2007
0.782,0.729,2004
0.782,0.729,2007
0.795,0.729,2004
0.782,0.729,2008
0.814,0.728,2008
0.814,0.728,2006
0.814,0.728,2003
0.788,0.728,2008
0.814,0.728,2007
0.814,0.728,2009
0.878,0.727,2008
0.878,0.727,2007
0.852,0.726,1988
0.852,0.726,1991
0.852,0.726,1996
0.852,0.726,2003
0.852,0.726,1986
0.852,0.726,2008
0.852,0.726,1987
0.852,0.726,1983
0.852,0.726,1984
0.852,0.726,1997
0.684,0.726,2009
0.831,0.726,2008
0.831,0.726,2006
0.831,0.726,1999
0.831,0.726,2002
0.831,0.726,2000
0.853,0.726,2006
0.853,0.726,1999
0.831,0.726,1998
0.853,0.726,2000
0.831,0.726,2010
0.831,0.726,2004
0.831,0.726,2001
0.853,0.726,2002
0.86,0.726,2008
0.903,0.725,1999
0.903,0.725,2004
0.903,0.725,2002
0.903,0.725,2006
0.903,0.725,2005
0.814,0.725,2009
0.814,0.725,2005
0.814,0.725,2007
0.814,0.725,2004
0.704,0.724,2007
0.704,0.724,2009
0.759,0.724,2007
0.704,0.724,2008
0.759,0.724,2009
0.635,0.723,2009
0.865,0.72,2009
0.839,0.719,2009
0.839,0.719,2005
0.839,0.719,2006
0.839,0.719,2008
0.839,0.719,2002
0.839,0.719,1991
0.839,0.719,1995
0.839,0.719,2004
0.839,0.719,2007
0.432,0.719,2009
0.839,0.719,2000
0.839,0.719,1986
0.839,0.719,2003
0.839,0.719,1985
0.839,0.719,1992
0.839,0.719,1988
0.839,0.719,1994
0.841,0.719,2005
0.839,0.718,2010
0.857,0.717,1998
0.857,0.717,2001
0.857,0.717,2009
0.793,0.717,2003
0.793,0.717,2007
0.793,0.717,2005
0.793,0.717,1999
0.793,0.717,2001
0.82,0.717,2008
0.781,0.717,2008
0.831,0.716,2007
0.827,0.716,2007
0.827,0.716,2010
0.827,0.716,2005
0.645,0.715,1984
0.645,0.715,2003
0.645,0.715,1998
0.645,0.715,1989
0.645,0.715,2001
0.844,0.714,1987
0.844,0.714,1993
0.844,0.714,1991
0.844,0.714,1988
0.844,0.714,2008
0.844,0.714,1986
0.844,0.714,1999
0.844,0.714,1992
0.864,0.713,1998
0.768,0.713,2010
0.843,0.711,2009
0.843,0.711,2008
0.785,0.711,2009
0.878,0.711,2008
0.878,0.711,2009
0.46,0.711,2009
0.878,0.711,2007
0.755,0.711,2007
0.82,0.711,2005
0.82,0.711,2010
0.82,0.711,2007
0.82,0.711,2002
0.82,0.711,2000
0.826,0.711,2000
0.826,0.711,2009
0.826,0.711,2007
0.742,0.71,2004
0.742,0.71,2002
0.742,0.71,2000
0.742,0.71,1999
0.742,0.71,2001
0.79,0.71,1981
0.892,0.71,2009
0.892,0.71,2004
0.892,0.71,2006
0.892,0.71,2008
0.319,0.71,2006
0.823,0.709,2002
0.823,0.709,2008
0.823,0.709,2001
0.724,0.709,2008
0.872,0.709,2010
0.872,0.709,2007
0.872,0.709,2009
0.803,0.707,2005
0.921,0.707,2000
0.921,0.707,2003
0.921,0.707,2006
0.878,0.707,2003
0.878,0.707,2006
0.82,0.707,2009
0.82,0.707,2008
0.82,0.707,2007
0.818,0.706,2006
0.818,0.706,2003
0.818,0.706,2008
0.818,0.706,1998
0.818,0.706,2001
0.921,0.706,2006
0.921,0.706,2010
0.921,0.706,2003
0.859,0.705,1991
0.807,0.704,1998
0.807,0.704,2001
0.807,0.704,1983
0.807,0.704,1986
0.807,0.704,1980
0.807,0.704,1977
0.807,0.704,1981
0.807,0.704,1982
0.807,0.704,1996
0.807,0.704,1975
0.807,0.704,1978
0.807,0.704,1979
0.807,0.704,1992
0.821,0.704,1983
0.926,0.704,2001
0.926,0.704,2007
0.926,0.704,2003
0.926,0.704,2005
0.926,0.704,2006
0.926,0.704,2002
0.926,0.704,2008
0.762,0.703,2009
0.762,0.703,2010
0.756,0.703,2009
0.807,0.703,1980
0.807,0.703,1981
0.807,0.703,1976
0.807,0.703,1992
0.807,0.703,1998
0.807,0.703,1978
0.807,0.703,1986
0.749,0.703,2009
0.749,0.703,2008
0.738,0.702,2002
0.738,0.702,2004
0.738,0.702,2006
0.738,0.702,2001
0.738,0.702,2007
0.742,0.702,2001
0.723,0.702,2009
0.785,0.702,2009
0.795,0.702,2007
0.795,0.702,2000
0.795,0.702,2004
0.66,0.702,2007
0.795,0.702,1996
0.795,0.702,2006
0.914,0.702,2006
0.914,0.702,2004
0.903,0.702,2002
0.903,0.702,1999
0.808,0.702,2002
0.903,0.702,2007
0.903,0.702,2004
0.855,0.7,2000
0.855,0.7,2008
0.855,0.7,2010
0.855,0.7,2005
0.855,0.7,2002
0.819,0.7,2005
0.819,0.7,2008
0.707,0.699,1997
0.707,0.699,1996
0.707,0.699,1999
0.707,0.699,2005
0.707,0.699,2004
0.707,0.699,2009
0.878,0.698,2009
0.796,0.698,2009
0.839,0.698,2009
0.853,0.698,2006
0.853,0.698,2002
0.853,0.698,2008
0.828,0.697,1967
0.828,0.697,1964
0.828,0.697,1977
0.828,0.697,1958
0.828,0.697,1996
0.828,0.697,1975
0.828,0.697,1961
0.828,0.697,1992
0.828,0.697,1970
0.828,0.697,1997
0.828,0.697,1989
0.828,0.697,1957
0.828,0.697,1995
0.828,0.697,1956
0.828,0.697,1954
0.828,0.697,1976
0.828,0.697,1963
0.828,0.697,1994
0.818,0.696,1994
0.818,0.696,1967
0.818,0.696,1969
0.818,0.696,1968
0.818,0.696,1971
0.818,0.696,1973
0.822,0.696,2004
0.822,0.696,2006
0.822,0.696,2005
0.879,0.696,2010
0.879,0.696,2003
0.762,0.695,2009
0.687,0.695,2004
0.716,0.695,2009
0.716,0.695,2008
0.151,0.695,2008
0.832,0.694,2006
0.832,0.694,2003
0.832,0.694,2000
0.832,0.694,2009
0.832,0.694,2008
0.832,0.694,2005
0.832,0.694,2007
0.796,0.694,2008
0.83,0.694,2009
0.83,0.694,2008
0.83,0.694,2007
0.796,0.694,2007
0.736,0.693,1957
0.736,0.693,1956
0.736,0.693,1965
0.736,0.693,1998
0.732,0.693,1965
0.736,0.693,1962
0.736,0.693,1989
0.736,0.693,2005
0.903,0.693,2002
0.903,0.693,2004
0.903,0.693,2006
0.903,0.693,2007
0.903,0.693,1999
0.833,0.693,2009
0.833,0.693,2004
0.833,0.693,2006
0.833,0.693,2005
0.839,0.691,2010
0.839,0.691,2009
0.847,0.691,2010
0.674,0.69,2005
0.827,0.69,2001
0.827,0.69,2009
0.827,0.69,2007
0.827,0.69,2005
0.827,0.69,2008
0.827,0.69,1999
0.827,0.69,2003
0.793,0.69,2003
0.793,0.69,2007
0.793,0.69,1999
0.793,0.689,2005
0.805,0.689,2007
0.805,0.689,2000
0.805,0.689,1997
0.805,0.689,2002
0.805,0.689,2003
0.805,0.689,1998
0.882,0.689,2002
0.823,0.689,2002
0.644,0.689,1995
0.804,0.688,2005
0.804,0.688,1999
0.804,0.688,1995
0.804,0.688,2009
0.807,0.688,1993
0.807,0.688,2002
0.804,0.688,2003
0.804,0.688,1997
0.804,0.688,2002
0.804,0.688,2004
0.804,0.688,1993
0.804,0.688,2008
0.807,0.688,2008
0.807,0.688,1996
0.804,0.688,2001
0.809,0.688,1993
0.804,0.688,1998
0.804,0.688,2006
0.807,0.688,1999
0.804,0.688,1996
0.807,0.688,2006
0.865,0.688,2009
0.865,0.688,1976
0.827,0.688,1973
0.865,0.688,1986
0.865,0.688,2004
